,Asian Population,Chinese Population,Annual Comsumption
California,6085947,1460627,2322046825
New York,1933127,463950,737569915
Texas,1585480,380515,604927844
New Jersey,950090,228022,362499619
Illinois,754878,181171,288017964
Washington,730596,175343,278753351
Florida,643682,154484,245591975
Virginia,615436,147705,234814928
Hawaii,541902,130056,206758590
Pennsylvania,510501,122520,194777777
Massachusetts,507934,121904,193798357
Georgia,479028,114967,182769493
Maryland,420944,101027,160607984
North Carolina,343051,82332,130888502
Michigan,334300,80232,127549624
Minnesota,299190,71806,114153671
Ohio,298509,71642,113893840
Nevada,272703,65449,104047757
Arizona,257430,61783,98220460
Colorado,199827,47958,76242473
Oregon,194538,46689,74224495
Wisconsin,175702,42168,67037763
Connecticut,172455,41389,65798895
Indiana,167959,40310,64083480
Tennessee,135615,32548,51742873
Missouri,133377,32010,50888981
Oklahoma,90949,21828,34700900
South Carolina,90466,21712,34516615
Louisiana,86438,20745,32979762
Kansas,86273,20706,32916807
Utah,80438,19305,30690508
Alabama,76660,18398,29249040
Iowa,75629,18151,28855670
Kentucky,74426,17862,28396675
Nebraska,52951,12708,20203052
Arkansas,51839,12441,19778776
Alaska,44032,10568,16800075
Delaware,42699,10248,16291479
Rhode Island,38961,9351,14865273
New Mexico,37469,8993,14296012
New Hampshire,35871,8609,13686307
District of Columbia,33545,8051,12798840
Mississippi,32709,7850,12479870
Idaho,26836,6441,10239072
Maine,16798,4032,6409149
West Virginia,15109,3626,5764724
South Dakota,13476,3234,5141665
North Dakota,13213,3171,5041320
Vermont,11549,2772,4406433
Montana,8300,1992,3166802
Wyoming,5212,1251,1988599
Puerto Rico,4001,960,1526551
