Product_Name,Brand,Price,Reviews,Origin,Rate,Platform,Category,Sold_Weekly,Sold_Monthly,Weekly_Revenue
Mochi with Taro Filling 180g,formosa yay,1.99,128,Taiwan,4.4,Yami,Mochi,400,1600,796
Mochi with Red Bean Filling 180g,formosa yay,1.99,122,Taiwan,4.3,Yami,Mochi,400,1600,796
Mochi Strawberry Flavor 216g,royal family,2.99,74,Taiwan,3.7,Yami,Mochi,400,1600,1196
YUKI/LOVE Japan Mochi Red Bean ,yuki&love,2.29,45,Taiwan,4.1,Yami,Mochi,400,1600,916
Mochi Cantaloupe Flavor 216g,royal family,2.99,39,Taiwan,4,Yami,Mochi,400,1600,1196
SHIRAKIKU Rice Cake Red & White Daifuku Mochi With Red Bean Paste Filling 8Pc,shirakiku,3.99,6,Japan,4.5,Yami,Mochi,200,800,798
Mochi With Red Bean Paste 284g 8pcs,kyoshin,4.49,4,Japan,4.2,Yami,Mochi,400,1600,1796
SHIRAKIKU Rice Cake Azuki Daifuku Mochi With Red Bean Paste Filling 8Pc,shirakiku,3.99,10,Japan,4.5,Yami,Mochi,400,1600,1596
SHIRAKIKU Rice Cake Green Daifuku Mochi With Red Bean Paste Filling 8Pc,shirakiku,3.99,3,Japan,3.7,Yami,Mochi,25,100,99.75
YUKI/LOVE Japan Mochi Taro ,yuki&love,2.29,23,Taiwan,4,Yami,Mochi,400,1600,916
Daifuku Mochi - Blueberry ,royal family,2.79,18,Taiwan,3.8,Yami,Mochi,400,1600,1116
Sweets Daifuku Red Bean Flavor 120g,royal family,2.29,8,Taiwan,4.6,Yami,Mochi,25,100,57.25
Sweets Daifuku Strawberry 120g,royal family,2.29,8,Taiwan,4.2,Yami,Mochi,25,100,57.25
YUKI/LOVE Japan Mochi Green Tea ,yuki&love,2.29,90,Unclear,4.3,Yami,Mochi,400,1600,916
Matcha Japanese Mochi ,royal family,2.29,17,Taiwan,3.9,Yami,Mochi,400,1600,916
Taro Mochi Pastry 400g,tachia master,28.99,1,Mainland China,5,Yami,Mochi,400,1600,11596
