Product_Name,Price,Origin,Sold_Monthly,Reviews
Cracker with Bamboo Flavour,6.89,Taiwan,6020 sold,0
NATURAL CHEESE Soft Bar Cookie,5.19,Japan,0,0
Soft Butter Cookie,4.99,Japan,0,0
IMEI Chocolate Puff,2.59,Taiwan,6525 sold,0
IMEI Strawberry Puff,2.59,Unclear,2069 sold,2
NOMURA Millet Fried Biscuit,2.69,Japan,9893 sold,0
Round Biscuit (seaweed),3.59,Taiwan,7560 sold,0
Taiwan Handmade Cookie (seaweed),4.99,Taiwan,5222 sold,4
POCKY (almond crush),2.69,Japan,9362 sold,1
IMEI Egg Roll (sesame),2.39,Taiwan,7202 sold,0
IMEI Milk Puff,2.59,Taiwan,5131 sold,1
I MEI Wafer Cream (taro),4.59,Taiwan,1802 sold,0
MEI XIN Hearty Butter Pastries Gift Set,29.99,Mainland China,2772 sold,0
DAOXIANGCUN Cashew Crisp Cake,14.99,Mainland China,0,0
TAIWAN VILLAGE Boba Milk Tea Nougat Biscuit,5.29,Taiwan,5937 sold,0
KSF Sweet Biscuit (lemon),1.69,Mainland China,3839 sold,0
V-LOONG Cracker (cocoa),3.69,Mainland China,0,1
SANNIU Shanghai Butter Cookie,4.49,Mainland China,8291 sold,13
MEI XIN Fine Goods Pastries Gift Box (fat choy),19.99,Mainland China,2972 sold,0
I MEI Wafer Cream (milk),4.69,Taiwan,2693 sold,0
Wei Liang Yi (seaweed),3.56,Taiwan,7112 sold,0
KSF Delicious Biscuit (green onion),1.29,Mainland China,5420 sold,1
IMEI Egg Roll (orginal),2.39,Taiwan,7384 sold,1
Taiwan Handmade Cookie (peanut),4.99,Taiwan,1756 sold,0
LICHEESE Naboot Wafer (cheese),3.79,Mainland China,0,0
MEI XIN Fine Goods Pastries Gift Box (jiu jiu choy),27.99,Mainland China,2961 sold,0
V-LOONG Cracker (spring onion and chicken soup),3.69,Mainland China,0,0
JIASHILI Spring Onion Cracker,1.49,Unclear,13347 sold,4
LI DA SHENG Matcha Egg Roll,3.19,Unclear,14724 sold,7
BOURBON Mixed Grain Biscuit,4.49,Japan,5209 sold,0
Alishan Wasabi Biscuit,6.89,Taiwan,3494 sold,1
FUYISHAN Black Sesame Cracker,5.59,Taiwan,3660 sold,0
FUYISHAN Lemon Cracker,5.59,Taiwan,2738 sold,1
IMEI Chocolate Cream Wafer,5.79,Taiwan,3776 sold,0
Biscuits(Frozen),12.95,Unclear,3885 sold,9
