Product_Name,Price,Sold_Weekly,Brand,Reviews,Sold_Monthly,Weekly_Revenue,Option,Rate,Origin,Platform,Category
Aixiangqin Bread with Cheese FIlling 384 g,4.79,600,Unclear,27,2400,2874,Unclear,Unclear,Unclear,Weee,Bread
Dao Xiang Cun Bread with Red Bean Paste 105 g,0.99,1000,Unclear,56,4000,990,Unclear,Unclear,Unclear,Weee,Bread
Pan Pan French Soft Cream Bread 15 pcs 400 g,3.89,1000,Unclear,144,4000,3890,Unclear,Unclear,Unclear,Weee,Bread
Panpan Hand Tear Bread 480 g,6.49,1000,Unclear,283,4000,6490,Unclear,Unclear,Unclear,Weee,Bread
Aixiangqin Yogurt Waffle Bread 309 g,4.39,200,Unclear,12,800,878,Unclear,Unclear,Unclear,Weee,Bread
DXC Gourmet Bread Rolls 310 g,4.99,300,Unclear,20,1200,1497,Unclear,Unclear,Unclear,Weee,Bread
Lee's Toasted Baguette Crisps with Butter Cream 4 oz,4.79,100,Lee's,106,400,479,Unclear,Unclear,Unclear,Weee,Bread
Tokyo Bread Chocolate Pan 70 g,3.19,50,Unclear,14,200,160,Unclear,Unclear,Unclear,Weee,Bread
Daiichi Mini Bread with Chocolate Cream 7pc 6.66 oz,5.99,100,Unclear,36,400,599,Unclear,Unclear,Unclear,Weee,Bread
Samlip Custard Soboro Bread  4.58 oz,1.59,600,Unclear,0,2400,954,Unclear,Unclear,Unclear,Weee,Bread
Samlip Red Bean Cream Bread 4.05 oz,1.99,500,Unclear,5,2000,995,Unclear,Unclear,Unclear,Weee,Bread
Samlip Custard Red Bean Bread 3.7 oz,1.99,400,Unclear,4,1600,796,Unclear,Unclear,Unclear,Weee,Bread
Ao Kun Frozen Donut 15pc 750 g,13.99,50,Unclear,16,200,700,Unclear,Unclear,Unclear,Weee,Bread
Aixiangqin Hand Tearing Bread Milk Flavor 10.9 oz,4.99,200,Unclear,7,800,998,Unclear,Unclear,Unclear,Weee,Bread
Regent Japanese Cheese Cake 34 g,4.49,200,Unclear,3,800,898,Unclear,Unclear,Unclear,Weee,Bread
Samlip Full Moon Cake with Strawberry Cream 3pcs 6.67 oz,4.49,25,Unclear,2,100,112,Unclear,Unclear,Unclear,Weee,Bread
Samlip Choux Bread  3.17 oz,1.99,200,Unclear,5,800,398,Unclear,Unclear,Unclear,Weee,Bread
