Product_Name,Brand,Reviews,Price,Option,Rate,Origin,Platform,Category,Sold_Weekly,Sold_Monthly,Weekly_Renvenue
Purple Sweet Potato Flavored Bread 75g,d-plus,88,1.69,No,4.4,Japan,Yami,Bread,300,1200,507
"Chinese Classic Milk Bread, 480g",asia foods,641,6.49,2 Options,4.7,Mainland China,Yami,Bread,300,1200,1947
Orange Flavored Bread 75g,d-plus,33,1.59,No,4.6,Japan,Yami,Bread,25,100,40
Caramel Flavored Bread 75g,d-plus,32,1.59,No,4.5,Japan,Yami,Bread,25,100,40
Pan Pan-French Soft Bread 400g,asia foods,246,4.69,6 Options,4.7,Mainland China,Yami,Bread,300,1200,1407
DXC Gourmet Bread 310g,dao xiang cun,67,2.69,2 Options,4.4,Mainland China,Yami,Bread,300,1200,807
Japanese Koubo Milk Danish Bread 2.36oz,panex,5,2.19,8 Options,3.8,Japan,Yami,Bread,25,100,55
Butter Flavored Cake Bread 50g,d-plus,12,1.49,No,4.6,Japan,Yami,Bread,50,200,75
Yuzu Flavore Cake Bread 50g,d-plus,10,1.49,No,4.6,Japan,Yami,Bread,50,200,75
Japanese Koubo Cream Bread 2.32oz,panex,4,2.19,8 Options,4.5,Japan,Yami,Bread,25,100,55
Japanese Koubo Melon Bread 2.46oz,panex,10,2.19,8 Options,4.3,Japan,Yami,Bread,25,100,55
DXC Yeast Bread Red Bean Falvor 105g,dao xiang cun,130,1.49,3 Options,4.6,Mainland China,Yami,Bread,300,1200,447
Milky Stick Bread Original Flavor 750g,lejinji,1,12.49,No,5.0,Mainland China,Yami,Bread,25,100,312
Butter Bread Cheese Flavor,lejinji,18,6.49,No,4.9,Mainland China,Yami,Bread,25,100,162
Japanese Koubo Blueberry Jam Bread  2.46oz,panex,1,2.19,8 Options,5.0,Japan,Yami,Bread,25,100,55
Japanese Koubo Butter Danish Bread 2.36oz,panex,2,2.19,8 Options,5.0,Japan,Yami,Bread,25,100,55
Cranberry Flavored Stick Bread 380g,lejinji,81,6.49,2 Options,4.7,Mainland China,Yami,Bread,25,100,162
Japanese Koubo Cheese Danish Bread 2.36oz,panex,2,2.19,8 Options,4.5,Japan,Yami,Bread,25,100,55
Japanese Koubo Maple Danish Bread 2.36oz,panex,3,2.19,No,5.0,Japan,Yami,Bread,25,100,55
Crispy Bread 300g,dali,3,3.89,No,3.7,Mainland China,Yami,Bread,25,100,97
Cheese Flavored Cake Bread 50g,d-plus,9,1.49,No,4.2,Japan,Yami,Bread,50,200,75
Chocoloate Flavored Cake Bread 50g,d-plus,6,1.49,No,4.2,Japan,Yami,Bread,50,200,75
Butter Bread 40g*8,lejinji,15,6.49,No,4.8,Mainland China,Yami,Bread,25,100,162
Custard Bread Original Flavor 320g,kaililai,1,5.49,No,5.0,Mainland China,Yami,Bread,25,100,137
SHENG CHANG FOODS Apple Bread (New Packaging)60g,lien haw foods,2,2.84,No,5.0,Taiwan,Yami,Bread,25,100,71
KVASS Bread Fermented Beverage 330ml,qiulin,321,1.49,No,4.8,Mainland China,Yami,Bread,25,100,37
I Will Forget My Mistake Tonight Rice! Bread! Noodle!,shinyakoso,3,2.29,3 Options,5.0,Japan,Yami,Bread,25,100,57
