Product_Name,Price,Reviews,Sold_Monthly,Weekly_Revenue,Platform,Category,Brand,Option,Origin,Rate,Sold_Weekly
Whole Wheat Steamed Bread,3.79,19,9473,8976,Freshgogo,Bread,Unclear,Unclear,Unclear,Unclear,2368
Pullman Bread,4.75,5,2245,2666,Freshgogo,Bread,Unclear,Unclear,Unclear,Unclear,561
Roast Pork Bun,5.25,3,2483,3259,Freshgogo,Bread,Unclear,Unclear,Unclear,Unclear,621
Mini Cakes（22/Box）,5.95,25,2879,4283,Freshgogo,Bread,Unclear,Unclear,Unclear,Unclear,720
White Toast,4.25,13,3265,3469,Freshgogo,Bread,Unclear,Unclear,Unclear,Unclear,816
Cheese Danish,6.50,1,2702,4391,Freshgogo,Bread,Unclear,Unclear,Unclear,Unclear,676
Cream Bun with Shredded Coconut,4.25,33,5015,5328,Freshgogo,Bread,Unclear,Unclear,Unclear,Unclear,1254
Sponge Cake,4.75,2,3400,4038,Freshgogo,Bread,Unclear,Unclear,Unclear,Unclear,850
Taipan Cheese Cake,16.25,12,2061,8373,Freshgogo,Bread,Unclear,Unclear,Unclear,Unclear,515
Scallion Pancake,9.50,36,3510,8336,Freshgogo,Bread,Unclear,Unclear,Unclear,Unclear,878
Paper Wrapped Cake,4.75,13,2890,3432,Freshgogo,Bread,Unclear,Unclear,Unclear,Unclear,723
Raisin Danish Bread,8.75,23,3444,7534,Freshgogo,Bread,Unclear,Unclear,Unclear,Unclear,861
Butterbun,5.25,4,2477,3251,Freshgogo,Bread,Unclear,Unclear,Unclear,Unclear,619
Tuna Bun,5.95,8,2538,3775,Freshgogo,Bread,Unclear,Unclear,Unclear,Unclear,635
Chocolate Croissants,11.95,5,3063,9151,Freshgogo,Bread,Unclear,Unclear,Unclear,Unclear,766
Cranberry Small Cake Roll,5.75,6,3059,4397,Freshgogo,Bread,Unclear,Unclear,Unclear,Unclear,765
Egg Custard,7.50,20,2990,5606,Freshgogo,Bread,Unclear,Unclear,Unclear,Unclear,748
Raisin Bar,4.50,7,2909,3273,Freshgogo,Bread,Unclear,Unclear,Unclear,Unclear,727
Cream Cheese Danish Bread,7.25,15,2866,5195,Freshgogo,Bread,Unclear,Unclear,Unclear,Unclear,717
Dried Pork Bun,4.75,10,3182,3779,Freshgogo,Bread,Unclear,Unclear,Unclear,Unclear,796
Coconut and Raisin Loaf,5.75,5,2131,3063,Freshgogo,Bread,Unclear,Unclear,Unclear,Unclear,533
Chocolate Roll Slice,4.95,11,3303,4087,Freshgogo,Bread,Unclear,Unclear,Unclear,Unclear,826
Whole Wheat Toast,4.75,3,2751,3267,Freshgogo,Bread,Unclear,Unclear,Unclear,Unclear,688
Pineapple Bun,4.25,32,6253,6644,Freshgogo,Bread,Unclear,Unclear,Unclear,Unclear,1563
Sweet Topping Bun,4.50,3,2504,2817,Freshgogo,Bread,Unclear,Unclear,Unclear,Unclear,626
Whole Wheat Pullman Bread,4.75,6,2472,2936,Freshgogo,Bread,Unclear,Unclear,Unclear,Unclear,618
Almond Cracknel Crackers,6.50,10,3600,5850,Freshgogo,Bread,Unclear,Unclear,Unclear,Unclear,900
Thread Chinese Pancake,6.95,25,2690,4674,Freshgogo,Bread,Unclear,Unclear,Unclear,Unclear,673
Sweet Topping Red Bean Bun,4.50,10,2424,2727,Freshgogo,Bread,Unclear,Unclear,Unclear,Unclear,606
Cranberry Big Cake Roll,14.50,5,3455,12524,Freshgogo,Bread,Unclear,Unclear,Unclear,Unclear,864
Peanut Cake,6.95,8,2897,5034,Freshgogo,Bread,Unclear,Unclear,Unclear,Unclear,724
Taro Bun,4.75,3,1974,2344,Freshgogo,Bread,Unclear,Unclear,Unclear,Unclear,494
Shallot Dried Pork Roll,5.95,69,7059,10500,Freshgogo,Bread,Unclear,Unclear,Unclear,Unclear,1765
Yolk Bean Paste Cakes,8.25,23,2804,5783,Freshgogo,Bread,Unclear,Unclear,Unclear,Unclear,701
Bun with Shallot and Pork Floss,4.50,13,2989,3363,Freshgogo,Bread,Unclear,Unclear,Unclear,Unclear,747
Chinese Pancake,6.95,12,5610,9747,Freshgogo,Bread,Unclear,Unclear,Unclear,Unclear,1403
Napoleon Roll,19.75,1,3014,14882,Freshgogo,Bread,Unclear,Unclear,Unclear,Unclear,754
Sliced Walnut Napoleon,5.50,66,4233,5820,Freshgogo,Bread,Unclear,Unclear,Unclear,Unclear,1058
Crispy Pancake with Peanut Butter,9.50,49,5199,12348,Freshgogo,Bread,Unclear,Unclear,Unclear,Unclear,1300
Green Pea and Scallion Twist,4.50,3,2098,2360,Freshgogo,Bread,Unclear,Unclear,Unclear,Unclear,525
Vanilla Cake Slice,4.25,6,3186,3385,Freshgogo,Bread,Unclear,Unclear,Unclear,Unclear,797
