Product_Name,Price,Sold_Weekly,Origin,Brand,Reviews,Sold_Monthly,Weekly_Revenue,Platform,Category,Option,Rate
"Koriyama's Deliciously Light Cheese Cake, Original Flavor 80g 1 count",2.39,"1000
",Japan,Unclear,543,4000,2390,Weee,Cake,Unclear,Unclear
Orange Swiss Roll Milk 6.45 oz,4.99,"1000
",Japan,Unclear,381,4000,4990,Weee,Cake,Unclear,Unclear
Orange Brand Matcha Swiss Roll Cake 5.64 oz,4.79,600,Japan,Unclear,320,2400,2874,Weee,Cake,Unclear,Unclear
"Orange French Chestnut Cake, Frozen 2.39 oz",3.29,800,United States,Orange,323,3200,2632,Weee,Cake,Unclear,Unclear
Orange Patisserie Hokkaido Vanilla Milk Cream Waffle 108 g,4.49,500,Japan,Unclear,113,2000,2245,Weee,Cake,Unclear,Unclear
"Happy Clover Swiss Roll Cake, Frozen 4ct 200 g",4.89,200,United States,Unclear,32,800,978,Weee,Cake,Unclear,Unclear
Lotte Custard Cream Cake 276 g,6.49,800,South Korea,Lotte,67,3200,5192,Weee,Cake,Unclear,Unclear
Regent Ube Cake 10.07 oz,3.49,700,Philippines,Regent,24,2800,2443,Weee,Cake,Unclear,Unclear
Haitai Oh Yes! Premium Chocolate Coated Cake 12pc 336 g,4.99,300,South Korea,HAITAI,22,1200,1497,Weee,Cake,Unclear,Unclear
"Orange Vanilla Mille-Crepe Slice, Frozen 92 g",2.79,700,Japan,Orange,333,2800,1953,Weee,Cake,Unclear,Unclear
Regent Pandan Cake 10.07 oz,3.49,300,Philippines,Regent,14,1200,1047,Weee,Cake,Unclear,Unclear
Orange Patisserie Fruits Swiss Roll 6.48 oz,5.49,300,Japan,Orange,192,1200,1647,Weee,Cake,Unclear,Unclear
Brown Sugar Boba Mille Crepe Cake 1 count,29.99,"1000
",Taiwan,Unclear,322,4000,29990,Weee,Cake,Unclear,Unclear
"Touched Mille Crepe Cake, Mango Tango Flavor, Frozen 8in 1 count",29.99,500,Taiwan,Unclear,476,2000,14995,Weee,Cake,Unclear,Unclear
