Price,Product_Name,Reviews,Sold_Monthly,Sold_Weekly,Weekly_Revenue,Platform,Category,Option,Origin,Brand,Rate
4.89,HE SHI BRAND Vegetarian Scallion Pancake,22,13481,3370,16481,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
2.99,IMEI Scallion Pancake (5 pcs),31,6757,1689,5051,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
2.19,SPRING HOME Roti Paratha (original) (5 pcs),30,9245,2311,5062,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
3.99,BAI YU LAN Sliced Rice Cake,34,9554,2389,9530,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
5.99,LITTLE ALLEY Layered Scallion Pancake (3 pcs),17,4791,1198,7175,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
4.75,Sponge Cake,2,3400,850,4038,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
5.75,Cranberry Small Cake Roll,6,3059,765,4397,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
4.75,Cream and Coconut Bun,25,4723,1181,5609,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
5.25,Hot Dog Bun,4,3085,771,4049,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
5.95,Tuna Bun,8,2538,635,3775,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
6.95,Savory Chinese Crepe,34,6094,1524,10588,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
4.50,Green Pea and Scallion Twist,3,2098,525,2360,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
14.25,Sticky Rice Ball with Salted Duck Egg Yolk & Pork Sung,32,2396,599,8536,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
13.25,Pork Stuffed Mooncake,22,2954,739,9785,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
4.75,Whole Wheat Pullman Bread,6,2472,618,2936,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
7.25,Japanese Cheesecake Slice,8,2995,749,5428,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
9.50,Crispy Pancake with Peanut Butter,49,5199,1300,12348,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
5.95,Mini Cakes（22/Box）,25,2879,720,4283,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
13.25,Eight Treasure Rice Pudding,7,2391,598,7920,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
10.25,Sweet Rice Pudding,3,2044,511,5238,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
19.75,Napoleon Roll,1,3014,754,14882,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
12.50,Rice cake With Red Bean,6,2477,619,7741,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
6.50,Mango Glutinous Mochi,14,2810,703,4566,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
4.95,Coffee Roll Slice,7,2027,507,2508,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
16.25,Taipan Cheese Cake,12,2061,515,8373,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
13.25,Vanilla Cream Cake Roll,7,3524,881,11673,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
7.95,Rice Dumpling With Salted Egg,78,3648,912,7250,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
6.95,Chinese Pancake,12,5610,1403,9747,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
4.25,Vanilla Cake Slice,6,3186,797,3385,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
4.25,Steamed Cornbread,9,2836,709,3013,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
26.25,Sticky Rice Dumpling with Salted Duck Egg Yolk,16,1526,382,10014,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
9.50,Sticky Rice Roll with Red Bean,20,2838,710,6740,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
9.50,Scallion Pancake with Eggs,0,2939,735,6980,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
13.25,Mustard Tuber And Pork Mooncake,6,2740,685,9076,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
4.75,Cake Bun with Pork Floss,13,2821,705,3350,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
4.75,Pullman Bread,5,2245,561,2666,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
4.95,Egg Custard Tart,13,2920,730,3614,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
10.75,Baked Scallion Stuffed Sesame Biscuit,33,2747,687,7383,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
14.95,Rice cake With Salted Egg,11,2507,627,9370,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
3.25,Fried Crispy Dough,9,2862,716,2325,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
4.75,Corn and Ham Bun,0,1903,476,2260,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
4.95,Chocolate Roll Slice,11,3303,826,4087,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
10.25,Fried Sticky Rice Cake with Red Bean,28,3365,841,8623,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
12.50,Black Rice Pudding (Frozen),9,1487,372,4647,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
6.50,Paper Wrapped Cake,29,2327,582,3781,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
5.25,Raisin Bread,33,2798,700,3672,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
19.75,Sticky Rice Wrapped in Leaf with Pork,46,2680,670,13233,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
6.50,Almond Cracknel Crackers,10,3600,900,5850,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
15.50,Bean Paste moon cake,3,2909,727,11272,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
9.25,Taipan Cheese Cake (Small),19,2182,546,5046,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
4.25,Cake Wrapped in Paper,17,4062,1016,4316,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
8.25,Fried Bun,3,2597,649,5356,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
13.75,Pork Moon Cake,50,2519,630,8659,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
5.95,Sweet Heart Pastry（3/Box）,29,3488,872,5188,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
6.95,Thread Chinese Pancake,25,2690,673,4674,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
5.95,Shallot Dried Pork Roll,69,7059,1765,10500,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
13.75,Rice cake With Shredded Pork And Preserved Begetable,9,1582,396,5438,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
20.75,Scallion Pancake (Frozen),4,2435,609,12632,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
20.50,Dried Vegetable Pork Moon Cake,1,2898,725,14852,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
6.95,Savory Crispy Pancake with Sesame,46,3869,967,6722,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
12.25,Baked Wheat Cake with Pork and Cabbage,11,2432,608,7448,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
10.50,Shanghai Rice Pudding (Frozen),0,2460,615,6458,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
5.50,Sliced Walnut Napoleon,66,4233,1058,5820,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
18.50,Pork Moon Cake,13,2064,516,9546,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
6.95,Scallion Pancake,9,1440,360,2502,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
6.25,Taro Puff,25,3373,843,5270,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
4.50,Sweet Topping Bun,3,2504,626,2817,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
6.95,Steamed Bun,33,2205,551,3831,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
11.95,Chocolate Croissants,5,3063,766,9151,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
9.25,Scallion Pancake With Sliced Beef,14,2716,679,6281,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
5.25,Roast Pork Bun,3,2483,621,3259,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
14.75,Baked Wheat Cake with Meat,22,2703,676,9967,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
14.50,Cranberry Big Cake Roll,5,3455,864,12524,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
7.95,Snowflake Crispy,21,2720,680,5406,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
4.50,Sweet Topping Red Bean Bun,10,2424,606,2727,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
4.75,Dried Pork Bun,10,3182,796,3779,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
8.25,Pumpkin Pie,1,2574,644,5309,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
6.50,Neapolitan Slice,21,2542,636,4131,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
9.50,Crispy Pancake with Red Bean Paste,26,3872,968,9196,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
5.75,Coconut and Raisin Loaf,5,2131,533,3063,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
4.75,Taro Bun,3,1974,494,2344,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
5.25,Sweet Purple Potato Mochi With Salted Egg,5,2437,609,3199,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
7.50,Egg Custard,20,2990,748,5606,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
11.25,Seafood Glutinous Rice Cake,19,2458,615,6913,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
4.75,Sweet Topping Coconut Bun,1,2329,582,2766,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
5.95,Dried Meat Floss  Cake,56,10147,2537,15094,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
5.50,Green Bean Cracker（3/Box）,10,3634,909,4997,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
4.75,Sweet Topping Custard Bun,31,2840,710,3373,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
5.25,Mini Coconut Bun,19,3516,879,4615,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
5.50,Chinese Chive Pancake,52,5426,1357,7461,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
6.75,Curry Beef Puff,8,1844,461,3112,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
11.50,Shanghai Meat-Stuffed Mooncakes（4/Box）,0,1511,378,4344,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
6.95,Turnip Puff,30,2927,732,5086,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
6.50,Cheese Danish,1,2702,676,4391,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
8.25,Deep Fried Cruller,26,4753,1188,9803,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
9.50,Steamed Twisted Roll,8,2336,584,5548,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
9.50,Scallion Pancake,36,3510,878,8336,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
5.50,Corn Pancake,8,2390,598,3286,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
9.95,Sticky Rice Ball with Red Bean,22,2171,543,5400,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
7.95,Steamed Plain Bun,0,1775,444,3528,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
5.99,Puff Paratha (chive),12,8086,2022,12109,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
4.29,SYNEAR Chinese Style Pancake (scallion),6,5430,1358,5824,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
3.19,QIAO JIA SHAN Rice Cake,4,8432,2108,6725,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
4.99,CHIKUWA Fish Cake,2,4230,1058,5277,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
3.49,MARUKIN Yam Cake,3,2734,684,2385,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
4.29,SYNEAR Chinese Style Pancake (original),5,8662,2166,9290,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
5.39,Blood Glutinous Rice Cake,2,4966,1242,6692,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
4.99,ARUMI Seafood Pancake,4,4663,1166,5817,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
6.19,QIAO JIA SHAN Osmanthus Sugar Rice Cake,0,2374,594,3674,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
6.99,PULMUONE Mini Pancake Dumplings with Mozzarella Cheese,10,5058,1265,8839,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
4.09,Millet Rice Cake,0,4372,1093,4470,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
4.99,NEW HEALTH Red Bean Paste Pancake,23,5255,1314,6556,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
1.69,SUNPLUS Yam Cake,0,2093,523,884,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
4.99,ARUMI Kimchi Pancake,2,4227,1057,5273,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
2.99,NANXIANG Eight Treasure Rice Pudding,0,5451,1363,4075,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
7.09,QIAO JIA SHAN Rice Cake,3,5917,1479,10488,Freshgogo,Cake,Unclear,Unclear,Unclear,Unclear
