Product_Name,Price,Sold_Weekly,Origin,Brand,Reviews,Sold_Monthly,Weekly_Revenue,Platform,Category,Rate
Glico Disney Popcan Soda Lollipop 30pc 1 box,24.99,800,Japan,Glico,20,3200,19992,Weee,Candy,Unclear
Buke Mylikes Chocolate Beans 30 g,0.49,1000,Mainland China,Buke,126,4000,490,Weee,Candy,Unclear
"Kabaya Pureral Gummy Candy, Grape Flavor 58 g",2.99,200,Japan,Unclear,2,800,598,Weee,Candy,Unclear
ORIHIRO Konjac Jelly White Peach Stand-Up Pouch 130 g,2.99,200,Japan,Unclear,4,800,598,Weee,Candy,Unclear
"ORIHIRO Konjac Jelly Lemon, Hokkaido Melon, and Grape Flavor 6pcs 240 g",3.49,200,Japan,ORIHIRO,2,800,698,Weee,Candy,Unclear
Black Ball Premium Grass Jelly 3pk  13.8 oz,3.59,1000,United States,Unclear,492,4000,3590,Weee,Candy,Unclear
Black Ball Aiyu Jelly 13.8 oz,4.49,300,United States,Unclear,144,1200,1347,Weee,Candy,Unclear
FormosaYAY Imperial Matcha Mochi 6pcs 180 g,1.89,300,Taiwan,Unclear,4,1200,567,Weee,Candy,Unclear
White Rabbit Creamy Candy 180 g,4.09,800,Mainland China,White Rabbit,164,3200,3272,Weee,Candy,Unclear
POPCAN Fruit Lollipop Disney Edition 1pc 1 count,0.99,1000,Japan,Unclear,26,4000,990,Weee,Candy,Unclear
Jeagueijih Konjac Jelly Lychee 11 oz,2.79,1000,Taiwan,Jeagueijih,306,4000,2790,Weee,Candy,Unclear
Jeagueijih Konjac Jelly Passion Fruit 11 oz,3.79,1000,Taiwan,Jeagueijih,308,4000,3790,Weee,Candy,Unclear
Hsufuchi Assorted Crisp Candy 328 g,6.59,900,Mainland China,Unclear,127,3600,5931,Weee,Candy,Unclear
GYF Sugar Coated Hawthorn 1 pc 75 g,2.39,900,Mainland China,Unclear,25,3600,2151,Weee,Candy,Unclear
Meiji Meltyblend Chocolate  2.11 oz,3.99,1000,Mainland China,MEIJI,74,4000,3990,Weee,Candy,Unclear
"Want Want Ice Pops, Assorted Flavors 78 ml",2.49,500,Mainland China,WANT WANT,29,2000,1245,Weee,Candy,Unclear
KitKat Mini Strawberry 12pcs 5.07 oz,7.99,400,Japan,Unclear,7,1600,3196,Weee,Candy,Unclear
Bourbon Fettuccine Grape Gummy 1.76 oz,1.49,800,Japan,BOURBON,24,3200,1192,Weee,Candy,Unclear
Orihiro Apple & Grape Konjac Jelly 12 pcs 1 each,4.99,1000,Japan,ORIHIRO,55,4000,4990,Weee,Candy,Unclear
Meiji Gummy Choco Fruits Mix 81 g,3.99,700,Mainland China,Unclear,18,2800,2793,Weee,Candy,Unclear
Kit Kat Mini Milk Tea Flavor 4.4 oz,8.99,600,Japan,Unclear,2,2400,5394,Weee,Candy,Unclear
Hi-Chew Plus Fruit Mix Bag 90 g,2.29,400,Mainland China,Unclear,11,1600,916,Weee,Candy,Unclear
Marukawa Assorted Gum 1.51 oz,1.19,900,Japan,Unclear,49,3600,1071,Weee,Candy,Unclear
Bourbon Fettuccine Italian Lemon Gummy Candy 1.93 oz,1.49,200,Japan,BOURBON,12,800,298,Weee,Candy,Unclear
"Kabaya Pureral Gummy Candy, Melon Flavor 58 g",2.99,200,Japan,Unclear,5,800,598,Weee,Candy,Unclear
Meiji Kajyu Gummy Mikan 51 g,2.79,300,Japan,MEIJI,4,1200,837,Weee,Candy,Unclear
"Meiji Chocolate Melty Blend, Hazelnut Flavor  2.11 oz",4.79,700,Mainland China,MEIJI,14,2800,3353,Weee,Candy,Unclear
