Product_Name,Brand,Price,Reviews,Origin,Rate,Platform,Category,Sold_Weekly,Sold_Monthly,Weekly_Revenue
White Rabbit Candy Flavored Milk 200ml,white rabbit,2.29,107,Mainland China,4.5,Yami,Candy,400,1600,916
Assorted Peanut Crisp Candy 328g,hsufuchi,6.59,69,Taiwan,4.9,Yami,Candy,400,1600,2636
UHA Gummy Candy Green Grape Flavor 48g,uha,2.99,80,Japan,4.8,Yami,Candy,400,1600,1196
Japanese Lipstick Shaped Candy Gift Box 6 Flavors,eitaro,69.99,7,Mainland China,5,Yami,Candy,400,1600,27996
Mikakutang Soda Flavour Soft Candy 40g,uha,2.49,2,Japan,4,Yami,Candy,400,1600,996
Nobel Super Soda Candy 84g,nobel,3.29,0,Japan,0,Yami,Candy,400,1600,1316
Strawberry Shake Candy 4.2oz,milkita,2.29,1,Indonesia,5,Yami,Candy,400,1600,916
X'mas Party Hard Candy 13g,wonderland,1.29,0,Japan,0,Yami,Candy,400,1600,516
WENHEYOU CINNAMON OIL CANDY,wenheyou,5.69,0,Mainland China,0,Yami,Candy,400,1600,2276
Hinamatsuri -Flower Soft Candy Box 22pcs,hananoya,16.99,0,Japan,0,Yami,Candy,25,100,425
CHUNGUANG Coconut Candy228g,chun guang,3.99,0,Mainland China,0,Yami,Candy,25,100,100
White Rabbit Candy Flavored Milk 200ml*6pk,white rabbit,12.99,65,Mainland China,4.7,Yami,Candy,400,1600,5196
Gold Throat Candy Tablet Golden Ginger 15g,asahi,3.49,0,Japan,0,Yami,Candy,300,1200,1047
"Hi-Chew Assorted Fruit Candy 300g (Mango, Grape, Green Apple, Strawberry)",morinaga,5.99,0,Japan,0,Yami,Candy,400,1600,2396
Hi-Chew Chewy Candy Kiwi Flavor 50g,morinaga,1.09,0,Japan,0,Yami,Candy,400,1600,436
Gummy Candy Orange Flavor 51g,meiji,1.59,27,Japan,4.9,Yami,Candy,400,1600,636
Vanilla Shake Candy 4.2oz,milkita,2.29,0,Indonesia,0,Yami,Candy,400,1600,916
Hi-Chew Sweet and Sour Chewy Candy 360g,morinaga,5.99,0,Japan,0,Yami,Candy,400,1600,2396
Brown Sugar Dried Plum Candy 160g,jinguan,4.39,0,Mainland China,0,Yami,Candy,400,1600,1756
Nanguo Ginger Coconut Candy 200g,nanguo,3.29,0,Mainland China,0,Yami,Candy,400,1600,1316
Hi-Chew Sweet and Sour Watermelon Chewy Candy 50g,morinaga,1.19,0,Japan,0,Yami,Candy,400,1600,476
Hinamatsuri -Flower Candy Bag 70g,hananoya,10.49,0,Japan,0,Yami,Candy,25,100,262
Lobster Crisp Candy 300g,miss ma,4.49,0,Mainland China,0,Yami,Candy,400,1600,1796
Classic Coconut Candy 250g,chun guang,3.89,0,Mainland China,0,Yami,Candy,25,100,97
Mixed Fruit Flavor Candy with Real Fruit 2.82oz,morinaga,2.19,10,Japan,4.7,Yami,Candy,400,1600,876
MIKAKUTO TOKUNO Milk Candy 83g,uha,4.59,53,Japan,4.9,Yami,Candy,400,1600,1836
Chocolate Gummy Candy Mixed Fruits Flavor 81g,meiji,4.49,25,Japan,4.6,Yami,Candy,400,1600,1796
Hnamatsuri Limited Edition Ramune Soda Fizzy Candy 4g,kuppyramune,3.99,0,Japan,0,Yami,Candy,400,1600,1596
Chocolate Shake Candy 4.2oz,milkita,2.29,0,Indonesia,0,Yami,Candy,400,1600,916
Choco Sticks-Popping Candy 144g,other brands,5.99,1,Unclear,5,Yami,Candy,400,1600,2396
Gummy Candy Grape Flavor 50g,bourbon,1.99,2,Japan,5,Yami,Candy,200,800,398
Guava Flavored Candy  350g,hongyuan,3.29,0,Mainland China,0,Yami,Candy,200,800,658
Editors' Pick Super Instant Coffe Latte Variety Pack (Soymilk and Candy Flavored Milk),other brands,39.99,0,Unclear,0,Yami,Candy,400,1600,15996
Hi-Chew Japanese Fruit Candy Fruit Combos Mix Tropical Flavors 85g,morinaga,1.99,0,Japan,0,Yami,Candy,400,1600,796
Whistle Candy Tablet Family Assort 110g,coris,5.89,0,Japan,0,Yami,Candy,400,1600,2356
Hi-Chew Tropical Mix Chewy Candy 360g,morinaga,6.49,0,Japan,0,Yami,Candy,400,1600,2596
Sumiyaki Coffee Candy 228g,chun guang,3.89,0,Mainland China,0,Yami,Candy,25,100,97
Gummy Candy Peach Flavor 50g,bourbon,1.99,9,Japan,4.8,Yami,Candy,25,100,50
Coconut Candy 200g,nanguo,3.29,0,Mainland China,0,Yami,Candy,400,1600,1316
Chocolate Gummy Candy Strawberry Flavor 81g,meiji,4.69,24,Japan,4.7,Yami,Candy,400,1600,1876
Hi-chew 3 Flavor Yogurt Mix Soft Candy 90g,morinaga,2.29,9,Japan,4.7,Yami,Candy,400,1600,916
KASUGAI Candy Peach Cream Frappe Flavor 76g,kasugai,3.29,0,Japan,0,Yami,Candy,400,1600,1316
Mini Socks Gifts with Apple Flavor Gummy Candy 8pcs 32g,heart,9.79,1,Japan,5,Yami,Candy,25,100,245
Chocolate Gummy Candy Muscat Flavor 81g,meiji,4.49,49,Japan,4.9,Yami,Candy,400,1600,1796
Premium Milk Candy Tea Flavor 66g,kanro,3.59,12,Japan,4.7,Yami,Candy,400,1600,1436
Gummy Candy Orange Flavor 20g,want want,0.49,0,Taiwan,0,Yami,Candy,400,1600,196
KASUGAI Candy Caramel Cream Frappe Flavor 76g,kasugai,3.29,0,Japan,0,Yami,Candy,400,1600,1316
Probiotics Soft Candy 50g,seika foods,1.99,2,Japan,5,Yami,Candy,400,1600,796
Lipton Tea Candy 61g,kasugai,3.19,2,Japan,5,Yami,Candy,400,1600,1276
Ejiao Gummy Candy  60Pcs,deej,12.99,4,Mainland China,4.8,Yami,Candy,25,100,325
Mixed Candy 96g,oishi,2.29,0,Mainland China,0,Yami,Candy,400,1600,916
Candy-Green Tea Flavor 100g,mammos,2.29,0,Korea,0,Yami,Candy,400,1600,916
Mango Soft Candy 50g,uha,1.99,9,Japan,4.3,Yami,Candy,400,1600,796
Crunch Milk Candy 51.2g,fujiya,2.29,18,Japan,4.7,Yami,Candy,200,800,458
Hokkaido Milk Candy 120g,fujiya,2.99,33,Japan,4.4,Yami,Candy,400,1600,1196
Charcoal Roasted Coffee Candy 200g,nanguo,2.59,17,Mainland China,4.6,Yami,Candy,400,1600,1036
Hnamatsuri Limited Edition Mochi Candy Gift Bag 70g,hananoya,10.49,0,Japan,0,Yami,Candy,25,100,262
