Product_Name,Brand,Reviews,Price,Option,Origin,Rate,Platform,Category,Sold_Weekly,Sold_Monthly,Weekly_Revenue
Exotic Vegetable Chips Mediterranean Exotic Veg Chips,terra chips,1,7.49,No,United States,5,Yami,Chips,400,1600,2996
Taro Chips Original 170g,terra chips,1,6.89,No,United States,5,Yami,Chips,400,1600,2756
Exotic Vegetable Chips Original 141g,terra chips,1,6.49,No,United States,4,Yami,Chips,400,1600,2596
Mimi Shrimp Flavored Chips 10 Packs 180g,aishang,150,2.99,4 Options,Mainland China,4.7,Yami,Chips,300,1200,897
BBQ Flavor 108g,angel potato chips,1,2.99,9 Options,Mainland China,3,Yami,Chips,300,1200,897
Potato Chips Garlic Roasted Oyster Flavor 70g,lay's,17,2.49,No,Mainland China,4.6,Yami,Chips,25,100,62.25
Cumin Flavor 108g,angel potato chips,0,2.99,No,Mainland China,0,Yami,Chips,300,1200,897
Potato Chips Spicy Hot Pot Flavor 70g,lay's,260,2.49,7 Options,Mainland China,4.7,Yami,Chips,300,1200,747
MY POTE Potato Chips Onion Soup 60g,calbee,40,1.49,No,Japan,4.2,Yami,Chips,100,400,149
Kkobug Chips Corn Soup Flavor 160g,orion,0,4.39,4 Options,Korea,5,Yami,Chips,400,1600,1756
Potato Chips BBQ Flavor 47g,lay's,4,1.99,No,Mainland China,4.2,Yami,Chips,25,100,49.75
Mimi Crab Flavored Chips 10 Packs 180g,aishang,132,2.49,4 Options,Mainland China,4.6,Yami,Chips,300,1200,747
Sour Cream Onion Chips 47g,lay's,5,1.99,No,Mainland China,4.4,Yami,Chips,25,100,49.75
MY POTE Potato Chips Himalayan Pink Salt 60g,calbee,42,1.49,No,Japan,4.4,Yami,Chips,100,400,149
Potato Chips Tomato Flavor 90g,lay's,0,3.79,No,Mainland China,0,Yami,Chips,25,100,94.75
Shrimp Chips Sriracha Mayo 94g,calbee,1,2.29,No,Japan,5,Yami,Chips,200,800,458
MY POTE White Truffle Potato Chips 60g,calbee,0,1.99,No,Japan,0,Yami,Chips,200,800,398
Orion Turtle Chips Flamin Lime,orion,0,4.89,No,Korea,0,Yami,Chips,400,1600,1956
Super Potato Chips Sour Cream & Onion 1.98oz,calbee,0,2.49,No,Japan,0,Yami,Chips,200,800,498
Potato Chips  Tomato Flavor 122g,v-loong,0,2.99,No,Mainland China,0,Yami,Chips,400,1600,1196
Orio Turtle Chips--Sweet Corn Flavor 560g,orion,0,18.99,No,Korea,0,Yami,Chips,400,1600,7596
Potato Chips Black Pepper & Chili Flavor 100g,huayuan,0,3.99,No,Taiwan,0,Yami,Chips,400,1600,1596
Vegetable Chips Barbecue 142g,pulp pantry,0,5.69,No,United States,0,Yami,Chips,400,1600,2276
Clover Chips BBQ Flavor 145g,leslie's,0,2.29,No,Philippine,0,Yami,Chips,25,100,57.25
Potato Chips BBQ Flavor 122g,v-loong,0,2.99,No,Mainland China,0,Yami,Chips,400,1600,1196
BBQ Potato Straw Chips Tomato Flavor 80g,kaka,0,4.69,No,Taiwan,0,Yami,Chips,25,100,117.25
Jaga Chocolate Potato Chips 40g,bourbon,17,2.49,No,Japan,4.6,Yami,Chips,25,100,62.25
Clover Chips Cheese Flavor 145g,leslie's,1,1.99,No,Philippine,5,Yami,Chips,25,100,49.75
Potato Chips Crispy Grilled Fish Flavor 70g,lay's,0,2.49,No,Mainland China,0,Yami,Chips,400,1600,996
Potato Chips Sauerkraut Flavor 28g,lay's,22,2.49,No,Mainland China,4.5,Yami,Chips,25,100,62.25
Potato Chips Fleur De Sel Flavor 100g TW,huayuan,0,3.99,No,Taiwan,0,Yami,Chips,400,1600,1596
Sweet Potatoes Purple Chips Ube 2.5oz,other brands,0,2.69,No,Unclear,0,Yami,Chips,400,1600,1076
Potato Chips TW Popcorn Chicken Flavor 100g,huayuan,0,3.99,No,Taiwan,0,Yami,Chips,400,1600,1596
Hawthron Chips with Probiotics 180g,yida,1,5.99,No,Mainland China,5,Yami,Chips,400,1600,2396
Xiuzhen Mushroom Chips 55g,holiji,0,7.49,No,Taiwan,0,Yami,Chips,400,1600,2996
Potato Chips BBQ Flavor 100g,zidi potato,14,2.99,4 Options,Mainland China,4.8,Yami,Chips,400,1600,1196
Potato Chips Lemon Flavor 42g,lay's,1,1.99,No,Mainland China,5,Yami,Chips,400,1600,796
Banana Chips 250g,minh phat,0,2.69,No,Vietnam,0,Yami,Chips,400,1600,1076
Potato Chips Spicy Hot Chili 54g,koikeya,60,2.49,No,Japan,4.5,Yami,Chips,25,100,62.25
Popcorn Chips Kettle 198g,popcorners,2,4.69,2 Options,United States,5,Yami,Chips,400,1600,1876
Potato Chips Seaweed Flavor 100g,zidi potato,9,2.99,4 Options,Mainland China,4.9,Yami,Chips,400,1600,1196
Glazed Cassava Chips Singkong SAOS Balado 160g,kusuka,21,2.99,3 Options,Indonesia,3.9,Yami,Chips,25,100,74.75
Koikoya Potato Chips Hot Chili Seaweed Flavor,koikeya,3,5.29,No,Japan,5,Yami,Chips,400,1600,2116
Baked Taro Chips Original Flavor 62g,cadina,35,3.69,No,Taiwan,4.7,Yami,Chips,100,400,369
Kettle Chips Black Pepper Flavor 150g,calbee,5,4.69,No,Japan,5,Yami,Chips,25,100,117.25
Potato Chips Pure Spicy Flavor 145g,lay's,7,5.29,10 Options,Mainland China,3.7,Yami,Chips,25,100,132.25
Potato Chips(Honey Butter Flavor ) 50g,oishi,49,2.89,8 Options,Mainland China,4.9,Yami,Chips,400,1600,1156
Sweet Corn Chips South American BBQ Style 90g,oishi,62,2.79,No,Mainland China,4.7,Yami,Chips,400,1600,1116
Shrimp Chips Fresh Wasabi Flavor 56.6g,other brands,8,2.29,No,Unclear,4.5,Yami,Chips,400,1600,916
Crab Chips 50g,paldo,50,1.29,No,Korea,4.6,Yami,Chips,400,1600,516
Potato Chips Salt and Seaweed Mega Size 200g,calbee,0,4.99,No,Japan,5,Yami,Chips,200,800,998
Koikeya Cup Noodle Potato Chips Spicy Seafood Flavor 50g,nissin,0,1.99,3 Options,Japan,4.8,Yami,Chips,400,1600,796
Popcorn Chips White Cheddar 198g,popcorners,1,4.29,2 Options,United States,5,Yami,Chips,400,1600,1716
Baked Shrimp Flavored Chips 113g,calbee,68,1.79,5 Options,Japan,4.7,Yami,Chips,300,1200,537
Csssava Chips Seaweed Flavor 200g,kusuka,5,2.69,No,Indonesia,4.6,Yami,Chips,400,1600,1076
Leisure Sweet Purple Yam Chips 100g  (New Packaging 100g),shibuya,51,3.89,No,Japan,3.8,Yami,Chips,400,1600,1556
