Price,Product_Name,Origin,Sold_Monthly,Reviews,Sold_Weekly,Weekly_Revenue,Option,Rate,Brand,Platform,Category
6.19,Red Shen Choy Mieu,Unclear,5356,3,1339,8288,Unclear,Unclear,Unclear,Freshgogo,Chip
4.19,Long Hot Pepper,Unclear,11620,87,2905,12172,Unclear,Unclear,Unclear,Freshgogo,Chip
6.19,BEST DIM SUM Puff Pastry Tart Shell,United States,10659,22,2665,16495,Unclear,Unclear,Unclear,Freshgogo,Chip
2.99,WEICHUAN Chinese Spinach Bun,Mainland China,12111,6,3028,9053,Unclear,Unclear,Unclear,Freshgogo,Chip
2.29,ITOEN Milk Tea (black tea),Japan,6481,0,1620,3710,Unclear,Unclear,Unclear,Freshgogo,Chip
3.09,Taiwan Cabbage,Unclear,26486,119,6622,20460,Unclear,Unclear,Unclear,Freshgogo,Chip
4.89,Fresh GarlicFresh Garlic (1 lb),Unclear,8579,22,2145,10488,Unclear,Unclear,Unclear,Freshgogo,Chip
1.89,Iceberg Lettuce,Unclear,5606,2,1402,2649,Unclear,Unclear,Unclear,Freshgogo,Chip
6.99,Mini Soupy Pork Bun,United States,9313,11,2328,16274,Unclear,Unclear,Unclear,Freshgogo,Chip
1.79,MASTER KONG Low Sugar Jasmine Green Tea,Mainland China,7947,0,1987,3556,Unclear,Unclear,Unclear,Freshgogo,Chip
2.69,ITOEN Unsweetened Green Tea,Unclear,5541,1,1385,3726,Unclear,Unclear,Unclear,Freshgogo,Chip
4.99,S&B Golden Curry (hot),Japan,2566,1,642,3201,Unclear,Unclear,Unclear,Freshgogo,Chip
15.50,Lamb Chinese Burger,Unclear,2986,33,747,11571,Unclear,Unclear,Unclear,Freshgogo,Chip
12.50,Pork Buns,Unclear,12107,61,3027,37834,Unclear,Unclear,Unclear,Freshgogo,Chip
11.89,PWU Body Wash (peach),Mainland China,4791,0,1198,14241,Unclear,Unclear,Unclear,Freshgogo,Chip
2.09,Spinach,Unclear,14657,119,3664,7658,Unclear,Unclear,Unclear,Freshgogo,Chip
6.49,LITTLE ALLEY Chives Stuffed Pocket (4 pcs),Unclear,5216,9,1304,8463,Unclear,Unclear,Unclear,Freshgogo,Chip
21.50,Pork Soup Dumpling (Frozen),Unclear,5291,10,1323,28439,Unclear,Unclear,Unclear,Freshgogo,Chip
12.99,Whitening and Calming Mask,Japan,6802,0,1701,22089,Unclear,Unclear,Unclear,Freshgogo,Chip
2.99,CHUHONG Chili Powder,Mainland China,3695,0,924,2762,Unclear,Unclear,Unclear,Freshgogo,Chip
