Product_Name,Price,Sold_Weekly,Origin,Brand,Reviews,Platform,Category,Sold_Monthly,Weekly_Revenue,Rate
Siete Mexican Chocolate Cookie 4.5 oz,4.79,0,United States,SIETE,1,Weee,Chocolate,0,0,Unclear
"Cal-C-Tose Drink Mix, Chocolate 14.1 oz",4.49,0,Mexico,Unclear,0,Weee,Chocolate,0,0,Unclear
"MACARON Chocolate Cookies, Matcha Mousse And Chocolate Flavor 150 g",2.49,11,Mainland China,Unclear,1,Weee,Chocolate,44,27,Unclear
Mini Chocke-Obleas Chocolate Wafers with Chocolate Filling 18 oz,18.99,0,Mexico,Unclear,0,Weee,Chocolate,0,0,Unclear
Franzzi Cheese Chocolate Cookies 126 g,3.59,0,Mainland China,FRANZZI,3,Weee,Chocolate,0,0,Unclear
Meiji Meltyblend Chocolate  2.11 oz,3.99,1000,Mainland China,MEIJI,74,Weee,Chocolate,4000,3990,Unclear
"Meiji Chocolate Melty Blend, Strawberry Flavor 2.11 oz",4.99,700,Mainland China,MEIJI,3,Weee,Chocolate,2800,3493,Unclear
"Meiji Hello Panda Biscuit with Chocolate Filling , Valentines Packaging 10 oz",5.99,500,United States,MEIJI,1,Weee,Chocolate,2000,2995,Unclear
Jans Chocolate Potato Chips 3.5 oz,4.99,200,Indonesia,Unclear,6,Weee,Chocolate,800,998,Unclear
Fujjya Chocolate Pencil Candy  0.95 oz,2.79,300,Japan,Unclear,11,Weee,Chocolate,1200,837,Unclear
"Glico Pocky, Winter Chocolate Flavor 1.97 oz",2.49,500,Japan,Glico,6,Weee,Chocolate,2000,1245,Unclear
"Meiji Chocolate Melty Blend, Hazelnut Flavor  2.11 oz",4.79,700,Mainland China,MEIJI,14,Weee,Chocolate,2800,3353,Unclear
Meiji Meltyblend Green Tea Chocolate 2.11 oz,3.99,1000,Mainland China,MEIJI,40,Weee,Chocolate,4000,3990,Unclear
"Hello Kitty Wafer Cookies, Chocolate and Vanilla Flavors 630 g",16.79,200,Taiwan,Unclear,18,Weee,Chocolate,800,3358,Unclear
"Kangshifu Mini Puff, Chocolate Filling 60 g",1.79,100,Unclear,Unclear,0,Weee,Chocolate,400,179,Unclear
Lotte Koala's March Chocolate Creme-Filled Cookies 41g 1.45 oz,1.19,1000,Thailand,Lotte,163,Weee,Chocolate,4000,1190,Unclear
Meiji Yan Yan Biscuit Stick with Chocolate Cream 2 oz,1.19,1000,United States,MEIJI,107,Weee,Chocolate,4000,1190,Unclear
Lotte Pepero Almond and Chocolate Sticks 32g x 4pk 128 g,5.99,1000,South Korea,Unclear,52,Weee,Chocolate,4000,5990,Unclear
"KC Chocolate Milk 200ml, 6pk　 1200 g",6.49,1000,Taiwan,Kuanchun,42,Weee,Chocolate,4000,6490,Unclear
"Glico Caplico Mini Cones Vanilla, Strawberry, & Chocolate Flavors 10ct 1 count",5.49,600,Japan,Glico,36,Weee,Chocolate,2400,3294,Unclear
ISHIYA Shiroi Koibito White Chocolate Cookies 18 Pieces 1 box,26.99,500,Japan,Unclear,37,Weee,Chocolate,2000,13495,Unclear
Calbee Fruit Granola Chocolate Crunch and Banana 425 g,7.99,400,Japan,Calbee,50,Weee,Chocolate,1600,3196,Unclear
Lotte Pepero Almond Chocolate Sticks 32 g,1.59,400,South Korea,Lotte,57,Weee,Chocolate,1600,636,Unclear
Tiger Sugar Chocolate Crispy Rice Ball 200 g,4.29,400,Taiwan,Tiger Sugar,5,Weee,Chocolate,1600,1716,Unclear
Bourbon Chocolate Elise White 2.01 oz,2.39,400,Japan,BOURBON,2,Weee,Chocolate,1600,956,Unclear
"KSF Sweet Puff Pastry Cookie, Hazulnut Chocolate Flavor  80 g",1.79,400,Mainland China,Master Kong,15,Weee,Chocolate,1600,716,Unclear
Haitai Oh Yes! Premium Chocolate Coated Cake 12pc 336 g,4.99,300,South Korea,HAITAI,22,Weee,Chocolate,1200,1497,Unclear
Bourbon Chocolate Ichigo Mousse 1.55 oz,1.89,300,Japan,BOURBON,26,Weee,Chocolate,1200,567,Unclear
Nora Chocolate Porridge Champorado 90 g,1.99,300,Philippines,NORA,4,Weee,Chocolate,1200,597,Unclear
Lotte Binch Chocolate Covered Biscuit 204 g,4.99,300,South Korea,Lotte,6,Weee,Chocolate,1200,1497,Unclear
Bauducco Chocolate Wafers 5.82 oz,1.59,200,United States,BAUDUCCO,18,Weee,Chocolate,800,318,Unclear
Lotte Pepero Stick Biscuits and Chocolate 47 g,1.99,200,South Korea,Lotte,27,Weee,Chocolate,800,398,Unclear
"Meiji Lucky Stick Biscuit, Chocolate Flavored Cream 45 g",2.59,200,Indonesia,MEIJI,6,Weee,Chocolate,800,518,Unclear
