Product_Name,Brand,Price,Reviews,Origin,Rate,Platform,Category,Sold_Weekly,Sold_Monthly,Weekly_Revenue
Pocky Almond Chocolate Biscuit Sticks 41g,glico,2.19,290,Japan,4.9,Yami,Chocolate,400,1600,876
Koala Chocolate Cream Filling Biscuit 41g,lotte japan,1.19,142,Japan,4.8,Yami,Chocolate,400,1600,476
Meltyblend Chocolate Premium Cacao 60g,meiji,3.99,135,Japan,4.8,Yami,Chocolate,400,1600,1596
Chocolate Flavored Soy Drink 250ml,vitasoy,0.79,238,Hong Kong,4.7,Yami,Chocolate,400,1600,316
Bun With Chocolate Filling Breadd 75g,d-plus,1.99,26,Japan,4.5,Yami,Chocolate,200,800,398
Pejoy Chocolate Cream Filled Biscuit Sticks 8 Packs 120g,glico,3.59,141,Japan,4.9,Yami,Chocolate,400,1600,1436
UHA Gummy Candy Green Grape Flavor 48g,uha,2.99,80,Japan,4.8,Yami,Chocolate,400,1600,1196
Pocky Matcha Chocolate Biscuit Sticks 70g,glico,1.99,162,Japan,4.7,Yami,Chocolate,400,1600,796
Assorted Peanut Crisp Candy 328g,hsufuchi,6.59,69,Taiwan,4.9,Yami,Chocolate,400,1600,2636
GGE Baked Rice Snack Chocolate Flavor 45g,weilih,1.89,200,Taiwan,4.7,Yami,Chocolate,400,1600,756
Meltyblend Chocolate Fruity Strawberry 60g,meiji,3.99,76,Japan,4.8,Yami,Chocolate,400,1600,1596
Pocky Classic Chocolate Biscuit Sticks Family Pack 9 Packs,glico,3.59,85,Japan,4.8,Yami,Chocolate,400,1600,1436
Meltyblend Green Tea Chocolate 60g,meiji,3.99,108,Japan,4.6,Yami,Chocolate,400,1600,1596
Gummy Candy Orange Flavor 51g,meiji,1.59,27,Japan,4.9,Yami,Chocolate,400,1600,636
Mushroom Chocolate Cookie 74g,meiji,2.99,29,Japan,4.9,Yami,Chocolate,400,1600,1196
Taste Sugar Kololo Grape 40g,uha,2.89,87,Japan,4.5,Yami,Chocolate,400,1600,1156
Pocky Winter Melty Chocolate Flavor Stick 56g,glico,1.99,6,Japan,4.7,Yami,Chocolate,400,1600,796
Milk Chocolate Lollipop,fujiya,1.68,10,Japan,4.6,Yami,Chocolate,400,1600,672
Peko Poko Chocolate Lollipops 0.8oz,fujiya,1.69,16,Japan,4.9,Yami,Chocolate,400,1600,676
Kit Kat Chocolate Wafer Melon Flavor 11pc,nestle,4.19,2,Japan,5,Yami,Chocolate,400,1600,1676
Japanese Kit Kat Cheese Cake Chocolate Wafer 9pc,nestle,6.99,7,Japan,4.9,Yami,Chocolate,400,1600,2796
Japanese Kit Kat Strawberry Chocolate Wafer,nestle,5.99,1,Japan,5,Yami,Chocolate,400,1600,2396
Pocky Super Slender Chocolate Biscuit Sticks 73g  Random version,glico,2.19,143,Japan,4.8,Yami,Chocolate,400,1600,876
Mikakuto Coke Flavored Gummy 40g,uha,2.49,2,Japan,5,Yami,Chocolate,400,1600,996
Chocolate and Milk Cake,gaolegao,11.99,11,Mainland China,5,Yami,Chocolate,400,1600,4796
Gummy Candy Peach Flavor 50g,bourbon,1.99,9,Japan,4.8,Yami,Chocolate,400,1600,796
Japanese Kit Kat Milk Tea Chocolate Wafer 12pc,nestle,6.99,3,Japan,3.7,Yami,Chocolate,400,1600,2796
PEKO Chan Gummy Grape 1.76oz,fujiya,1.69,9,Japan,4.2,Yami,Chocolate,400,1600,676
PEKO Chan Gummy Peach 1.76oz,fujiya,1.69,6,Japan,4.7,Yami,Chocolate,400,1600,676
POCKY Banana Cream Covered Chocolate Biscuit Sticks 70g,glico,1.99,96,Japan,4.7,Yami,Chocolate,400,1600,796
Japanese Kit Kat Matcha Chocolate Wafer 135g,nestle,6.99,203,Japan,4.7,Yami,Chocolate,400,1600,2796
Chocolate Gummy Candy Muscat Flavor 81g,meiji,4.49,49,Japan,4.9,Yami,Chocolate,400,1600,1796
Dark Chocolate 50g,meiji,1.99,47,Japan,4.6,Yami,Chocolate,400,1600,796
Japanese Kit Kat Matcha Chocolate Wafer 12pc,nestle,6.99,1,Japan,5,Yami,Chocolate,400,1600,2796
Milk Chocolate 50g,meiji,1.99,25,Japan,4.5,Yami,Chocolate,400,1600,796
Gummy Candy Grape Flavor 50g,bourbon,1.99,2,Japan,5,Yami,Chocolate,25,100,49.75
Japanese Kit Kat Strawberry Milk Flavor 11pc,nestle,6.99,2,Japan,5,Yami,Chocolate,400,1600,2796
Chocolate Milk 200ml*6,kuang quan,7.99,5,Taiwan,5,Yami,Chocolate,400,1600,3196
Japanese Kit Kat Crepe White Chocolate Wafer,nestle,6.99,1,Japan,5,Yami,Chocolate,400,1600,2796
Jaga Chocolate Potato Chips 40g,bourbon,2.49,17,Japan,4.6,Yami,Chocolate,400,1600,996
Mixed Fruit Flavor Candy with Real Fruit 2.82oz,morinaga,2.19,10,Japan,4.7,Yami,Chocolate,400,1600,876
Chocolate Gummy Candy Mixed Fruits Flavor 81g,meiji,4.49,25,Japan,4.6,Yami,Chocolate,400,1600,1796
Hello Kitty Marshmallow Strawberry Flavor 90g,eiwa,2.69,7,Japan,5,Yami,Chocolate,400,1600,1076
Japanese Kit Kat Pistachio Chocolate Wafer 11pc,nestle,7.99,2,Japan,4,Yami,Chocolate,400,1600,3196
Matcha Chocolate,fujiya,3.49,41,Japan,4.7,Yami,Chocolate,400,1600,1396
Japanese Kit Kat Orange Chocolate Wafer 9pc,nestle,6.99,2,Japan,5,Yami,Chocolate,400,1600,2796
Pocky Classic Chocolate Biscuit Sticks 70g,glico,2.19,33,Japan,5,Yami,Chocolate,400,1600,876
White Chocolate Cookie 78g,bourbon,2.99,17,Japan,4.7,Yami,Chocolate,400,1600,1196
Fettuccine Gummy  Lemon 50g,bourbon,1.89,4,Japan,5,Yami,Chocolate,25,100,47.25
Candy Lollipop Present Gift 1pc,glico,0.75,4,Japan,5,Yami,Chocolate,400,1600,300
Japanese Kit Kat Oat Chocolate Wafer,nestle,6.99,1,Japan,5,Yami,Chocolate,400,1600,2796
Xylitol Alpha Gum Powermint Flavor 86g,lotte korea,4.99,0,Korea,,Yami,Chocolate,400,1600,1996
Japanese Kit Kat Raspberry Chocolate Wafer,nestle,6.99,11,Japan,4.7,Yami,Chocolate,400,1600,2796
Pejoy Cookies & Cream Creamy Vanilla Filled Chocolate Biscuit Sticks 56g,glico,2.09,41,Japan,4.8,Yami,Chocolate,400,1600,836
Hokkaido Milk Candy 120g,fujiya,2.99,33,Japan,4.4,Yami,Chocolate,400,1600,1196
Japanese Kit Kat Crunch Chocolate Mini 82.8g,nestle,5.99,2,Japan,5,Yami,Chocolate,400,1600,2396
KUKKIA Whipped Chocolate Sandwiched with Cookie Gift Box 4 Flavor 20pcs,akaibohshi,11.99,27,Japan,4.8,Yami,Chocolate,200,800,2398
Chocolate Gummy Candy Strawberry Flavor 81g,meiji,4.69,24,Japan,4.7,Yami,Chocolate,400,1600,1876
KIT KAT Macha Latte Chocolate wafer 11pc,nestle,6,0,Japan,,Yami,Chocolate,400,1600,2400
Chocolate Pencil 4pcs 27g,fujiya,1.99,3,Japan,5,Yami,Chocolate,400,1600,796
Snack Candy Lollipop Present Gift 1pc,glico,0.75,1,Japan,5,Yami,Chocolate,400,1600,300
Mikakutang Soda Flavour Soft Candy 40g,uha,2.49,2,Japan,4,Yami,Chocolate,400,1600,996
Fruit Candy Grape Flavor 48g,uha,1.5,36,Japan,4.8,Yami,Chocolate,400,1600,600
Shortbread Cookies Dark Chocolate Yoghurt Flavor 144g,jzjt,6.99,0,Mainland China,,Yami,Chocolate,400,1600,2796
KIT KAT Coffee Chocolate wafer 12pc,nestle,6,0,Japan,,Yami,Chocolate,400,1600,2400
Japanese Kit Kat Cocoa Flavor Wafer,nestle,6.99,0,Japan,5,Yami,Chocolate,400,1600,2796
KUKKIA Whipped Chocolate Sandwiched with Cookie 4 Flavor 48pcs 374g,akaibohshi,27.99,2,Japan,5,Yami,Chocolate,300,1200,8397
MARSHMALLOW HELLO KITTY MANGO 90g,eiwa,2.69,7,Japan,5,Yami,Chocolate,400,1600,1076
Fruit Candy Muscat Flavor  48g,uha,1.5,27,Japan,4.7,Yami,Chocolate,400,1600,600
Castella Japanese Style Baked Sponge Cake Chocolate Flavor 7Slices 280g,imuraya,6.99,50,Japan,4.2,Yami,Chocolate,400,1600,2796
Hokkaido Four Season Chocolate Gift Set 40pc,royce,32.99,1,Japan,5,Yami,Chocolate,400,1600,13196
Japanese Kit Kat Mini Chocolate 81g,nestle,5.99,4,Japan,4,Yami,Chocolate,400,1600,2396
GINBIS Animal Biscuits Chocolate Flavor 50g,ginbis,1.19,0,Japan,,Yami,Chocolate,400,1600,476
Creamy Chocolate Biscuits 200g,khong guan,2.69,68,Singapore,4.8,Yami,Chocolate,400,1600,1076
KIT KAT Melon Chocolate wafer 11pc,nestle,6,0,Japan,,Yami,Chocolate,400,1600,2400
Orange Peel Gummy 150g,mushroomstorm,7.59,1,Mainland China,5,Yami,Chocolate,400,1600,3036
MARSHMALLOW HELLO KITTY CHOCOLATE 47g,eiwa,3.29,3,Japan,5,Yami,Chocolate,25,100,82.25
Mini Bit Assorted Chocolate 165g,bourbon,5.69,1,Japan,5,Yami,Chocolate,400,1600,2276
HOKKAIDO OKINAWA Chocolate Mango 20pc,royce,18.99,0,Japan,,Yami,Chocolate,400,1600,7596
Dars White Chocolate Confectionery 42g,morinaga,1.99,63,Japan,4.6,Yami,Chocolate,400,1600,796
Mini Roll Cake Chocolate Flavor 70g,bourbon,2.99,7,Japan,4.6,Yami,Chocolate,400,1600,1196
Precieux white chocolate Covered Lemon Cake 5pcs,chen yun pao chuan,12.99,5,Taiwan,4.6,Yami,Chocolate,25,100,324.75
Quadratini Bite Size Wafer Cookies Chocolate Flavor 250g,loacker,5.29,42,Itlay,4.9,Yami,Chocolate,400,1600,2116
Hi-chew 3 Flavor Soft Candy 100g,morinaga,2.49,22,Japan,4.8,Yami,Chocolate,400,1600,996
Macadami Choco 9pc 60g,meiji,5.49,1,Japan,5,Yami,Chocolate,400,1600,2196
Chocolate Hand Made Buscuit 105g,tianpeng,2.99,41,Taiwan,4.7,Yami,Chocolate,400,1600,1196
Kamu Cola 27g,kabaya,1.69,2,Japan,4,Yami,Chocolate,400,1600,676
HI-CHEW Soft Chewy Fruit Candy Grape 50g,morinaga,1.29,5,Japan,4.8,Yami,Chocolate,400,1600,516
Uji Hojicha Flavor Chocolate Stick 61.6g,morinaga,2.99,2,Japan,4,Yami,Chocolate,400,1600,1196
Nobel Super Soda Candy 84g,nobel,3.29,0,Japan,,Yami,Chocolate,400,1600,1316
Disney fruit soda flavor lollipop 10pcs,popcan,9.99,2,Japan,5,Yami,Chocolate,400,1600,3996
Chocolate Milk 215ml*6,go long,12.99,1,Taiwan,5,Yami,Chocolate,400,1600,5196
Hi-Chew Soft Candy Mixed Berry Flavor 90g,morinaga,2.29,9,Japan,5,Yami,Chocolate,400,1600,916
Bitter Chocolate Pack 42g,morinaga,1.99,0,Japan,,Yami,Chocolate,400,1600,796
KIT KAT Cocoa Chocolate wafer 12pc,nestle,6,1,Japan,5,Yami,Chocolate,400,1600,2400
ROYCE HOKKAIDO Original Flavor Fresh Chocolate 20pc,royce,19.58,1,Japan,5,Yami,Chocolate,400,1600,7832
GuoKui Chocolate Walnut Biscuit 70g,agan,5.99,3,Mainland China,5,Yami,Chocolate,300,1200,1797
Bing Bing Crispy Ice Cream Cone Snack with Chocolate Filling 8pcs 71.2g,hapi,3.89,14,Japan,4.6,Yami,Chocolate,400,1600,1556
Candy Bag Flower Pattern 150g,taiki,3.99,9,Japan,4.7,Yami,Chocolate,400,1600,1596
Napoleon Brandy bonbon,hamada,13.99,2,Japan,5,Yami,Chocolate,400,1600,5596
Pejoy Red Wine Chocolate 126g,glico,6.49,0,Japan,,Yami,Chocolate,400,1600,2596
Pear Paste Lollipop,lao jin mofang,5.99,1,Mainland China,5,Yami,Chocolate,400,1600,2396
