Brand,Category,Origin,Platform,Price,Product_Name,Rate,Reviews,Sold_Monthly,Sold_Weekly,Weekly_Revenue,Sold_Weekly_Group,Price_Group
glico,Chocolate,Japan,Yami,2.19,Pocky Almond Chocolate Biscuit Sticks 41g,4.9,290,1600,400,876,300+,2+
lotte japan,Chocolate,Japan,Yami,1.19,Koala Chocolate Cream Filling Biscuit 41g,4.8,142,1600,400,476,300+,Less than 2
meiji,Chocolate,Japan,Yami,3.99,Meltyblend Chocolate Premium Cacao 60g,4.8,135,1600,400,1596,300+,2+
vitasoy,Chocolate,Hong Kong,Yami,0.79,Chocolate Flavored Soy Drink 250ml,4.7,238,1600,400,316,300+,Less than 2
d-plus,Chocolate,Japan,Yami,1.99,Bun With Chocolate Filling Breadd 75g,4.5,26,800,200,398,100+,Less than 2
glico,Chocolate,Japan,Yami,3.59,Pejoy Chocolate Cream Filled Biscuit Sticks 8 Packs 120g,4.9,141,1600,400,1436,300+,2+
uha,Chocolate,Japan,Yami,2.99,UHA Gummy Candy Green Grape Flavor 48g,4.8,80,1600,400,1196,300+,2+
glico,Chocolate,Japan,Yami,1.99,Pocky Matcha Chocolate Biscuit Sticks 70g,4.7,162,1600,400,796,300+,Less than 2
hsufuchi,Chocolate,Taiwan,Yami,6.59,Assorted Peanut Crisp Candy 328g,4.9,69,1600,400,2636,300+,6+
weilih,Chocolate,Taiwan,Yami,1.89,GGE Baked Rice Snack Chocolate Flavor 45g,4.7,200,1600,400,756,300+,Less than 2
meiji,Chocolate,Japan,Yami,3.99,Meltyblend Chocolate Fruity Strawberry 60g,4.8,76,1600,400,1596,300+,2+
glico,Chocolate,Japan,Yami,3.59,Pocky Classic Chocolate Biscuit Sticks Family Pack 9 Packs,4.8,85,1600,400,1436,300+,2+
meiji,Chocolate,Japan,Yami,3.99,Meltyblend Green Tea Chocolate 60g,4.6,108,1600,400,1596,300+,2+
meiji,Chocolate,Japan,Yami,1.59,Gummy Candy Orange Flavor 51g,4.9,27,1600,400,636,300+,Less than 2
meiji,Chocolate,Japan,Yami,2.99,Mushroom Chocolate Cookie 74g,4.9,29,1600,400,1196,300+,2+
uha,Chocolate,Japan,Yami,2.89,Taste Sugar Kololo Grape 40g,4.5,87,1600,400,1156,300+,2+
glico,Chocolate,Japan,Yami,1.99,Pocky Winter Melty Chocolate Flavor Stick 56g,4.7,6,1600,400,796,300+,Less than 2
fujiya,Chocolate,Japan,Yami,1.68,Milk Chocolate Lollipop,4.6,10,1600,400,672,300+,Less than 2
fujiya,Chocolate,Japan,Yami,1.69,Peko Poko Chocolate Lollipops 0.8oz,4.9,16,1600,400,676,300+,Less than 2
nestle,Chocolate,Japan,Yami,4.19,Kit Kat Chocolate Wafer Melon Flavor 11pc,5,2,1600,400,1676,300+,4+
nestle,Chocolate,Japan,Yami,6.99,Japanese Kit Kat Cheese Cake Chocolate Wafer 9pc,4.9,7,1600,400,2796,300+,6+
