,Product_Name,Brand,Price,Reviews,Origin,Platform,Category,Sold_Weekly
0,Salty Yolk Cookies 230g,tkfood,6.89,1194,Taiwan,Yami,Cookies,Less than 50
1,Cookies Original Flavor 60g,koobi,4.69,1,Mainland China,Yami,Cookies,200+ Sold
2,TK FOOD Salty Yolk Cookies 100g,tkfood,2.99,398,Taiwan,Yami,Cookies,Less than 50
3,Shortbread Cookies Dark Chocolate Yoghurt Flavor 144g,jzjt,6.99,0,Mainland China,Yami,Cookies,50+ Sold
4,"Cookies, Imported Sandwich Chocolate Cream 150g",biscoff,6.99,0,United States,Yami,Cookies,300+ Sold
5,Imperial Palace Sesame Cookies 200g,imperial palace,4.59,1,Mainland China,Yami,Cookies,50+ Sold
6,Imperial Palace Sesame Puff Cookies 200g,imperial palace,4.59,1,Mainland China,Yami,Cookies,50+ Sold
7,Cookies Durian Flavor 60g,koobi,4.69,0,Mainland China,Yami,Cookies,200+ Sold
8,Butter Cookies 454g,kjeldsens,8.69,110,Denmark,Yami,Cookies,Less than 50
9,Koala's Matcha Cream Filled Cookies 37g,lotte japan,1.29,6,Japan,Yami,Cookies,Less than 50
10,Chocolate Mascarpone Cookies 10pc,tokyo milk cheese factory,19.99,10,Japan,Yami,Cookies,Less than 50
11,Danisa Premium Butter Cookies 12oz,danisa,6.29,0,Denmark,Yami,Cookies,50+ Sold
12,Shortbread Cookies Rum with Red Grape Flavor 144g,jzjt,6.99,0,Mainland China,Yami,Cookies,50+ Sold
13,Almond Cookies Sesame 120g,imperial palace,4.99,0,Mainland China,Yami,Cookies,50+ Sold
14,TK FOOD Purple Sweet Potato Cookies 230g,tkfood,6.29,128,Taiwan,Yami,Cookies,Less than 50
15,Crepe Dentelle Cookies 500g,gavottes,24.99,4,France,Yami,Cookies,50+ Sold
16,Shaped Butter Cookies 78g,hello kitty,6.99,6,Japan,Yami,Cookies,50+ Sold
17,Almond Cookies Oriingal 120g,imperial palace,4.99,0,Mainland China,Yami,Cookies,50+ Sold
18,CHIO HEONG YUEN Walnut Cookies 340g,choi heong yuen bakery,9.99,22,Macao,Yami,Cookies,200+ Sold
19,Milk and Custard Falvor Cookies 128g,sable,4.89,0,Mainland China,Yami,Cookies,Less than 50
20,Shaped Earl Grey Tea Cookies 78g,hello kitty,6.99,8,Japan,Yami,Cookies,50+ Sold
21,Mango and Cranberry Flavor Cookies 128g,sable,4.89,1,Mainland China,Yami,Cookies,Less than 50
22,TK FOOD Black Sesame Cookies 230g,tkfood,6.29,72,Taiwan,Yami,Cookies,Less than 50
23,MOEGINO Cookies 20pcs 95.8g,tivoli tivon,5.99,10,Japan,Yami,Cookies,Less than 50
24,Caramel Speculaas Cookies 130g,jans,1.89,17,United States,Yami,Cookies,100+ Sold
25,TK FOOD Almond Thousand Layers Cookies 120g,tkfood,2.69,69,Taiwan,Yami,Cookies,Less than 50
26,Bakery Mini Almond Walnut Cookies 180g,choi heong yuen bakery,5.99,2,Macao,Yami,Cookies,200+ Sold
27,Premium Family Assorted Cookies 1224g,garden,22.99,0,Hong Kong,Yami,Cookies,50+ Sold
28,MOEGINO Cookies 32pcs 153g,tivoli tivon,10.99,4,Japan,Yami,Cookies,Less than 50
29,Alfort Chocolate Cookies 199g,bourbon,4.99,9,Japan,Yami,Cookies,200+ Sold
30,Butter Cookies Tin 454g,royal danish,5.99,25,Denmark,Yami,Cookies,Less than 50
31,Cashew Cookies 170g,choi heong yuen bakery,6.29,16,Macao,Yami,Cookies,200+ Sold
32,White Rollita Cookies 98g,bourbon,1.99,45,Japan,Yami,Cookies,200+ Sold
33,M Baker'sChocolate Cookies 147g,furuta,4.99,7,Japan,Yami,Cookies,Less than 50
34,Korean Style Fried Cookies 350g,nonghyup,4.49,17,Korea,Yami,Cookies,Less than 50
35,Homemade Type Peanut Cookies 298g,crown,5.99,3,Korea,Yami,Cookies,50+ Sold
36,Adult Crunch Fragrant Cookies & Cream 102g,shoei,3.99,2,Mainland China,Yami,Cookies,Less than 50
37,Quadratini Bite Size Wafer Cookies Vanilla Flavor 250g,loacker,5.29,10,Itlay,Yami,Cookies,Less than 50
38,M Baker's Custard Cookies 147g,furuta,4.99,7,Japan,Yami,Cookies,Less than 50
39,Sand Cookies Cheese Flavor 108g,koobi,3.49,2,Mainland China,Yami,Cookies,200+ Sold
40,Nutrition biscuit Cookies 90g,kuansheng,1.49,5,Taiwan,Yami,Cookies,Less than 50
41,Pejoy Cookies & Cream Creamy Vanilla Filled Chocolate Biscuit Sticks 56g,glico,2.09,41,Japan,Yami,Cookies,200+ Sold
42,3 in 1 Thousand Layers Cookies Salted Egg Yolk Salted Sesame Salted Peanut  450g,tkfood,6.49,72,Taiwan,Yami,Cookies,Less than 50
43,Sand Cookies Seaweed Flavor 98g,koobi,3.49,1,Mainland China,Yami,Cookies,200+ Sold
44,French Cookies 500g,meike,5.99,8,Taiwan,Yami,Cookies,Less than 50
45,Butter Cookies 454g,royal danisa,7.49,187,Denmark,Yami,Cookies,Less than 50
46,CHIO HEONG YUEN Mini Crunchy Cookies 200g,choi heong yuen bakery,6.99,6,Macao,Yami,Cookies,200+ Sold
47,WALKER Pure Butter Cookies 125g,walkers,5.49,6,Scotland,Yami,Cookies,Less than 50
48,TK FOOD Black Peeper Salty Yolk Cookies 230g,tkfood,6.29,22,Taiwan,Yami,Cookies,Less than 50
49,Danish Butter Cookies 340g,royal dansk,6.89,17,Denmark,Yami,Cookies,Less than 50
50,BUTTER COOKIES 90g,bourbon,2.49,23,Japan,Yami,Cookies,200+ Sold
51,Sand Cookies Black Cheese Flavor 108g,koobi,3.49,2,Mainland China,Yami,Cookies,200+ Sold
52,TK FOOD Black Sesame Cookies 100g,tkfood,3.49,19,Taiwan,Yami,Cookies,Less than 50
53,"Cookies, Imported With Belgian Chocolate 154g",biscoff,4.39,1,United States,Yami,Cookies,300+ Sold
54,Crispy Rice Filled Chocolate Chip Cookies,be & cheery,9.9,0,Mainland China,Yami,Cookies,200+ Sold
55,Coco Almond Nutrition Cookies 15pc,asahi,15.9,1,Japan,Yami,Cookies,300+ Sold
56,Fruits Nutrition Cookies 15pc,asahi,15.99,1,Japan,Yami,Cookies,300+ Sold
57,Panda Strawberry Cookies 47g,kabaya,3.0,2,Japan,Yami,Cookies,50+ Sold
58,Cranberry Cookies 90g,bestore,6.99,1,Mainland China,Yami,Cookies,200+ Sold
