Product_Name,Brand,Reviews,Price,Rate,Origin,Platform,Category,Sold_Weekly
FENGDAN Taiwanese Black Date And  Walnut Cake 220g,favor desserts,24,19.99,5,Taiwan,Yami,Dessert,200+ Sold
Small Moon Cake 495g 9pcs,favor desserts,0,66.49,0,Taiwan,Yami,Dessert,Less than 50
Pine Nuts Tea Cakes 495g 9pcs,favor desserts,0,66.49,0,Taiwan,Yami,Dessert,Less than 50
Princess Pastry 495g 9pcs,favor desserts,0,66.49,0,Taiwan,Yami,Dessert,Less than 50
Corgi Desserts Canvas Bag - Lazy Day,nayothecorgi,0,14.99,0,United States,Yami,Dessert,200+ Sold
FAVOR DESSERTS Longan Nanzao Walnut Cake(Vegan / Contain Wine) 160g,fongden,2,18.99,3.5,Taiwan,Yami,Dessert,Less than 50
FAVOR DESSERTS French Almond Cranberry Nougat(ovolactin) 160g,fongden,3,18.99,5,Taiwan,Yami,Dessert,500+ Sold
Corgi Desserts Canvas Bag - Sweet Overload,nayothecorgi,0,14.99,0,United States,Yami,Dessert,200+ Sold
Corgi Desserts Canvas Bag - Sweet Time,nayothecorgi,0,14.99,0,United States,Yami,Dessert,200+ Sold
Corgi Desserts Canvas Bag - Let's Picnic,nayothecorgi,0,14.99,0,United States,Yami,Dessert,200+ Sold
Multigrain Mixed Congee 375g,taisun,771,1.39,4.8,Taiwan,Yami,Dessert,300+ Sold
Porridge 370g,taiqi,63,1.59,4.9,Mainland China,Yami,Dessert,Less than 50
Rice Jelly (Brown Sugar Flavor) 240g,yumei,256,2.49,4.5,Mainland China,Yami,Dessert,300+ Sold
Walnut Sesame and Black Bean Meal 600g,wugu mofang,236,18.99,4.9,Mainland China,Yami,Dessert,Less than 50
Fresh Chinese Bayberry Bottle 360g,ljpz,27,2.39,4.7,Mainland China,Yami,Dessert,50+ Sold
GOURMET FARM Preserved Duck Eggs Century Eggs 272g,zhuang yuan,62,2.49,4.8,Mainland China,Yami,Dessert,Less than 50
Red Bean Sand Porridge 370g,taiqi,40,1.59,4.9,Mainland China,Yami,Dessert,50+ Sold
Instant Herbal Cereal Original 450g,jzjt,441,23.99,4.6,Mainland China,Yami,Dessert,300+ Sold
Red Bean Soup with Pearl Barley 300g Gluten Free,totole,19,1.99,4.2,Mainland China,Yami,Dessert,50+ Sold
Dried purple yam Oatmeal 2 bags 90g,buydeem,12,3.39,4.7,Mainland China,Yami,Dessert,300+ Sold
Taro and Mushroom Porridge 35gx3,zen eat,1,10.99,5,Taiwan,Yami,Dessert,Less than 50
GOURMET FARM Cooked Salted Duck Eggs 272g,zhuang yuan,114,2.39,4.7,Mainland China,Yami,Dessert,Less than 50
Red bean and barley rice noodles Low-fat and high-fiber classic damp-removing meal replacement powder 50,mr fang's store,23,17.99,5,Mainland China,Yami,Dessert,200+ Sold
Fresh Slice Peach Bottle 425g,ljpz,29,2.19,4.7,Mainland China,Yami,Dessert,Less than 50
Pearl Barley Congee 340g,agv,171,1.49,4.7,Taiwan,Yami,Dessert,300+ Sold
Milk Peanut with Soup 11.27 oz,chiao kuo,0,1.69,0,Mainland China,Yami,Dessert,300+ Sold
Kind-Rice Porridge 360g,coins,11,1.79,4.6,Mainland China,Yami,Dessert,300+ Sold
Fresh Stewed White Fungus,mr fang's store,0,3.99,0,Mainland China,Yami,Dessert,Less than 50
Green and Red Chilli Preserved Vegetable 80g,yuquan,7,0.69,4.9,Mainland China,Yami,Dessert,50+ Sold
Sweet Mixed Porridge 350 g,chiao kuo,0,1.69,0,Mainland China,Yami,Dessert,300+ Sold
Walnut Sesame Powder 500g,mr fang's store,41,16.99,4.6,Mainland China,Yami,Dessert,200+ Sold
Canned Sweet Hawthorn 720g,zhiweitang,0,5.99,0,Mainland China,Yami,Dessert,Less than 50
Canned Preserved Peach 720g,zhiweitang,0,5.99,0,Mainland China,Yami,Dessert,Less than 50
Black Grass Jelly 19oz,mifeng,0,2.49,0,Mainland China,Yami,Dessert,Less than 50
Konjac Jelly Pineapple Flavor 263g,yumei,1,2.99,5,Mainland China,Yami,Dessert,50+ Sold
Konjac Jelly,yuanxian,6,3.49,4.7,Mainland China,Yami,Dessert,50+ Sold
Cranberry Tremella Soup 75g,buydeem,6,4.99,5,Mainland China,Yami,Dessert,300+ Sold
Lychee In Syrup 20oz,dragonfly brand,0,3.69,0,Mainland China,Yami,Dessert,200+ Sold
Konjac Jelly Brown Sugar 263g,yumei,5,2.99,5,Mainland China,Yami,Dessert,50+ Sold
Organic Pickled Cabbage 454g,zhuang yuan,26,3.19,4.8,Mainland China,Yami,Dessert,Less than 50
Black Sesame Dessert 250g,shunnan,3,3.69,4.7,Mainland China,Yami,Dessert,Less than 50
Lily Bulbs Polygonatum Lotus Seed Soup 78g,buydeem,6,5.12,4.8,Mainland China,Yami,Dessert,300+ Sold
Pita Bread in Soup 265g,liuyipao,1,4.99,3,Mainland China,Yami,Dessert,Less than 50
SiChuan Spicy Flavor Sauce 230g,yumei,43,2.79,4.4,Mainland China,Yami,Dessert,50+ Sold
Walnut Desser 250g,shunnan,2,3.69,5,Mainland China,Yami,Dessert,Less than 50
Cooked Salted Duck Eggs 330g,pro fusion,13,3.99,4.5,Mainland China,Yami,Dessert,50+ Sold
?€?Frozen?€?Baked Cheesecake 4pc 160g,f-goyo,0,7.69,0,Japan,Yami,Dessert,200+ Sold
Crispy BamBoo Shoots 188g,bestore,19,3.29,4.7,Mainland China,Yami,Dessert,100+ Sold
Thick Clam Cream Soup Instant Soup 3pcs,pokka sapporo,6,4.99,4.8,Japan,Yami,Dessert,Less than 50
Konjac Jelly Orange Flavor 263g,yumei,2,2.99,5,Mainland China,Yami,Dessert,50+ Sold
Almond Desser 250g,shunnan,3,3.69,5,Mainland China,Yami,Dessert,Less than 50
?€?Frozen?€?Baked Green Tea Cheesecake 160g,f-goyo,0,7.69,0,Japan,Yami,Dessert,200+ Sold
Canned Saury Sanma De Kenko Shoyu Aji 100g,hagoromo,18,2.99,4.4,Japan,Yami,Dessert,50+ Sold
Preserved Duck Eggs Hard Yolk 360g,pro fusion,12,3.99,4.7,Mainland China,Yami,Dessert,50+ Sold
