,Product_Name,Brand,Reviews,Price,Rate,Origin,Platform,Category,Sold_Weekly
0,FENGDAN Taiwanese Black Date And  Walnut Cake 220g,favor desserts,24,19.99,5.0,Taiwan,Yami,Dessert,200+ Sold
1,Small Moon Cake 495g 9pcs,favor desserts,0,66.49,0.0,Taiwan,Yami,Dessert,Less than 50
2,Pine Nuts Tea Cakes 495g 9pcs,favor desserts,0,66.49,0.0,Taiwan,Yami,Dessert,Less than 50
3,Princess Pastry 495g 9pcs,favor desserts,0,66.49,0.0,Taiwan,Yami,Dessert,Less than 50
4,Corgi Desserts Canvas Bag - Lazy Day,nayothecorgi,0,14.99,0.0,United States,Yami,Dessert,200+ Sold
5,FAVOR DESSERTS Longan Nanzao Walnut Cake(Vegan / Contain Wine) 160g,fongden,2,18.99,3.5,Taiwan,Yami,Dessert,Less than 50
6,FAVOR DESSERTS French Almond Cranberry Nougat(ovolactin) 160g,fongden,3,18.99,5.0,Taiwan,Yami,Dessert,500+ Sold
7,Corgi Desserts Canvas Bag - Sweet Overload,nayothecorgi,0,14.99,0.0,United States,Yami,Dessert,200+ Sold
8,Corgi Desserts Canvas Bag - Sweet Time,nayothecorgi,0,14.99,0.0,United States,Yami,Dessert,200+ Sold
9,Corgi Desserts Canvas Bag - Let's Picnic,nayothecorgi,0,14.99,0.0,United States,Yami,Dessert,200+ Sold
10,Multigrain Mixed Congee 375g,taisun,771,1.39,4.8,Taiwan,Yami,Dessert,300+ Sold
11,Porridge 370g,taiqi,63,1.59,4.9,Mainland China,Yami,Dessert,Less than 50
12,Rice Jelly (Brown Sugar Flavor) 240g,yumei,256,2.49,4.5,Mainland China,Yami,Dessert,300+ Sold
13,Walnut Sesame and Black Bean Meal 600g,wugu mofang,236,18.99,4.9,Mainland China,Yami,Dessert,Less than 50
14,Fresh Chinese Bayberry Bottle 360g,ljpz,27,2.39,4.7,Mainland China,Yami,Dessert,50+ Sold
