Product_Name,Price,Sold_Weekly,Origin,Brand,Reviews,Rate,Sold_Monthly,Weekly_Revenue,Platform,Category
Weilong Hot and Spicy Konjac Snack 360 g,5.99,1000,Mainland China,WEILONG,140,Unclear,4000,5990,Weee,Dried Bean Curd
Yuxiong Spiced Broad Beans 80 g,1.49,1000,Mainland China,Yuxiong,61,Unclear,4000,1490,Weee,Dried Bean Curd
"Surimi Tofu Snack, Spicy Fish Flavor 660 g",10.19,500,Mainland China,,128,Unclear,2000,5095,Weee,Dried Bean Curd
Weilong Spicy Strips 102 g,1.29,1000,Mainland China,Weilong,39,Unclear,4000,1290,Weee,Dried Bean Curd
Te Chang Food Tofu Cakes 115 g,1.99,100,Taiwan,TCF,164,Unclear,400,199,Weee,Dried Bean Curd
Weilong Big La Tiao Hot and Spicy Gluten Strips  400 g,6.59,900,Mainland China,WEILONG,22,Unclear,3600,5931,Weee,Dried Bean Curd
Jinduigu Hand-Made Roasted Tofu Snack 180 g,2.39,600,Mainland China,,54,Unclear,2400,1434,Weee,Dried Bean Curd
"Zhen Xiang Dried Bean Curd Snack, Beef Flavor 80 g",1.19,1000,Mainland China,Zhen Xiang,91,Unclear,4000,1190,Weee,Dried Bean Curd
Weilong Hot and Sour Konjac Snack 360 g,5.99,1000,Mainland China,WEILONG,30,Unclear,4000,5990,Weee,Dried Bean Curd
"Weilong Mini La Tiao, Spicy Gluten Strips 360 g",6.59,900,Mainland China,WEILONG,17,Unclear,3600,5931,Weee,Dried Bean Curd
Weilong Spicy Konjac Snack 20ct 360 g,5.99,800,Mainland China,Weilong,202,Unclear,3200,4792,Weee,Dried Bean Curd
"Hao Ba Shi Dried Bean Curd, Five Spice Flavor  218 g",3.69,500,Mainland China,Hao Ba Shi,45,Unclear,2000,1845,Weee,Dried Bean Curd
Spicy Sesame Skewers 145 g,1.79,1000,Mainland China,,130,Unclear,4000,1790,Weee,Dried Bean Curd
Weilong Soft Bean Curd 60 g,1.39,1000,Mainland China,Weilong,149,Unclear,4000,1390,Weee,Dried Bean Curd
"Hao Ba Shi Dried Beancurd, Hot 218 g",3.89,400,Mainland China,,84,Unclear,1600,1556,Weee,Dried Bean Curd
"GAGAZUI Shredded Vegetarian Steak, Spicy 30pk 1 box",8.99,200,Mainland China,,40,Unclear,800,1798,Weee,Dried Bean Curd
"Tender Tofu Snack, Numbing Hot Flavor 180 g",2.49,500,Mainland China,Jin dui gu,11,Unclear,2000,1245,Weee,Dried Bean Curd
Weilong Fish Tofu 180 g,3.99,400,Mainland China,WEILONG,5,Unclear,1600,1596,Weee,Dried Bean Curd
Weilong Kiss-Burn Mixed Flavor Gluten Snacks  260 g,4.69,600,Mainland China,Weilong,29,Unclear,2400,2814,Weee,Dried Bean Curd
"Gagazui Fish Tofu, Barbecue Flavor 30pc 660 g",8.99,600,Mainland China,GAGAZUI,96,Unclear,2400,5394,Weee,Dried Bean Curd
