Product_Name,Brand,Price,Reviews,Origin,Rate,Platform,Category,Sold_Weekly,Sold_Monthly,Weekly_Revenue
DRIED BEAN CURD STICK  170g,chuzhibao,2.99,91,United States,4.6,Yami,Dried Bean Curd,400,1600,1196
Dried Bean Curd Stick 340g,chuzhibao,5.99,34,United States,4.8,Yami,Dried Bean Curd,400,1600,2396
Gaobeidian Shredded Dried Bean Curd 700g,hd,7.99,0,Mainland China,0,Yami,Dried Bean Curd,400,1600,3196
Fried Bean Curd Sheet 180g,shuangxi,5.29,276,Mainland China,4.9,Yami,Dried Bean Curd,400,1600,2116
Tiantai Yangquan Oil Fermented bean curd  200g,tiantai yanguan,4.59,90,Mainland China,4.9,Yami,Dried Bean Curd,400,1600,1836
Gaobeidian Sliced Bean Curd 400g,hd,3.99,0,Mainland China,0,Yami,Dried Bean Curd,400,1600,1596
Bean Curd Stick 340g,lam sheng kee,5.49,0,Taiwan,0,Yami,Dried Bean Curd,400,1600,2196
Gaobeidian Sliced Bean Curd 400g,hd,3.99,0,Mainland China,0,Yami,Dried Bean Curd,400,1600,1596
Red Bean Curd Sauce,beauideal,2.39,18,Mainland China,4.8,Yami,Dried Bean Curd,400,1600,956
Bean Curd Stick 340g,lam sheng kee,4.69,0,Taiwan,0,Yami,Dried Bean Curd,400,1600,1876
Fried Tofu Bean Curd 120g,banxiaoxian,4.29,0,Mainland China,0,Yami,Dried Bean Curd,200,800,858
Spicy Bean Curd 528g,danshi,9.99,7,Mainland China,4.6,Yami,Dried Bean Curd,400,1600,3996
Bean Curd With Mushroom 528g,danshi,9.99,7,Mainland China,4.7,Yami,Dried Bean Curd,400,1600,3996
Banxiaoxian Fried bean curd 125g,banxiaoxian,3.59,4,Mainland China,4.2,Yami,Dried Bean Curd,200,800,718
Mala Bean Curd Seasoning 150g,zhoujunji,1.89,23,Mainland China,4.8,Yami,Dried Bean Curd,400,1600,756
Dried Black Bean 453g,dragonfly brand,3.99,0,Mainland China,0,Yami,Dried Bean Curd,400,1600,1596
Megmilk Daily Bone Skim Stick 16g x 7 pcs 112g,bean stalk snow,12.99,0,Japan,0,Yami,Dried Bean Curd,25,100,324.75
Taste of Mainland China Frozen Bean Curd 385g,taste of mainland china,3.99,0,Mainland China,0,Yami,Dried Bean Curd,400,1600,1596
Taste of Mainland China Bean Curd Sheet 385g,taste of mainland china,4.99,0,Mainland China,0,Yami,Dried Bean Curd,400,1600,1996
Dried Plum Slice 14g,i factory,2.49,229,Japan,4.8,Yami,Dried Bean Curd,400,1600,996
Freeze Dried Strawberry 20g,big green,1.99,178,Mainland China,4.6,Yami,Dried Bean Curd,25,100,49.75
DXC Mung Bean Cake 180g,dao xiang cun,6.89,636,Mainland China,4.7,Yami,Dried Bean Curd,400,1600,2756
Roasted Broad Bean Crab Roe Flavor 285g,kam yuen,3.89,498,Mainland China,4.9,Yami,Dried Bean Curd,400,1600,1556
USDA Organic Kidney Bean 454g,big green,3.99,11,Mainland China,4.8,Yami,Dried Bean Curd,400,1600,1596
PI XIAN Broad Bean Paste 227g,juan cheng pai,1.69,232,Mainland China,4.7,Yami,Dried Bean Curd,400,1600,676
Beijing Jjajang Noodles Stir Fried Black Bean Flavor 5 Pack 675g,ottogi,4.99,351,Korea,4.4,Yami,Dried Bean Curd,400,1600,1996
