Price,Product_Name,Origin,Sold_Monthly,Reviews,Sold_Weekly,Weekly_Revenue,Rate,Brand,Platform,Category
2.89,XIAO GAOBEIDIAN Shredded Soy Tofu (original),Unclear,17761,15,4440,12832,Unclear,Unclear,Freshgogo,Dried Bean Curd
7.19,Dried Bean Curd,Taiwan,0,0,0,0,Unclear,Unclear,Freshgogo,Dried Bean Curd
3.19,NATURE'S SOY Jumbo Pressed Tofu,United States,13782,5,3446,10991,Unclear,Unclear,Freshgogo,Dried Bean Curd
2.09,TECHANG FOOD Tofu Cake (BBQ),Unclear,12312,10,3078,6433,Unclear,Unclear,Freshgogo,Dried Bean Curd
9.49,LIAO HSIN-LAN Dried Tofu (taiwanese horn snail),Taiwan,4863,0,1216,11537,Unclear,Unclear,Freshgogo,Dried Bean Curd
10.29,Surimi Bean Product (Spicy Flavor),Mainland China,5184,2,1296,13336,Unclear,Unclear,Freshgogo,Dried Bean Curd
6.59,Stinky Tofu Snack (spicy),Mainland China,7922,3,1981,13051,Unclear,Unclear,Freshgogo,Dried Bean Curd
2.19,Mini Dry Tofu,Taiwan,8588,3,2147,4702,Unclear,Unclear,Freshgogo,Dried Bean Curd
3.79,Wihte Shredded Tofu,Taiwan,5551,4,1388,5260,Unclear,Unclear,Freshgogo,Dried Bean Curd
6.29,DA GAOBEIDIAN Shredded Soy Tofu (original),Unclear,7847,14,1962,12339,Unclear,Unclear,Freshgogo,Dried Bean Curd
2.49,WATER LILIES Spiced Small Dried Tofu,Unclear,9009,10,2252,5608,Unclear,Unclear,Freshgogo,Dried Bean Curd
2.49,WATER LILIES Spiced Thick Dried Tofu,Unclear,9728,12,2432,6056,Unclear,Unclear,Freshgogo,Dried Bean Curd
2.19,Large Spiced Dry Tofu,Taiwan,17505,4,4376,9584,Unclear,Unclear,Freshgogo,Dried Bean Curd
3.09,WU XIAN ZHAI Spiced Vegetarian Beef,Unclear,9282,4,2321,7170,Unclear,Unclear,Freshgogo,Dried Bean Curd
9.49,LIAO HSIN-LAN Dried Tofu (taiwanese spicy popcorn chicken),Taiwan,5430,0,1358,12883,Unclear,Unclear,Freshgogo,Dried Bean Curd
3.19,NATURE'S SOY Seasoned Pressed Tofu,United States,14092,3,3523,11238,Unclear,Unclear,Freshgogo,Dried Bean Curd
3.19,NATURE'S SOY Marinated Pressed Tofu,United States,6879,5,1720,5486,Unclear,Unclear,Freshgogo,Dried Bean Curd
5.59,BESTORE Eggs Dry Sauce Flavor,Mainland China,6138,1,1535,8578,Unclear,Unclear,Freshgogo,Dried Bean Curd
2.09,TECHANG FOOD Tofu Cake (mushroom),Unclear,13821,7,3455,7221,Unclear,Unclear,Freshgogo,Dried Bean Curd
2.99,LIAO HSIN-LAN Dried Tofu (black pepper),Taiwan,2328,0,582,1740,Unclear,Unclear,Freshgogo,Dried Bean Curd
3.29,NATURE'S SOY Spicy Tofu Snack,United States,4610,1,1153,3792,Unclear,Unclear,Freshgogo,Dried Bean Curd
2.89,XIAO GAOBEIDIAN Shredded Soy Tofu (five spice),Unclear,10704,13,2676,7734,Unclear,Unclear,Freshgogo,Dried Bean Curd
6.29,DA GAOBEIDIAN Shredded Soy Tofu (five spice),Unclear,8557,12,2139,13456,Unclear,Unclear,Freshgogo,Dried Bean Curd
3.39,CHUNWEI Cooked Spicy Stinky Tofu,United States,6938,0,1735,5880,Unclear,Unclear,Freshgogo,Dried Bean Curd
10.29,Surimi Bean Product (Crab Flavor),Mainland China,6266,1,1567,16119,Unclear,Unclear,Freshgogo,Dried Bean Curd
2.39,WU XIAN ZHAI Spicy Vegetarian Beef,Unclear,9643,6,2411,5762,Unclear,Unclear,Freshgogo,Dried Bean Curd
2.69,DA TIAN Five Spice Flavored Tofu,Unclear,12967,23,3242,8720,Unclear,Unclear,Freshgogo,Dried Bean Curd
9.25,Soy Peas Pickled Cabbage And Shredded Bean Curd,Unclear,2524,11,631,5837,Unclear,Unclear,Freshgogo,Dried Bean Curd
10.25,Spiced Dried Curd,Unclear,1666,6,417,4269,Unclear,Unclear,Freshgogo,Dried Bean Curd
9.95,Braised Dried Bean Curd/Seaweed/Peanut/Egg in Soy Sauce,Unclear,1439,14,360,3580,Unclear,Unclear,Freshgogo,Dried Bean Curd
9.95,Dried Bean Curd/Spicy Duck Neck/Duck Gizzard/Pig Head Meat,Unclear,2369,1,592,5893,Unclear,Unclear,Freshgogo,Dried Bean Curd
5.65,Smoked Tofu with Shredded Celery,Unclear,4802,1,1201,6783,Unclear,Unclear,Freshgogo,Dried Bean Curd
15.5,Shredded Pork  with Chinese Celery,Unclear,1603,0,401,6212,Unclear,Unclear,Freshgogo,Dried Bean Curd
15.25,Shredded Pork with Bean Curd,Unclear,1690,1,423,6443,Unclear,Unclear,Freshgogo,Dried Bean Curd
7.25,Ear & Dried Bean Curd,Unclear,1178,0,295,2135,Unclear,Unclear,Freshgogo,Dried Bean Curd
9.59,Shredded Pork with Bean Curd(Frozen),Unclear,6995,1,1749,16771,Unclear,Unclear,Freshgogo,Dried Bean Curd
