Product_Name,Price,Sold_Weekly,Origin,Brand,Reviews,Sold_Monthly,Weekly_Revenue,Platform,Category,Option,Rate
ZhengDa Shredded Dry Fig  8 g,0.79,1000,Mainland China,ZhengDa,89,4000,790,Weee,Dried Fruit,Unclear,Unclear
Haw Flakes Hawthorn Candy 330 g,3.19,500,Mainland China,Unclear,91,2000,1595,Weee,Dried Fruit,Unclear,Unclear
Sugar-Coated Hawthorn In Stick 25 g,1.69,1000,Mainland China,Unclear,39,4000,1690,Weee,Dried Fruit,Unclear,Unclear
Yida Hawthorn Chips 180 g,1.99,1000,Mainland China,Unclear,98,4000,1990,Weee,Dried Fruit,Unclear,Unclear
Lyfen Preserved Plum Flakes 90 g,3.79,800,Mainland China,LYFEN,157,3200,3032,Weee,Dried Fruit,Unclear,Unclear
Yimeng Healthy Hawthorn Snacks Balls 280 g,3.99,300,Mainland China,YI-MENG RED FARM,42,1200,1197,Weee,Dried Fruit,Unclear,Unclear
Big Green Hawthorn Berry Slices  4.2 oz,1.99,600,Mainland China,Big Green,300,2400,1194,Weee,Dried Fruit,Unclear,Unclear
Tonys Yogurt Hawthorn  110 g,3.79,1000,Mainland China,Unclear,11,4000,3790,Weee,Dried Fruit,Unclear,Unclear
"LYFEN Hawthorn Cake, Reduced Sugar 80 g",2.49,700,Mainland China,LYFEN,6,2800,1743,Weee,Dried Fruit,Unclear,Unclear
LYFEN Fragrant Olives 70 g,2.99,1000,Mainland China,LYFEN,39,4000,2990,Weee,Dried Fruit,Unclear,Unclear
Yida Hawthorn Candy  150 g,1.99,1000,Mainland China,YIDA,195,4000,1990,Weee,Dried Fruit,Unclear,Unclear
Sihong Ejiao Dates 300 g,2.39,1000,Mainland China,Unclear,153,4000,2390,Weee,Dried Fruit,Unclear,Unclear
IFACTORY Dried Plum Slice   14 g,2.99,1000,Mainland China,Unclear,64,4000,2990,Weee,Dried Fruit,Unclear,Unclear
7D Dried Mango & Pineapple Mix 80 g,2.69,300,Philippines,Unclear,9,1200,807,Weee,Dried Fruit,Unclear,Unclear
Ume House Dried Plum 80 g,4.49,400,Mainland China,Ume House,21,1600,1796,Weee,Dried Fruit,Unclear,Unclear
Farmers Grange Dried Orange Peel 108 g,2.99,300,Mainland China,Farmers Grange,35,1200,897,Weee,Dried Fruit,Unclear,Unclear
