Product_Name,Brand,Reviews,Price,Option,Origin,Rate,Platform,Category,Sold_Weekly,Sold_Monthly,Weekly_Revenue
Colorful Dried Fruits and Vegetables 50g,bestore,1,2.89,No,Mainland China,5,Yami,Dried Fruit,200,800,578
Dried Plum Slice 14g,i factory,229,2.49,2 Options,Japan,4.8,Yami,Dried Fruit,400,1600,996
Freeze Dried Strawberry 20g,big green,178,1.99,5 Options,Mainland China,4.6,Yami,Dried Fruit,300,1200,597
Yellow Peach Dried Fruits 98g,bestore,0,6.99,No,Mainland China,0,Yami,Dried Fruit,200,800,1398
Fragrant Dried Olives 70g,yifen,0,2.19,No,Mainland China,0,Yami,Dried Fruit,400,1600,876
SWEETB Honey Dried Mango 105g,siam's royal,1,5.39,No,Thailand,5,Yami,Dried Fruit,400,1600,2156
Wugang Presrever Dried Tofu 280g,fangjie,9,2.99,No,Mainland China,4.6,Yami,Dried Fruit,25,100,74.75
HAN Dried Plum 160g,ten wow,0,4.89,No,Mainland China,0,Yami,Dried Fruit,400,1600,1956
Freeze Dried Durian 30g,three squirrels,0,3.89,No,Mainland China,0,Yami,Dried Fruit,400,1600,1556
Dried Mango 135g,mr fang's store,28,7.39,No,Mainland China,4.9,Yami,Dried Fruit,400,1600,2956
Dried Pitted Preserved Plum Brown Sugar Flavored 36g,happyfull,3,3.99,No,Mainland China,4.7,Yami,Dried Fruit,400,1600,1596
Presreved Dried Tofu 150g,fangjie,2,2.29,No,Mainland China,5,Yami,Dried Fruit,400,1600,916
All Natural Freeze Dried Durian 150g,jhl,15,13.99,No,Thailand,4.9,Yami,Dried Fruit,400,1600,5596
Freeze Dried Durian 80g,sungiven foods,7,15.99,7 Options,Mainland China,4.6,Yami,Dried Fruit,400,1600,6396
Dried Longan Meat 170g,tsh,7,8.89,No,United States,4.4,Yami,Dried Fruit,400,1600,3556
Dried Plum 280g,mr fang's store,13,12.99,No,Mainland China,5,Yami,Dried Fruit,400,1600,5196
Dried Sweet Potato 150g,nonghyup,14,8.99,No,Korea,4.6,Yami,Dried Fruit,400,1600,3596
Freeze-Dried Mixed 150g,sungiven foods,3,15.99,7 Options,Mainland China,4.3,Yami,Dried Fruit,400,1600,6396
Dried Mangoes 100g,philippine,50,3.99,No,Philippine,4.4,Yami,Dried Fruit,400,1600,1596
SWEETB Coco Milk Dried Mango 108g,siam's royal,5,5.39,No,Thailand,5,Yami,Dried Fruit,400,1600,2156
Dried Plum 190g,ten wow,10,6.99,No,Mainland China,4.8,Yami,Dried Fruit,400,1600,2796
TRAI Mixed Dried Vegetable and Fruit 250g,vanphat,38,3.59,No,Vietnam,4.2,Yami,Dried Fruit,400,1600,1436
Freeze-Dried Strawberry 130g,sungiven foods,0,15.99,7 Options,Mainland China,0,Yami,Dried Fruit,400,1600,6396
Irvine Dried Mango Without Cane Sugar 75g,mwgp,0,8.19,No,Taiwan,0,Yami,Dried Fruit,400,1600,3276
Dried Kumquat Lemon Flavor 170g,tsh,8,6.29,No,United States,4.1,Yami,Dried Fruit,400,1600,2516
Natural Dried Yujing Mango Slices 150g,shun tai,0,12.49,5 Options,Japan,0,Yami,Dried Fruit,400,1600,4996
Salted Dried Plum 190g,ten wow,9,5.89,No,Mainland China,4.8,Yami,Dried Fruit,400,1600,2356
Dried Pitted Preserved Plum Original Flavor 36g,happyfull,1,3.99,No,Mainland China,5,Yami,Dried Fruit,400,1600,1596
