Product_Name,Brand,Reviews,Price,Origin,Rate,Platform,Category,Sold_Weekly,Sold_Monthly,Weekly_Revenue
Premium Dried Abalone - All Natural Gluten Free Wild Caught Gourmet Dried Seafood for Cooking -  100g,nestlady,10,35.9,United States,4.6,Yami,Dried Seafood,400,1600,14360
ROASTED SHRIMP FLAVOR HIMEGO 50g- 100% Natural Dried fish Dried seafood snack Resealable bag NON GMO,nestlady,0,16.99,United States,0,Yami,Dried Seafood,400,1600,6796
ROASTED SAKURA SHRIMP 40g  - 100% Natural Dried shrimp Dried seafood snack Resealable bag NON GMO Ready to eat,nestlady,2,12.99,United States,3.5,Yami,Dried Seafood,400,1600,5196
Demae Ramen Noodle with Soup Base XO Sauve Seafood Flavor 100g,nissin,55,0.79,Japan,4.7,Yami,Dried Seafood,400,1600,316
Cup Noodles Instant Noodle Seafood Flavor 72g,nissin,221,1.89,Japan,4.6,Yami,Dried Seafood,400,1600,756
Cup Noodles Instant Noodle Spicy Seafood Flavor 72g,nissin,276,1.89,Japan,4.7,Yami,Dried Seafood,400,1600,756
Scallop seafood flavour thick strips 70g*5,sautao,3,4.99,Hong Kong,5,Yami,Dried Seafood,400,1600,1996
Seafood Curry Ramen 465g,shanbenzhifen,0,7.99,Japan,0,Yami,Dried Seafood,400,1600,3196
"Captain Jiang Cooked Seafood Soup, Frozen 2 Jar / Box 560g",captain jiang,0,45.99,Mainland China,0,Yami,Dried Seafood,100,400,4599
Menraku Ramen Seafood Tonkotsu 82.8g,hikari,2,1.99,Japan,5,Yami,Dried Seafood,400,1600,796
Odongtong Spicy Seafood Udon 120g*4,ottogi,1,4.99,Korea,5,Yami,Dried Seafood,400,1600,1996
Big Cup Noodles Spicy Seafood Flavor 99g,nissin,16,2.5,Japan,4.8,Yami,Dried Seafood,400,1600,1000
Rice Stick Seafood Flavor 75g,koikeya,1,2.09,Japan,5,Yami,Dried Seafood,400,1600,836
Furikake Seas Rst Seaweed Flakes Seafood 30g,shirakiku,0,2.19,Japan,0,Yami,Dried Seafood,400,1600,876
Beijing Seafood Noodle 5Pcs,ottogi,45,4.99,Korea,4.6,Yami,Dried Seafood,400,1600,1996
Seasoned Soy Sauce For Seafood 410ml,lee kum kee,86,3.49,Hong Kong,5,Yami,Dried Seafood,400,1600,1396
Seafood Noodle Soup 5packs,paldo,38,6.29,Korea,4.7,Yami,Dried Seafood,400,1600,2516
SPICY SEAFOOD SOUP 500g,haitai,0,4.99,Korea,0,Yami,Dried Seafood,400,1600,1996
