Title,Title_link,Price,unit_info___32SjE,Headline,Field1,Field3,Field2
"I-Mei Butter Egg Roll, Original Flavor  180 g",https://www.sayweee.com/en/product/I-Mei-Butter-Egg-Roll--Original-Flavor-/94206,$4.99,,"I-Mei Butter Egg Roll, Original Flavor",(174),,
"Beitian Energy 99 Rice Roll, Taro Flavor  180 g",https://www.sayweee.com/en/product/Beitian-Energy-99-Rice-Roll--Taro-Flavor-/36486,$2.99,,"Beitian Energy 99 Rice Roll, Taro Flavor",(12),Taiwan,
Bourbon Baum Roll Cookies 7ct 3.2 oz,https://www.sayweee.com/en/product/Bourbon-Baum-Roll-Cookies-7ct/79825,$1.99,$0.62/oz,Bourbon Baum Roll Cookies 7ct,(16),Japan,BOURBON
Peacock Custard Wafer Rolls 63 g,https://www.sayweee.com/en/product/Peacock-Custard-Wafer-Rolls/12361,$2.99,$0.04/g,Peacock Custard Wafer Rolls,(33),Taiwan,
"Kaman Egg Rolls, Seaweed Flavor 90 g",https://www.sayweee.com/en/product/Kaman-Egg-Rolls--Seaweed-Flavor/38171,$6.99,$0.07/g,"Kaman Egg Rolls, Seaweed Flavor",,Mainland China,Kaman
YAKISS Roll Biscuit Cherry Blossom Matcha Flavor 160 g,https://www.sayweee.com/en/product/YAKISS-Roll-Biscuit-Cherry-Blossom-Matcha-Flavor/16107,$6.99,$0.04/g,YAKISS Roll Biscuit Cherry Blossom Matcha Flavor,(3),Mainland China,
"Karman Egg Rolls, Soybean Milk Flavor 308 g",https://www.sayweee.com/en/product/Karman-Egg-Rolls--Soybean-Milk-Flavor/34322,$8.99,,"Karman Egg Rolls, Soybean Milk Flavor",(1),Mainland China,
ChingTse Sauce Egg Roll Black Sesame Flavor 200 g,https://www.sayweee.com/en/product/ChingTse-Sauce-Egg-Roll-Black-Sesame-Flavor/84526,$25.99,$0.12/g,ChingTse Sauce Egg Roll Black Sesame Flavor,,Taiwan,
Healthful Hazelnut Cocoa Wafer Roll  400 g,https://www.sayweee.com/en/product/Healthful-Hazelnut-Cocoa-Wafer-Roll-/12362,$14.99,$0.03/g,Healthful Hazelnut Cocoa Wafer Roll,(18),Taiwan,Healthful
Sakura Strawberry Egg Rolls 260 g,https://www.sayweee.com/en/product/Sakura-Strawberry-Egg-Rolls/28233,$9.49,$0.03/g,Sakura Strawberry Egg Rolls,(3),Mainland China,
Healthful Brown Sugar Wafer Rolls 400 g,https://www.sayweee.com/en/product/Healthful-Brown-Sugar-Wafer-Rolls/62011,$14.99,$0.03/g,Healthful Brown Sugar Wafer Rolls,(16),Taiwan,Healthful
YAKISS Roll Biscuit Mango Pomelo Sago Flavor 160 g,https://www.sayweee.com/en/product/YAKISS-Roll-Biscuit-Mango-Pomelo-Sago-Flavor/16091,$6.99,$0.04/g,YAKISS Roll Biscuit Mango Pomelo Sago Flavor,(7),Mainland China,
"Kaman Crispy Egg Roll, Durian Flavor 218 g",https://www.sayweee.com/en/product/Kaman-Crispy-Egg-Roll--Durian-Flavor/34323,$4.39,,"Kaman Crispy Egg Roll, Durian Flavor",(3),Mainland China,
Cocoa Egg Rolls 260 g,https://www.sayweee.com/en/product/Cocoa-Egg-Rolls/28232,$9.49,$0.03/g,Cocoa Egg Rolls,(7),Mainland China,
Wei-Chuan Purple Sweet Potato Egg Roll 17.6 oz,https://www.sayweee.com/en/product/Wei-Chuan-Purple-Sweet-Potato-Egg-Roll/79655,$12.49,$0.70/oz,Wei-Chuan Purple Sweet Potato Egg Roll,(3),Mainland China,
Healthful Wafer Roll Strawberry  400 g,https://www.sayweee.com/en/product/Healthful-Wafer-Roll-Strawberry-/91934,$14.99,$0.03/g,Healthful Wafer Roll Strawberry,(12),Taiwan,Healthful
ChingTse Sauce Egg Roll Peanut Butter Flavor 200 g,https://www.sayweee.com/en/product/ChingTse-Sauce-Egg-Roll-Peanut-Butter-Flavor/84525,$25.99,$0.12/g,ChingTse Sauce Egg Roll Peanut Butter Flavor,(2),Taiwan,
