,Product_Name,Price,Reviews,Option,Origin,Rate,Platform,Category,Sold_Weekly
0,Egg Roll Gift Pack 600g,19.99,26,No,Taiwan,4.7,Yami,Egg Roll,50+ Sold
1,Mini Egg Roll Sesame Flavor 114g,3.69,2,2 Options,Taiwan,4.5,Yami,Egg Roll,200+ Sold
2,Mini Egg Roll Original Flavor 114g,3.69,1,2 Options,Taiwan,4.0,Yami,Egg Roll,200+ Sold
3,Egg Roll Sesame Flavor  180g,4.59,11,2 Options,Taiwan,4.9,Yami,Egg Roll,200+ Sold
4,Egg Roll  Egg Yolk Flavor 178g,6.99,46,2 Options,Mainland China,4.8,Yami,Egg Roll,Less than 50
5,CHIO HEONG YUEN Vegetarian Phoenix Egg Roll With Seaweed 150g,8.99,106,No,Macao,4.7,Yami,Egg Roll,Less than 50
6,Japanese Chocolate Egg Roll Limited Edition 7pc,19.99,2,No,Japan,5.0,Yami,Egg Roll,Less than 50
7,BACKERY Egg Roll Bricelets Oeufs 315g,13.99,52,No,Macao,4.8,Yami,Egg Roll,Less than 50
8,Egg Roll Soy Milk Flavor 178g,6.99,26,2 Options,Mainland China,4.9,Yami,Egg Roll,Less than 50
9,Mango Crispy Egg Roll 100g,2.19,0,No,Mainland China,0.0,Yami,Egg Roll,200+ Sold
10,Salted Egg Yolk Roll 309g,12.99,0,No,Unclear,0.0,Yami,Egg Roll,100+ Sold
11,Egg Roll Original 500g,12.99,18,No,United States,4.8,Yami,Egg Roll,200+ Sold
12,Seaweed Egg Roll 80g,4.99,0,No,Mainland China,0.0,Yami,Egg Roll,Less than 50
13,AJI Egg Roll Mango & Pomelo Flavor 218g,6.69,0,No,Mainland China,0.0,Yami,Egg Roll,Less than 50
14,AJI Hong Kong Style Egg Roll Milk Tea Flavored 218g,6.69,0,No,Mainland China,0.0,Yami,Egg Roll,Less than 50
15,Purple Sweet Potato Egg Roll 500g,12.99,5,No,United States,4.2,Yami,Egg Roll,100+ Sold
16,Chocolat Egg Roll 8pc 57.6g,2.89,0,No,Japan,0.0,Yami,Egg Roll,Less than 50
17,Salty Egg Yolk Crisp Egg Roll 218g,3.89,24,5 Options,Mainland China,4.7,Yami,Egg Roll,Less than 50
18,Toasted Egg Roll 178g,7.99,3,No,Mainland China,3.7,Yami,Egg Roll,100+ Sold
19,Egg Roll Sesame Flavor 60g,1.89,111,2 Options,Taiwan,4.5,Yami,Egg Roll,Less than 50
20,Peacock Wafer Roll Egg Pudding Flavor 63g,3.29,0,No,Mainland China,0.0,Yami,Egg Roll,200+ Sold
21,AJI Egg Roll White Peach Flavor 218g,6.79,0,No,Mainland China,0.0,Yami,Egg Roll,Less than 50
22,CHIO HEONG YUEN Mini Egg Roll 150g,7.99,24,No,Macao,4.7,Yami,Egg Roll,50+ Sold
23,Durian Crisp Egg Roll 218g,3.89,13,5 Options,Mainland China,4.8,Yami,Egg Roll,100+ Sold
24,Egg Roll Coconut Flavor,5.49,7,No,Korea,4.0,Yami,Egg Roll,Less than 50
25,Chocolate Flavored Peanut Crisp Egg Roll 218g,4.39,1,5 Options,Mainland China,3.0,Yami,Egg Roll,200+ Sold
26,Cheese Flavor Crispy Egg Roll 218g,3.99,14,5 Options,Mainland China,4.7,Yami,Egg Roll,100+ Sold
27,YAM Twisted  Roll Caramel & Spicy Flavor  88g,1.99,440,2 Options,Mainland China,4.7,Yami,Egg Roll,Less than 50
28,Spicy Fish Roll,0.99,149,No,Mainland China,4.8,Yami,Egg Roll,Less than 50
29,Wafer Roll Condensed Milk Flavor 400g,19.99,0,No,Taiwan,0.0,Yami,Egg Roll,Less than 50
30,10 Nut Roll Purple Sweet Potato Flavor 160g,2.69,0,No,Taiwan,0.0,Yami,Egg Roll,200+ Sold
31,"12 Grain Crispi Roll, Seaweed 180g",2.49,0,No,Taiwan,0.0,Yami,Egg Roll,200+ Sold
32,"12 Grain Crispi Roll, Taro 180g",2.49,0,No,Taiwan,0.0,Yami,Egg Roll,200+ Sold
33,LIOUCIOU FU WEI Handmade Twisted Roll Brown Sugar 200g,3.89,125,5 Options,Taiwan,4.8,Yami,Egg Roll,Less than 50
34,LIOUCIOU FU WEI Handmade Twisted Roll Sesame Flavor 200g,3.89,34,5 Options,Taiwan,4.9,Yami,Egg Roll,Less than 50
35,SURA JOONGMA-GO Laver Roll Cookie Cracker 365g,5.99,25,No,Korea,4.4,Yami,Egg Roll,Less than 50
36,Wafer Roll Chocolate 400g,14.99,2,No,Taiwan,5.0,Yami,Egg Roll,Less than 50
37,Chocolate and Caramel Crispy Wafer Roll 185g,5.99,4,No,Japan,5.0,Yami,Egg Roll,Less than 50
38,Wafer Roll Coffee 400g,15.99,2,No,Taiwan,5.0,Yami,Egg Roll,Less than 50
39,Roll Cake Vanilla 91g,2.69,9,No,Japan,4.4,Yami,Egg Roll,Less than 50
40,Pizza Roll 25g,0.99,22,No,Mainland China,4.6,Yami,Egg Roll,300+ Sold
41,Crispy Rice Treats Salted Egg Yolk Flavor 118g,3.49,932,No,Mainland China,4.6,Yami,Egg Roll,Less than 50
42,BACKERY Phoenix Egg Rolls 300g,13.49,13,No,Macao,4.8,Yami,Egg Roll,200+ Sold
43,Salted Egg Yolks Filled Egg Rolls 220g,5.49,0,No,Mainland China,0.0,Yami,Egg Roll,Less than 50
44,Peanut Love Egg Rolls 8 packs 400g,38.99,8,No,Taiwan,5.0,Yami,Egg Roll,50+ Sold
45,Cheese Filled Egg Rolls 220g,5.49,0,No,Mainland China,0.0,Yami,Egg Roll,Less than 50
46,Japanese style egg rolls-boba tea flavor 160g,7.29,0,No,Hong Kong,0.0,Yami,Egg Roll,Less than 50
47,Salted Egg Yolk Cookie Rolls 74g,1.89,11,3 Options,Japan,4.2,Yami,Egg Roll,100+ Sold
48,Year of Tiger Special Edition Salted Egg Yolk Crispy Egg Rolls 308g*2,8.49,0,No,Mainland China,0.0,Yami,Egg Roll,200+ Sold
49,Tuna Flavor Egg Rolls 60g,4.29,1,No,Taiwan,5.0,Yami,Egg Roll,200+ Sold
50,Energy 99 Rice Roll Egg Yolk Flavor 180g,2.59,481,4 Options,Taiwan,4.8,Yami,Egg Roll,Less than 50
51,Energy 99 Egg Roll Creamy Corn Flavor 100g,2.29,25,4 Options,Taiwan,4.3,Yami,Egg Roll,Less than 50
52,Energy 99 Egg Roll 180g -Pumpkin Flavor,2.29,32,4 Options,Taiwan,4.3,Yami,Egg Roll,Less than 50
53,Egg Roll Chocolate Flavor 62g,1.99,8,No,Korea,4.8,Yami,Egg Roll,Less than 50
54,Bathe Soft Fragrance Body milk After Bath 80g,14.05,0,No,Japan,0.0,Yami,Egg Roll,Less than 50
55,NATURAL EGG Bathe Soft Fragrance Body Gelato After Bath 100ml,14.49,0,No,Japan,0.0,Yami,Egg Roll,Less than 50
56,NATURAL EGG Bathe Soft Fragrance Body Gelato Fresh Soap 100ml,14.49,0,No,Japan,0.0,Yami,Egg Roll,Less than 50
57,NATURAL EGG Bathe Soft Fragrance Body milk Morning Shower 80g,14.49,0,No,Japan,0.0,Yami,Egg Roll,Less than 50
58,Corn Roll-Japanese Style Grilled Seaweed  100g,2.39,6,No,Taiwan,4.7,Yami,Egg Roll,200+ Sold
59,Soybean Roll 14pc 6.35oz,5.99,1,No,Mainland China,5.0,Yami,Egg Roll,200+ Sold
60,Golden Soybean Roll 167g,5.29,0,No,Mainland China,0.0,Yami,Egg Roll,Less than 50
61,Baked Cake-Roll Cake(Nama Baumkuchen)  295g,4.99,126,No,Japan,4.6,Yami,Egg Roll,Less than 50
62,Peacock Wafer Roll Coffee Flavor 63g,3.29,0,No,Mainland China,0.0,Yami,Egg Roll,200+ Sold
63,Lactobacillus Hawthorn Roll,5.99,2,No,Mainland China,4.0,Yami,Egg Roll,200+ Sold
64,Sushi Nori with Sushi Roll 56g,7.99,0,No,Mainland China,0.0,Yami,Egg Roll,200+ Sold
65,【Frozen】A5 Sliced Chuck Eye Roll 1.5mm(A5),79.99,0,No,Japan,0.0,Yami,Egg Roll,Less than 50
66,【Frozen】Cinseed Clay Oven Roll 540g,4.99,1,No,Mainland China,5.0,Yami,Egg Roll,200+ Sold
67,Hello Kitty Grains Rice Roll (Package Color Sent Randomly) 160g,2.99,81,No,Taiwan,4.9,Yami,Egg Roll,Less than 50
68,Egg Flavor Soft Flour Cake 608g,5.99,151,4 Options,Mainland China,4.9,Yami,Egg Roll,Less than 50
69,Mini Roll Cake Chocolate Flavor 70g,2.99,7,3 Options,Japan,4.6,Yami,Egg Roll,Less than 50
70,Seaweed Pork Floss Egg Roll 100g*1,11.9,0,No,Mainland China,0.0,Yami,Egg Roll,200+ Sold
71,Biscuit Roll Orange Flavor 60g,2.29,3,No,Taiwan,3.3,Yami,Egg Roll,200+ Sold
72,Beancurd Roll 300g,3.99,0,No,Mainland China,0.0,Yami,Egg Roll,200+ Sold
73,GuangYang Cooked Salted Duck Egg 390g,3.99,263,No,Mainland China,4.8,Yami,Egg Roll,Less than 50
74,Chestnuts Tarto Roll 293g,9.99,2,No,Japan,5.0,Yami,Egg Roll,200+ Sold
75,Soybean Roll 325g,9.99,9,No,Mainland China,4.4,Yami,Egg Roll,200+ Sold
76,Hawthorn Roll (L) 120g,1.89,46,No,Mainland China,4.7,Yami,Egg Roll,Less than 50
77,Yuba Roll 500g,3.59,5,No,Mainland China,5.0,Yami,Egg Roll,200+ Sold
78,Z Roll Potato Stick Original Flavor 72g,3.49,34,No,Thailand,4.8,Yami,Egg Roll,Less than 50
79,Deka Choco Wafer Roll 360g,4.49,15,No,Indonesia,4.2,Yami,Egg Roll,Less than 50
