Title_link,Price,Headline,DetailPrice,Origin,Field1,Field2
,,,,,,
https://www.freshgogo.com/pc/goodsDescribe?id=34496,$5.99,999 Yanyan Pian,$5.99,China,5393 sold,1
https://www.freshgogo.com/pc/goodsDescribe?id=29409,$4.29,ANJOY Glutinous Rice Ball (red bean),$4.29,China,9903 sold,3
https://www.freshgogo.com/pc/goodsDescribe?id=9966,$2.89,XIAO GAOBEIDIAN Shredded Soy Tofu (original),$2.89,,17761 sold,15
https://www.freshgogo.com/pc/goodsDescribe?id=42560,$8.99,MENGNIU Yogurt Cube (almond),$8.99,China,7230 sold,0
https://www.freshgogo.com/pc/goodsDescribe?id=10861,$4.19,LOTUS Special Tofu,$4.19,,13140 sold,28
https://www.freshgogo.com/pc/goodsDescribe?id=32503,$4.19,HE PAI Green Bean,$4.19,,12728 sold,9
https://www.freshgogo.com/pc/goodsDescribe?id=28521,$20.95,Duck Blood in Sour Spicy Oil,$20.95,,5833 sold,5
https://www.freshgogo.com/pc/goodsDescribe?id=42097,$1.99,QUEENS'S Sweet Potato Starch,$1.99,,10940 sold,5
https://www.freshgogo.com/pc/goodsDescribe?id=11234,$13.95,Marinated Grouper,$13.95,,5845 sold,39
https://www.freshgogo.com/pc/goodsDescribe?id=32549,$5.19,Dried Fungus,$5.19,China,11400 sold,4
https://www.freshgogo.com/pc/goodsDescribe?id=13223,$16.75,Spicy Sausage,$16.75,,3973 sold,49
https://www.freshgogo.com/pc/goodsDescribe?id=21774,$5.95,Twisted Doughnut,$5.95,,5424 sold,27
https://www.freshgogo.com/pc/goodsDescribe?id=32367,$3.79,WEI CHUAN Organic Red Bean,$3.79,,11816 sold,5
https://www.freshgogo.com/pc/goodsDescribe?id=34625,$3.49,ZUMING Wheat Gluten,$3.49,China,5118 sold,1
https://www.freshgogo.com/pc/goodsDescribe?id=36751,$1.89,KORIYAMA'S Light Cheese Cake,$1.89,Japan,9055 sold,1
https://www.freshgogo.com/pc/goodsDescribe?id=13052,$8.25,Deep Fried Cruller,$8.25,,4753 sold,26
https://www.freshgogo.com/pc/goodsDescribe?id=18731,$8.69,Sauteed Shredded Pork with Sweet-Bean(Frozen),$8.69,,8077 sold,18
https://www.freshgogo.com/pc/goodsDescribe?id=28453,$2.19,Large Spiced Dry Tofu,$2.19,Taiwan,17505 sold,4
https://www.freshgogo.com/pc/goodsDescribe?id=28385,$4.29,SYNEAR Chinese Style Pancake (original),$4.29,,8662 sold,5
https://www.freshgogo.com/pc/goodsDescribe?id=32463,$9.69,SIHONG Xin Jiang Jujube,$9.69,China,10764 sold,15
