Title,Title_link,Price,count___1LWwo,unit_info___32SjE,Headline,Field1,Field2,Field3
Jeagueijih Konjac Jelly Lychee 11 oz,https://www.sayweee.com/en/product/Jeagueijih-Konjac-Jelly-Lychee/3922,$3.49,1K+ Sold,$0.31/oz,Jeagueijih Konjac Jelly Lychee,(307),Taiwan,Jeagueijih
Orihiro Apple & Grape Konjac Jelly 12 pcs 1 each,https://www.sayweee.com/en/product/Orihiro-Apple---Grape-Konjac-Jelly-12-pcs/3165,$4.99,1K+ Sold,$4.99/each,Orihiro Apple & Grape Konjac Jelly 12 pcs,(55),Japan,ORIHIRO
"ORIHIRO Konjac Jelly, Peach snd Pink Grapefruit Flavors 12pcs 240 g",https://www.sayweee.com/en/product/ORIHIRO-Konjac-Jelly--Peach-snd-Pink-Grapefruit-Flavors-12pcs/31612,$4.99,700+ Sold,,"ORIHIRO Konjac Jelly, Peach snd Pink Grapefruit Flavors 12pcs",(10),Japan,ORIHIRO
"ORIHIRO Konjac Jelly Lemon, Hokkaido Melon, and Grape Flavor 6pcs 240 g",https://www.sayweee.com/en/product/ORIHIRO-Konjac-Jelly-Lemon--Hokkaido-Melon--and-Grape-Flavor-6pcs/32853,$3.49,"400+ Sold,97 Left",,"ORIHIRO Konjac Jelly Lemon, Hokkaido Melon, and Grape Flavor 6pcs",(2),Japan,ORIHIRO
Orihiro Jelly Strawberry 6pcs 120 g,https://www.sayweee.com/en/product/Orihiro-Jelly-Strawberry-6pcs/84254,$3.09,600+ Sold,,Orihiro Jelly Strawberry 6pcs,(3),Japan,
"ORIHIRO Konjac Jelly, Lemon and Hokkaido Melon Flavor 12pcs 240 g",https://www.sayweee.com/en/product/ORIHIRO-Konjac-Jelly--Lemon-and-Hokkaido-Melon-Flavor-12pcs/31611,$4.99,200+ Sold,,"ORIHIRO Konjac Jelly, Lemon and Hokkaido Melon Flavor 12pcs",(3),Japan,ORIHIRO
Dragonfly Mini Jelly Cup Jar 56 oz,https://www.sayweee.com/en/product/Dragonfly-Mini-Jelly-Cup-Jar/48652,$7.59,,$0.13/oz,Dragonfly Mini Jelly Cup Jar,,Malaysia,
"Orihiro Jelly, Apple Flavor 6pcs 120 g",https://www.sayweee.com/en/product/Orihiro-Jelly--Apple-Flavor-6pcs/79405,$3.09,500+ Sold,,"Orihiro Jelly, Apple Flavor 6pcs",(4),Japan,
Black Ball Premium Grass Jelly 3pk  13.8 oz,https://www.sayweee.com/en/product/Black-Ball-Premium-Grass-Jelly-3pk-/39982,$4.49,1K+ Sold,$0.32/oz,Black Ball Premium Grass Jelly 3pk,(492),United States,
Jeagueijih Konjac Jelly Passion Fruit 11 oz,https://www.sayweee.com/en/product/Jeagueijih-Konjac-Jelly-Passion-Fruit/3923,$3.79,1K+ Sold,$0.34/oz,Jeagueijih Konjac Jelly Passion Fruit,(308),Taiwan,Jeagueijih
Hawthorn Jelly 135 g,https://www.sayweee.com/en/product/Hawthorn-Jelly/18296,$3.69,700+ Sold,,Hawthorn Jelly,(29),Mainland China,
Bestore Assorted Hawthorn Jelly Bag 500 g,https://www.sayweee.com/en/product/Bestore-Assorted-Hawthorn-Jelly-Bag/3865,$6.99,500+ Sold,,Bestore Assorted Hawthorn Jelly Bag,(61),Mainland China,
Yida Hawthorn Hard Jelly  150 g,https://www.sayweee.com/en/product/Yida-Hawthorn-Hard-Jelly-/31293,$1.99,500+ Sold,,Yida Hawthorn Hard Jelly,(77),Mainland China,
Orihiro Muscat and Orange Konjac Jelly 12 pc 1 each,https://www.sayweee.com/en/product/Orihiro-Muscat-and-Orange-Konjac-Jelly-12-pc/3331,$4.99,400+ Sold,$4.99/each,Orihiro Muscat and Orange Konjac Jelly 12 pc,(52),Japan,ORIHIRO
Orihiro 0kcal Jelly Green Grape Flavor 130 g,https://www.sayweee.com/en/product/Orihiro-0kcal-Jelly-Green-Grape-Flavor/84253,$2.99,400+ Sold,,Orihiro 0kcal Jelly Green Grape Flavor,(1),Japan,
Tarami Mango Jelly Pouch 150 g,https://www.sayweee.com/en/product/Tarami-Mango-Jelly-Pouch/83518,$2.19,400+ Sold,,Tarami Mango Jelly Pouch,(20),Japan,
"Tarami Konnyaku Jelly Drink, Apple Flavor  150 g",https://www.sayweee.com/en/product/Tarami-Konnyaku-Jelly-Drink--Apple-Flavor-/162,$1.49,"400+ Sold,5 Left",,"Tarami Konnyaku Jelly Drink, Apple Flavor",(17),Japan,Tarami
Dr. Liv Konjac Jelly Peach Flavor  150 g,https://www.sayweee.com/en/product/Dr--Liv-Konjac-Jelly-Peach-Flavor-/84785,$2.19,"400+ Sold,44 Left",,Dr. Liv Konjac Jelly Peach Flavor,(1),South Korea,
Konjac Jelly Mango 11 oz,https://www.sayweee.com/en/product/Konjac-Jelly-Mango/35179,$3.99,300+ Sold,$0.36/oz,Konjac Jelly Mango,(49),Taiwan,
Black Ball Aiyu Jelly 13.8 oz,https://www.sayweee.com/en/product/Black-Ball-Aiyu-Jelly/51916,$4.49,300+ Sold,$0.32/oz,Black Ball Aiyu Jelly,(144),United States,
Black Ball Matcha Jelly 3ct 13.8 oz,https://www.sayweee.com/en/product/Black-Ball-Matcha-Jelly-3ct/14239,$4.99,300+ Sold,$0.36/oz,Black Ball Matcha Jelly 3ct,(43),United States,
ORIHIRO Konjac Jelly White Peach Stand-Up Pouch 130 g,https://www.sayweee.com/en/product/ORIHIRO-Konjac-Jelly-White-Peach-StandUp-Pouch/6135,$2.99,"200+ Sold,24 Left",,ORIHIRO Konjac Jelly White Peach Stand-Up Pouch,(4),Japan,
"Orihiro Konjac Jelly, Grape  130 g",https://www.sayweee.com/en/product/Orihiro-Konjac-Jelly--Grape-/6134,$2.99,200+ Sold,,"Orihiro Konjac Jelly, Grape",(5),Japan,
Orihiro Jelly Apple and Orange Flavors 12pcs 240 g,https://www.sayweee.com/en/product/Orihiro-Jelly-Apple-and-Orange-Flavors-12pcs/84250,$4.90,200+ Sold,,Orihiro Jelly Apple and Orange Flavors 12pcs,,Japan,
Mi Dulce Mexico Jelly Cups 8 count,https://www.sayweee.com/en/product/Mi-Dulce-Mexico-Jelly-Cups/2425,$1.59,200+ Sold,$0.19/count,Mi Dulce Mexico Jelly Cups,(4),Mainland China,Mi Dulce Mexico
Dr. Liv Konjac Jelly Blueberry Flavor  150 g,https://www.sayweee.com/en/product/Dr--Liv-Konjac-Jelly-Blueberry-Flavor-/67029,$1.99,200+ Sold,,Dr. Liv Konjac Jelly Blueberry Flavor,(10),South Korea,
Big Green Hawthorn Jelly Candy 3.3 oz,https://www.sayweee.com/en/product/Big-Green-Hawthorn-Jelly-Candy/97897,$1.59,100+ Sold,$0.48/oz,Big Green Hawthorn Jelly Candy,(54),Mainland China,Big Green
Jinye Hawthorn Jelly Stick 108 g,https://www.sayweee.com/en/product/Jinye-Hawthorn-Jelly-Stick/84457,$3.29,100+ Sold,$0.03/g,Jinye Hawthorn Jelly Stick,,Mainland China,
Orihiro 0kcal Jelly Honey Lemon 130 g,https://www.sayweee.com/en/product/Orihiro-0kcal-Jelly-Honey-Lemon/84252,$2.99,100+ Sold,,Orihiro 0kcal Jelly Honey Lemon,(1),Japan,
"Aji Kojac Jelly, Peach and Mango Flavor 260 g",https://www.sayweee.com/en/product/Aji-Kojac-Jelly--Peach-and-Mango-Flavor/7204,$4.99,100+ Sold,,"Aji Kojac Jelly, Peach and Mango Flavor",,Mainland China,AJI
ORIHIRO Jelly Peach and Kyoho Grape Flavor 12pc 240 g,https://www.sayweee.com/en/product/ORIHIRO-Jelly-Peach-and-Kyoho-Grape-Flavor-12pc/13083,$4.99,100+ Sold,,ORIHIRO Jelly Peach and Kyoho Grape Flavor 12pc,(21),Japan,ORIHIRO
Konjac jelly drink peach flavor 130 g,https://www.sayweee.com/en/product/Konjac-jelly-drink-peach-flavor/85106,$1.69,100+ Sold,,Konjac jelly drink peach flavor,,Mainland China,
Konjac jelly drink grape flavor 130 g,https://www.sayweee.com/en/product/Konjac-jelly-drink-grape-flavor/85105,$1.69,100+ Sold,,Konjac jelly drink grape flavor,,Mainland China,
"Aji Konjac Jelly, Lychee and Pineapple Flavor 260 g",https://www.sayweee.com/en/product/Aji-Konjac-Jelly--Lychee-and-Pineapple-Flavor/7205,$5.19,100+ Sold,,"Aji Konjac Jelly, Lychee and Pineapple Flavor",(1),Mainland China,AJI
Orihiro 0kcal Jelly Apple Drink 130 g,https://www.sayweee.com/en/product/Orihiro-0kcal-Jelly-Apple-Drink/18927,$2.99,50+ Sold,,Orihiro 0kcal Jelly Apple Drink,(1),Japan,
Orihiro 0kcal Jelly Orange Flavor 130 g,https://www.sayweee.com/en/product/Orihiro-0kcal-Jelly-Orange-Flavor/84251,$2.99,50+ Sold,,Orihiro 0kcal Jelly Orange Flavor,,Japan,
"Shirakiku Jelly Cup, Peach Flavor 2ct 200 g",https://www.sayweee.com/en/product/Shirakiku-Jelly-Cup--Peach-Flavor-2ct/75348,$3.49,50+ Sold,,"Shirakiku Jelly Cup, Peach Flavor 2ct",(13),,
