,Product_Name,Brand,Option,Price,Reviews,Origin,Rate,Platform,Category,Sold_Weekly
0,Low Calories Konjac Jelly Drink Peach Flavor 150ml,jelly.b,10 Options,1.1,280,Korea,4.8,Yami,Jelly,400+ Sold
1,Low Calories Konjac Jelly Drink Lychee Flavor 150ml,jelly.b,10 Options,1.69,137,Korea,4.7,Yami,Jelly,400+ Sold
2,Low Calories Konjac Jelly Drink Blueberry Flavor 150ml,jelly.b,10 Options,1.69,75,Korea,4.7,Yami,Jelly,400+ Sold
3,Low Calories Konjac Jelly Drink Watermelon Flavor 150ml,jelly.b,10 Options,1.69,120,Korea,4.3,Yami,Jelly,400+ Sold
4,Low Calories Konjac Jelly Drink Apple Flavor 150ml,jelly.b,10 Options,1.69,124,Korea,4.8,Yami,Jelly,400+ Sold
5,"Low Calories Konjac Jelly Drink Jeju Mandarin Flavor, 150ml",jelly.b,10 Options,1.69,2,Korea,4.5,Yami,Jelly,400+ Sold
6,WAKASHOU Grape Flavor 204g,chia seed jelly,4 Options,5.29,8,Japan,5.0,Yami,Jelly,Less than 50
7,JINJIN Passion Fruit Flavor Jelly  480g,jingjing,4 Options,1.59,31,Taiwan,4.4,Yami,Jelly,200+ Sold
8,Turtle Jelly Guilinggao Mangosteen Flavor 250g,coins,No,1.49,22,Mainland China,4.8,Yami,Jelly,200+ Sold
9,Jelly Cup Mix Fruit Flavor 320g,new town,No,1.29,28,Vietnam,4.8,Yami,Jelly,400+ Sold
10,Purunchuchu Toy Jelly 5g,heart,No,3.49,1,Japan,5.0,Yami,Jelly,400+ Sold
11,Konjac Jelly Grapefruit 150g,dr.liv,16 Options,1.85,62,Korea,4.9,Yami,Jelly,400+ Sold
12,CICI Jelly Drink Mango Flavor 150g,strongfood,9 Options,1.19,100,Mainland China,4.8,Yami,Jelly,400+ Sold
13,Konjac Jelly Peach 150g,dr.liv,16 Options,1.85,83,Korea,4.9,Yami,Jelly,400+ Sold
14,Kommyaku Jelly Peach Flavor 130g,orihiro,7 Options,2.19,49,Japan,4.5,Yami,Jelly,400+ Sold
15,SCHENG Lychee Coconut Jelly 280g,trikofoods,2 Options,1.49,131,Taiwan,4.9,Yami,Jelly,400+ Sold
16,Passion Fruit Jelly Drink 220g,chen jiah juang,No,2.89,0,Taiwan,0.0,Yami,Jelly,200+ Sold
17,Mini Rabbit Jelly Cup 4.5oz,dragonfly brand,No,4.29,0,Mainland China,0.0,Yami,Jelly,Less than 50
