Price,Headline,DetailPrice,Origin,Field1,Field2
$2.29,TARAMI Momo Jelly,$2.29,Japan,14026 sold,8
$1.49,JELLY B Drinkable Konjac Jelly (watermelon),$1.49,Korea,9401 sold,2
$2.29,TARAMI Orange Jelly,$2.29,Japan,11963 sold,6
$1.79,JELLY B Drinkable Konjac Jelly (Jeju mandarin),$1.79,Korea,6295 sold,0
$1.79,JELLY B Drinkable Konjac Jelly (peach),$1.79,Korea,7504 sold,1
$2.99,TARAMI Big Cup Jelly,$2.99,Japan,11384 sold,0
$2.99,JUBES Coconut Gel (orginal),$2.99,Japan,5927 sold,0
$1.49,ASIAN TASTE Grass Jelly,$1.49,Taiwan,4518 sold,4
$1.79,JELLY B Drinkable Konjac Jelly (lychee),$1.79,Korea,6984 sold,0
$1.59,CHIN CHIN Grass Jelly Drink,$1.59,Taiwan,4489 sold,0
$2.99,JUBES Coconut Gel (lychee),$2.99,Japan,5395 sold,0
$1.89,Deluxe Grass Jelly Dessert,$1.89,Taiwan,13850 sold,0
$0.69,KANGYAKU Konjac Powder,$0.69,China,6516 sold,1
$1.89,Red Bean with Jelly in Syrup,$1.89,Taiwan,5859 sold,0
$1.09,LIANGGAO WELL Rice Cake with Brown Sugar Syrup (Sale),$1.09,China,1594 sold,2
$2.29,TARAMI Aloe Yogurt Jelly,$2.29,Japan,2468 sold,2
$3.99,SUNITY Herbal Jelly (original),$3.99,China,5297 sold,0
$5.99,TAISUN Grass Jelly Drink,$5.99,Taiwan,4669 sold,2
$8.99,JINJIN Assorted Flavor Coconut Jelly,$8.99,Taiwan,6621 sold,0
$3.99,SUNITY Herbal Jelly (rock sugar and lily bulb),$3.99,China,6137 sold,1
$1.79,JELLY B Drinkable Konjac Jelly (grape),$1.79,Korea,10018 sold,1
$4.19,CHIGUOZI Fruit Jelly (mango),$4.19,Taiwan,2308 sold,0
$1.79,JELLY B Drinkable Konjac Jelly (watermelon),$1.79,Korea,9401 sold,2
$2.59,BEAR COMING Grass Jelly,$2.59,China,4700 sold,2
$3.99,SUNITY Herbal Jelly (rock sugar and lotus seed),$3.99,China,6509 sold,1
$11.5,Jelly Fish Golden Mushroom,$11.5,,4881 sold,0
$6.5,Grass Jelly,$6.5,,2062 sold,3
$8.95,Jelly Fish with Turnip,$8.95,,3010 sold,2
$8.5,Spicy Mung Bean Jelly,$8.5,,2222 sold,28
$7.25,Herbal Jelly,$7.25,,1704 sold,9
$3.5,Bing Fen,$3.5,,5610 sold,0
$7.95,Pork Skin Jelly,$7.95,,4450 sold,0
