Product_Name,Price,Sold_Weekly,Origin,Brand,Reviews,Sold_Monthly,Weekly_Revenue,Platform,Category,Rate
"Wang Korea BBQ Bong Korean Fish Sausage, Barbecue Flavor 10ct 340 g",6.49,300,South Korea,Wang Korea,38,1200,1947,Weee,Jerky,Unclear
Yeo's Singapore Inspired Honey Glazed Pork Bites 4 oz,7.99,200,United States,Yeo's,11,800,1598,Weee,Jerky,Unclear
Ching Yeh Pork Sung 4 oz,3.99,300,United States,,100,1200,1197,Weee,Jerky,Unclear
HTY Original Beef Jerky 2.75 oz,6.99,100,Taiwan,,25,400,699,Weee,Jerky,Unclear
HTY Spicy Beef Jerky  78 g,6.99,50,United States,,31,200,350,Weee,Jerky,Unclear
Chicken Paw with Pickled Peppers 200 g,5.99,1000,Mainland China,,11,4000,5990,Weee,Jerky,Unclear
Perky Jerky Chimichurri Wagyu Beef 2.2 oz,7.99,0,United States,,2,0,0,Weee,Jerky,Unclear
Duke's Hot & Spicy Smoked Shorty Sausage  142 g,6.99,0,United States,,1,0,0,Weee,Jerky,Unclear
Perky Jerky Salt & Pepper Wagyu Beef 2.2 oz,7.99,50,United States,Perky Jerky,0,200,400,Weee,Jerky,Unclear
"Old Country Beef Jerky, Original Flavor  80 g",12.69,0,United States,,23,0,0,Weee,Jerky,Unclear
"Silver Horn Beef Jerky, Lemongrass 8 oz",11.99,50,United States,,6,200,600,Weee,Jerky,Unclear
Bach Cuc Beef Jerky Curry Flavor 8 oz,13.99,0,Vietnam,,0,0,0,Weee,Jerky,Unclear
"Vegetarian Jerkey, Spicy Chicken Flavor  108 g",1.99,200,Mainland China,,4,800,398,Weee,Jerky,Unclear
"Bach Cuc Beef Jerky, Sesame Flavor 8 oz",12.99,50,United States,Bach Cuc,6,200,650,Weee,Jerky,Unclear
Yeo's Singapore Inspired Honey Sriracha Glazed Pork Bites 4 oz,7.99,0,United States,,5,0,0,Weee,Jerky,Unclear
"Suniupai Vegetarian Beef Steak, Cumin Flavor  90 g",1.99,200,Mainland China,,10,800,398,Weee,Jerky,Unclear
King's Fruit Flavored Beef Jerky 8 oz,17.99,0,United States,,8,0,0,Weee,Jerky,Unclear
"Chicken Paw with Pickled Peppers, Lemon Flavor 200 g",5.99,100,Mainland China,,2,400,599,Weee,Jerky,Unclear
"Suniupai Vegetarian Beef Steak, Spicy Flavor 90 g",1.99,200,Mainland China,,4,800,398,Weee,Jerky,Unclear
King's Teriyaki Beef Jerky Strip 8 oz,17.99,0,United States,King's,4,0,0,Weee,Jerky,Unclear
Chinese Brand Hot Beef Jerky 1.5 oz,3.49,200,United States,,11,800,698,Weee,Jerky,Unclear
Chicken Paw with Chinese Sauerkraut 200 g,5.99,50,Mainland China,,0,200,300,Weee,Jerky,Unclear
Hsin Tung Yang Peppered Beef Jerky 2.75 oz,6.99,0,United States,HSIN TUNG YANG,4,0,0,Weee,Jerky,Unclear
HYT Sweet and Spicy Beef Jerky 2.75 oz,6.99,50,Taiwan,,32,200,350,Weee,Jerky,Unclear
Chinese Preserved Pork Floss 4 oz,3.99,0,United States,,23,0,0,Weee,Jerky,Unclear
