Product_Name,Brand,Price,Reviews,Origin,Rate,Platform,Category,Sold_Weekly,Sold_Monthly,Weekly_Revenue
Original Beef Jerky 170g,hsintungyang,12.99,1,Taiwan,4,Yami,Jerky,25,100,325
Spicy Flavor Beef Jerky 80g,old farm,12.49,0,Taiwan,0,Yami,Jerky,300,1200,3747
CHINESE BRAND Hot Flavor Beef Jerky 42.52g,chinesebrandbeefjerky,3.19,65,United States,4,Yami,Jerky,400,1600,1276
Mild Spicy Flavor Beef Jerky 80g,old farm,12.49,0,Taiwan,0,Yami,Jerky,300,1200,3747
Original Flavor Beef Jerky 80g,old farm,12.49,0,Taiwan,0,Yami,Jerky,300,1200,3747
King's Fruit Flavored Beef Jerky 227g,king?€?s,21.99,3,Taiwan,3.7,Yami,Jerky,100,400,2199
Black Pepper Flavor Beef Jerky 80g,old farm,12.49,0,Taiwan,0,Yami,Jerky,300,1200,3747
Extra Spicy Flavor Beef Jerky 80g,old farm,12.49,0,Taiwan,0,Yami,Jerky,300,1200,3747
Hot Fruit Flavored Beef Jerky 170g USDA Certified,hsintungyang,11.99,15,Taiwan,4.3,Yami,Jerky,400,1600,4796
Garlic Flavor Beef Jerky 80g,old farm,12.49,0,Taiwan,0,Yami,Jerky,300,1200,3747
CHINESE BRAND Fruit Flavor Beef Jerky 42.52g,chinesebrandbeefjerky,3.99,32,United States,3.7,Yami,Jerky,50,200,200
Sweet Flavored Beef Jerky 170g USDA Certified,hsintungyang,11.99,12,Taiwan,4.7,Yami,Jerky,100,400,1199
Dried Hot Beef Jerky 170g USDA Certified,hsintungyang,11.99,10,Taiwan,3.8,Yami,Jerky,100,400,1199
Jerky Fruit Mango  100% Organic 23g,solely,2.19,1,United States,5,Yami,Jerky,300,1200,657
Jerky Fruit Banana w/Cacao  100% Organic 23g,solely,2.19,0,United States,0,Yami,Jerky,300,1200,657
"Vegan Jerky Original Flavor Plant Based Protein,7.5 oz",little jasmine,13.99,2,United States,5,Yami,Jerky,25,100,350
Jerky Fruit Banana w/Pecan  100% Organic 23g,solely,2.19,0,United States,0,Yami,Jerky,300,1200,657
Vegan Jerky Wasabi flavor 7.5oz,little jasmine,13.99,0,United States,0,Yami,Jerky,25,100,350
"Vegan Jerky Black Pepper Flavor Plant Based Protein,7.5oz",little jasmine,13.99,0,United States,0,Yami,Jerky,25,100,350
Tender Duck Jerky Treats 8oz (Pack of 2),alpha dog series,22.99,0,Korea,0,Yami,Jerky,100,400,2299
Tender Duck Jerky Treats 8oz (Pack of 5),alpha dog series,49.99,0,Korea,0,Yami,Jerky,300,1200,14997
Tender Duck Jerky Treats 8oz (Pack of 1),alpha dog series,15,0,Korea,0,Yami,Jerky,25,100,375
Vital Dried Pork Jerky Sweet Flavor 170g,vital brand,16.99,13,United States,4.4,Yami,Jerky,400,1600,6796
Vital Dried Pork Jerky Spicy Flavor 170g,vital brand,16.99,10,United States,3.6,Yami,Jerky,400,1600,6796
Vital Dried Beef Jerky Regular Flavor 170g,vital brand,16.99,8,United States,4.9,Yami,Jerky,400,1600,6796
Vital Dried Beef Jerky Spicy Flavor 170g,vital brand,16.99,10,United States,4.7,Yami,Jerky,400,1600,6796
Vital Dried Beef Jerky Fruit Flavor 170g,vital brand,16.99,3,United States,5,Yami,Jerky,100,400,1699
Spicy Beef Jerky Chili Oil Flavor 100g,yumei,5.99,209,Mainland China,4.7,Yami,Jerky,400,1600,2396
CHINESE BRAND Hot Fruit Flavor Beef Jerky 43g,chinesebrandbeefjerky,3.19,19,United States,4.2,Yami,Jerky,200,800,638
Spicy Beef Jerky 226g,king?€?s,17.99,9,Taiwan,5,Yami,Jerky,400,1600,7196
Hot Fruit Flavored Beef Jerky 340g USDA Certified,hsintungyang,19.99,1,Taiwan,5,Yami,Jerky,100,400,1999
CHINESE BRAND Five Spice Flavor Beef Jerky 43g,chinesebrandbeefjerky,3.19,63,United States,3.5,Yami,Jerky,400,1600,1276
Dried Beef Jerky 170g USDA Certified,hsintungyang,11.99,10,Taiwan,4.8,Yami,Jerky,100,400,1199
