Product_Name,Reviews,Price,Option,Origin,Rate,Platform,Category,Sold_Weekly,Sold_Monthly,Weekly_Revenue
Pumpkin + Manuka Honey Juice Squeeze 7 Packets x 30ml,33,19.99,No,Australia,4.8,Yami,Juice,25,100,500
Multi-Functional Automatic and Self Cleaning Soy Milk Maker Food Steamer Coffee Maker Juice Maker Sterilizer DJ12M-K9S,8,499.99,2 Options,Mainland China,4.9,Yami,Juice,25,100,12500
Full Score Micro Bubble Juice Wanglin Green Apple 380ml,8,1.8,2 Options,Mainland China,4.8,Yami,Juice,200,800,360
VITA Lychee Juice 250ml,102,0.79,7 Options,Hong Kong,4.7,Yami,Juice,25,100,20
Sparkling Yuzu Juice 250ml,40,3.49,4 Options,Japan,4.5,Yami,Juice,25,100,87
Pulp Coconut Juice Vegetable Protein Drink 360ml,0,3.29,No,Mainland China,0,Yami,Juice,200,800,658
Star Fruit Juice 580ml,0,2.89,No,Taiwan,0,Yami,Juice,200,800,578
VITA Blackcurrant Juice 250ml,79,0.79,7 Options,Hong Kong,4.7,Yami,Juice,25,100,20
VITA Sugarcane Juice Drink 250ml,79,0.79,7 Options,Hong Kong,3.6,Yami,Juice,25,100,20
VITA Guava Juice Drink 250ml,116,0.79,7 Options,Hong Kong,4.5,Yami,Juice,25,100,20
VITA Mango Juice 250ml,94,0.79,7 Options,Hong Kong,4.4,Yami,Juice,25,100,20
Coconut Juice W/Pulp 500ml,0,1.79,No,Mainland China,0,Yami,Juice,200,800,358
Konjaku Juice Jelly-Strawbrry Flavor 110g,0,2.99,No,Mainland China,0,Yami,Juice,200,800,598
Pear Juice with Pulp 240ml,31,0.82,3 Options,Korea,4.3,Yami,Juice,25,100,21
Sac Sac Orange Juice 238ml,65,1.49,2 Options,Korea,4.8,Yami,Juice,25,100,37
Thai style Coconut Juice 1000ml,0,9.49,No,Mainland China,0,Yami,Juice,100,400,949
Gokuri Grapefruit Juice 400ml,82,2.99,No,Japan,4.8,Yami,Juice,25,100,75
ABC Juice 100ml,3,1.99,2 Options,Korea,4.7,Yami,Juice,200,800,398
Veggie Shot Juice Peach 898ml,1,5.49,No,Japan,5,Yami,Juice,200,800,1098
Sparkling Mikan Juice 250ml,10,3.49,4 Options,Japan,4,Yami,Juice,200,800,698
100% Pure Fruit Juice Passion Fruit 1L,2,4.89,No,United States,5,Yami,Juice,200,800,978
Pineapple Juice 1420ml,14,14.99,No,Taiwan,4.9,Yami,Juice,200,800,2998
PREMIUM PLUM JUICE 1L,12,3.39,No,Taiwan,4.8,Yami,Juice,200,800,678
Sparkling Ringo Juice,14,3.49,4 Options,Japan,4.6,Yami,Juice,200,800,698
JA Soma Goldan Apple Juice 1000ml,4,7.99,No,Mainland China,4.5,Yami,Juice,25,100,200
?€?Frozen?€?Icy Batberry Juice 380ml,8,3.89,No,Mainland China,4.8,Yami,Juice,200,800,778
Sparkling Ume Juice 250ml,23,3.49,4 Options,Japan,4.4,Yami,Juice,25,100,87
?€?Frozen?€?Iced Arbutus Juice 386ml,29,3.99,No,Mainland China,5,Yami,Juice,25,100,100
Chinses Plum Concentrated Juice 330g,6,3.29,No,Mainland China,4.8,Yami,Juice,100,400,329
Corn Juice 980ml,0,10.49,No,Unclear,0,Yami,Juice,200,800,2098
Coconut Juice Plant based Protein Drink with pulp 380ml,4,4.09,2 Options,Unclear,4.5,Yami,Juice,200,800,818
(One-Month Supply)Pumpkin+Manuka Honey Juice Squeeze 7 Packetsx30mlx 4box +Carbmaster Milk Bites Yogurt Flavor 60 Tablet,1,106.99,2 Options,Australia,5,Yami,Juice,25,100,2675
JunzoSen Golden Peach Juice 1000ml,0,16.99,No,Unclear,0,Yami,Juice,100,400,1699
JUNZO-Sen Peach Juice 500ml,0,9.99,No,Taiwan,0,Yami,Juice,200,800,1998
ZIRANQINYU Plum Juice 500ml,66,3.69,No,Mainland China,4.1,Yami,Juice,25,100,92
Lemon Finger Lime Calamansi Golden Kiwi Traditionally Fermented Juice 500ml,0,39.99,3 Options,Australia,0,Yami,Juice,50,200,2000
