Brand,Category,Option,Origin,Platform,Price,Product_Name,Rate,Reviews,Sold_Monthly,Sold_Weekly,Weekly_Revenue,Weekly_revenue,Sold_Weekly_Group,Price_Group
,Juice,No,Australia,Yami,19.99,Pumpkin + Manuka Honey Juice Squeeze 7 Packets x 30ml,4.8,33,100,25,500.0,,Less than 50,16+
,Juice,2 Options,Mainland China,Yami,499.99,Multi-Functional Automatic and Self Cleaning Soy Milk Maker Food Steamer Coffee Maker Juice Maker Sterilizer DJ12M-K9S,4.9,8,100,25,12500.0,,Less than 50,16+
,Juice,2 Options,Mainland China,Yami,1.8,Full Score Micro Bubble Juice Wanglin Green Apple 380ml,4.8,8,800,200,360.0,,100+,Less than 2
,Juice,7 Options,Hong Kong,Yami,0.79,VITA Lychee Juice 250ml,4.7,102,100,25,20.0,,Less than 50,Less than 2
,Juice,4 Options,Japan,Yami,3.49,Sparkling Yuzu Juice 250ml,4.5,40,100,25,87.0,,Less than 50,2+
,Juice,No,Mainland China,Yami,3.29,Pulp Coconut Juice Vegetable Protein Drink 360ml,0.0,0,800,200,658.0,,100+,2+
,Juice,No,Taiwan,Yami,2.89,Star Fruit Juice 580ml,0.0,0,800,200,578.0,,100+,2+
,Juice,7 Options,Hong Kong,Yami,0.79,VITA Blackcurrant Juice 250ml,4.7,79,100,25,20.0,,Less than 50,Less than 2
,Juice,7 Options,Hong Kong,Yami,0.79,VITA Sugarcane Juice Drink 250ml,3.6,79,100,25,20.0,,Less than 50,Less than 2
,Juice,7 Options,Hong Kong,Yami,0.79,VITA Guava Juice Drink 250ml,4.5,116,100,25,20.0,,Less than 50,Less than 2
,Juice,7 Options,Hong Kong,Yami,0.79,VITA Mango Juice 250ml,4.4,94,100,25,20.0,,Less than 50,Less than 2
,Juice,No,Mainland China,Yami,1.79,Coconut Juice W/Pulp 500ml,0.0,0,800,200,358.0,,100+,Less than 2
,Juice,No,Mainland China,Yami,2.99,Konjaku Juice Jelly-Strawbrry Flavor 110g,0.0,0,800,200,598.0,,100+,2+
,Juice,3 Options,Korea,Yami,0.82,Pear Juice with Pulp 240ml,4.3,31,100,25,21.0,,Less than 50,Less than 2
,Juice,2 Options,Korea,Yami,1.49,Sac Sac Orange Juice 238ml,4.8,65,100,25,37.0,,Less than 50,Less than 2
,Juice,No,Mainland China,Yami,9.49,Thai style Coconut Juice 1000ml,0.0,0,400,100,949.0,,50+,8+
,Juice,No,Japan,Yami,2.99,Gokuri Grapefruit Juice 400ml,4.8,82,100,25,75.0,,Less than 50,2+
,Juice,2 Options,Korea,Yami,1.99,ABC Juice 100ml,4.7,3,800,200,398.0,,100+,Less than 2
,Juice,No,Japan,Yami,5.49,Veggie Shot Juice Peach 898ml,5.0,1,800,200,1098.0,,100+,4+
,Juice,4 Options,Japan,Yami,3.49,Sparkling Mikan Juice 250ml,4.0,10,800,200,698.0,,100+,2+
,Juice,No,United States,Yami,4.89,100% Pure Fruit Juice Passion Fruit 1L,5.0,2,800,200,978.0,,100+,4+
,Juice,No,Taiwan,Yami,14.99,Pineapple Juice 1420ml,4.9,14,800,200,2998.0,,100+,14+
,Juice,No,Taiwan,Yami,3.39,PREMIUM PLUM JUICE 1L,4.8,12,800,200,678.0,,100+,2+
,Juice,4 Options,Japan,Yami,3.49,Sparkling Ringo Juice,4.6,14,800,200,698.0,,100+,2+
,Juice,No,Mainland China,Yami,7.99,JA Soma Goldan Apple Juice 1000ml,4.5,4,100,25,200.0,,Less than 50,6+
,Juice,No,Mainland China,Yami,3.89,??Frozen??Icy Batberry Juice 380ml,4.8,8,800,200,778.0,,100+,2+
,Juice,4 Options,Japan,Yami,3.49,Sparkling Ume Juice 250ml,4.4,23,100,25,87.0,,Less than 50,2+
,Juice,No,Mainland China,Yami,3.99,??Frozen??Iced Arbutus Juice 386ml,5.0,29,100,25,100.0,,Less than 50,2+
,Juice,No,Mainland China,Yami,3.29,Chinses Plum Concentrated Juice 330g,4.8,6,400,100,329.0,,50+,2+
,Juice,No,Unclear,Yami,10.49,Corn Juice 980ml,0.0,0,800,200,2098.0,,100+,10+
,Juice,2 Options,Unclear,Yami,4.09,Coconut Juice Plant based Protein Drink with pulp 380ml,4.5,4,800,200,818.0,,100+,4+
,Juice,2 Options,Australia,Yami,106.99,(One-Month Supply)Pumpkin+Manuka Honey Juice Squeeze 7 Packetsx30mlx 4box +Carbmaster Milk Bites Yogurt Flavor 60 Tablet,5.0,1,100,25,2675.0,,Less than 50,16+
,Juice,No,Unclear,Yami,16.99,JunzoSen Golden Peach Juice 1000ml,0.0,0,400,100,1699.0,,50+,16+
,Juice,No,Taiwan,Yami,9.99,JUNZO-Sen Peach Juice 500ml,0.0,0,800,200,1998.0,,100+,8+
,Juice,No,Mainland China,Yami,3.69,ZIRANQINYU Plum Juice 500ml,4.1,66,100,25,92.0,,Less than 50,2+
,Juice,3 Options,Australia,Yami,39.99,Lemon Finger Lime Calamansi Golden Kiwi Traditionally Fermented Juice 500ml,0.0,0,200,50,2000.0,,Less than 50,16+
,Juice,No,United States,Yami,2.39,Gummy Candy 100% Fruit Juice (mango) 150g,3.5,6,400,100,239.0,,50+,2+
,Juice,No,Japan,Yami,14.99,"100% Kale Green Mix Juice, 3g x 22 bag",5.0,2,400,100,1499.0,,50+,14+
,Juice,No,Australia,Yami,36.99,Fermented Juice Probiotic Rich Cleanse Drink 30ml *14,5.0,5,100,25,925.0,,Less than 50,16+
,Juice,2 Options,Australia,Yami,106.99,(One-Month Supply)Pumpkin+Manuka Honey Juice Squeeze 7Packetsx30mlx4box+Carbmaster Milk Bites Strawberry Flavor 60Tablet,0.0,0,100,25,2675.0,,Less than 50,16+
