Product_Name,Price,Sold_Weekly,Origin,Brand,Reviews,Sold_Monthly,Weekly_Revenue,Platform,Category,Rate
Longkow Bean Thread Vermicelli Glass Noodles 400 g,3.89,900,Mainland China,Unclear,81,3600,3501,Weee,Noodle,Unclear
Guanmiao Sliced Noodles 400 g,3.69,700,Taiwan,Unclear,30,2800,2583,Weee,Noodle,Unclear
Wang Fresh Knife Cut Noodle 2.2 lb,5.99,600,South Korea,Wang Korea,305,2400,3594,Weee,Noodle,Unclear
Noodle Garden Shanghai Plain Noodles 4 lb,5.99,1000,Mainland China,NG-Noodle Garden,129,4000,5990,Weee,Noodle,Unclear
Noodle Garden Lanzhou Ramen Noodles 4 lb,5.99,800,Mainland China,Noodle Zero,100,3200,4792,Weee,Noodle,Unclear
Noodle Garden Shanxi Sliced Noodles 4 lb,5.99,500,Mainland China,NG-Noodle Garden,38,2000,2995,Weee,Noodle,Unclear
Noodle Garden Beijing Zha Jiang Noodles 4 lb,6.99,300,Mainland China,Unclear,115,1200,2097,Weee,Noodle,Unclear
Noodle Garden Sichuan Dandan Noodles 4 lb,5.99,200,Mainland China,NG-Noodle Garden,49,800,1198,Weee,Noodle,Unclear
Noodle Garden Tomoshiraga Somen Noodles 4 lb,5.99,200,Mainland China,NG-Noodle Garden,78,800,1198,Weee,Noodle,Unclear
A+ Tongyu Hot Pot Sichuan Sweet Potato Noodles 240 g,1.69,1000,Mainland China,Unclear,391,4000,1690,Weee,Noodle,Unclear
Wei-Chuan Organic SiChuan Noodles  16 oz,1.99,1000,Mainland China,Unclear,34,4000,1990,Weee,Noodle,Unclear
Wu-Mu Dry Noodles 4 lb,7.99,1000,Taiwan,Unclear,224,4000,7990,Weee,Noodle,Unclear
Hakubaku Organic Soba Noodles  9.5 oz,2.79,1000,Australia,Unclear,104,4000,2790,Weee,Noodle,Unclear
Wang Korean Style Starch Noodles 2 lb,7.49,1000,Mainland China,Wang Korea,163,4000,7490,Weee,Noodle,Unclear
J-Basket Tomoshiraga Somen Japanese Wheat Noodles 3 lb,5.39,1000,Japan,Unclear,113,4000,5390,Weee,Noodle,Unclear
Shirakiku Black Shirataki Noodles 14 oz,2.55,900,United States,Unclear,45,3600,2295,Weee,Noodle,Unclear
Wuming Classic Rice Noodle  1000 g,4.99,800,Mainland China,Wu Ming,44,3200,3992,Weee,Noodle,Unclear
Tiger Taiwanese Rice Noodles 400 g,3.49,700,Taiwan,Tiger,334,2800,2443,Weee,Noodle,Unclear
Imperial Taste Taiwanese Wide Slice Noodles 500 g,4.99,600,Taiwan,Imperial Taste,176,2400,2994,Weee,Noodle,Unclear
J-Basket Japanese Udon Noodles 28.21 oz,4.99,600,Japan,Unclear,206,2400,2994,Weee,Noodle,Unclear
Jinmailang Hand-Made Ramen Noodles 1000 g,2.99,600,Mainland China,Unclear,30,2400,1794,Weee,Noodle,Unclear
Wu Mu ShangDong Ramen Noodles 2.5 lb,4.99,600,Taiwan,Unclear,155,2400,2994,Weee,Noodle,Unclear
Goodmom Kids Multigrain Noodles 280 g,4.99,500,Mainland China,Goodmom,8,2000,2495,Weee,Noodle,Unclear
Goodmom Kids Butterfly Noodles 180 g,7.99,500,Mainland China,Goodmom,10,2000,3995,Weee,Noodle,Unclear
Huang Long Classic Hot Pot Sichuan Sweet Potato Noodles 240 g,1.79,500,Mainland China,Unclear,7,2000,895,Weee,Noodle,Unclear
J-Basket Japanese Ramen Noodles       25.4 oz,4.99,500,Japan,Unclear,189,2000,2495,Weee,Noodle,Unclear
Hakubaku Organic Somen Noodles Bag  9.5 oz,2.99,500,Australia,Unclear,68,2000,1495,Weee,Noodle,Unclear
Imperial Taste Guan Miao Thin/medium Noodles 31.7 oz,4.99,400,Taiwan,Imperial Taste,244,1600,1996,Weee,Noodle,Unclear
Wu Mu Plain Wheat Noodles 4 lb,8.99,400,Taiwan,Unclear,201,1600,3596,Weee,Noodle,Unclear
Imperial Taste Hsinchu Rice Noodles 14 oz,2.79,400,Taiwan,Imperial Taste,221,1600,1116,Weee,Noodle,Unclear
Goodmom Kids Fortified Multigrain Noodles 280 g,4.99,400,Mainland China,Unclear,41,1600,1996,Weee,Noodle,Unclear
Big Green Crystal Potato Noodles Vermicelli 180g 6.4 oz,2.49,400,Mainland China,Big Green,65,1600,996,Weee,Noodle,Unclear
Wang Korea Thin Round Noodles 4 lb,5.49,300,United States,Wang Korea,57,1200,1647,Weee,Noodle,Unclear
Nature's Soy Fresh Rice Noodles 454 g,1.69,300,United States,Nature's Soy,75,1200,507,Weee,Noodle,Unclear
Wen Zhou Rice Noodle 400 g,1.89,300,Mainland China,Unclear,23,1200,567,Weee,Noodle,Unclear
Taiwan Dry Noodles 600 g,3.19,300,Taiwan,Unclear,41,1200,957,Weee,Noodle,Unclear
Red Leaf Sliced Noodles 600 g,6.19,300,Taiwan,Unclear,5,1200,1857,Weee,Noodle,Unclear
Waiwai Vermicelli Noodles  17.5 oz,2.79,300,Thailand,Unclear,0,1200,837,Weee,Noodle,Unclear
Assi Sweet Potato Noodles  12 oz,2.79,300,Mainland China,Assi,96,1200,837,Weee,Noodle,Unclear
JML Hand-Cut Style Noodles 1000 g,4.49,300,Mainland China,Unclear,26,1200,1347,Weee,Noodle,Unclear
Simply Food Premium Pho Noodles 35 oz,5.39,300,Vietnam,Simply Food,59,1200,1617,Weee,Noodle,Unclear
Fine Rice Vermicelli Noodles 10.58 oz,1.99,200,Mainland China,Unclear,3,800,398,Weee,Noodle,Unclear
"Hsin Tung Yang Sliced Noodles, Family Size 900 g",7.49,200,Taiwan,HSIN TUNG YANG,22,800,1498,Weee,Noodle,Unclear
Pure Mung Bean Thread Noodles 180 g,7.79,200,Taiwan,Unclear,14,800,1558,Weee,Noodle,Unclear
Chuanfen Shijia Shaopi Vermicelli Noodles for Hot Pot 6.35 oz,2.19,100,Mainland China,Unclear,7,400,219,Weee,Noodle,Unclear
Scallop Flavor Egg Noodles 880 g,8.79,100,Mainland China,Unclear,34,400,879,Weee,Noodle,Unclear
Foji Plain Egg Noodles 908 g,4.99,100,Mainland China,Unclear,0,400,499,Weee,Noodle,Unclear
【白家】Rice Noodle Artificial beef flavor 120g 120 g,3.49,100,United States,Unclear,1,400,349,Weee,Noodle,Unclear
Wang Korean Fresh Udon Noodle 2.2 lb,7.99,100,South Korea,Wang Korea,0,400,799,Weee,Noodle,Unclear
Ottogi Sweet Potato Noodles 35.27 oz,8.99,100,Mainland China,Ottogi,15,400,899,Weee,Noodle,Unclear
Rama Fresh Rice Stick Noodle 1 lb,2.69,100,Mainland China,Unclear,10,400,269,Weee,Noodle,Unclear
Tiger Pu-Li Thin Rice Flour Noodles  600 g,4.19,50,Taiwan,Tiger Tablet,69,200,210,Weee,Noodle,Unclear
Noodle Somen Tomoshiraga  454 g,1.89,50,Mainland China,Unclear,9,200,95,Weee,Noodle,Unclear
Zhang Bao Shan Clear Noodle 220 g,5.49,50,Mainland China,Unclear,3,200,275,Weee,Noodle,Unclear
Lotus Foods Rice Ramen Millet & Brown Red Miso Soup Noodles 80 g,1.79,50,Mainland China,Lotus Foods,0,200,90,Weee,Noodle,Unclear
Lotus Foods Pad Thai Organic Rice Noodles 227 g,3.99,50,Mainland China,Lotus Foods,0,200,200,Weee,Noodle,Unclear
Foji Plain Noodles 908 g,4.99,50,Mainland China,Unclear,3,200,250,Weee,Noodle,Unclear
Hosanava Grain Noodles 225 g,3.99,50,Taiwan,Unclear,3,200,200,Weee,Noodle,Unclear
Simply Food Brand Premium Hue Style Noodle  35 oz,4.19,50,Vietnam,Simply Food,5,200,210,Weee,Noodle,Unclear
Lotus Foods Rice Ramen Jade Pearl Wakame Miso Soup Noodles 80 g,1.79,50,Mainland China,Unclear,1,200,90,Weee,Noodle,Unclear
Wah Nam Lomi Noodles 14 oz,2.69,50,Philippines,Unclear,4,200,135,Weee,Noodle,Unclear
Lotus Foods Organic Pho Rice Noodles 227 g,3.99,50,Mainland China,Unclear,0,200,200,Weee,Noodle,Unclear
Premium Shrimp Egg Noodles 880 g,10.99,50,Mainland China,Unclear,25,200,550,Weee,Noodle,Unclear
UFC Pancit Canton Noodle 16 oz,4.69,50,Philippines,Unclear,0,200,235,Weee,Noodle,Unclear
Pulmuone Cold Arrowroot Noodles with Broth 37.74 oz,5.99,50,South Korea,Pulmuone,59,200,300,Weee,Noodle,Unclear
"Wuming Hongfu Somen Noodle	 500 g",2.99,0,Mainland China,Unclear,0,0,0,Weee,Noodle,Unclear
Wang Korean Buckwheat Fresh Noodle Soba  2.2 lb,6.59,0,South Korea,Wang Korea,0,0,0,Weee,Noodle,Unclear
Choripdong Home Style Chopped Fresh Noodle (Son Kalguksu)  2.2 lb,4.49,0,South Korea,Choripdong,5,0,0,Weee,Noodle,Unclear
Wah Nam Miki Chinese Style Noodles  14 oz,2.99,0,Philippines,Unclear,3,0,0,Weee,Noodle,Unclear
Safoco Brand Dried Egg Noodle 17.6 oz,2.99,0,Vietnam,Unclear,0,0,0,Weee,Noodle,Unclear
CJ Foods Korean Style Somen Noodles 900 g,5.99,0,South Korea,CJ Foods,4,0,0,Weee,Noodle,Unclear
Havista Shang Xi Pull Noodles 2.2lbs 1100 g,6.29,0,Mainland China,Havista,113,0,0,Weee,Noodle,Unclear
Nongfuman Yam Noodles 300 g,2.99,0,Mainland China,Nongfuman,0,0,0,Weee,Noodle,Unclear
Fiesta Pinoy Flour Stick Noodles 8 oz,3.99,0,Philippines,Fiesta Pinoy,0,0,0,Weee,Noodle,Unclear
Hosanava Danzai Yi Noodles 240 g,4.29,0,Taiwan,Unclear,2,0,0,Weee,Noodle,Unclear
Wide Dragon Fruit Noodles 300g 300 g,6.99,0,Taiwan,Unclear,1,0,0,Weee,Noodle,Unclear
Nong Hyup  Glass Noodle 300 g,6.99,0,South Korea,Unclear,0,0,0,Weee,Noodle,Unclear
Chi Shen Enriched Noodles  600 g,2.9,0,Taiwan,Unclear,1,0,0,Weee,Noodle,Unclear
