Product_Name,Brand,Reviews,Price,Origin,Rate,Platform,Category,Sold_Weekly,Sold_Monthly,Weekly_Revenue
GreeNoodle Plain 100g,gree noodle,41,1.99,Japan,4.6,Yami,Noodle,400,1600,796
Tom Yum Flavor Noodle 46Cal 380g,noodle zero,0,3.99,United States,3.6,Yami,Noodle,400,1600,1596
Medium Cut Ramen Noodles 600g,noodle soul,1,3.99,Vietnam,5,Yami,Noodle,400,1600,1596
Knife Cut Noodles 600g,noodle soul,0,3.99,Vietnam,0,Yami,Noodle,400,1600,1596
Thin Cut Ramen Noodles 600g,noodle soul,0,3.99,Vietnam,0,Yami,Noodle,400,1600,1596
Instant Ramen Chicken Flavor 16 Pack,tokyo noodle,13,6.99,Japan,4.4,Yami,Noodle,400,1600,2796
Cassrole Potato Noodle 327g,tianxiaohua,252,3.49,Mainland China,4.7,Yami,Noodle,400,1600,1396
"Guangxi Specialty Snail Rice Noodle, 280g",luobawang,2077,3.69,Mainland China,4.8,Yami,Noodle,400,1600,1476
Snail Rice Noodles 300g River Snail Noodle 300g Gold Award in the Conch Noodles 300g,haohuanluo,1484,4.29,Mainland China,4.7,Yami,Noodle,400,1600,1716
Snail Rice Noodle Tomato Flavor 306g,luobawang,1091,3.69,Mainland China,4.7,Yami,Noodle,400,1600,1476
Guangxi Specialty Snails Rice Noodle Hot Spicy Flavor 315g,luobawang,881,3.69,Mainland China,4.7,Yami,Noodle,400,1600,1476
River Snail Noodle 400g Gold Award in the Conch Noodles,haohuanluo,1105,4.39,Mainland China,4.7,Yami,Noodle,400,1600,1756
Stir-Fried Noodle Hot Spicy Chicken Cheese Flavor Ramen 5 Packs 700g,samyang,107,6.99,Korea,4.6,Yami,Noodle,400,1600,2796
Chongqing Instant Hot Sour Noodles 300g,kings noodle,469,4.99,Mainland China,4.4,Yami,Noodle,400,1600,1996
NoodleZero 6 pack single - Seafood,noodle zero,0,23.49,United States,0,Yami,Noodle,400,1600,9396
JINPAI Chong Qing Noodles 178g,kings noodle,364,4.99,Mainland China,4.6,Yami,Noodle,400,1600,1996
Cup Noodles Instant Noodle Spicy Seafood Flavor 72g,nissin,275,1.89,Japan,4.7,Yami,Noodle,400,1600,756
"River Snails Rice Noodle Liuzhou specialty, 268g",liuquan,1388,3.99,Mainland China,4.6,Yami,Noodle,400,1600,1596
Demae Ramen Noodle With Black Garlic Oil Tonkotsu Pork Flavor 106g,nissin,71,2.39,Japan,4.7,Yami,Noodle,400,1600,956
Demae Ramen Noodle with Soup Base XO Sauve Seafood Flavor 100g,nissin,53,0.79,Japan,4.7,Yami,Noodle,400,1600,316
Konjac Jelly Noodle,yuanxian,4,3.99,Mainland China,4.2,Yami,Noodle,400,1600,1596
Cup Noodles Instant Noodle Seafood Flavor 72g,nissin,221,1.89,Japan,4.6,Yami,Noodle,400,1600,756
Ramen Noodle Soup Umami Tonkotsu Flavor 100g,nissin,289,2.79,Japan,4.6,Yami,Noodle,400,1600,1116
Lanzhou Beef Flavored Noodle 5PCS,baijia,16,8.99,Mainland China,4.4,Yami,Noodle,25,100,225
"River Snails Rice Noodle Original, 315g",liuquan,463,3.99,Mainland China,4.7,Yami,Noodle,400,1600,1596
WanHe Sesame Paste Soup Base Rice Noodle 220g,wanhe,94,3.69,Mainland China,4.7,Yami,Noodle,400,1600,1476
Demae Ramen Noodle with Soup Base Tonkotsu Pork Flavor 500g,nissin,121,3.89,Japan,4.8,Yami,Noodle,400,1600,1556
Savory Bowl Noodle Soup Beef Flavor 86g,nongshim,7,1.59,Korea,3.7,Yami,Noodle,400,1600,636
Cup Noodles Instant Noodle Crab Flavor 69g,nissin,99,1.89,Japan,4.4,Yami,Noodle,400,1600,756
Soto Noodle Cup 81g,sedaap,0,1.59,Indonesia,0,Yami,Noodle,400,1600,636
Soto Noodle 365g,sedaap,4,2.99,Indonesia,4.5,Yami,Noodle,400,1600,1196
Spicy Noodle Soup (Cup)  65g,a-sha,2,2.29,Taiwan,5,Yami,Noodle,300,1200,687
Meatball Noodle 77g,sedaap,3,0.69,Indonesia,2.7,Yami,Noodle,400,1600,276
Cup Noodle Bowl Noodle Black Pepper Flavor 74g,nissin,202,1.89,Japan,4.6,Yami,Noodle,400,1600,756
"Xinjiang Stir Fried Rice Noodle Vermicelli Hot Spicy, 250g",qianfenxishi,0,4.59,Mainland China,4.7,Yami,Noodle,400,1600,1836
Jin Tang Sweet Potato Noodle 126g,xiaolongkan,0,3.49,Mainland China,4.7,Yami,Noodle,400,1600,1396
Hot and Sour Sweet Potato Noodle 102g,xiaolongkan,0,3.49,Mainland China,4.8,Yami,Noodle,400,1600,1396
Extra Spicy Soup Rice Noodle 220g,wanhe,5,3.99,Mainland China,4,Yami,Noodle,400,1600,1596
Demae Ramen Noodle with Soup Base Miso Tonkotsu Pork Flavor 100g,nissin,90,0.79,Japan,4.4,Yami,Noodle,400,1600,316
Chicken Noodle Soup (Cup) 65g,a-sha,3,2.29,Taiwan,5,Yami,Noodle,300,1200,687
Mini Instant Noodle Chicken Flavor 4pc,tokyo noodle,18,1.59,Japan,3.7,Yami,Noodle,400,1600,636
Instant Tonkatsu Noodle 83g,sapporo ichiban,0,1.99,Japan,4.8,Yami,Noodle,400,1600,796
Mini Instant Noodle Spicy Flavor 4pc,tokyo noodle,16,1.59,Japan,4.4,Yami,Noodle,400,1600,636
Kimchi Instant Noodle Soup 4packs 480g,nongshim,72,5.99,Korea,4.6,Yami,Noodle,400,1600,2396
Sour&Spicy Hot Pot Noodle 310g,xiaolongkan,3,4.99,Mainland China,5,Yami,Noodle,400,1600,1996
Soon Veggie Noodle Soup 75g,nongshim,0,1.29,Korea,0,Yami,Noodle,400,1600,516
Demae Ramen Noodle with Soup Base Sesame Oil Flavor 5 packs 500g,nissin,73,3.89,Japan,4.8,Yami,Noodle,400,1600,1556
HongKong Style Rice Noodle Pork Bone Flavor 289g,baman,1,6.99,Mainland China,5,Yami,Noodle,25,100,175
K-Army Stew Style Noodle Soup Big Bowl 114g,nongshim,0,2.49,Korea,0,Yami,Noodle,400,1600,996
Red Oil Wide Noodle With Sesame Sauce,huanmian,0,4.99,Mainland China,0,Yami,Noodle,400,1600,1996
Mee Goreng Ramen Noodle 110g,dragonfly brand,0,1.29,Mainland China,0,Yami,Noodle,400,1600,516
WEILIH Onion Instant Noodle 5pcs,weilih,7,4.59,Taiwan,5,Yami,Noodle,400,1600,1836
Shaanxi Cold Noodle Hot 168g,qinzong,142,3.49,Mainland China,4.4,Yami,Noodle,400,1600,1396
Glass Noodle Potato Starch 17.63oz,wang food,1,4.99,Korea,5,Yami,Noodle,400,1600,1996
Cup Noodle Bowl Noodle Chicken Flavor 71g,nissin,61,1.89,Japan,4.6,Yami,Noodle,400,1600,756
HongKong Style Rice Noodle Tomato Beef Flavor 297g,baman,1,6.99,Mainland China,5,Yami,Noodle,25,100,175
Shin Noodle Soup Vegan 75g,nongshim,0,1.29,Korea,0,Yami,Noodle,400,1600,516
Dry Peas Mixed Noodles 280g,kings noodle,0,6.99,Mainland China,4.8,Yami,Noodle,400,1600,2796
Jah Jan Instant Noodle 5pcs,weilih,185,4.25,Taiwan,4.2,Yami,Noodle,400,1600,1700
Dried Glass Noodle-Sweet Potato 5lb,jayone,0,17.99,Korea,0,Yami,Noodle,400,1600,7196
Dried Noodle(Somen) 500g,jayone,0,3.69,Korea,0,Yami,Noodle,400,1600,1476
Dried Noodle(Somen) 3lb,jayone,0,6.99,Korea,0,Yami,Noodle,400,1600,2796
Ansung Tang Myun Noodle Soup Beef & Fermented Bean Flavor 4packs 500g,nongshim,56,5.99,Korea,4.3,Yami,Noodle,400,1600,2396
Demae Ramen Noodle with Soup Base Chicken Flavor 100g,nissin,41,0.79,Japan,4.5,Yami,Noodle,400,1600,316
HongKong Style Szechwan Rice Noodle Spicy Intestines Flavor 275.5g,baman,0,6.99,Mainland China,5,Yami,Noodle,200,800,1398
Noodle Dan Zai 21oz,shanfeng,0,4.99,Taiwan,0,Yami,Noodle,400,1600,1996
Fresh Udon Noodle Soup 275g,nongshim,1,3.49,Korea,5,Yami,Noodle,400,1600,1396
Raoh Ramen Noodle Salty Yuzu Soup 5pcs 465g,nissin,13,8.99,Japan,4.6,Yami,Noodle,400,1600,3596
Broad Noodle Hot & Sour 114g,dragonfly brand,0,2.99,Mainland China,0,Yami,Noodle,400,1600,1196
HongKong Style Rice Noodle Tom Yam Flavor 204g,baman,0,6.99,Mainland China,0,Yami,Noodle,200,800,1398
WANG Korean Style Starch Noodle 340g,wang food,69,3.49,Korea,4.9,Yami,Noodle,400,1600,1396
Vegan Kimchi Cup Noodle 75g,nongshim,19,1.49,Korea,4.4,Yami,Noodle,400,1600,596
Broad Noodle Sesame Flavor 116g,dragonfly brand,0,2.99,Mainland China,0,Yami,Noodle,400,1600,1196
JINGMAILANG Green Onion Pork Chop Instant Noodle 5packs,jinmailang,68,4.99,Mainland China,4.6,Yami,Noodle,400,1600,1996
Dragonfly Instant Noodle Beef Flavor,dragonfly brand,0,2.19,Mainland China,0,Yami,Noodle,400,1600,876
