Product_Name,Price,Sold_Weekly,Origin,Brand,Reviews,Sold_Monthly,Weekly_Revenue,Rate,Platform,Category
ChaCha Original Roasted Sunflower Seeds 250 g,3.39,1000,Mainland China,Cha Cha,636,4000,3390,Unclear,Weee,Nuts
ChaCha Roasted Spiced Flavor Sunflower Seeds 250 g,3.19,1000,Mainland China,Cha Cha,851,4000,3190,Unclear,Weee,Nuts
"ChaCha Roasted Sunflower Seeds, Chinese Pecan Flavor",3.19,1000,Unclear,Unclear,734,4000,3190,Unclear,Weee,Nuts
Huang Fei Hong Spicy Peanuts 210 g,3.69,600,Mainland China,Unclear,103,2400,2214,Unclear,Weee,Nuts
"Ganyuan Broad Beans, Crab Roe Flavor 285 g",3.99,900,Mainland China,GanYuan,457,3600,3591,Unclear,Weee,Nuts
Huang Fei Hong Spicy Peanuts 110 g,2.69,400,Mainland China,Unclear,152,1600,1076,Unclear,Weee,Nuts
"Kasugai Coated Peanuts, Squid Flavor  2.18 oz",1.79,900,Japan,Unclear,74,3600,1611,Unclear,Weee,Nuts
Wang Organic Roasted Peeled Chestnuts 5pk 300 g,6.99,800,Mainland China,Wang Korea,315,3200,5592,Unclear,Weee,Nuts
Sheng Shiang Jen Liquorice Watermelon Seeds 6.3 oz,3.99,300,Taiwan,Unclear,68,1200,1197,Unclear,Weee,Nuts
Hapi Hot Wasabi Peas 140 g,3.29,50,Thailand,Unclear,72,200,164.5,Unclear,Weee,Nuts
Kasugai Roasted Nuts Assortment 8 oz,4.99,200,United States,Unclear,59,800,998,Unclear,Weee,Nuts
Ding Dong Snack Mixed Nuts 100 g,1.99,400,Philippines,Unclear,3,1600,796,Unclear,Weee,Nuts
"Cha Cha Sunflower Seeds, Rattan Pepper Flavor 160 g",3.19,1000,Mainland China,Cha Cha,108,4000,3190,Unclear,Weee,Nuts
Garlic Green Peas 240 g,3.99,800,Taiwan,Unclear,124,3200,3192,Unclear,Weee,Nuts
Gong He Sun Roasted and Fried Flower Seeds Multi Flavor 375 g,3.69,400,Mainland China,Unclear,74,1600,1476,Unclear,Weee,Nuts
Gong He Spiced flavor Sunflower Seeds 375 g,3.49,500,Mainland China,Unclear,40,2000,1745,Unclear,Weee,Nuts
Murgerbon Wasabi Almonds 200 g,6.49,300,South Korea,Unclear,61,1200,1947,Unclear,Weee,Nuts
"Fried Peanuts, Sichuan Spicy 120 g",1.99,900,Mainland China,Unclear,9,3600,1791,Unclear,Weee,Nuts
Hapi Hot Wasabi Peas 9.9 oz,5.09,400,Thailand,Unclear,23,1600,2036,Unclear,Weee,Nuts
"Murgerbon Almond Mix, 5 Flavors 10pk 9.52 oz",13.99,200,South Korea,Murgerbon,15,800,2798,Unclear,Weee,Nuts
Lao Jie Kou Black Pumpkin Seeds in Shell 200 g,7.99,300,Mainland China,LAOJIEKOU,30,1200,2397,Unclear,Weee,Nuts
Lian Feng Hickory Nut Kernels Creamed Flavor 108 g,12.99,300,Mainland China,Unclear,13,1200,3897,Unclear,Weee,Nuts
Asian Taste Roasted Peeled Organic Chestnuts 300 g,5.89,300,Mainland China,Unclear,32,1200,1767,Unclear,Weee,Nuts
Wasabi Mustard Green Peas 240 g,3.99,300,Taiwan,Unclear,48,1200,1197,Unclear,Weee,Nuts
"Ganyuan Sunflower Seeds, Crab Roe Flavor 285 g",4.09,600,Mainland China,Unclear,196,2400,2454,Unclear,Weee,Nuts
KH Food Roasted Peanuts  16 oz,10.39,400,United States,Unclear,31,1600,4156,Unclear,Weee,Nuts
Gong He Japanese Original Peanuts 340 g,3.49,50,Mainland China,GHNC,24,200,174.5,Unclear,Weee,Nuts
Gong He Caramel Flavored Sunflower Seeds 375 g,3.49,400,Mainland China,Unclear,31,1600,1396,Unclear,Weee,Nuts
Huang Fei Hong Spicy Peanuts with Dried Shrimps 98 g,3.89,200,Mainland China,HUANG FEI HONG,58,800,778,Unclear,Weee,Nuts
KH Original Roasted Peanuts 170 g,4.19,500,United States,Unclear,185,2000,2095,Unclear,Weee,Nuts
"Lian Feng Hickory Nut Kernels, Pepper Flavor 108 g",12.99,800,Mainland China,LIAN FENG,186,3200,10392,Unclear,Weee,Nuts
Gong He Shandong Spiced Peanuts 340 g,3.79,400,Mainland China,GHNC,30,1600,1516,Unclear,Weee,Nuts
"Murgerbon Almonds, Tiramisu Flavor 180 g",6.59,100,South Korea,Unclear,75,400,659,Unclear,Weee,Nuts
Southern Milk Peanut Kernels 500 g,5.49,50,Mainland China,Unclear,35,200,274.5,Unclear,Weee,Nuts
Diehuapai Spiced Broad Beans 185 g,1.99,1000,Mainland China,Unclear,126,4000,1990,Unclear,Weee,Nuts
"Sihong Roasted Walnuts, Salt and Pepper Flavor 418 g",7.99,100,Mainland China,Unclear,50,400,799,Unclear,Weee,Nuts
"GHNC Sunflower Seeds, Pepper Flavor  375 g",5.99,200,Mainland China,GHNC,17,800,1198,Unclear,Weee,Nuts
Wang Organic Roasted Chestnut 5.29 oz,4.49,700,Mainland China,Unclear,2,2800,3143,Unclear,Weee,Nuts
Ding Dong Mixed Nuts Garlic 100 g,1.99,800,Philippines,Unclear,7,3200,1592,Unclear,Weee,Nuts
Fuyinong Organic Peeled Chestnuts  100 g,2.69,400,Mainland China,Unclear,0,1600,1076,Unclear,Weee,Nuts
Green Hat Roasted Chestnut 2pk 8.46 oz,4.99,200,South Korea,Unclear,2,800,998,Unclear,Weee,Nuts
"Corn Nuts, Original 4 oz",1.59,50,United States,CORN NUTS,1,200,79.5,Unclear,Weee,Nuts
Bigs Dill Pickle Sunflower Seeds  5.35 oz,2.19,0,United States,Unclear,0,0,0,Unclear,Weee,Nuts
Hsin Tung Yang Dried Soybean with Bamboo Shoots and Chili 5.3 oz,1.99,600,Taiwan,HSIN TUNG YANG,28,2400,1194,Unclear,Weee,Nuts
Woodstock Farms Organic Dark Chocolate Almonds 12 oz,11.99,0,United States,Unclear,1,0,0,Unclear,Weee,Nuts
Woodstock Farms Organic Raw Cashews 11.5 oz,8.49,50,Unclear,Unclear,0,200,424.5,Unclear,Weee,Nuts
Woodstock Farms Organic Pecan Halves 8.5 oz,8.99,0,United States,Unclear,0,0,0,Unclear,Weee,Nuts
Wonderful Roasted and Salted No Shells Pistachios  12 oz,17.19,50,United States,Unclear,9,200,859.5,Unclear,Weee,Nuts
Woodstock Farms Organic Raw Almonds 11.5 oz,12.99,0,United States,Unclear,0,0,0,Unclear,Weee,Nuts
"Peanuts, Green Pepper Flavor 155 g",2.79,500,Mainland China,Unclear,12,2000,1395,Unclear,Weee,Nuts
"Boy Bawang Cornick, Garlic Flavor 4 oz",1.29,500,Philippines,Boy Bawang,2,2000,645,Unclear,Weee,Nuts
Boy Bawang Mixed Nuts Garlic Flavor 3.54 oz,1.69,200,Philippines,Unclear,1,800,338,Unclear,Weee,Nuts
Shanliren Watermelon Seeds 170 g,4.09,50,Mainland China,Unclear,1,200,204.5,Unclear,Weee,Nuts
Sugo Garlic Adobo Peanuts 100 g,2.29,50,Philippines,Unclear,0,200,114.5,Unclear,Weee,Nuts
"Boy Bawang Cornick, Adobo Flavor 4 oz",1.29,200,Philippines,Boy Bawang,8,800,258,Unclear,Weee,Nuts
ChaCha Jumbo Sunflower Seeds 98 g,2.79,300,Thailand,Cha Cha,2,1200,837,Unclear,Weee,Nuts
[Orion] Peanut Balls 98g 98 g,1.99,50,South Korea,Unclear,5,200,99.5,Unclear,Weee,Nuts
"Mushroomstorm Roasted Pecan Nuts,  Cream Flavor 200 g",14.19,200,Mainland China,Mushroom Storm,8,800,2838,Unclear,Weee,Nuts
Gong He Sunflower Seeds Pecan Flavor  375 g,3.69,400,Mainland China,Unclear,0,1600,1476,Unclear,Weee,Nuts
"Sabritas Peanuts, Chile and Lime Flavor 7 oz",2.99,0,Mexico,Unclear,1,0,0,Unclear,Weee,Nuts
Wow Mani Peanuts with Garlic Chips  325 g,7.99,0,Philippines,Unclear,1,0,0,Unclear,Weee,Nuts
"Orion Coated Peanut Ball, Large Size 202 g",3.99,50,South Korea,Unclear,1,200,199.5,Unclear,Weee,Nuts
Khao Shong Coconut Peanut 12.7 oz,7.99,0,Vietnam,Unclear,1,0,0,Unclear,Weee,Nuts
Khao Shong Nuts Coffee Flavored Coated Peanuts  12.68 oz,5.99,50,Thailand,Unclear,2,200,299.5,Unclear,Weee,Nuts
Peeled Chestnut 80 g,2.89,300,Mainland China,Unclear,0,1200,867,Unclear,Weee,Nuts
Wow Kasoy Cashew Nuts with Garlic Chips 80 g,3.99,50,Philippines,Unclear,3,200,199.5,Unclear,Weee,Nuts
Wow Mani w/ Garlic Jar 550 g,7.99,0,Philippines,Unclear,0,0,0,Unclear,Weee,Nuts
"LYFEN Broad Beans, Beef Flavor 205 g",3.39,400,Mainland China,LYFEN,5,1600,1356,Unclear,Weee,Nuts
"Mushroomstorm Roasted Pecan Nuts, Original Flavor   200 g",14.99,400,Mainland China,Mushroom Storm,19,1600,5996,Unclear,Weee,Nuts
Hbaf Baked Corn Almonds 7.4 oz,8.99,50,South Korea,Unclear,4,200,449.5,Unclear,Weee,Nuts
Hbaf Black Sugar Milk Tea Almond 6.7 oz,8.99,0,South Korea,Unclear,1,0,0,Unclear,Weee,Nuts
Haldirams Kkatta Meetha 400 g,5.99,0,India,Haldiram's,3,0,0,Unclear,Weee,Nuts
Sugo Greaseless Hot & Spicy Peanuts 100 g,2.29,0,Philippines,Unclear,0,0,0,Unclear,Weee,Nuts
Muncheros Chili Lemon Botana Snack Mix 12 oz,1.29,0,Mexico,Unclear,0,0,0,Unclear,Weee,Nuts
"Snak Club Tajin Peanuts, Chili and Lime 5 oz",3.89,0,Mexico,Unclear,0,0,0,Unclear,Weee,Nuts
"Sabritas Peanuts, Salt and Lime Flavor 7 oz",2.99,0,Mexico,Unclear,1,0,0,Unclear,Weee,Nuts
Hbaf Jeju Matcha Almond 6.7 oz,8.99,0,South Korea,Unclear,2,0,0,Unclear,Weee,Nuts
Hbaf Garlic Bread Almond  7.4 oz,8.99,0,South Korea,Unclear,3,0,0,Unclear,Weee,Nuts
Tryone Spicy Peanuts with Dried Shrimp  150 g,3.19,100,Mainland China,Unclear,23,400,319,Unclear,Weee,Nuts
"LYFEN Broad Bean, Crab Roe Flavor 165 g",3.29,400,Mainland China,LYFEN,10,1600,1316,Unclear,Weee,Nuts
"Haldirams Nut Cracker, Spicy Coated Fried Peanuts 400 g",4.99,0,India,Haldiram's,1,0,0,Unclear,Weee,Nuts
Muncheros Hot & Spicy Peanut 5 oz,4.19,0,Mexico,Unclear,0,0,0,Unclear,Weee,Nuts
Sabritas Japanese Peanuts 7 oz,3.19,0,Mexico,Unclear,0,0,0,Unclear,Weee,Nuts
Haldirams Moong Dal 400 g,4.99,0,India,Unclear,1,0,0,Unclear,Weee,Nuts
Haldirams Kashmiri Mixture 400 g,7.99,0,India,Unclear,0,0,0,Unclear,Weee,Nuts
