Product_Name,Brand,Price,Reviews,Origin,Rate,Platform,Category,Sold_Weekly,Sold_Monthly,Weekly_Revenue
NUTS LAB Buldak Flavor Almond 120g,nuts lab,4.29,2,Korea,5,Yami,Nuts,25,100,107.25
Super Nuts Pecans 225g,three squirrels,9.59,0,Mainland China,0,Yami,Nuts,25,100,239.75
Salted Egg Yolk Macadamia Nuts 65g,kam yuen,4.29,0,Mainland China,0,Yami,Nuts,25,100,107.25
Super Nuts Pistachio Nuts 225g,three squirrels,10.99,0,Mainland China,0,Yami,Nuts,25,100,274.75
LIAN FENG Hickory Nuts Kernels 108g,lianfeng,11.99,114,Mainland China,4.8,Yami,Nuts,25,100,299.75
Hawaii Nuts BBQ Flavor 113g,royal hawaiian orchards,8.99,2,Australia,5,Yami,Nuts,50,200,449.5
Stevia Sweetened Chocolate Covered Nuts Dark Chocolate Covered Almond,lilys,7.99,1,United States,4,Yami,Nuts,25,100,199.75
Raw Walnuts | California Nuts|No Shell | Resealable Package Fresh | Non-GMO | No Preservatives | shelled 130g,nestlady,12.8,3,United States,5,Yami,Nuts,50,200,640
-Daily nuts month 750g,three squirrels,39.99,62,Mainland China,4.8,Yami,Nuts,25,100,999.75
[Mainland China Direct Mail] BE&CHEERY Northeast Pine Nuts 100g,be & cheery,15.9,0,Mainland China,0,Yami,Nuts,50,200,795
Bestnut Daily nuts Dry wet separation Dried fruit snack 25g/bag,bestnut,1.89,0,Mainland China,0,Yami,Nuts,300,1200,567
[Mainland China direct mail] BE&CHEERY Multi-flavored peanuts Crispy casual snacks snacks roasted seeds and nuts peanuts 100g,be & cheery,7.9,0,Mainland China,0,Yami,Nuts,300,1200,2370
Charcoal Burning Cashew Nuts 120g,bestore,12.99,3,Mainland China,4.3,Yami,Nuts,300,1200,3897
[Mainland China direct mail] Herbs charcoal roasted cashew nuts 100g nuts roasted seeds and nuts dried fruit specialty products d,be & cheery,11.2,1,Mainland China,5,Yami,Nuts,300,1200,3360
[Mainland China direct mail] BE&CHEERY Nuts roasted seeds Batan wood almond almonds casual snacks specialties 100g,be & cheery,9.9,1,Mainland China,5,Yami,Nuts,300,1200,2970
Raw Walnuts | California Nuts|No Shell | Resealable Package Fresh | Non-GMO | No Preservatives | shelled 130g,nestlady,12.8,3,United States,5,Yami,Nuts,50,200,640
Sachima Nuts Soft Flour Cake Brown Sugar Flavor 384g,jjf,5.89,0,Taiwan,0,Yami,Nuts,25,100,147.25
Small Package 25g/bag,wolong daily nuts,1.89,0,Mainland China,0,Yami,Nuts,25,100,47.25
Black Sesame & Purple Rice Nuts Cereal 12Packs,greenmax,5.99,18,Taiwan,4.7,Yami,Nuts,200,800,1198
Nuts Bon Caramel Crunch 81g,kanro,3.49,0,Japan,0,Yami,Nuts,25,100,87.25
Traditional Mooncake (  Fruit and nuts ) 1 piece 85g  Classic Festival Gift,sea fortune,5.99,3,Mainland China,4.3,Yami,Nuts,50,200,299.5
QIAQIA Sunflower Seed -Spiced Flavor 250g,chacheer,3.49,220,Mainland China,4.9,Yami,Nuts,200,800,698
QIAQIA Sunflower Seed 250g,chacheer,3.49,175,Mainland China,4.8,Yami,Nuts,200,800,698
Roasted Broad Bean Crab Roe Flavor 285g,kam yuen,3.89,498,Mainland China,4.9,Yami,Nuts,1000,4000,3890
Sunflower Seeds Sichuan Pepper Flavor 160g,chacheer,2.99,52,Mainland China,4.8,Yami,Nuts,200,800,598
GANYUAN Sunflower Seeds Crab Roe Flavored 285g,kam yuen,3.99,344,Mainland China,4.8,Yami,Nuts,1000,4000,3990
QIAQIA Sunflower Seed -Coconut Flavor 250g,chacheer,3.29,93,Mainland China,4.8,Yami,Nuts,200,800,658
KH Roasted Peanuts 170g,kh,4.59,1,United States,4,Yami,Nuts,25,100,114.75
MIZUHO Organic Roasted Chestnuts 150g,asian taste,2.59,76,Taiwan,4.4,Yami,Nuts,200,800,518
Three Squirrels Joy Package 878g,three squirrels,29.99,0,Mainland China,0,Yami,Nuts,25,100,749.75
SHENG Garlic Green Pea 240g,trikofoods,3.39,215,Taiwan,4.8,Yami,Nuts,25,100,84.75
Peanut Reg 198g,fengji,4.49,1,Mainland China,3,Yami,Nuts,50,200,224.5
Garuda Hot Coated Peanuts 230g,garuda,2.69,0,Indonesia,0,Yami,Nuts,50,200,134.5
Sweet Walnut Kernel 80g,three squirrels,2.99,0,Mainland China,0,Yami,Nuts,25,100,74.75
Garuda Garlic Coated Peanuts 130g,garuda,1.69,0,Indonesia,0,Yami,Nuts,50,200,84.5
Garlic Flavor Peanuts 198g,fengji,4.49,0,Mainland China,0,Yami,Nuts,50,200,224.5
Hot Spicy Flavor Peanuts 110g,murgerbon,3.39,0,Korea,0,Yami,Nuts,25,100,84.75
Hazelnut 185g,three squirrels,6.99,0,Mainland China,0,Yami,Nuts,25,100,174.75
Purple Skin Cashew 160g,three squirrels,7.29,0,Mainland China,0,Yami,Nuts,25,100,182.25
Almond 160g,three squirrels,6.59,0,Mainland China,0,Yami,Nuts,25,100,164.75
Sweet Soybean Powder Flavor Peanuts 110g,murgerbon,3.39,0,Korea,0,Yami,Nuts,25,100,84.75
Cookies and Cream Flavor Peanuts,murgerbon,3.39,0,Korea,0,Yami,Nuts,25,100,84.75
SXZ Soy sauce Watermelon Seed 180g,trikofoods,3.09,77,Taiwan,4.7,Yami,Nuts,25,100,77.25
Rattan Pepper Peanut 155g,other brands,4.49,0,Unclear,0,Yami,Nuts,50,200,224.5
Multi Flavor Peanut 265g,three squirrels,6.99,0,Mainland China,0,Yami,Nuts,25,100,174.75
Hickory Nut Kernels,shiwaitaoyuan,14.99,6,Mainland China,4.3,Yami,Nuts,25,100,374.75
Kui Da Ren Sunflower Seeds 180g,yifen,3.79,0,Mainland China,0,Yami,Nuts,25,100,94.75
3A Melon Seeds 400g,zhenglin,9.59,0,Mainland China,0,Yami,Nuts,25,100,239.75
Peanuts-Original Flavor,baishixing,1.99,0,Mainland China,0,Yami,Nuts,300,1200,597
CHACHA Rosted Premium Sunflower Seeds Original Flavor 98g,chacheer,2.49,53,Mainland China,4.8,Yami,Nuts,200,800,498
Penut Hot Curry 198g,fengji,4.69,0,Mainland China,0,Yami,Nuts,50,200,234.5
Herb Walnut 180g,three squirrels,5.79,0,Mainland China,0,Yami,Nuts,25,100,144.75
Peanuts- Spicy Flavor,baishixing,1.99,0,Mainland China,0,Yami,Nuts,300,1200,597
Cracker Peanut 300g,rushui,7.29,0,Mainland China,0,Yami,Nuts,50,200,364.5
Sunflower Seed Kernel Salty Yolk Taste 205g,three squirrels,5.69,0,Mainland China,0,Yami,Nuts,25,100,142.25
Fish & Garlic Flavor Bean 60g,trikofoods,2.89,0,Taiwan,0,Yami,Nuts,25,100,72.25
Spicy Green Pea 90g TW,trikofoods,2.89,0,Taiwan,0,Yami,Nuts,25,100,72.25
Black Pumpkin Seed 200g,laojiekou,8.99,4,Mainland China,5,Yami,Nuts,25,100,224.75
Natural Taste Organic Chestnut 130g,la cheeta,3.29,24,Mainland China,4.5,Yami,Nuts,200,800,658
Fish & Pepper Salt Flavor Bean 60g,trikofoods,2.89,0,Taiwan,0,Yami,Nuts,25,100,72.25
