Price,Product_Name,Origin,Sold_Monthly,Reviews,Rate,Brand,Platform,Category,Sold_Weekly,Weekly_revenue
3.39,CHA CHAA Sunflower Seed (coconut flavor),Unclear,12777,11,Unclear,Unclear,Freshgogo,Nuts,3194,10829
3.39,CHA CHAA Sunflower Seed (Sichuan Pepper),Mainland China,6364,5,Unclear,Unclear,Freshgogo,Nuts,1591,5393
5.89,ASIAN TASTE Roasted Organic Chestnut,Mainland China,5939,0,Unclear,Unclear,Freshgogo,Nuts,1485,8745
2.99,JUBES Coconut Gel (orginal),Japan,5927,0,Unclear,Unclear,Freshgogo,Nuts,1482,4430
5.09,Peanut,Unclear,6600,8,Unclear,Unclear,Freshgogo,Nuts,1650,8399
3.39,CHA CHA Roasted Sunflower Seeds (caramel flavor),Unclear,11787,7,Unclear,Unclear,Freshgogo,Nuts,2947,9989
9.49,Roasted Walnut Kernel,Mainland China,8427,3,Unclear,Unclear,Freshgogo,Nuts,2107,19993
2.99,JUBES Coconut Gel (lychee),Japan,5395,0,Unclear,Unclear,Freshgogo,Nuts,1349,4033
3.39,CHA CHA Sunflower Seed (original flavor),Unclear,17000,18,Unclear,Unclear,Freshgogo,Nuts,4250,14408
7.99,Roasted Walnut (milk),Mainland China,12290,5,Unclear,Unclear,Freshgogo,Nuts,3073,24549
4.29,FARMER BRAND Peanut (garlic flavor),Unclear,11357,3,Unclear,Unclear,Freshgogo,Nuts,2839,12180
3.19,ORANGE Chestnut Cake,Japan,10033,5,Unclear,Unclear,Freshgogo,Nuts,2508,8001
2.69,Peanut Dumpling,Mainland China,7546,11,Unclear,Unclear,Freshgogo,Nuts,1887,5075
7.99,Roasted Walnut (salt pepper),Mainland China,12180,3,Unclear,Unclear,Freshgogo,Nuts,3045,24330
3.79,Whole Wheat Steamed Bread,Unclear,9473,19,Unclear,Unclear,Freshgogo,Nuts,2368,8976
4.09,ONEFANG Walnut Soft Candy with Black Sesame,Mainland China,6321,0,Unclear,Unclear,Freshgogo,Nuts,1580,6463
5.19,Walnut Bun,Mainland China,6637,12,Unclear,Unclear,Freshgogo,Nuts,1659,8612
3.29,SUNEAR Rice Ball (peanut),Mainland China,0,1,Unclear,Unclear,Freshgogo,Nuts,0,0
2.89,Ready Made Walnut Dessert,Unclear,3525,2,Unclear,Unclear,Freshgogo,Nuts,881,2547
3.29,NICE CHOICE Mixed Peanut and Sesame Cake,Taiwan,0,0,Unclear,Unclear,Freshgogo,Nuts,0,0
3.19,"SUNEAR Mini Rice Ball (sesame, peanut, strawberry)",Mainland China,0,1,Unclear,Unclear,Freshgogo,Nuts,0,0
