Product_Name,Price,Sold_Weekly,Origin,Brand,Option,Rate,Sold_Monthly,Weekly_Revenue,Platform,Category,Reviews
"All Purpose Puff Pastry Tart Shells, 16pc  320 g",6.49,1000,Mainland China,Unclear,Unclear,Unclear,4000,6490,Weee,Pastries,327
Chen Yun Pao Chuan Egg Yolk Pastry 3ct 1 each,8.49,400,Taiwan,Unclear,Unclear,Unclear,1600,3396,Weee,Pastries,473
"Puff Pastry Egg Tart Shells, Frozen 18pc 414 g",6.49,300,Mainland China,Unclear,Unclear,Unclear,1200,1947,Weee,Pastries,15
Chen Yun Pao Chuan Billionaire Taro Pastry 3pc 5.6 oz,8.99,300,Taiwan,Unclear,Unclear,Unclear,1200,2697,Weee,Pastries,200
Chen Yun Pao Chuan Mung Bean Pastries Box 3pc 1 box,8.99,300,Taiwan,Unclear,Unclear,Unclear,1200,2697,Weee,Pastries,80
Chen Yun Pao Chuan Baked Chinese Pastry with Yolk 3pc 159 g,9.49,200,Taiwan,Unclear,Unclear,Unclear,800,1898,Weee,Pastries,152
Tachia Master Taro Pastry Gift Set Limited Edition 12pcs 585 g,44.89,200,Taiwan,Unclear,Unclear,Unclear,800,8978,Weee,Pastries,6
Mitsuru Portuguese Tart Pastry 18ct 418 g,8.99,50,Mainland China,Unclear,Unclear,Unclear,200,449.5,Weee,Pastries,3
Chen Yun Pao Chuan Top Four Pastries  428 g,24.64,50,Taiwan,Unclear,Unclear,Unclear,200,1232,Weee,Pastries,23
Chen Yun Pao Chuan Mochi Yolk Pastries 3pc 159 g,8.49,50,Taiwan,Unclear,Unclear,Unclear,200,424.5,Weee,Pastries,30
Chen Yun Pao Chuan Egg Yolk Puff Pastries 8pc 1 box,24.64,50,Taiwan,Unclear,Unclear,Unclear,200,1232,Weee,Pastries,136
"Fortune Bakery Egg Yolk Pastry Chewy Mochi with Red Bean, Walnut, Banana, and Winter Melon Filling  330 g",19.99,50,United States,Unclear,Unclear,Unclear,200,999.5,Weee,Pastries,20
"Fortune Bakery Egg Yolk Puff Pastry, Mochi and Red Bean Filling 6pcs 330 g",19.99,0,United States,Unclear,Unclear,Unclear,0,0,Weee,Pastries,20
Chen Yun Pao Chuan Taro Pastries 8pc 1 box,24.64,0,Taiwan,Unclear,Unclear,Unclear,0,0,Weee,Pastries,37
"Fortune Bakery Durian Puff Pastry, 6pcs 330 g",23.99,0,Mainland China,Unclear,Unclear,Unclear,0,0,Weee,Pastries,3
Chen Yun Pao Chuan Billion Double Happiness Chinese Pastries 8pc 1 box,28.99,0,Taiwan,Unclear,Unclear,Unclear,0,0,Weee,Pastries,15
Chen Yun Pao Chuan Traditional Egg Yolk Pastry 8pc 1 box,28.99,0,Taiwan,Unclear,Unclear,Unclear,0,0,Weee,Pastries,22
Chen Yun Pao Chuan Mung Bean Pastries 8pcs 1 box,24.64,0,Taiwan,Unclear,Unclear,Unclear,0,0,Weee,Pastries,23
Chen Yun Pao Chuan Mochi and Salted Egg Yolk Pastry 8pc 1 each,24.64,0,Taiwan,Unclear,Unclear,Unclear,0,0,Weee,Pastries,17
Youchen Cake Seasoned with Chicken Meat Floss 495 g,10.99,1000,Mainland China,Unclear,Unclear,Unclear,4000,10990,Weee,Pastries,432
JFC Konnyaku Yam Cake 9 oz,1.69,1000,United States,Unclear,Unclear,Unclear,4000,1690,Weee,Pastries,513
Wowo Brand Fermented Glutinous Rice 600 g,3.99,1000,Mainland China,Unclear,Unclear,Unclear,4000,3990,Weee,Pastries,196
DXC Mango Mochi 210 g,4.29,1000,Mainland China,Unclear,Unclear,Unclear,4000,4290,Weee,Pastries,146
Aroy-D Sticky Rice with Mango 8.8 oz,4.87,1000,Thailand,Unclear,Unclear,Unclear,4000,4870,Weee,Pastries,21
"Mi Po Po Fermented Glutinous Rice, Large 900 g",5.99,900,Mainland China,Unclear,Unclear,Unclear,3600,5391,Weee,Pastries,104
"Small Egg Tarts, Frozen 16 count",5.99,700,Mainland China,Unclear,Unclear,Unclear,2800,4193,Weee,Pastries,1077
