Product_Name,Brand,Price,Option,Rate,Origin,Reviews,Platform,Category,Sold_Weekly,Sold_Monthly,Weekly_Revenue
CHIO HEONG YUEN Abalone Pastries 180g,choi heong yuen bakery,6.29,5 Options,4.1,Macao,34,Yami,Pastries,200,800,1258
Sweet Scented Osmanthus Cake Pastries And Snacks 4 Piece,wufangzhai,6.49,No,0,Mainland China,0,Yami,Pastries,400,1600,2596
Pocky Almond Chocolate Biscuit Sticks 41g,glico,2.19,No,4.9,Japan,290,Yami,Pastries,1000,4000,2190
Koala Chocolate Cream Filling Biscuit 41g,lotte japan,1.19,2 Options,4.8,Japan,142,Yami,Pastries,900,3600,1071
Beijing Wheat Flour Cake 210g,dao xiang cun,5.99,No,4.7,Mainland China,182,Yami,Pastries,300,1200,1797
Salty Yolk Cookies 230g,tkfood,6.89,10 Options,4.8,Taiwan,1196,Yami,Pastries,1000,4000,6890
Hello Kitty Cookie Box 11.50 OZ,bourbon,15.99,No,5,Japan,5,Yami,Pastries,200,800,3198
YUMMY Flower Pastry Rose Flavor 200g 8pcs,yummyhi,3.69,5 Options,4.5,Mainland China,403,Yami,Pastries,1000,4000,3690
Meijin Cheese Mochi 66g,funwari,5.29,2 Options,4.6,Japan,35,Yami,Pastries,200,800,1058
Koala Strawberry Cream Filling Biscuit 41g,lotte japan,1.19,2 Options,4.8,Japan,108,Yami,Pastries,400,1600,476
Koala Mango Cream Filling Biscuit 41g,lotte japan,1.49,No,5,Japan,2,Yami,Pastries,400,1600,596
Saltine Crackers 7packs,haitai,2.49,No,4.6,Korea,151,Yami,Pastries,1000,4000,2490
Cookies Original Flavor 60g,koobi,4.69,No,5,Mainland China,1,Yami,Pastries,400,1600,1876
TK FOOD Salty Yolk Cookies 100g,tkfood,2.99,10 Options,4.7,Taiwan,399,Yami,Pastries,1000,4000,2990
Mushroom Chocolate Cookie 74g,meiji,2.99,2 Options,4.9,Japan,29,Yami,Pastries,400,1600,1196
Pastry Gift Box 4-in-1,choi heong yuen bakery of macau,24.99,No,0,Macao,0,Yami,Pastries,400,1600,9996
PRETZ Baked Snack Sticks Original Flavor 10pcs,glico,3.39,No,4.9,Japan,137,Yami,Pastries,1000,4000,3390
Butter Waffles 180g,richy,2.99,No,4.7,Vietnam,251,Yami,Pastries,1000,4000,2990
Oreo New Year Lucky Snacks Gift Box 568g,oreo,22.99,No,0,Mainland China,0,Yami,Pastries,400,1600,9196
GINBIS ANIMAL BISCUITS SEAWEED 50g,ginbis,1.69,No,0,Japan,0,Yami,Pastries,200,800,338
Sea Salt Cheese Biscuits 10pc,tokyo milk cheese factory,19.99,4 Options,4.6,Japan,85,Yami,Pastries,400,1600,7996
Imperial Palace Sesame Cookies 200g,imperial palace,4.59,No,5,Mainland China,1,Yami,Pastries,400,1600,1836
YUMMY Flower Pastry Purple Yam 200g 8pcs,yummyhi,3.69,5 Options,4.4,Mainland China,217,Yami,Pastries,1000,4000,3690
Pancake Comprehensive Gift Box 270g,imei,26.99,No,5,Taiwan,1,Yami,Pastries,400,1600,10796
Shortbread Cookies Rum with Red Grape Flavor 144g,jzjt,6.99,No,0,Mainland China,0,Yami,Pastries,400,1600,2796
Pejoy Matcha Cream Filled Biscuit Sticks 56g,glico,2.09,4 Options,4.9,Japan,102,Yami,Pastries,1000,4000,2090
Red Box,akaibohshi,37.99,6 Options,5,Japan,4,Yami,Pastries,100,400,3799
Ishiya Winter Chocolate Waffle 3Pcs,ishiya seika,10.99,No,4,Japan,3,Yami,Pastries,400,1600,4396
Imperial Palace Sesame Puff Cookies 200g,imperial palace,4.59,No,3.7,Mainland China,3,Yami,Pastries,400,1600,1836
Koala Chocolate Cream Filling Biscuit Family Size 196g,lotte japan,5.99,No,5,Japan,2,Yami,Pastries,400,1600,2396
Bubble Milk Tea Cakes 400g,hsintungyang,18.99,No,0,Taiwan,0,Yami,Pastries,400,1600,7596
Hot-Kid Cookie Ball Honey Flavour 210g,want want,2.99,6 Options,4.8,Taiwan,75,Yami,Pastries,400,1600,1196
KUKKIA Whipped Chocolate Sandwiched with Cookie 4 Flavor 48pcs 374g,akaibohshi,27.99,No,5,Japan,2,Yami,Pastries,400,1600,11196
Pejoy Matcha Mousse 126g,glico,6.49,No,0,Japan,0,Yami,Pastries,200,800,1298
Gery Cheese Crackers Bag  100g,garuda,1.29,No,4.8,Indonesia,52,Yami,Pastries,200,800,258
Milk and Custard Falvor Cookies 128g,sable,4.89,No,5,Mainland China,1,Yami,Pastries,400,1600,1956
Coconut Cookie 200g,vitico,3.99,No,4.2,Mainland China,4,Yami,Pastries,400,1600,1596
Shortbread Cookies Dark Chocolate Yoghurt Flavor 144g,jzjt,6.99,No,0,Mainland China,0,Yami,Pastries,400,1600,2796
Ice Cream Flavor Cone Snack 10pc 82g,glico,4.49,No,5,Japan,1,Yami,Pastries,200,800,898
Assorted Cookie Pack 170g,bourbon,4.99,No,4.6,Japan,21,Yami,Pastries,300,1200,1497
2-Color Sweet Potato Chips 180g,liancheng,6.39,No,0,Taiwan,0,Yami,Pastries,400,1600,2556
Mango and Cranberry Flavor Cookies 128g,sable,4.89,No,5,Mainland China,1,Yami,Pastries,400,1600,1956
Petit bear sweets house 318g,bourbon,29.99,No,0,Japan,0,Yami,Pastries,400,1600,11996
Mire Biscuits 200g,nomura,3.69,5 Options,0,Japan,0,Yami,Pastries,400,1600,1476
Salad Shrimp Flavor Biscuit 70g,glico,2.69,No,5,Japan,1,Yami,Pastries,200,800,538
Strawberry Vanilla Cream Filled Biscuit Sticks 126g,glico,6.49,No,5,Japan,1,Yami,Pastries,200,800,1298
Koala Mango Cream Filling Biscuit Family Size 195g,lotte japan,5.39,No,5,Japan,1,Yami,Pastries,400,1600,2156
1mm Thin Cracker Black Sesame Flavor 285g,silang,5.29,No,0,Mainland China,0,Yami,Pastries,400,1600,2116
Crackers  Cocoa Flavor 180g,v-loong,3.49,No,0,Mainland China,0,Yami,Pastries,400,1600,1396
Protein 15 Cookie Cocoa  6pc 57.6g,healthy club,2.39,2 Options,0,Japan,0,Yami,Pastries,400,1600,956
?€?BOURBON X Demon Slayer: Kimetsu no Yaiba?€?Petite Ichigo Biscuit 56g,bourbon,1.69,19 Options,5,Japan,3,Yami,Pastries,25,50,42.25
Choco Sticks-Popping Candy 144g,other brands,5.99,No,5,Unclear,1,Yami,Pastries,400,1600,2396
Pejoy Red Wine Chocolate 126g,glico,6.49,No,0,Japan,0,Yami,Pastries,200,800,1298
Peacock Wafer Roll Coffee Flavor 63g,peacock brand herbs,3.29,No,0,Mainland China,0,Yami,Pastries,400,1600,1316
Original Cracker 7packs,haitai,2.29,No,4.7,Korea,181,Yami,Pastries,300,1200,687
Koala's Matcha Cream Filled Cookies 37g,lotte japan,1.29,No,4.8,Japan,6,Yami,Pastries,400,1600,516
GINBIS Animal Biscuits Chocolate Flavor 50g,ginbis,1.19,No,0,Japan,0,Yami,Pastries,200,800,238
Ace Cheese Cake Flavor Cracker 364g,haitai,3.99,No,0,Korea,0,Yami,Pastries,400,1600,1596
Pocky Super Slender Chocolate Biscuit Sticks 73g  Random version,glico,2.19,No,4.8,Japan,143,Yami,Pastries,1000,4000,2190
Choco Cracker Snack 70g,ginbis,2.29,No,0,Japan,0,Yami,Pastries,200,800,458
Low-Cal Natural French fries Snack 108g,haitai,3.49,2 Options,4.7,Korea,171,Yami,Pastries,300,1200,1047
Petit bear sweets Train 323g,bourbon,29.99,No,5,Japan,1,Yami,Pastries,400,1600,11996
KUKKIA Whipped Chocolate Sandwiched with Cookie Gift Box 4 Flavor 20pcs,akaibohshi,11.99,5 Options,4.8,Japan,27,Yami,Pastries,50,200,599.5
Grain Pancake 250g,xiaoshiyizhuang,11.99,No,5,Mainland China,11,Yami,Pastries,400,1600,4796
Elegant  Assorted Cookie Box,akaibohshi,8.99,6 Options,4.8,Japan,6,Yami,Pastries,200,800,1798
Family Assorted Biscuits 1340g,garden,7.99,No,0,Hong Kong,0,Yami,Pastries,25,50,199.75
Friend Bakery 62g,glico,1.59,No,0,Japan,0,Yami,Pastries,200,800,318
Almond Cookies Sesame 120g,imperial palace,4.99,No,5,Mainland China,1,Yami,Pastries,400,1600,1996
Milk Cake Original 400g,gold fuji,4.59,No,0,Mainland China,0,Yami,Pastries,400,1600,1836
Danisa Premium Butter Cookies 12oz,danisa,6.29,No,0,Denmark,0,Yami,Pastries,25,50,157.25
Almond Cakes 300g,choi heong yuen bakery,9.99,3 Options,5,Macao,4,Yami,Pastries,400,1600,3996
Green Onion Soda Cracker   120g,zhongxiang,2.59,No,4.3,Taiwan,26,Yami,Pastries,400,1600,1036
One Bite Almond Cakes,choi heong yuen bakery of macau,11.99,No,4.5,Macao,2,Yami,Pastries,400,1600,4796
Crackers Fresh flowers Flavor 180g,v-loong,3.49,No,0,Mainland China,0,Yami,Pastries,400,1600,1396
"Cookies, Imported Sandwich Chocolate Cream 150g",biscoff,6.99,No,0,United States,0,Yami,Pastries,400,1600,2796
Japanese Hanatsubaki Valentine's Day Cookie Gift Box 24pc,shiseido,34.99,No,0,Japan,0,Yami,Pastries,400,1600,13996
Crackers Fresh milk Soup Flavor 180g,v-loong,3.49,No,5,Mainland China,1,Yami,Pastries,400,1600,1396
Almond Cookies Sesame 120g,imperial palace,4.99,No,5,Mainland China,0,Yami,Pastries,400,1600,1996
Koala Strawberry Cream Filling Biscuit Family Size 196g,lotte japan,5.49,No,5,Japan,1,Yami,Pastries,400,1600,2196
Pink Assorted Cookie Box,akaibohshi,27.99,6 Options,4.3,Japan,3,Yami,Pastries,400,1600,11196
Green Onion Soda Cracker   120g,zhongxiang,2.59,No,4.3,Taiwan,26,Yami,Pastries,400,1600,1036
One Bite Almond Cakes,choi heong yuen bakery of macau,11.99,No,4.5,Macao,2,Yami,Pastries,400,1600,4796
Biscuit With 9 kinds of Vegetables(Shallot Flavour)308g,huamei,5.29,No,0,Mainland China,0,Yami,Pastries,400,1600,2116
Crackers Fresh flowers Flavor 180g,v-loong,3.49,No,0,Mainland China,0,Yami,Pastries,400,1600,1396
Pizza Flavor Biscuit 80g,glico,2.69,No,4.6,Japan,5,Yami,Pastries,25,50,67.25
Biscuits Blueberry & Raspberry160g,nairn`s,5.89,No,0,United States,0,Yami,Pastries,400,1600,2356
Golden Box Assorted Cookie Box,akaibohshi,52.99,6 Options,4.8,Japan,5,Yami,Pastries,100,400,5299
Korean Traditional Rice Cookie 127g,assi brand,3.49,No,0,Korea,0,Yami,Pastries,25,50,87.25
?€?BOURBON X Demon Slayer: Kimetsu no Yaiba?€?Petite Caramel Cookie 49g,bourbon,1.69,19 Options,5,Japan,6,Yami,Pastries,25,50,42.25
GAVOTTES Butter Crispy Biscuit 1250g,gavottes,46.99,No,0,France,0,Yami,Pastries,25,50,1174.75
CHIO HEONG YUEN Mini Almond Cakes 15Packs 165g,choi heong yuen bakery,7.99,No,3.7,Macao,12,Yami,Pastries,400,1600,3196
Choco Sticks Crunchy 144g,other brands,5.99,No,5,Unclear,1,Yami,Pastries,400,1600,2396
Milk Cake High Calcium 400g,gold fuji,4.59,No,0,Mainland China,0,Yami,Pastries,400,1600,1836
Crepe Dentelle Cookies 500g,gavottes,25.99,No,5,France,4,Yami,Pastries,25,50,649.75
Veggie Bites 80g,calbee,2.29,No,4.7,Japan,9,Yami,Pastries,200,800,458
Festival Limited Edition Butter Cookie 250g,walkers,11.99,No,0,Scotland,0,Yami,Pastries,400,1600,4796
Choco Sticks-Peanut 144g,other brands,5.99,No,5,Unclear,1,Yami,Pastries,400,1600,2396
BACKERY Almond Cakes Biscuits Aux Amandes 300g,choi heong yuen bakery,10.99,5 Options,4.5,Macao,20,Yami,Pastries,300,1200,3297
ACE Cracker 364g,haitai,4.49,No,4.8,Korea,61,Yami,Pastries,200,800,898
GuoKui Preserved Vegetable Biscuit 70g,ciweiagan,5.99,3 Options,3.9,Mainland China,10,Yami,Pastries,400,1600,2396
Pejoy Cookies & Cream Creamy Vanilla Filled Chocolate Biscuit Sticks 56g,glico,2.09,4 Options,4.8,Japan,41,Yami,Pastries,200,800,418
Popping Candy Macaron Biscuits Cream Flavor 133g,aji,3.49,No,5,Mainland China,1,Yami,Pastries,300,1200,1047
Balance Power Biscuit Hokkaido Butter Flavor 64.8g 2pc,healthy club,2.29,5 Options,4.8,Japan,74,Yami,Pastries,1000,4000,2290
Otona No Crunch Rum Raisin 112g,shoei delicy,3.89,No,5,Japan,5,Yami,Pastries,400,1600,1556
