Price,Product_Name,Sold_Monthly,Reviews,Rate,Origin,Brand,Option,Platform,Category,Sold_Weekly,Weekly_Revenue
7.79,WEI CHUNG Pork Scallop and Shrimp Dumpling,9605,26,Unclear,Unclear,Unclear,Unclear,Freshgogo,Popcorn,2401,18706
5.09,LUCKY DELIGHT Imitation Crab Meat,7541,9,Unclear,Unclear,Unclear,Unclear,Freshgogo,Popcorn,1885,9596
6.19,BEST DIM SUM Puff Pastry Tart Shell,10659,22,Unclear,Unclear,Unclear,Unclear,Freshgogo,Popcorn,2665,16495
2.79,CHUHONG Chili Powder,3695,0,Unclear,Unclear,Unclear,Unclear,Freshgogo,Popcorn,924,2577
2.19,QIAO XI FU Cumin,12124,0,Unclear,Unclear,Unclear,Unclear,Freshgogo,Popcorn,3031,6638
3.39,String Bean,25938,73,Unclear,Unclear,Unclear,Unclear,Freshgogo,Popcorn,6485,21982
4.29,ANJOY Glutinous Rice Ball (red bean),9903,3,Unclear,Unclear,Unclear,Unclear,Freshgogo,Popcorn,2476,10621
4.19,HE PAI Green Bean,12728,9,Unclear,Unclear,Unclear,Unclear,Freshgogo,Popcorn,3182,13333
17.75,Sichuan Style Rabbit,2934,27,Unclear,Unclear,Unclear,Unclear,Freshgogo,Popcorn,734,13020
27.50,Shepherds Prawn Wonton(Frozen),10717,35,Unclear,Unclear,Unclear,Unclear,Freshgogo,Popcorn,2679,73679
17.99,TAOYUAN NATURE FARMING Pitted Longan,2740,0,Unclear,Unclear,Unclear,Unclear,Freshgogo,Popcorn,685,12323
15.25,Spicy Duck Neck (5),3995,58,Unclear,Unclear,Unclear,Unclear,Freshgogo,Popcorn,999,15231
27.50,Egg Chives Shrimp Dumpling(Frozen),6614,10,Unclear,Unclear,Unclear,Unclear,Freshgogo,Popcorn,1654,45471
11.25,Lamb with Skin,2336,4,Unclear,Unclear,Unclear,Unclear,Freshgogo,Popcorn,584,6570
9.95,Duck Feet,1743,7,Unclear,Unclear,Unclear,Unclear,Freshgogo,Popcorn,436,4336
5.99,Hot Pepper Sauce,6797,5,Unclear,Unclear,Unclear,Unclear,Freshgogo,Popcorn,1699,10179
2.99,Okra,13221,50,Unclear,Unclear,Unclear,Unclear,Freshgogo,Popcorn,3305,9883
6.99,Best Fish Tofu,11729,31,Unclear,Unclear,Unclear,Unclear,Freshgogo,Popcorn,2932,20496
20.95,Duck Blood in Sour Spicy Oil,5833,5,Unclear,Unclear,Unclear,Unclear,Freshgogo,Popcorn,1458,30550
4.99,SUN FARM Organic Eggs (1 dozen),17400,31,Unclear,Unclear,Unclear,Unclear,Freshgogo,Popcorn,4350,21707
