,Product_Name,Brand,Price,Option,Reviews,Origin,Rate,Platform,Category,Sold_Weekly
0,Crunchy Rice Rollers Original Brown Rice  At least 95% Organic 74g,crunchy rice rollers,5.49,No,0,United States,0.0,Yami,Rice Cracker,200+ Sold
1,Rice Crackers Bites Spicy Flavor  3.5oz,want want,1.59,3 Options,1,Taiwan,5.0,Yami,Rice Cracker,400+ Sold
2,Rice Crackers Bites Original Flavor  3.5oz,want want,1.99,3 Options,1,Taiwan,5.0,Yami,Rice Cracker,400+ Sold
3,MIZUHO Mini Wasabi Rice Crackers 90g,mizuho,1.99,No,2,Japan,5.0,Yami,Rice Cracker,400+ Sold
4,Bin Bin Rice Crackers Coconut Milk Flavor 150g,namchow,2.19,No,29,Mainland China,4.1,Yami,Rice Cracker,400+ Sold
5,Natural Farm Rice Crackers 60g,want want,1.29,6 Options,50,Taiwan,4.6,Yami,Rice Cracker,400+ Sold
6,Shrimp Crackers Hot Chili & Lime 85g,papatonk,3.99,No,4,Indonesia,4.2,Yami,Rice Cracker,400+ Sold
7,Shrimp Crackers Original 85g,papatonk,3.99,No,7,Indonesia,5.0,Yami,Rice Cracker,400+ Sold
8,Koloko Pea Crackers Spicy Flavor 140g,lianhwa,3.39,7 Options,18,Taiwan,4.4,Yami,Rice Cracker,400+ Sold
9,Koloko Pea Crackers Original 140g,lianhwa,3.39,7 Options,9,Taiwan,5.0,Yami,Rice Cracker,400+ Sold
10,Pita Crackers Mediterranean Herb 120g,simple mills,6.49,No,0,United States,0.0,Yami,Rice Cracker,400+ Sold
11,Shrimp Crackers Spicy 80g,chinchin,1.99,6 Options,3,Taiwan,5.0,Yami,Rice Cracker,Less than 50
12,MIX Biscuit Sticks Original Flavor 60g,vfoods,1.29,6 Options,0,Thailand,4.9,Yami,Rice Cracker,400+ Sold
13,Spicy Rice Cake Sticks Snack 230g,haitai,3.49,2 Options,302,Korea,4.5,Yami,Rice Cracker,400+ Sold
14,Energy 99 Rice Roll Egg Yolk Flavor 180g,pei tien,2.59,4 Options,481,Taiwan,4.8,Yami,Rice Cracker,400+ Sold
15,WANTWANT Rice Snack Original Flavor  70g,want want,1.89,2 Options,18,Taiwan,4.6,Yami,Rice Cracker,400+ Sold
16,Puffed Rice Caramel Flavor 100g,captain danny,5.49,5 Options,8,Taiwan,4.8,Yami,Rice Cracker,400+ Sold
17,GGE Baked Rice Snack Chocolate Flavor 45g,weilih,1.89,No,200,Taiwan,4.7,Yami,Rice Cracker,400+ Sold
18,Rice Stick Seafood Flavor 75g,koikeya,2.09,No,1,Japan,5.0,Yami,Rice Cracker,400+ Sold
19,Rice Cracker Happy Turn English 108g,kameda,4.39,No,0,Japan,0.0,Yami,Rice Cracker,400+ Sold
20,Korean Rice Snack 8.8oz,arirang,6.99,No,0,Korea,0.0,Yami,Rice Cracker,200+ Sold
21,Rice Cracker Soft Salad New 139g,kameda,3.99,No,0,Japan,0.0,Yami,Rice Cracker,400+ Sold
22,【Hnamatsuri Limited Edition】Baked Rice Cracker 50g,befco,3.49,No,0,Japan,0.0,Yami,Rice Cracker,Less than 50
23,Japanese Traditional Seaweed Rice Cracker 85g,shirakiku,2.99,No,53,Japan,3.9,Yami,Rice Cracker,400+ Sold
24,Rice Cracker 8 Mate Mix Arae 454g,shirakiku,7.99,3 Options,2,Japan,5.0,Yami,Rice Cracker,400+ Sold
25,Puffed Rice Sour Cream & Onion Flavor100g,captain danny,5.49,No,0,Taiwan,0.0,Yami,Rice Cracker,Less than 50
26,Crunchy Rice Rolls Strawberry Flavor,mammos,2.49,No,1,Korea,3.0,Yami,Rice Cracker,400+ Sold
27,Hello Kitty Grains Rice Roll (Package Color Sent Randomly) 160g,pei tien,2.99,No,81,Taiwan,4.9,Yami,Rice Cracker,400+ Sold
28,Rice Cracker Hot Mate Mix Arare 453g,shirakiku,7.99,3 Options,0,Japan,0.0,Yami,Rice Cracker,400+ Sold
29,Rice Snack Soybean Flavor 85g,funwari,2.5,No,5,Japan,4.4,Yami,Rice Cracker,Less than 50
30,Japanese Rice Cracker 132g,amanoya,3.39,No,14,Japan,4.7,Yami,Rice Cracker,300+ Sold
31,Mayonnaise Mentaiko Rice crackers 40g,ameyasan,2.99,19 Options,1,Japan,5.0,Yami,Rice Cracker,200+ Sold
32,Mayonnaise Curry Rice crackers 40g,ameyasan,2.99,19 Options,0,Japan,0.0,Yami,Rice Cracker,200+ Sold
33,Rice Cracker 70g,mizuho,1.69,No,7,Japan,4.4,Yami,Rice Cracker,400+ Sold
34,Rice Crackers With Anchovy 1years old+ 4pack,wakodo,7.99,No,0,Japan,0.0,Yami,Rice Cracker,400+ Sold
35,Cheese Rice crackers  12pc,kameda,6.5,19 Options,0,Japan,0.0,Yami,Rice Cracker,400+ Sold
36,Spicy Soy Rice Crackers 80g,echigo seika,3.5,No,0,Japan,0.0,Yami,Rice Cracker,Less than 50
37,Rice Cracker 100g,mizuho,1.99,No,5,Japan,4.6,Yami,Rice Cracker,400+ Sold
38,Rice Cracker Nori Flavor 454g,shirakiku,11.49,3 Options,0,Japan,0.0,Yami,Rice Cracker,400+ Sold
39,Japanese Baked Rice Cracker Japanese Salt 10 Pack 144g,kingodo,3.69,No,0,Japan,0.0,Yami,Rice Cracker,400+ Sold
40,Puffed Black Bean Rice Cake125g,nonghyup,3.69,2 Options,11,Korea,4.5,Yami,Rice Cracker,400+ Sold
41,Bin Bin Rice Cracker 106g,namchow,1.29,No,56,Mainland China,4.8,Yami,Rice Cracker,400+ Sold
42,Japanese Shoyo Rice Cracker 60g,amanoya,1.99,No,30,Japan,4.9,Yami,Rice Cracker,100+ Sold
43,Puffed Rice Cake 125g,nonghyup,2.99,2 Options,9,Korea,5.0,Yami,Rice Cracker,400+ Sold
44,Mayonnaise Bacon Rice crackers 40g,ameyasan,2.99,19 Options,0,Japan,0.0,Yami,Rice Cracker,200+ Sold
45,Mayonnaise Rice crackers 40g,ameyasan,2.99,19 Options,0,Japan,0.0,Yami,Rice Cracker,200+ Sold
46,AMAEBI Rice crackers 6bags,ameyasan,4.5,19 Options,0,Japan,0.0,Yami,Rice Cracker,200+ Sold
