Product_Name,Price,Sold_Weekly,Origin,Brand,Reviews,Sold_Monthly,Weekly_Revenue,Platform,Category,Rate
Yuanxian Rice Crust Snack 130 g,1.99,1000,Mainland China,Unclear,209,4000,1990,Weee,Rice Crust,Unclear
"Yumei Rice Crust, Salted Yolk Flavor 118 g",3.69,600,Mainland China,YUMEI,59,2400,2214,Weee,Rice Crust,Unclear
"Bestore Egg Yolk Rice Crust, Crab Flavor 75 g",2.19,400,Mainland China,Unclear,27,1600,876,Weee,Rice Crust,Unclear
Three Squirrels Rice Crust Snack  60 g,1.99,300,Mainland China,THREE SQUIRRELS,39,1200,597,Weee,Rice Crust,Unclear
"Huajiao Rice Crust, Spicy Flavor 158 g",2.49,200,Mainland China,Unclear,9,800,498,Weee,Rice Crust,Unclear
"Huajiao Rice Crust, Peppercorn Flavor 158 g",2.49,200,Mainland China,Unclear,3,800,498,Weee,Rice Crust,Unclear
Rice Crust (Spicy Flavor) 80 g,2.49,100,Mainland China,Unclear,0,400,249,Weee,Rice Crust,Unclear
Rice Crust Fried Beef 1 each,21.6,0,Unclear,Unclear,0,0,0,Weee,Rice Crust,Unclear
Bestore Millet Crisp Crust Rice Crackers  90 g,2.49,1000,Mainland China,Unclear,45,4000,2490,Weee,Rice Crust,Unclear
"Bestore Millet Crisp Crust Rice Crackers, Hot and Spicy Flavor 90 g",3.29,600,Mainland China,Unclear,56,2400,1974,Weee,Rice Crust,Unclear
"Songshan Pingdi Crisp Crust Cracker, Spicy Flavor 120 g",1.99,200,Mainland China,Unclear,68,800,398,Weee,Rice Crust,Unclear
"Haobalaiba Millet Crisp Crust, Spicy Flavor 105 g",1.49,200,Mainland China,Unclear,14,800,298,Weee,Rice Crust,Unclear
"Millet crisp crust, Cumin Flavor  130 g",2.09,200,Mainland China,Hua Jiao Shi Jia,4,800,418,Weee,Rice Crust,Unclear
"Songshan Fangdan Crisp Crust, Spicy Crawfish Flavor 120 g",1.99,100,Mainland China,SONGSHAN,53,400,199,Weee,Rice Crust,Unclear
"Millet crisp crust, Spicy Flavor  130 g",2.09,100,Mainland China,Unclear,4,400,209,Weee,Rice Crust,Unclear
"Millet crisp crust, Tomato Flavor 130 g",2.09,50,Mainland China,Hua Jiao Shi Jia,6,200,104.5,Weee,Rice Crust,Unclear
"Ao Kun Small Portuguese Style Tart Crust, Frozen 60pc 570 g",8.59,400,Mainland China,Unclear,58,1600,3436,Weee,Rice Crust,Unclear
"Sachima Rice,Classic Egg Flavor  526 g",5.69,1000,Mainland China,Unclear,145,4000,5690,Weee,Rice Crust,Unclear
Steak Flavor Rice Crisps 210 g,3.49,1000,Mainland China,Unclear,72,4000,3490,Weee,Rice Crust,Unclear
"Beitian Energy Rice Rolls, Egg Yolk Flavor  180 g",2.99,1000,Taiwan,Unclear,387,4000,2990,Weee,Rice Crust,Unclear
Bin Bin Rice Crackers 3.73 oz,1.29,1000,Thailand,Unclear,9,4000,1290,Weee,Rice Crust,Unclear
CJ Bibigo Original Seaweed Crisps with Brown Rice 20 g,2.49,700,South Korea,Bibigo,68,2800,1743,Weee,Rice Crust,Unclear
HAITAI Tteokbokki Rice Cake Chips  192 g,3.99,600,South Korea,HAITAI,16,2400,2394,Weee,Rice Crust,Unclear
HanZhengXuan Original Rice Cake 200 g,3.49,600,Taiwan,Unclear,116,2400,2094,Weee,Rice Crust,Unclear
LONGKANG Crispy Rice Crackers 25 g,0.59,600,Mainland China,Unclear,15,2400,354,Weee,Rice Crust,Unclear
Amanoya Himemaru Japanese Rice Cracker Snack  3.45 oz,1.99,500,Japan,Unclear,60,2000,995,Weee,Rice Crust,Unclear
Want Want Shelly Senbei Rice Crackers 520 g,9.99,400,Mainland China,Unclear,168,1600,3996,Weee,Rice Crust,Unclear
"Likee Rice Crisps, Crab Flavor 96 g",2.79,300,Mainland China,Unclear,63,1200,837,Weee,Rice Crust,Unclear
Sun Pepper Crispy Rice Crackers Spicy 108 g,3.49,300,Mainland China,Unclear,0,1200,1047,Weee,Rice Crust,Unclear
"Ottogi Ppushu Ppushu Noodle Snack, Spicy Rice Cake Flavor 3.18 oz",0.99,300,South Korea,Ottogi,2,1200,297,Weee,Rice Crust,Unclear
MTT Brand Instant Rice Paper Snack 7 oz,3.29,200,Vietnam,Unclear,3,800,658,Weee,Rice Crust,Unclear
"SUN Pepper Crispy Rice Crackers,Honey Chicken Wing Flavor  108 g",3.49,200,Mainland China,Unclear,0,800,698,Weee,Rice Crust,Unclear
Regent Snacku Vegetable Flavored Rice Crackers 60 g,1.29,200,Philippines,Regent,4,800,258,Weee,Rice Crust,Unclear
Dang Coconut Crunch Thai Rice Chips  3.5 oz,4.49,200,Thailand,Unclear,3,800,898,Weee,Rice Crust,Unclear
"Glutinous Rice Rolls, Assorted Flavors 500 g",6.29,200,Mainland China,Unclear,22,800,1258,Weee,Rice Crust,Unclear
"Hello Kitty Grains Crispy Rice Roll, Egg Yolk Flavor 160 g",2.99,100,Mainland China,Unclear,18,400,299,Weee,Rice Crust,Unclear
Want Want Senbei Rice Crackers  520 g,9.99,100,Taiwan,WANT WANT,2,400,999,Weee,Rice Crust,Unclear
Hsin Tung Yang Seaweed Snack with Purple Rice 40 g,3.39,100,Taiwan,HSIN TUNG YANG,7,400,339,Weee,Rice Crust,Unclear
TAIYANG Sun Rice Chips Cumin Flavor 50 g,1.49,50,Mainland China,Unclear,36,200,74.5,Weee,Rice Crust,Unclear
"Sha Er Ge Coarse Grain Rice Crisps, Scallion Flavor 100 g",1.89,50,Mainland China,Unclear,2,200,94.5,Weee,Rice Crust,Unclear
Surasang Korean Rice Senbei Crackers 300 g,5.99,50,Mainland China,Surasang,37,200,299.5,Weee,Rice Crust,Unclear
"Sha Er Ge Coarse Grain Rice Crisps, Spicy Flavor 100 g",1.99,50,Mainland China,Sha Er Ge,0,200,99.5,Weee,Rice Crust,Unclear
Surasang Syrup Coated Rice Senbei 300 g,6.99,50,Mainland China,Surasang,33,200,349.5,Weee,Rice Crust,Unclear
Lundberg Family Farms Organic Lightly Salted Brown Rice Cakes 8.5 oz,3.99,50,United States,Unclear,3,200,199.5,Weee,Rice Crust,Unclear
Dang Sriracha Spice Thai Rice Chips  3.5 oz,4.49,50,Thailand,Unclear,3,200,224.5,Weee,Rice Crust,Unclear
Want Want Assorted Rice Crackers Gift 460 g,15.99,50,Mainland China,WANT WANT,0,200,799.5,Weee,Rice Crust,Unclear
"WL Rice Cracker, Sesame Flavor 108 g",2.79,50,Mainland China,Unclear,0,200,139.5,Weee,Rice Crust,Unclear
"Captain Danny Puffed Rice, Hokkaido Corn Soup Flavor 100 g",5.69,0,Taiwan,Captain Danny,12,0,0,Weee,Rice Crust,Unclear
