Product_Name,Brand,Price,Reviews,Origin,Rate,Platform,Category,Sold_Weekly,Sold_Monthly,Weekly_Revenue
Huajiao Rice Crust Hot Spicy Flavor 158g,hjsj,2.49,18,Mainland China,4.7,Yami,Rice Crust,400,1600,996
Huajiao Rice Crust Spicy Flavor 158g,hjsj,2.49,11,Mainland China,4.5,Yami,Rice Crust,400,1600,996
Huajiao Rice Crust Peppercorn Flavor 158g,hjsj,2.49,14,Mainland China,4.2,Yami,Rice Crust,400,1600,996
Crunchy Rice Rollers Original Brown Rice  At least 95% Organic 74g,crunchy rice rollers,5.49,0,United States,0,Yami,Rice Crust,200,800,1098
Millet Crisp Crust Cumin Flavor  130g,hjsj,1.99,1,Mainland China,5,Yami,Rice Crust,400,1600,796
Millet Crisp Crust(spicy) 130g,hjsj,1.99,3,Mainland China,5,Yami,Rice Crust,400,1600,796
Millet Crisp Crust(Tomato) 130g,hjsj,1.99,1,Mainland China,5,Yami,Rice Crust,400,1600,796
Millet Crisp Crust Spiced Flavor 105g,haobalaiba,1.69,5,Mainland China,4.8,Yami,Rice Crust,400,1600,676
Millet Crisp Crust Spicy Flavor 105g,haobalaiba,1.69,7,Mainland China,4.4,Yami,Rice Crust,400,1600,676
Millet Crust-Five Spices Flavor 90g,bestore,2.49,28,Mainland China,4.6,Yami,Rice Crust,200,800,498
Millet Crust Spicy 90g (packaging may vary),bestore,2.49,42,Mainland China,4.5,Yami,Rice Crust,100,400,249
"Guangxi Specialty Snail Rice Noodle, 280g",luobawang,3.69,2082,Mainland China,4.8,Yami,Rice Crust,1000,4000,3690
Snail Rice Noodle Tomato Flavor 306g,luobawang,3.69,1093,Mainland China,4.7,Yami,Rice Crust,400,1600,1476
Guangxi Specialty Snails Rice Noodle Hot Spicy Flavor 315g,luobawang,3.69,882,Mainland China,4.7,Yami,Rice Crust,400,1600,1476
Snail Rice Noodles 300g River Snail Noodle 300g Gold Award in the Conch Noodles 300g,haohuanluo,4.29,1486,Mainland China,4.7,Yami,Rice Crust,1000,4000,4290
"River Snails Rice Noodle Liuzhou specialty, 268g",liuquan,3.99,1390,Mainland China,4.6,Yami,Rice Crust,400,1600,1596
Instant Hot Pot Self  Heating Rice 465g,yumei,7.49,269,Mainland China,4.6,Yami,Rice Crust,400,1600,2996
"River Snails Rice Noodle Original, 315g",liuquan,3.99,463,Mainland China,4.7,Yami,Rice Crust,400,1600,1596
Rice Cake w/Sweet Spicy Sauce 280g,yopokki,4.99,27,Korea,4.4,Yami,Rice Crust,400,1600,1996
Mushroom Rice Noodles 400g,luobawang,4.69,29,Mainland China,4.9,Yami,Rice Crust,400,1600,1876
Sweet Rice 907g,shirakiku,3.99,96,Japan,4.8,Yami,Rice Crust,400,1600,1596
Spicy Rice Cake Sticks Snack 230g,haitai,3.49,302,Korea,4.5,Yami,Rice Crust,400,1600,1396
"Xinjiang Stir Fried Rice Noodle Vermicelli Hot Spicy, 250g",qianfenxishi,4.59,293,Mainland China,4.7,Yami,Rice Crust,400,1600,1836
Energy 99 Rice Roll Egg Yolk Flavor 180g,pei tien,2.59,481,Taiwan,4.8,Yami,Rice Crust,400,1600,1036
Cup Rice Cake Spicy Carbonara 140g,wellheim,2.99,18,Korea,4.6,Yami,Rice Crust,400,1600,1196
WANTWANT Rice Snack Original Flavor  70g,want want,1.89,18,Taiwan,4.6,Yami,Rice Crust,400,1600,756
Puffed Rice Caramel Flavor 100g,captain danny,5.49,8,Taiwan,4.8,Yami,Rice Crust,200,800,1098
WanHe Sesame Paste Soup Base Rice Noodle 220g,wanhe,1.99,94,Mainland China,4.7,Yami,Rice Crust,400,1600,796
Spice Shrimp Rice Noodles 60g*4bag,old pot rice noodles,9.99,9,Taiwan,4.1,Yami,Rice Crust,400,1600,3996
Extra Spicy Soup Rice Noodle 220g,wanhe,3.99,5,Mainland China,4,Yami,Rice Crust,400,1600,1596
Rice Cake Topokki Original Spicy 142g,wellheim,2.99,9,Korea,4.1,Yami,Rice Crust,400,1600,1196
HongKong Style Rice Noodle Tomato Beef Flavor 297g,baman,6.99,1,Mainland China,5,Yami,Rice Crust,400,1600,2796
Rice Cake Stick 600g,other brands,3.59,10,Unclear,4.8,Yami,Rice Crust,400,1600,1436
Red Bean Purple Rice Coix Seed Drink 15g*30,yami,14.29,272,United States,4.9,Yami,Rice Crust,400,1600,5716
GGE Baked Rice Snack Chocolate Flavor 45g,weilih,1.89,200,Taiwan,4.7,Yami,Rice Crust,400,1600,756
Red bean and barley rice noodles Low-fat and high-fiber classic damp-removing meal replacement powder 50,mr fang's store,17.99,0,Mainland China,5,Yami,Rice Crust,400,1600,7196
?€?Frozen?€?Rice Cake(Dukbokki)1.5lb,dafeng,2.69,0,Mainland China,0,Yami,Rice Crust,200,800,538
Baolaifa Brown Sugar Rice Cake -Original 550g,Unclear,21.99,3,Taiwan,5,Yami,Rice Crust,400,1600,8796
Crispy Rice Chips original flavor 220g,yumei,3.69,0,Mainland China,0,Yami,Rice Crust,400,1600,1476
Rice Cracker Honey Sauce  Flavor 108g,xasunfood,2.99,0,Mainland China,0,Yami,Rice Crust,400,1600,1196
Yami x Ishizawa Exclusive Rice Skin Care Bonus Kit,ishizawa lab,23.5,5,Japan,5,Yami,Rice Crust,400,1600,9400
Rice Cracker 218g,wolong,4.69,0,Mainland China,0,Yami,Rice Crust,400,1600,1876
Crispy Rice Chips Hot and Spicy flavor 220g,yumei,3.69,0,Mainland China,0,Yami,Rice Crust,400,1600,1476
Soban Cooked White Rice 210g,haitai,1.29,3,Korea,5,Yami,Rice Crust,400,1600,516
HongKong Style Rice Noodle Pork Bone Flavor 289g,baman,6.99,1,Mainland China,5,Yami,Rice Crust,400,1600,2796
Rice Cracker (Sesame ) 108g,wolong,2.69,0,Mainland China,0,Yami,Rice Crust,400,1600,1076
Rice Cracker (Sweet Spicy) 218g,wolong,4.69,0,Mainland China,0,Yami,Rice Crust,400,1600,1876
Rice Stick Seafood Flavor 75g,koikeya,2.09,1,Japan,5,Yami,Rice Crust,400,1600,836
HongKong Style Szechwan Rice Noodle Spicy Intestines Flavor 275.5g,baman,6.99,0,Mainland China,0,Yami,Rice Crust,400,1600,2796
Rice Crackers Bites Spicy Flavor  3.5oz,want want,1.59,1,Taiwan,5,Yami,Rice Crust,400,1600,636
Rice Noodle 800g,yitianmianguan,3.99,0,Mainland China,0,Yami,Rice Crust,400,1600,1596
HongKong Style Rice Noodle Tom Yam Flavor 204g,baman,6.99,0,Mainland China,0,Yami,Rice Crust,400,1600,2796
Bun Tuoi Rice Stick ( L ) 907g,dragonfly brand,4.99,0,Mainland China,0,Yami,Rice Crust,400,1600,1996
Red Bean Purple Rice Barley Tea 15g x 30 bags,awastea,16.99,272,Taiwan,4.9,Yami,Rice Crust,1000,4000,16990
Oh! Ricey Rice Noodles Spare Ribs Flavor Bag 70g,acecook,0.99,1,Japan,5,Yami,Rice Crust,300,1200,297
Oh! Ricey Rice Noodles Beef Ball Flavour Bag 70g,acecook,0.99,0,Japan,0,Yami,Rice Crust,300,1200,297
Jiangxi Rice Vermicelli (L) 400g,dragonfly brand,1.99,5,Mainland China,5,Yami,Rice Crust,400,1600,796
Cup Rice Cake 153g,haitai,2.89,0,Korea,0,Yami,Rice Crust,400,1600,1156
Rice Cracker Spicy Pepper  Flavor 108g,xasunfood,2.99,0,Mainland China,0,Yami,Rice Crust,400,1600,1196
Glutinous Rice 2lb,jinguyuan,3.99,0,Mainland China,0,Yami,Rice Crust,400,1600,1596
USA Sweet Rice Short Grained 5lbs,apple,8.99,1,United States,5,Yami,Rice Crust,300,1200,2697
Spice Paste For Singapore Hainanese Chicken Rice 50g,asian home gourmet,1.99,70,Thailand,4.7,Yami,Rice Crust,400,1600,796
Black Glutinous Rice 2lb,jinguyuan,6.49,0,Mainland China,0,Yami,Rice Crust,400,1600,2596
Cooked White Rice With Seaweed Soup 165g,che il jedang,3.29,320,Korea,4.7,Yami,Rice Crust,400,1600,1316
Oh! Ricey Phnom Penh Style Rice Noodles 71g,acecook,0.99,1,Japan,5,Yami,Rice Crust,300,1200,297
Pepper Crispy Rice Crackers Green Pepper Flavor 108g,xasunfood,2.99,0,Mainland China,0,Yami,Rice Crust,400,1600,1196
Rice Punch 2L,farm group,4.89,0,Korea,0,Yami,Rice Crust,400,1600,1956
