Product_Name,Brand,Price,Reviews,Origin,Rate,Platform,Category,Sold_Weekly,Sold_Monthly,Weekly_Revenue
Roasted Seaweed with Green Tea 12 Bags,nonghyup,5.69,51,Korea,4.7,Yami,Seaweed,400,1600,2276
Tempura Seaweed Musroom And Black Pepper,tao kae noi,1.99,0,Unclear,0,Yami,Seaweed,400,1600,796
Dried Mustard Seaweed 100g,kwangcheonkim,3.49,0,Unclear,0,Yami,Seaweed,400,1600,1396
"Roasted & Seasoned Seaweed 4g*12packs, 48g",shirakiku,4.99,57,United States,4.6,Yami,Seaweed,400,1600,1996
Roasted  Seasoned Seaweed 12packs 48g,kc,5.69,12,Korea,4.2,Yami,Seaweed,400,1600,2276
WEL PAC FUERU WAKAME Dried Seaweed 56.7g,wel.pac,2.99,13,Unclear,4.8,Yami,Seaweed,400,1600,1196
Roasted Green Tea Seaweed 50g,haitai,2.89,57,Korea,4.8,Yami,Seaweed,400,1600,1156
Buldak Flavor Seaweed 5g*3,kwangcheonkim,2.29,0,Unclear,0,Yami,Seaweed,400,1600,916
WANG Roasted Seaweed Sushi Nori 72g,wang food,8.49,10,Korea,5,Yami,Seaweed,400,1600,3396
Seaweed Crisps Original Flavor 30g,master hee's,2.69,11,Unclear,4.6,Yami,Seaweed,400,1600,1076
Roasted & Seasoned Organic Seaweed 4g*9,kwangcheonkim,7.99,0,Unclear,0,Yami,Seaweed,400,1600,3196
Big Sheet Seaweed Spicy Flavor 38g,tao kae noi,3.89,13,Unclear,4.8,Yami,Seaweed,400,1600,1556
Yakinori Hanedashi Roasted Seaweed 10pcs,takaokaya,2.79,5,Unclear,5,Yami,Seaweed,400,1600,1116
YAKI NORI Roasted Seaweed 50 Sheets,shirakiku,11.99,5,Unclear,4.6,Yami,Seaweed,400,1600,4796
Dried Seaweed Ties 50g,jinhailin,1.99,11,Unclear,4.5,Yami,Seaweed,400,1600,796
Organic Seaweed USDA Organic,little jasmine,12.99,1,Unclear,2,Yami,Seaweed,400,1600,5196
Seaweed Chip Original Flavor 40g,che il jedang,3.49,8,Unclear,5,Yami,Seaweed,200,800,698
TangChen Dried Seaweed 60g,ocm,4.99,22,Unclear,4.7,Yami,Seaweed,400,1600,1996
Furikake Seas Rst Seaweed Flakes Spicy 30g,shirakiku,2.19,0,Unclear,0,Yami,Seaweed,400,1600,876
Seaweed Crisps Wasabi Flavor 30g,master hee's,2.69,13,Unclear,5,Yami,Seaweed,400,1600,1076
CJ BIBIGO Seaweed Crisps Hot Spicy 20g,che il jedang,2.29,9,Korea,4,Yami,Seaweed,25,100,57
Seaweed Crisps Spicy Flavor 30g,master hee's,2.69,13,Unclear,4.6,Yami,Seaweed,400,1600,1076
