Product_Name,Price,Sold_Weekly,Origin,Brand,Reviews,Sold_Monthly,Weekly_Revenue,Platform,Category,Rate,Option
"Genki Sugar-Free Sparkling Water, White Peach Flavor 480 ml",1.59,1000,Mainland China,Genki Forest,477,4000,1590,Weee,Sparking,Unclear,Unclear
"Genki Forest Sparkling Water, White Peach Flavor 1 each",9.49,1000,Mainland China,Genki Forest,66,4000,9490,Weee,Sparking,Unclear,Unclear
"Genki Forest Sugar-Free Sparkling Water, Sour Plum Flavor 480 ml",2.29,1000,Mainland China,Genki Forest,73,4000,2290,Weee,Sparking,Unclear,Unclear
"Genki Forest Sparkling Water, Grape Delight Flavor 6pk 1980 ml",8.99,1000,Mainland China,Unclear,26,4000,8990,Weee,Sparking,Unclear,Unclear
"Genki Forest Sugar-Free Sparkling Water, Citrus Flavor 480 ml",2.49,1000,Mainland China,Genki Forest,195,4000,2490,Weee,Sparking,Unclear,Unclear
Genki Forest Yogurt Sparkling Water 480 ml,2.29,1000,Mainland China,Genki Forest,31,4000,2290,Weee,Sparking,Unclear,Unclear
"Genki Forest Sparkling Water, Pineapple and Sea Salt Flavor 480 ml",2.29,1000,Mainland China,Genki Forest,21,4000,2290,Weee,Sparking,Unclear,Unclear
"Genki Forest Sparkling Water, Grape Delight Flavor 480 ml",2.49,1000,Unclear,Unclear,0,4000,2490,Weee,Sparking,Unclear,Unclear
"Kimino Sparkling Water, Yuzu Flavor 8.45 oz",2.29,900,Japan,Unclear,33,3600,2061,Weee,Sparking,Unclear,Unclear
"Genki Forest Sparkling Water, Lychee Fizzy Flavor 6pk 1980 ml",8.99,800,Mainland China,Unclear,18,3200,7192,Weee,Sparking,Unclear,Unclear
"Genki Forest Sparkling Water, White Strawberry & Coconut Flavor 6pk 1980 ml",9.49,600,Mainland China,Unclear,28,2400,5694,Weee,Sparking,Unclear,Unclear
Chaokoh Coconut Water 1000 ml,4.49,500,Thailand,Unclear,52,2000,2245,Weee,Sparking,Unclear,Unclear
"Genki Forest Sparkling Water, Plum Passion Flavor, 330ml * 6 Cans 1980 ml",8.99,400,Mainland China,Unclear,4,1600,3596,Weee,Sparking,Unclear,Unclear
Sanzo Lychee Sparkling Water 12 oz,1.99,300,United States,Sanzo,18,1200,597,Weee,Sparking,Unclear,Unclear
"Genki Forest Sparkling Water, Green Apple Flavor 6pk 1980 ml",8.39,300,Mainland China,Unclear,17,1200,2517,Weee,Sparking,Unclear,Unclear
HEYTEA Sparkling Water Grape Flavor 500 ml,2.79,300,Mainland China,Unclear,7,1200,837,Weee,Sparking,Unclear,Unclear
"Genki Forest Sparkling Water, Calamansi Lime Flavor 6pk 1980 ml",9.49,300,Mainland China,Unclear,10,1200,2847,Weee,Sparking,Unclear,Unclear
"Kimino Sparkling Water, Ume Flavor 8.45 oz",2.69,300,Japan,Unclear,26,1200,807,Weee,Sparking,Unclear,Unclear
Lotte 2% Peach Refreshing Water 240ml Each 6 can,5.99,200,South Korea,Lotte,3,800,1198,Weee,Sparking,Unclear,Unclear
Nayuki Sparkling Water Peach Flavor 500 ml,2.29,200,Mainland China,Unclear,20,800,458,Weee,Sparking,Unclear,Unclear
Sanzo Calamansi Sparkling Water 12 oz,2.29,200,United States,Sanzo,5,800,458,Weee,Sparking,Unclear,Unclear
