Product,Price,Selling_per_month,Reviews,Discount,Type,Start,Brand,Origin,Platform,update_date
Classic Beijing Wheat Flour Cake,5.79,,771,Y,D1,4.5,Dao Xiang Cun,N,Yami,02/15/2022
Beijing Wheat Flour Cake,5.99,,174,N,D1,5,Dao Xiang Cun,N,Yami,02/16/2022
DXC Wife Cake Honey Flavor,7.29,,124,N,D1,5,Dao Xiang Cun,S,Yami,02/17/2022
Sweet Crisp Sandwich Biscuits Fresh Lemon Flavor,1.89,,50,N,B1,5,MASTER KONG,S,Yami,02/18/2022
DXC Wife Cake Brown Sugar Flavor,7.29,,146,N,D1,5,Dao Xiang Cun,S,Yami,02/19/2022
Avocado Cake,17.99,,140,N,C2,4.5,SANWEISUWU,U,Yami,02/20/2022
TK FOOD Salty Yolk Cookies,2.99,,398,N,C1,5,TKFOOD,TW,Yami,02/21/2022
Shang Hai Wan Nian Qing Onion Cracker Biscuit D'oignon,4.99,,395,N,B1,5,SANNIU,S,Yami,02/22/2022
YUMMY Flower Pastry Purple Yam,3.69,,214,N,D1,5,YUMMYHI,U,Yami,02/23/2022
Green Onion Soda Cracker,2.59,,26,N,B1,4.5,ZHONGXIANG,TW,Yami,02/24/2022
DXC Peach Crisp,11.79,,158,N,C1,5,Dao Xiang Cun,N,Yami,02/25/2022
3+2 Sandwiched Saltine Cracker Cream Flavor,3.49,,74,N,B1,5,MASTER KONG,S,Yami,02/26/2022
KEKOU Angle Wafer,1.59,,18,N,W1,4.5,LUCKY,TW,Yami,02/27/2022
Grain Pancake,9.99,,7,Y,D1,5,XiaoShiYiZhuang,N,Yami,02/28/2022
Buttermilk Cookie Strawberry&Yogurt Flavor,2.99,,55,Y,C1,5,ZOZI,U,Yami,03/01/2022
Crispy Crepes Coconut,2.69,,3,N,B1,5,CHUN GUANG,S,Yami,03/02/2022
Black Seasame Pecan Biscuits,10.99,,8,N,B1,5,MushroomStorm,U,Yami,03/03/2022
Imperial Palace Sesame Cookies,4.59,,1,N,C1,5,IMPERIAL PALACE,N,Yami,03/04/2022
Imperial Palace Sesame Puff Cookies,4.59,,1,N,C1,5,IMPERIAL PALACE,N,Yami,03/05/2022
Sweet Crisp Sandwich Biscuits Hazelnut Chocolate Flavor,1.69,,60,N,B1,4.5,MASTER KONG,S,Yami,03/06/2022
GuoKui Preserved Vegetable Biscuit,5.99,,9,N,B1,4,CIWEIAGAN,U,Yami,03/07/2022
