Thumbnail,h3_mark,summary,Price,Headline,DetailPrice,Storage Condition,Allergen,Origin,Field1
https://www.freshgogo.com/upload_pic/20220210/20220210weilongbaobingsongrongniurouxianshixianliang500cn.jpg,伟龙薄饼(松茸牛肉)(限时限量),180克,$3.69,V-LOONG Cracker (matsutake beef soup),$3.69,Room Temperature,Containing Wheat、Milk,China,0
https://www.freshgogo.com/upload_pic/20220210/20220210weilongbaobingxiangcongjitangxianshixianliang500cn.jpg,伟龙薄饼(香葱鸡汤)(限时限量),180克,$3.69,V-LOONG Cracker (spring onion and chicken soup),$3.69,Room Temperature,Containing Wheat、Milk,China,0
https://www.freshgogo.com/upload_pic/20220210/20220210weilongbaobingkaokekexianshixianliang500cn.jpg,伟龙薄饼(烤可可)(限时限量),180克,$3.69,V-LOONG Cracker (cocoa),$3.69,Room Temperature,Containing Wheat、Milk,China,0
https://www.freshgogo.com/upload_pic/20220113/20220113lizhishiweihuabinggandouru500cn.jpg,丽芝士威化饼干(豆乳)(特价),200克,$3.99,LICHEESE Naboti Wafer (soy milk) (Sale),$3.99,Room Temperature,Containing Wheat、Soy、Milk,China,0
https://www.freshgogo.com/upload_pic/20220113/20220113lizhishiweihuabinggannailao500cn.jpg,丽芝士威化饼干(奶酪),200克,$4.59,LICHEESE Naboot Wafer (cheese),$4.59,Room Temperature,Containing Wheat、Soy、Milk,China,0
https://www.freshgogo.com/upload_pic/20220113/20220113lizhishiweihuabinggannailao500cn.jpg,丽芝士威化饼干(奶酪)(特价),200克,$3.99,LICHEESE Naboot Wafer (cheese) (Sale),$3.99,Room Temperature,Containing Wheat、Soy、Milk,China,0
https://www.freshgogo.com/upload_pic/20220113/20220113lizhishiweihuabinggandouru500cn.jpg,丽芝士威化饼干(豆乳),200克,$4.59,LICHEESE Naboti Wafer (soy milk),$4.59,Room Temperature,Containing Wheat、Soy、Milk,China,0
https://www.freshgogo.com/upload_pic/20211230/20211231daoxiangcunyaoguosuguanzhuangxianshixianliang500cn.jpg,稻香村腰果酥(罐装)(限时限量),600克,$20.99,DAOXIANGCUN Cashew Crisp Cake,$20.99,Room Temperature,Containing Treenut、Wheat、Egg,China,0
https://www.freshgogo.com/upload_pic/20211230/20211231daoxiangcunyaoguosuguanzhuangxianshixianliang500cn.jpg,稻香村腰果酥(罐装)(限时限量)(特价),600克,$17.89,DAOXIANGCUN Cashew Crisp Cake (Sale),$17.89,Room Temperature,Containing Treenut、Wheat、Egg,China,0
https://www.freshgogo.com/upload_pic/20211223/20211223xianggangmeixinzhaozhaocaisubinglihecai500cn.jpg,香港美心招招财酥饼礼盒(财),90克,$23.99,MEI XIN Fine Goods Pastries Gift Box (fat choy),$23.99,Room Temperature,Containing Wheat、Egg、Milk、Treenut,China,0
https://www.freshgogo.com/upload_pic/20211223/20211223xianggangmeixinzhaozhaocaisubinglihecai500cn.jpg,香港美心招招财酥饼礼盒(财)(特价),90克,$20.39,MEI XIN Fine Goods Pastries Gift Box (fat choy) (Sale),$20.39,Room Temperature,Containing Wheat、Egg、Milk、Treenut,China,0
https://www.freshgogo.com/upload_pic/20211223/20211223xianggangmeixintianxinmeiyilihe500cn.jpg,香港美心甜心美意礼盒,206克,$29.99,MEI XIN Hearty Butter Pastries Gift Set,$29.99,Room Temperature,Containing Wheat、Soy、Milk、Treenut,China,0
https://www.freshgogo.com/upload_pic/20211223/20211223xianggangmeixinpupufasubinglihefa500cn.jpg,香港美心铺铺发酥饼礼盒(发),134克,$27.99,MEI XIN Fine Goods Pastries Gift Box (jiu jiu choy),$27.99,Room Temperature,Containing Wheat、Egg、Milk,China,0
https://www.freshgogo.com/upload_pic/20211223/20211223xianggangmeixinpupufasubinglihefa500cn.jpg,香港美心铺铺发酥饼礼盒(发)(特价),134克,$23.79,MEI XIN Fine Goods Pastries Gift Box (jiu jiu choy) (Sale),$23.79,Room Temperature,Containing Wheat、Egg、Milk,China,0
https://www.freshgogo.com/upload_pic/20211203/20211203hongyexianggangdataosu500cn.jpg,红叶香港大桃酥,440克,$5.89,HONGYE Crispy Cake,$5.89,Room Temperature,,Taiwan,2
https://www.freshgogo.com/upload_pic/20210715/20210716yecunjiandouxiaoyuanbingyuanwei500cn.jpg,NOMURA野村煎豆小圆饼(原味),4.5盎司,$3.19,NOMURA Millet Fried Biscuit,$3.19,Room Temperature,Containing Wheat、Soy,Japan,0
https://www.freshgogo.com/upload_pic/20210702/20210702kangshifutiansujiaxinbingqingxinningmeng500cn.jpg,康师傅甜酥夹心饼(清新柠檬),80克,$1.99,KSF Sweet Biscuit (lemon),$1.99,Room Temperature,Containing Milk、Soy、Wheat,China,0
https://www.freshgogo.com/upload_pic/20210618/20210618kangshifumeiweisubinggandiandiancongxiang500cn.jpg,康师傅美味酥饼干(点点葱香),85克,$1.49,KSF Delicious Biscuit (green onion),$1.49,Room Temperature,Containing Soy、Egg、Milk,China,1
https://www.freshgogo.com/upload_pic/20210528/20210527yimeijiaxinsuniunai500cn.jpg,义美夹心酥(牛奶),400克,$5.79,I MEI Wafer Cream (milk),$5.79,Room Temperature,Containing Wheat、Milk、Egg,Taiwan,0
https://www.freshgogo.com/upload_pic/20210528/20210527yimeijiaxinsuxiangyu500cn.jpg,义美夹心酥(香芋),400克,$5.79,I MEI Wafer Cream (taro),$5.79,Room Temperature,Containing Wheat、Milk、Egg,Taiwan,0
https://www.freshgogo.com/upload_pic/20210521/60a761e4321df.jpg,台湾山葵饼,7.05盎司,$6.89,Alishan Wasabi Biscuit,$6.89,Room Temperature,Containing Wheat、Treenut,Taiwan,1
https://www.freshgogo.com/upload_pic/20190509/20190509yimeixiaopaozuo500cn.jpg,义美小泡芙(草莓),2.29盎司,$2.59,IMEI Strawberry Puff,$2.59,,,,2
https://www.freshgogo.com/upload_pic/20210516/60a0d071a0156.jpg,义美蛋卷(原味),60g,$2.89,IMEI Egg Roll (orginal),$2.89,Room Temperature,Containing Wheat、Egg,Taiwan,1
https://www.freshgogo.com/upload_pic/20190403/5ca570209592a.jpg,旺旺海苔雪烧(米果),5.64盎司,$4.69,WANG WANG Seaweed Rice Cracker,$4.69,,,,4
https://www.freshgogo.com/upload_pic/20210521/20210521taiwandongsunbing500cn.jpg,台湾冬笋饼,7.05盎司,$6.89,Cracker with Bamboo Flavour,$6.89,Room Temperature,Containing Wheat、Treenut,Taiwan,0
https://www.freshgogo.com/upload_pic/20211029/617c7d4acd8e1.jpg,三牛万年青酥性饼干,400克,$4.49,SANNIU Shanghai Butter Cookie,$4.49,Room Temperature,,China,13
https://www.freshgogo.com/upload_pic/20210514/20210514yimeidanjuanzhima500cn.jpg,义美蛋卷(芝麻),60g,$2.89,IMEI Egg Roll (sesame),$2.89,Room Temperature,Containing Wheat、Egg、Treenut,Taiwan,0
https://www.freshgogo.com/upload_pic/20170727/5979b1d1d15a7.jpg,利达盛茶香蛋卷,5.05盎司,$3.19,LI DA SHENG Matcha Egg Roll,$3.19,,,,7
https://www.freshgogo.com/upload_pic/20210207/20210207fulizuoheizhimacuizuoxianshixianliang500cn.jpg,福义轩黑芝麻脆饼(限时限量),200克,$5.59,FUYISHAN Black Sesame Cracker,$5.59,Room Temperature,Containing Egg,Taiwan,0
https://www.freshgogo.com/upload_pic/20210514/20210514yimeiqiaokelijiaxinsu500cn.jpg,义美夹心酥(巧克力),400g,$5.79,IMEI Chocolate Cream Wafer,$5.79,Room Temperature,Containing Wheat、Milk,Taiwan,0
