Thumbnail,h3_mark,summary,Price,Headline,DetailPrice,Field1,Field2
https://www.freshgogo.com/upload_pic/20190705/20190705heshipaicongyouzhuabingsu500cn.jpg,合时牌葱油抓饼(素),600克,$4.89,HE SHI BRAND Vegetarian Scallion Pancake,$4.89,22,13481 sold
https://www.freshgogo.com/upload_pic/20180101/5a4b078d35d61.jpg,义美香酥葱油饼(5片),18.52盎司,$2.99,IMEI Scallion Pancake (5 pcs),$2.99,31,6757 sold
https://www.freshgogo.com/upload_pic/20190325/5c985ab1dd2e2.jpg,第一家印度煎饼(原味),11.46盎司,$2.19,SPRING HOME Roti Paratha (original) (5 pcs),$2.19,30,9245 sold
https://www.freshgogo.com/upload_pic/20200624/5ef334a87e512.jpg,白玉兰宁波水磨年糕(片),2磅,$3.99,BAI YU LAN Sliced Rice Cake,$3.99,34,9554 sold
https://www.freshgogo.com/upload_pic/3xiaoxiangkouyiwosicongzhuabingpian300_300.jpg,小巷口一窝丝葱抓饼(3片),15.9盎司,$5.99,LITTLE ALLEY Layered Scallion Pancake (3 pcs),$5.99,17,4791 sold
https://www.freshgogo.com/upload_pic/20200214/20191225zhibaodangaogefeida500cn.jpg,纸包蛋糕(2个)【飞达】,2个,$4.75,Sponge Cake,$4.75,2,3400 sold
https://www.freshgogo.com/upload_pic/20200218/20180417manyuezuoxiaodangaojuankaishilin500cn.jpg,蔓越莓小蛋糕卷(2个)【凯诗琳】,2个,$5.75,Cranberry Small Cake Roll,$5.75,6,3059 sold
https://www.freshgogo.com/upload_pic/20200214/20191225naiyoubaogefeida500cn.jpg,奶油包(2个)【飞达】,2个,$4.75,Cream and Coconut Bun,$4.75,25,4723 sold
https://www.freshgogo.com/upload_pic/20200214/20191225regoubaogefeida500cn.jpg,热狗包(2个)【飞达】,2个,$5.25,Hot Dog Bun,$5.25,4,3085 sold
https://www.freshgogo.com/upload_pic/20200214/20191225qiancengzuoyugefeida500cn.jpg,千层鲔鱼(2个)【飞达】,2个,$5.95,Tuna Bun,$5.95,8,2538 sold
https://www.freshgogo.com/upload_pic/20190613/20190613jianbingguozishengjin500cn.jpg,煎饼果子【盛津】,1个,$6.95,Savory Chinese Crepe,$6.95,34,6094 sold
https://www.freshgogo.com/upload_pic/20200214/20191225congyoutiaogefeida500cn.jpg,葱油条(2个)【飞达】,2个,$4.5,Green Pea and Scallion Twist,$4.5,3,2098 sold
https://www.freshgogo.com/upload_pic/20200214/20190708danhuangrousongqingtuangebuyiyang500cn.jpg,蛋黄肉松青团(4个)【不一样】,4个,$14.25,Sticky Rice Ball with Salted Duck Egg Yolk & Pork Sung,$14.25,32,2396 sold
https://www.freshgogo.com/upload_pic/20200218/20190708xianrouyuebingbuyiyang500cn.jpg,鲜肉月饼(4个)【不一样】,4个,$13.25,Pork Stuffed Mooncake,$13.25,22,2954 sold
https://www.freshgogo.com/upload_pic/20200214/20191225maibaofeida500cn.jpg,麦包【飞达】,1份,$4.75,Whole Wheat Pullman Bread,$4.75,6,2472 sold
https://www.freshgogo.com/upload_pic/20200214/20191225ribenzhishiqiegefeida500cn.jpg,日本芝士切(2个)【飞达】,2个,$7.25,Japanese Cheesecake Slice,$7.25,8,2995 sold
https://www.freshgogo.com/upload_pic/20190510/20190510huashengjiangshaobinggeshengjin500cn.jpg,花生酱烧饼(4个)【盛津】,4个,$9.5,Crispy Pancake with Peanut Butter,$9.5,49,5199 sold
https://www.freshgogo.com/upload_pic/20210218/602df83192cb6.jpg,小蛋糕(22个)【凯诗琳】,1盒,$5.95,Mini Cakes（22/Box）,$5.95,25,2879 sold
https://www.freshgogo.com/upload_pic/20190716/20190212mibabaofangebuyiyang500cn.jpg,糯米八宝饭(2个)【不一样】,2个,$13.25,Eight Treasure Rice Pudding,$13.25,7,2391 sold
https://www.freshgogo.com/upload_pic/20200218/20190319jiaxiangbabaofanshanghaiyuyuan500cn.jpg,家乡八宝饭【上海豫园】,1个,$10.25,Sweet Rice Pudding,$10.25,3,2044 sold
https://www.freshgogo.com/upload_pic/20210217/602df3b8a56f1.jpg,拿破仑蛋糕【凯诗琳】,1盒,$19.75,Napoleon Roll,$19.75,1,3014 sold
https://www.freshgogo.com/upload_pic/20200218/20190319doushaqingtuangeshanghaiyuyuan500cn.jpg,豆沙青团(4个)【上海豫园】,4个,$12.5,Rice cake With Red Bean,$12.5,6,2477 sold
https://www.freshgogo.com/upload_pic/20200214/5ce35e31abe6b.jpg,芒果糯米糍(4粒)【大班】,4粒,$6.5,Mango Glutinous Mochi,$6.5,14,2810 sold
https://www.freshgogo.com/upload_pic/20200214/20191225qiepiankafeijuangefeida500cn.jpg,切片咖啡卷(2个)【飞达】,2个,$4.95,Coffee Roll Slice,$4.95,7,2027 sold
https://www.freshgogo.com/upload_pic/20200214/20190514dabanzhishidangaodaban500cn.jpg,大班芝士蛋糕【大班】,1个,$16.25,Taipan Cheese Cake,$16.25,12,2061 sold
https://www.freshgogo.com/upload_pic/20210218/602df58ec9233.jpg,香草奶油蛋卷【凯诗琳】,1盒,$13.25,Vanilla Cream Cake Roll,$13.25,7,3524 sold
https://www.freshgogo.com/upload_pic/20200218/20190613xiandanhuangrouzuoshanghaiyuyuan500cn.jpg,咸蛋黄肉粽【上海豫园】,1个,$7.95,Rice Dumpling With Salted Egg,$7.95,78,3648 sold
https://www.freshgogo.com/upload_pic/20190716/20190510simiandabinggeshengjin500cn.jpg,死面大饼(2个)【盛津】,2个,$6.95,Chinese Pancake,$6.95,12,5610 sold
https://www.freshgogo.com/upload_pic/20200218/20180302xiangcaodangaopiankaishilin500cn.jpg,香草蛋糕片(2个)【凯诗琳】,2个,$4.25,Vanilla Cake Slice,$4.25,6,3186 sold
https://www.freshgogo.com/upload_pic/20190716/20190510yumifagaogeshengjin500cn.jpg,玉米发糕(2个)【盛津】,2个,$4.25,Steamed Cornbread,$4.25,9,2836 sold
https://www.freshgogo.com/upload_pic/20200214/20190708danhuangrouzuobuyiyang500cn.jpg,蛋黄肉粽(5个)(限时限量)【不一样】,5个,$26.25,Sticky Rice Dumpling with Salted Duck Egg Yolk,$26.25,16,1526 sold
https://www.freshgogo.com/upload_pic/20190510/20190510lvdagungeshengjin500cn.jpg,驴打滚(4个)【盛津】,4个,$9.5,Sticky Rice Roll with Red Bean,$9.5,20,2838 sold
https://www.freshgogo.com/upload_pic/20190510/20190510jidancongyoubingshengjin500cn.jpg,鸡蛋葱油饼【盛津】,1份,$9.5,Scallion Pancake with Eggs,$9.5,0,2939 sold
https://www.freshgogo.com/upload_pic/20190716/20190708zhacaixianrouyuebingbuyiyang500cn.jpg,榨菜鲜肉月饼(4个)【不一样】,4个,$13.25,Mustard Tuber And Pork Mooncake,$13.25,6,2740 sold
https://www.freshgogo.com/upload_pic/20210217/602df0c9e9d20.jpg,蛋糕肉松面包(2个)【凯诗琳】,2个,$4.75,Cake Bun with Pork Floss,$4.75,13,2821 sold
https://www.freshgogo.com/upload_pic/20200214/20191225fangbaofeida500cn.jpg,方包【飞达】,1份,$4.75,Pullman Bread,$4.75,5,2245 sold
https://www.freshgogo.com/upload_pic/20200214/20191225dantagefeida500cn.jpg,蛋挞(2个)【飞达】,2个,$4.95,Egg Custard Tart,$4.95,13,2920 sold
https://www.freshgogo.com/upload_pic/20190716/20190708xiekehuanggebuyiyang500cn.jpg,蟹壳黄(6个)【不一样】,6个,$10.75,Baked Scallion Stuffed Sesame Biscuit,$10.75,33,2747 sold
https://www.freshgogo.com/upload_pic/20200218/20190319xiandanhuangqingtuangeshanghaiyuyuan500cn.jpg,咸蛋黄青团(4个)【上海豫园】,4个,$14.95,Rice cake With Salted Egg,$14.95,11,2507 sold
https://www.freshgogo.com/upload_pic/20200218/20190319youtiaoshanghaiyuyuan500cn.jpg,油条【上海豫园】,1个,$3.25,Fried Crispy Dough,$3.25,9,2862 sold
https://www.freshgogo.com/upload_pic/20200214/20191225yumibaogefeida500cn.jpg,玉米包(2个)【飞达】,2个,$4.75,Corn and Ham Bun,$4.75,0,1903 sold
https://www.freshgogo.com/upload_pic/20200629/5ef9f48d3f97d.jpg,切片朱古力卷(2个)【飞达】,2个,$4.95,Chocolate Roll Slice,$4.95,11,3303 sold
https://www.freshgogo.com/upload_pic/20190716/20190510zhagaogeshengjin500cn.jpg,炸糕(4个)【盛津】,4个,$10.25,Fried Sticky Rice Cake with Red Bean,$10.25,28,3365 sold
https://www.freshgogo.com/upload_pic/20200214/5e466a103f1d0.jpg,血糯八宝饭【老豫园】,1份,$12.5,Black Rice Pudding (Frozen),$12.5,9,1487 sold
https://www.freshgogo.com/upload_pic/20190521/20190521tedazhibaodangaomeixinxibing500cn.jpg,特大纸包蛋糕(3个)【美心饼屋】,3个,$6.5,Paper Wrapped Cake,$6.5,29,2327 sold
https://www.freshgogo.com/upload_pic/20200214/20191225putaoganmianbaofeida500cn.jpg,葡萄干面包【飞达】,1份,$5.25,Raisin Bread,$5.25,33,2798 sold
https://www.freshgogo.com/upload_pic/20200214/20190708darouzuobuyiyang500cn.jpg,大肉粽(5个)(限时限量)【不一样】,5个,$19.75,Sticky Rice Wrapped in Leaf with Pork,$19.75,46,2680 sold
https://www.freshgogo.com/upload_pic/20210218/602df8859173d.jpg,杏仁薄饼(12片)【凯诗琳】,1盒,$6.5,Almond Cracknel Crackers,$6.5,10,3600 sold
https://www.freshgogo.com/upload_pic/20200218/20190529doushayuebingshulaoyuyuanlengdong500cn.jpg,豆沙月饼【老豫园】,6个,$15.5,Bean Paste moon cake,$15.5,3,2909 sold
https://www.freshgogo.com/upload_pic/20200214/20190514dabanzhishidangaoxiaogedaban500cn.jpg,大班芝士蛋糕(小)(2个)【大班】,2个,$9.25,Taipan Cheese Cake (Small),$9.25,19,2182 sold
https://www.freshgogo.com/upload_pic/20210218/602df93442cdc.jpg,纸包蛋糕(2个)【凯诗琳】,2个,$4.25,Cake Wrapped in Paper,$4.25,17,4062 sold
https://www.freshgogo.com/upload_pic/20200217/20190402huangjinmantougelaochengdu500cn.jpg,黄金馒头(10个)【老成都】,10个,$8.25,Fried Bun,$8.25,3,2597 sold
https://www.freshgogo.com/upload_pic/20200218/20190319xianrouyuebinggeshanghaiyuyuan500cn.jpg,鲜肉月饼(4个)【上海豫园】,4个,$13.75,Pork Moon Cake,$13.75,50,2519 sold
https://www.freshgogo.com/upload_pic/20210217/602df2e03b4bc.jpg,老婆饼(3个)【凯诗琳】,1盒,$5.95,Sweet Heart Pastry（3/Box）,$5.95,29,3488 sold
https://www.freshgogo.com/upload_pic/20200214/5e02faf129ea1.jpg,饼丝(2袋)【盛津】,1份,$6.95,Thread Chinese Pancake,$6.95,25,2690 sold
https://www.freshgogo.com/upload_pic/20200218/5cd4e607c20bf.jpg,香葱肉松卷【凯诗琳】,2个,$5.95,Shallot Dried Pork Roll,$5.95,69,7059 sold
https://www.freshgogo.com/upload_pic/20200218/20190319xuecairousichaoniangaoshanghaiyuyuan500cn.jpg,雪菜肉丝炒年糕【上海豫园】,1份,$13.75,Rice cake With Shredded Pork And Preserved Begetable,$13.75,9,1582 sold
https://www.freshgogo.com/upload_pic/20200218/20190529shougongcongyoubinglengdonggelaoyuyuanlengdong500cn.jpg,葱油饼【老豫园】,10个(手工),$20.75,Scallion Pancake (Frozen),$20.75,4,2435 sold
https://www.freshgogo.com/upload_pic/20200218/20190529meigancaixianrouxianrouyuebingshulaoyuyuanlengdong500cn.jpg,梅干菜鲜肉月饼(熟)【老豫园】,6个,$20.5,Dried Vegetable Pork Moon Cake,$20.5,1,2898 sold
https://www.freshgogo.com/upload_pic/20190510/20190510zhimashaobinggeshengjin500cn.jpg,芝麻烧饼(4个)【盛津】,4个,$6.95,Savory Crispy Pancake with Sesame,$6.95,46,3869 sold
https://www.freshgogo.com/upload_pic/20200722/5f1837e7a49d6.jpg,猪肉白菜火烧(4个)【花溪王】,4个,$12.25,Baked Wheat Cake with Pork and Cabbage,$12.25,11,2432 sold
https://www.freshgogo.com/upload_pic/20200218/20190529shanghaijiaxiangbabaofanlengdonglaoyuyuanlengdong500cn.jpg,上海八宝饭【老豫园】,1份,$10.5,Shanghai Rice Pudding (Frozen),$10.5,0,2460 sold
https://www.freshgogo.com/upload_pic/20200214/20190514napolundangaopiandaban500cn.jpg,拿破仑蛋糕(2块)【大班】,2块,$5.5,Sliced Walnut Napoleon,$5.5,66,4233 sold
https://www.freshgogo.com/upload_pic/20200218/20190529xianrouyuebingshulaoyuyuanlengdong500cn.jpg,鲜肉月饼(熟)【老豫园】,6个,$18.5,Pork Moon Cake,$18.5,13,2064 sold
https://www.freshgogo.com/upload_pic/20200218/20190319congyoubingshanghaiyuyuan500cn.jpg,葱油饼【上海豫园】,1份,$6.95,Scallion Pancake,$6.95,9,1440 sold
https://www.freshgogo.com/upload_pic/20200214/20191225yutousugefeida500cn.jpg,芋头酥(2个)【飞达】,2个,$6.25,Taro Puff,$6.25,25,3373 sold
https://www.freshgogo.com/upload_pic/20200214/20191225boluobaogefeida500cn.jpg,菠萝包(2个)【飞达】,2个,$4.5,Sweet Topping Bun,$4.5,3,2504 sold
https://www.freshgogo.com/upload_pic/20190716/20190510baimantougeshengjin500cn.jpg,白馒头(4个)【盛津】,4个,$6.95,Steamed Bun,$6.95,33,2205 sold
https://www.freshgogo.com/upload_pic/20200218/20180302zangzangbaokaishilin500cn.jpg,脏脏包(2个)【凯诗琳】,2个,$11.95,Chocolate Croissants,$11.95,5,3063 sold
https://www.freshgogo.com/upload_pic/20200218/20190319niuroujiacongyoubingshanghaiyuyuan500cn.jpg,牛肉夹葱油饼【上海豫园】,1份,$9.25,Scallion Pancake With Sliced Beef,$9.25,14,2716 sold
https://www.freshgogo.com/upload_pic/20200214/20191225chashaobaogefeida500cn.jpg,叉烧包(2个)【飞达】,2个,$5.25,Roast Pork Bun,$5.25,3,2483 sold
https://www.freshgogo.com/upload_pic/20200722/5f1837ba0b15b.jpg,酱肉火烧(4个)【花溪王】,4个,$14.75,Baked Wheat Cake with Meat,$14.75,22,2703 sold
https://www.freshgogo.com/upload_pic/20200616/5ee98b1524b2b.jpg,蔓越莓大蛋糕卷【凯诗琳】,1份,$14.5,Cranberry Big Cake Roll,$14.5,5,3455 sold
https://www.freshgogo.com/upload_pic/20200228/5e58aef9c72be.jpg,网红雪花酥【凯诗琳】,1盒,$7.95,Snowflake Crispy,$7.95,21,2720 sold
https://www.freshgogo.com/upload_pic/20200214/20191225boluohongdoubaogefeida500cn.jpg,菠萝红豆包(2个)【飞达】,2个,$4.5,Sweet Topping Red Bean Bun,$4.5,10,2424 sold
https://www.freshgogo.com/upload_pic/20200214/20191225rousongbaogefeida500cn.jpg,肉松包(2个)【飞达】,2个,$4.75,Dried Pork Bun,$4.75,10,3182 sold
https://www.freshgogo.com/upload_pic/20200218/5e4bd08e22097.jpg,南瓜饼(8个)【老成都】,8个,$8.25,Pumpkin Pie,$8.25,1,2574 sold
https://www.freshgogo.com/upload_pic/20200629/5ef9f4b7f33de.jpg,切片三色卷(2个)【飞达】,2个,$6.5,Neapolitan Slice,$6.5,21,2542 sold
https://www.freshgogo.com/upload_pic/20190510/20190510doushashaobinggeshengjin500cn.jpg,豆沙烧饼(4个)【盛津】,4个,$9.5,Crispy Pancake with Red Bean Paste,$9.5,26,3872 sold
https://www.freshgogo.com/upload_pic/20200214/20191225dayezuofeida500cn.jpg,大椰槟【飞达】,1份,$5.75,Coconut and Raisin Loaf,$5.75,5,2131 sold
https://www.freshgogo.com/upload_pic/20200214/20191225yutoubaogefeida500cn.jpg,芋头包(2个)【飞达】,2个,$4.75,Taro Bun,$4.75,3,1974 sold
https://www.freshgogo.com/upload_pic/20190716/20190319zishuliushatuanshanghaiyuyuan500cn.jpg,紫薯流沙团【上海豫园】,1个,$5.25,Sweet Purple Potato Mochi With Salted Egg,$5.25,5,2437 sold
https://www.freshgogo.com/upload_pic/20200214/20190514dantagedaban500cn.jpg,蛋挞(3个)【大班】,3个,$7.5,Egg Custard,$7.5,20,2990 sold
https://www.freshgogo.com/upload_pic/20200214/20190708haixianzuofangaogebuyiyang500cn.jpg,海鲜粢饭糕(4个)【不一样】,4个,$11.25,Seafood Glutinous Rice Cake,$11.25,19,2458 sold
https://www.freshgogo.com/upload_pic/20200214/20191225boluoyesibaogefeida500cn.jpg,菠萝椰丝包(2个)【飞达】,2个,$4.75,Sweet Topping Coconut Bun,$4.75,1,2329 sold
https://www.freshgogo.com/upload_pic/20210218/602df560c4c31.jpg,肉松蛋糕(2个)【凯诗琳】,2个,$5.95,Dried Meat Floss  Cake,$5.95,56,10147 sold
https://www.freshgogo.com/upload_pic/20200218/3lvdousubinggehekaishilin300_300.jpg,绿豆酥饼(3个)【凯诗琳】,1盒,$5.5,Green Bean Cracker（3/Box）,$5.5,10,3634 sold
https://www.freshgogo.com/upload_pic/20200214/20191225boluonaihuangbaogefeida500cn.jpg,菠萝奶黄包(2个)【飞达】,2个,$4.75,Sweet Topping Custard Bun,$4.75,31,2840 sold
https://www.freshgogo.com/upload_pic/20200214/20191225xiaoyezuogefeida500cn.jpg,小椰槟(2个)【飞达】,2个,$5.25,Mini Coconut Bun,$5.25,19,3516 sold
