Thumbnail,h3_mark,summary,Price,Headline,DetailPrice,Origin,Field1,Field2
https://www.freshgogo.com/upload_pic/20210329/20210328taishanxiancaomi500cn.jpg,TAISUN Grass Jelly Drink,310 ml x 6,$5.99,TAISUN Grass Jelly Drink,$5.99,Taiwan,2,4669 sold
https://www.freshgogo.com/upload_pic/20210307/20210308qianbaiweiguantoushanzuo500cn.jpg,Canned In Syrup (haw),680 g,$4.19,Canned In Syrup (haw),$4.19,China,7,5189 sold
https://www.freshgogo.com/upload_pic/20210425/20210425shenghetangguizuogaobingtangbaihe500cn.jpg,SUNITY Herbal Jelly (rock sugar and lily bulb),7.05 oz x 3,$3.99,SUNITY Herbal Jelly (rock sugar and lily bulb),$3.99,China,1,6137 sold
https://www.freshgogo.com/upload_pic/20210329/20210328aizhiweizuozuozhenzhuyuan500cn.jpg,Traditional Pearl Sago in Syrup,9.16 oz,$1.29,Traditional Pearl Sago in Syrup,$1.29,Taiwan,0,7968 sold
https://www.freshgogo.com/upload_pic/20210508/20210508jingjingzongheyeguoguodongtong500cn.jpg,JINJIN Assorted Flavor Coconut Jelly,1500 g,$8.99,JINJIN Assorted Flavor Coconut Jelly,$8.99,Taiwan,0,6621 sold
https://www.freshgogo.com/upload_pic/20211111/20211111jishiyeguoputao500cn.jpg,JUBES Coconut Gel (grape),12.7 oz,$2.99,JUBES Coconut Gel (grape),$2.99,Japan,0,6864 sold
https://www.freshgogo.com/upload_pic/20210709/20210709lianggaojinglianggao500cn.jpg,LIANGGAO WELL Rice Cake with Brown Sugar Syrup (Sale),240 g,$1.09,LIANGGAO WELL Rice Cake with Brown Sugar Syrup (Sale),$1.09,China,2,1594 sold
https://www.freshgogo.com/upload_pic/20211025/61775b67a2436.jpg,ASIAN TASTE Aloe Vera Dessert,280 g,$1.89,ASIAN TASTE Aloe Vera Dessert,$1.89,Taiwan,1,5499 sold
https://www.freshgogo.com/upload_pic/20210329/20210328aizhiweiniunaihuasheng500cn.jpg,Milk Peanut Soup,12 oz,$1.79,Milk Peanut Soup,$1.79,Taiwan,0,11706 sold
https://www.freshgogo.com/upload_pic/20210418/20210418shunnanhetaohu500cn.jpg,Ready Made Walnut Dessert,250 g,$2.89,Ready Made Walnut Dessert,$2.89,,2,3525 sold
https://www.freshgogo.com/upload_pic/20210508/20210508dongzhiweiliangfen500cn.jpg,ASIAN TASTE Grass Jelly,19 oz,$1.49,ASIAN TASTE Grass Jelly,$1.49,Taiwan,4,4518 sold
https://www.freshgogo.com/upload_pic/20210329/20210328aizhiweilvdouyirenshuang500cn.jpg,Green Mung Bean with Adlay Dessert Soup,340 g,$1.89,Green Mung Bean with Adlay Dessert Soup,$1.89,Taiwan,1,11377 sold
https://www.freshgogo.com/upload_pic/20210401/20210402xiaoxiongjiadaoxiancaofen500cn.jpg,BEAR COMING Grass Jelly,100 g,$2.59,BEAR COMING Grass Jelly,$2.59,China,2,4700 sold
https://www.freshgogo.com/upload_pic/20210508/20210508xiangyangtangshuilizhi500cn.jpg,SUN YOI Lychee in Syrup,20 oz,$3.59,SUN YOI Lychee in Syrup,$3.59,Thiland,0,6448 sold
https://www.freshgogo.com/upload_pic/20201214/20201214kangyakubingfenfenyuanwei500cn.jpg,KANGYAKU Konjac Powder,40 g,$0.69,KANGYAKU Konjac Powder,$0.69,China,1,6516 sold
https://www.freshgogo.com/upload_pic/20210425/20210425shenghetangguizuogaoyuanwei500cn.jpg,SUNITY Herbal Jelly (original),7.05 oz x 3,$3.99,SUNITY Herbal Jelly (original),$3.99,China,0,5297 sold
https://www.freshgogo.com/upload_pic/20211111/20211111jishiyeguolizhi500cn.jpg,JUBES Coconut Gel (lychee),12.7 oz,$2.99,JUBES Coconut Gel (lychee),$2.99,Japan,0,5395 sold
