Thumbnail,h3_mark,summary,Price,Headline,DetailPrice,OriginalPrice,Origin,Field1,Field2
https://www.freshgogo.com/upload_pic/20211223/20211223xianggangmeixinpupufasubinglihefa500cn.jpg,MEI XIN Fine Goods Pastries Gift Box (jiu jiu choy) (Sale),134 g,$23.79,MEI XIN Fine Goods Pastries Gift Box (jiu jiu choy) (Sale),$23.79,$27.99,China,0,"0.0/5.0
                
                2961 sold"
https://www.freshgogo.com/upload_pic/20211230/20211231zuojibingjiaxingrenbingheizhima500cn.jpg,KOI KEI BAKERY Almond Cookie (black sesame） (Sale),240 g,$14.49,KOI KEI BAKERY Almond Cookie (black sesame） (Sale),$14.49,$16.99,China,0,0.0/5.0
https://www.freshgogo.com/upload_pic/20211223/20211223xianggangmeixinzhaozhaocaisubinglihecai500cn.jpg,MEI XIN Fine Goods Pastries Gift Box (fat choy) (Sale),90 g,$20.39,MEI XIN Fine Goods Pastries Gift Box (fat choy) (Sale),$20.39,$23.99,China,0,"0.0/5.0
                
                2972 sold"
https://www.freshgogo.com/upload_pic/20220115/61e283a6b8f0f.jpg,QIAO JIA SHAN Osmanthus Sugar Rice Cake,600 g,$6.99,QIAO JIA SHAN Osmanthus Sugar Rice Cake,$6.99,,China,0,"5.0/5.0
                
                2374 sold"
https://www.freshgogo.com/upload_pic/20220120/20220120liangpinpuzihongtangxiaomahua500cn.jpg,BESTORE Brown Sugar Mini Dough Twist,160 g,$3.19,BESTORE Brown Sugar Mini Dough Twist,$3.19,,China,0,0.0/5.0
https://www.freshgogo.com/upload_pic/20210514/20210514daoxiangcunyikousuqiaokeli500cn.jpg,Mini Crisp Cake (chocolate),200 g,$4.19,Mini Crisp Cake (chocolate),$4.19,,China,0,"0.0/5.0
                
                8246 sold"
https://www.freshgogo.com/upload_pic/20210813/20210817suzhoudaoxiangcunjingbajianguanzhuangxianshixianliang500cn.jpg,DAO XIANG CUN Beijing Style Assorted Cake(sale),1.38 kg,$28.09,DAO XIANG CUN Beijing Style Assorted Cake(sale),$28.09,$42.99,China,1,"0.0/5.0
                
                6083 sold"
https://www.freshgogo.com/upload_pic/20211223/20211223xianggangmeixinpupufasubinglihefa500cn.jpg,MEI XIN Fine Goods Pastries Gift Box (jiu jiu choy),134 g,$27.99,MEI XIN Fine Goods Pastries Gift Box (jiu jiu choy),$27.99,,China,0,"0.0/5.0
                
                2961 sold"
https://www.freshgogo.com/upload_pic/20211203/20211203hongyelaopobingyuanwei500cn.jpg,Hongye Wife Cake,360 g,$7.29,Hongye Wife Cake,$7.29,,Taiwan,3,"0.0/5.0
                
                5272 sold"
https://www.freshgogo.com/upload_pic/20211230/20211231jiufuhuashengtangzonghe500cn.jpg,NICE CHOICE Mixed Peanut and Sesame Cake,170 g,$3.29,NICE CHOICE Mixed Peanut and Sesame Cake,$3.29,,Taiwan,0,0.0/5.0
https://www.freshgogo.com/upload_pic/20211230/20211231zuojibingjiaxingrenbingheizhima500cn.jpg,KOI KEI BAKERY Almond Cookie (black sesame）,240 g,$16.99,KOI KEI BAKERY Almond Cookie (black sesame）,$16.99,,China,0,0.0/5.0
https://www.freshgogo.com/upload_pic/20211230/20211231daoxiangcunyaoguosuguanzhuangxianshixianliang500cn.jpg,DAOXIANGCUN Cashew Crisp Cake,600 g,$20.99,DAOXIANGCUN Cashew Crisp Cake,$20.99,,China,0,0.0/5.0
