Title,Title_link,Price,count___1LWwo,unit_info___32SjE,Headline,Field1,Field2,Field3
Chin Chin Peach Juice Drink 10.8 oz,https://www.sayweee.com/en/product/Chin-Chin-Peach-Juice-Drink/42697,$1.49,100+ Sold,$0.13/oz,Chin Chin Peach Juice Drink,(5),Taiwan,CHINCHIN
Rico Bubble Milk Tea Drink 12.3 oz,https://www.sayweee.com/en/product/Rico-Bubble-Milk-Tea-Drink/51456,$1.39,200+ Sold,$0.11/oz,Rico Bubble Milk Tea Drink,(2),Taiwan,Rico
Taoti Kyoho Grape Juice Drink  6 can,https://www.sayweee.com/en/product/Taoti-Kyoho-Grape-Juice-Drink-/15489,$6.69,,$1.11/can,Taoti Kyoho Grape Juice Drink,(1),Taiwan,
"Sangaria Ramune Soft Drink, Original Flavor 6.76 oz",https://www.sayweee.com/en/product/Sangaria-Ramune-Soft-Drink-Original-Flavor/29747,$2.49,500+ Sold,$0.36/oz,"Sangaria Ramune Soft Drink, Original Flavor",(27),Japan,
Master Kong's Peach Yogurt Drink 500 ml,https://www.sayweee.com/en/product/Master-Kongs-Peach-Yogurt-Drink/4665,$1.49,1K+ Sold,,Master Kong's Peach Yogurt Drink,(32),Mainland China,
"Binggrae Milk Drink, Strawberry Flavor 6ct 1200 ml",https://www.sayweee.com/en/product/Binggrae-Milk-Drink--Strawberry-Flavor-6ct/98613,$8.99,1K+ Sold,,"Binggrae Milk Drink, Strawberry Flavor 6ct",(176),South Korea,
Super Supau Sports Drink 335 ml,https://www.sayweee.com/en/product/Super-Supau-Sports-Drink/1627,$0.99,1K+ Sold,,Super Supau Sports Drink,(164),Taiwan,Super Supau
Master Kong Honey Grapefruit Drink 500 ml,https://www.sayweee.com/en/product/Master-Kong-Honey-Grapefruit-Drink/71923,$0.99,1K+ Sold,,Master Kong Honey Grapefruit Drink,(183),Mainland China,Master Kong
XinYuanZhai Plum Drink 300 ml,https://www.sayweee.com/en/product/XinYuanZhai-Plum-Drink/57032,$2.29,1K+ Sold,,XinYuanZhai Plum Drink,(184),Mainland China,
"Calpico Mini Non-Carbonated Soft Drinks, Original Flavor 320 ml",https://www.sayweee.com/en/product/Calpico-Mini-Non-Carbonated-Soft-Drinks--Original-Flavor/95818,$1.59,1K+ Sold,,"Calpico Mini Non-Carbonated Soft Drinks, Original Flavor",(310),Indonesia,Calpico
Master Kong Tangerine Peel and Plum Drink 500 ml,https://www.sayweee.com/en/product/Master-Kong-Tangerine-Peel-and-Plum-Drink/96348,$1.69,1K+ Sold,,Master Kong Tangerine Peel and Plum Drink,(231),Mainland China,Master Kong
"Binggrae Milk Drink, Banana Flavor 6ct 1 box",https://www.sayweee.com/en/product/Binggrae-Milk-Drink--Banana-Flavor-6ct/97080,$8.99,1K+ Sold,$8.99/box,"Binggrae Milk Drink, Banana Flavor 6ct",(337),South Korea,
XiaoYang Lactobacillus Drink 330 ml,https://www.sayweee.com/en/product/XiaoYang-Lactobacillus-Drink/31499,$1.99,1K+ Sold,,XiaoYang Lactobacillus Drink,(76),Mainland China,
Calpico Non-Carbonated Soft Drink 50.7 oz,https://www.sayweee.com/en/product/Calpico-Non-Carbonated-Soft-Drink/13833,$5.79,1K+ Sold,$0.11/oz,Calpico Non-Carbonated Soft Drink,(137),Japan,Calpico
Master Kong Rock Sugar Pear Drink  500 ml,https://www.sayweee.com/en/product/Master-Kong-Rock-Sugar-Pear-Drink-/96030,$1.69,1K+ Sold,,Master Kong Rock Sugar Pear Drink,(132),Mainland China,Master Kong
Want Want Kid Milk Flavored Drink 6pk 245 ml,https://www.sayweee.com/en/product/Want-Want-Kid-Milk-Flavored-Drink-6pk/13215,$9.99,1K+ Sold,$0.04/ml,Want Want Kid Milk Flavored Drink 6pk,(41),Taiwan,
"Calpico Non-Carbonated Soft Drink, Mango Flavor 1500 ml",https://www.sayweee.com/en/product/Calpico-NonCarbonated-Soft-Drink-Mango-Flavor/9724,$5.79,900+ Sold,,"Calpico Non-Carbonated Soft Drink, Mango Flavor",(27),Japan,
"Calpico Mini Soft Drink, Strawberry Flavor 4ct 2.7 oz",https://www.sayweee.com/en/product/Calpico-Mini-Soft-Drink--Strawberry-Flavor-4ct/98740,$1.99,900+ Sold,$0.73/oz,"Calpico Mini Soft Drink, Strawberry Flavor 4ct",(119),Indonesia,Calpico
"Calpico Mini Non-Carbonated Soft Drinks, Lychee and Mango Flavor 4ct 320 ml",https://www.sayweee.com/en/product/Calpico-Mini-Non-Carbonated-Soft-Drinks--Lychee-and-Mango-Flavor-4ct/28766,$1.59,800+ Sold,,"Calpico Mini Non-Carbonated Soft Drinks, Lychee and Mango Flavor 4ct",(64),Indonesia,Calpico
"KSF Ice Black Tea Drink, Sugar Free 500 ml",https://www.sayweee.com/en/product/KSF-Ice-Black-Tea-Drink--Sugar-Free/6615,$1.69,"800+ Sold,54 Left",,"KSF Ice Black Tea Drink, Sugar Free",(5),Mainland China,Master Kong
"Chiao Kuo Coconut Milk Drink, Original flavor 250 ml",https://www.sayweee.com/en/product/Chiao-Kuo-Coconut-Milk-Drink--Original-flavor/9657,$1.49,700+ Sold,,"Chiao Kuo Coconut Milk Drink, Original flavor",(13),Taiwan,
Vita Soy Drink Less Sugar 6pk 1 each,https://www.sayweee.com/en/product/Vita-Soy-Drink-Less-Sugar-6pk/10093,$5.19,700+ Sold,$5.19/each,Vita Soy Drink Less Sugar 6pk,(101),Hong Kong,
"Taisun Grass Jelly Drink, 6pk 1 each",https://www.sayweee.com/en/product/Taisun-Grass-Jelly-Drink--6pk/6470,$5.99,700+ Sold,$5.99/each,"Taisun Grass Jelly Drink, 6pk",(215),Taiwan,
"Calpico Soft Drink, Non-Carbonated, with White Peach 1.5L 1500 ml",https://www.sayweee.com/en/product/Calpico-Soft-Drink-NonCarbonated-with-White-Peach-15L/3986,$5.79,600+ Sold,,"Calpico Soft Drink, Non-Carbonated, with White Peach 1.5L",(42),Japan,Calpico
"UCC Black Coffee Drink, Unsweetened 9.7 oz",https://www.sayweee.com/en/product/UCC-Black-Coffee-Drink--Unsweetened/62481,$2.49,600+ Sold,$0.25/oz,"UCC Black Coffee Drink, Unsweetened",(27),Japan,UCC
Vitasoy Soy Drink 6ct 1 box,https://www.sayweee.com/en/product/Vitasoy-Soy-Drink-6ct/61400,$5.19,600+ Sold,$5.19/box,Vitasoy Soy Drink 6ct,(27),Hong Kong,
Lulu Almond Drink 250 ml,https://www.sayweee.com/en/product/Lulu-Almond-Drink/87178,$1.79,600+ Sold,,Lulu Almond Drink,,Mainland China,
Laguna Coconut Milk Drink 10.5 oz,https://www.sayweee.com/en/product/Laguna-Coconut-Milk-Drink/13525,$1.19,500+ Sold,$0.11/oz,Laguna Coconut Milk Drink,(103),Thailand,
"Binggrae Milk Drink, Melon Flavor 6ct										 1 box",https://www.sayweee.com/en/product/Binggrae-Milk-Drink--Melon-Flavor-6ct----------/59115,$8.99,400+ Sold,$8.99/box,"Binggrae Milk Drink, Melon Flavor 6ct",(80),South Korea,
"Hata Ramune Carbonated Soft Drink, Original Flavor 200 ml",https://www.sayweee.com/en/product/Hata-Ramune-Carbonated-Soft-Drink--Original-Flavor/85638,$2.49,400+ Sold,,"Hata Ramune Carbonated Soft Drink, Original Flavor",,Japan,
"Calpico Non-Carbonated Soft Drink, Lychee Flavor 1.5L 1500 ml",https://www.sayweee.com/en/product/Calpico-NonCarbonated-Soft-Drink-Lychee-Flavor-15L/3968,$5.79,400+ Sold,,"Calpico Non-Carbonated Soft Drink, Lychee Flavor 1.5L",(32),Japan,Calpico
Red Guava Mixed Fruits Juice Drink 1 count,https://www.sayweee.com/en/product/Red-Guava-Mixed-Fruits-Juice-Drink/45825,$1.19,400+ Sold,$1.19/count,Red Guava Mixed Fruits Juice Drink,(40),Taiwan,
"Shirakiku Fruits Jelly Drink, Lychee Flavor  150 g",https://www.sayweee.com/en/product/Shirakiku-Fruits-Jelly-Drink--Lychee-Flavor-/75836,$0.99,300+ Sold,,"Shirakiku Fruits Jelly Drink, Lychee Flavor",(15),Mainland China,Shirakiku
Kuki Black Sesame Latte Drink Powder 150 g,https://www.sayweee.com/en/product/Kuki-Black-Sesame-Latte-Drink-Powder/77675,$8.99,300+ Sold,$0.05/g,Kuki Black Sesame Latte Drink Powder,(16),Japan,
Honey Winter Melon Drink  12 oz,https://www.sayweee.com/en/product/Honey-Winter-Melon-Drink-/94278,$0.99,300+ Sold,$0.08/oz,Honey Winter Melon Drink,(14),,
Nectar Peach Soft Drink 1 count,https://www.sayweee.com/en/product/Nectar-Peach-Soft-Drink/18116,$2.99,300+ Sold,$2.99/count,Nectar Peach Soft Drink,(23),Japan,
Master Kong Mango Flavor Drink 500 ml,https://www.sayweee.com/en/product/Master-Kong-Mango-Flavor-Drink/96088,$1.59,300+ Sold,,Master Kong Mango Flavor Drink,(93),Mainland China,Master Kong
Bomy Mixed Fruits and Vegetables Juice Drink 580 g,https://www.sayweee.com/en/product/Bomy-Mixed-Fruits-and-Vegetables-Juice-Drink/68939,$1.99,300+ Sold,,Bomy Mixed Fruits and Vegetables Juice Drink,(16),Taiwan,
Mengniu Peekamoo Milky Drink Strawberry 6pk 1500 ml,https://www.sayweee.com/en/product/Mengniu-Peekamoo-Milky-Drink-Strawberry-6pk/99947,$6.29,300+ Sold,,Mengniu Peekamoo Milky Drink Strawberry 6pk,(13),Mainland China,
"MN Peekamoo Milky Drink Calcium and Zinc Fortified, 6pk  1500 ml",https://www.sayweee.com/en/product/MN-Peekamoo-Milky-Drink-Calcium-and-Zinc-Fortified--6pk-/1340,$6.99,300+ Sold,,"MN Peekamoo Milky Drink Calcium and Zinc Fortified, 6pk",(9),Mainland China,MN
Moshi Yuzu Sparkling Drink 12 oz,https://www.sayweee.com/en/product/Moshi-Yuzu-Sparkling-Drink/3917,$2.99,200+ Sold,$0.24/oz,Moshi Yuzu Sparkling Drink,,United States,Moshi
Nestle Milo Tonic Drink Can RTD 240 ml,https://www.sayweee.com/en/product/Nestle-Milo-Tonic-Drink-Can-RTD/14397,$1.99,200+ Sold,,Nestle Milo Tonic Drink Can RTD,(5),Australia,Nestle
"Calpico Non-Carbonated Soft Drink, Original Flavor 500ml 16.9 oz",https://www.sayweee.com/en/product/Calpico-NonCarbonated-Soft-Drink-Original-Flavor-500ml/98737,$2.49,200+ Sold,$0.14/oz,"Calpico Non-Carbonated Soft Drink, Original Flavor 500ml",(63),Japan,Calpico
"Tarami Konnuaku Jelly Drink, Melon Flavor 150 g",https://www.sayweee.com/en/product/Tarami-Konnuaku-Jelly-Drink--Melon-Flavor/34541,$2.49,200+ Sold,,"Tarami Konnuaku Jelly Drink, Melon Flavor",(7),Japan,Tarami
Vitalon Big Apple Soda Drink  330 ml,https://www.sayweee.com/en/product/Vitalon-Big-Apple-Soda-Drink-/85413,$1.89,200+ Sold,,Vitalon Big Apple Soda Drink,(4),Taiwan,
C&C Passion Fruit Flavored Sparkling Drink 500 ml,https://www.sayweee.com/en/product/C-C-Passion-Fruit-Flavored-Sparkling-Drink/14000,$1.99,200+ Sold,,C&C Passion Fruit Flavored Sparkling Drink,(12),Taiwan,
Binggrae Coffee Flavored Milk Drink 200mlx6 1 each,https://www.sayweee.com/en/product/Binggrae-Coffee-Flavored-Milk-Drink-200mlx6/46172,$8.99,200+ Sold,$8.99/each,Binggrae Coffee Flavored Milk Drink 200mlx6,(3),South Korea,Binggrae
Mengniu Peekamoo Milky Drink Original 6pk 1500 ml,https://www.sayweee.com/en/product/Mengniu-Peekamoo-Milky-Drink-Original-6pk/99966,$7.99,200+ Sold,,Mengniu Peekamoo Milky Drink Original 6pk,(14),Mainland China,
Number One Energy Drink 11.8 oz,https://www.sayweee.com/en/product/Number-One-Energy-Drink/38305,$1.29,200+ Sold,$0.10/oz,Number One Energy Drink,,Vietnam,
Moshi Yuzu & White Peach Sparkling Drink 12 oz,https://www.sayweee.com/en/product/Moshi-Yuzu---White-Peach-Sparkling-Drink/3918,$2.99,200+ Sold,$0.24/oz,Moshi Yuzu & White Peach Sparkling Drink,(1),United States,
"Calpico Non-Carbonated Soft Drink, Strawberry Flavor 50.7 fl.oz",https://www.sayweee.com/en/product/Calpico-Non-Carbonated-Soft-Drink--Strawberry-Flavor/28775,$5.79,200+ Sold,$0.11/fl.oz,"Calpico Non-Carbonated Soft Drink, Strawberry Flavor",(26),Japan,Calpico
Hawthorn Berry Sparkling Drink   230 ml,https://www.sayweee.com/en/product/Hawthorn-Berry-Sparkling-Drink--/31003,$2.49,200+ Sold,,Hawthorn Berry Sparkling Drink,(5),Mainland China,
Awastea Red Bean Black Glutinous Rice Drink 30ct 450 g,https://www.sayweee.com/en/product/Awastea-Red-Bean-Black-Glutinous-Rice-Drink-30ct/85422,$17.09,200+ Sold,$0.03/g,Awastea Red Bean Black Glutinous Rice Drink 30ct,(50),Taiwan,Awastea
