Title,Title_link,Price,count___1LWwo,unit_info___32SjE,Headline,Field1,Field2,Field3
Nomura Salty Millet Biscuits 1 each,https://www.sayweee.com/en/product/Nomura-Salty-Millet-Biscuits/3102,$3.49,1K+ Sold,$3.49/each,Nomura Salty Millet Biscuits,(661),Japan,Nomura
Meiji Yan Yan Biscuit Stick with Chocolate Cream 2 oz,https://www.sayweee.com/en/product/Meiji-Yan-Yan-Biscuit-Stick-with-Chocolate-Cream/22703,$1.19,1K+ Sold,$0.59/oz,Meiji Yan Yan Biscuit Stick with Chocolate Cream,(107),United States,MEIJI
Ginbis Animal Shaped Butter Biscuits  1.76 oz,https://www.sayweee.com/en/product/Ginbis-Animal-Shaped-Butter-Biscuits-/95261,$1.19,800+ Sold,$0.67/oz,Ginbis Animal Shaped Butter Biscuits,(43),,
Sanniu Evergreen Biscuits Bag 400 g,https://www.sayweee.com/en/product/Sanniu-Evergreen-Biscuits-Bag/80741,$4.49,700+ Sold,,Sanniu Evergreen Biscuits Bag,(701),Mainland China,Sanniu
Glico Pocky Strawberry Cream Covered Biscuit Sticks 9pk 3.81 oz,https://www.sayweee.com/en/product/Glico-Pocky-Strawberry-Cream-Covered-Biscuit-Sticks-9pk/95702,$3.49,700+ Sold,$0.91/oz,Glico Pocky Strawberry Cream Covered Biscuit Sticks 9pk,(326),Thailand,Glico
"Meiji Hello Panda Biscuit with Chocolate Filling , Valentines Packaging 10 oz",https://www.sayweee.com/en/product/Meiji-Hello-Panda-Biscuit-with-Chocolate-Filling---Valentines-Packaging/85532,$5.99,500+ Sold,$0.59/oz,"Meiji Hello Panda Biscuit with Chocolate Filling , Valentines Packaging",(1),United States,MEIJI
"Meiji Lucky Stick Biscuits, Strawberry Cream Covered 45 g",https://www.sayweee.com/en/product/Meiji-Lucky-Stick-Biscuits--Strawberry-Cream-Covered/19011,$2.59,500+ Sold,$0.05/g,"Meiji Lucky Stick Biscuits, Strawberry Cream Covered",(5),Indonesia,MEIJI
Master Kong 3+2 Cream Sandwich Biscuits 3pk 375 g,https://www.sayweee.com/en/product/Master-Kong-3-2-Cream-Sandwich-Biscuits-3pk/99113,$5.29,400+ Sold,,Master Kong 3+2 Cream Sandwich Biscuits 3pk,(87),Mainland China,Master Kong
Shanghai Style Crisp Biscuits 400 g,https://www.sayweee.com/en/product/Shanghai-Style-Crisp-Biscuits/32335,$3.59,400+ Sold,,Shanghai Style Crisp Biscuits,(50),Mainland China,
Haitai Ace Cracker Biscuits 364 g,https://www.sayweee.com/en/product/Haitai-Ace-Cracker-Biscuits/74849,$5.49,300+ Sold,,Haitai Ace Cracker Biscuits,(19),South Korea,HAITAI
Lotte Koala No March Hakkou Butter Biscuit  1.69 oz,https://www.sayweee.com/en/product/Lotte-Koala-No-March-Hakkou-Butter-Biscuit-/35547,$2.99,300+ Sold,$1.76/oz,Lotte Koala No March Hakkou Butter Biscuit,(24),Japan,Lotte
Haitai Strawberry Wafer Biscuit 50 g,https://www.sayweee.com/en/product/Haitai-Strawberry-Wafer-Biscuit/86286,$1.29,300+ Sold,,Haitai Strawberry Wafer Biscuit,(1),South Korea,HAITAI
Glico Pretz Apple Biscuit Stick 1.19 oz,https://www.sayweee.com/en/product/Glico-Pretz-Apple-Biscuit-Stick/85520,$1.79,300+ Sold,$1.50/oz,Glico Pretz Apple Biscuit Stick,,Thailand,Glico
Lotte Binch Chocolate Covered Biscuit 204 g,https://www.sayweee.com/en/product/Lotte-Binch-Chocolate-Covered-Biscuit/29488,$4.99,200+ Sold,,Lotte Binch Chocolate Covered Biscuit,(6),South Korea,Lotte
Lotte Pepero Stick Biscuits and Chocolate 47 g,https://www.sayweee.com/en/product/Lotte-Pepero-Stick-Biscuits-and-Chocolate/96497,$1.99,200+ Sold,$0.04/g,Lotte Pepero Stick Biscuits and Chocolate,(27),South Korea,Lotte
"Meiji Lucky Stick Biscuit, Chocolate Flavored Cream 45 g",https://www.sayweee.com/en/product/Meiji-Lucky-Stick-Biscuit--Chocolate-Flavored-Cream/19010,$2.59,200+ Sold,$0.05/g,"Meiji Lucky Stick Biscuit, Chocolate Flavored Cream",(6),Indonesia,MEIJI
Nomura Millet Caramel Biscuits 110 g,https://www.sayweee.com/en/product/Nomura-Millet-Caramel-Biscuits/89147,$2.99,200+ Sold,,Nomura Millet Caramel Biscuits,(16),Japan,Nomura
"Zhiweiguan Biscuit, Black Sesame Flavor 175 g",https://www.sayweee.com/en/product/Zhiweiguan-Biscuit--Black-Sesame-Flavor/22733,$7.49,200+ Sold,$0.04/g,"Zhiweiguan Biscuit, Black Sesame Flavor",(4),Mainland China,ZHI WEI GUAN
HaoChiDian Crispy Walnut Biscuit 108 g,https://www.sayweee.com/en/product/HaoChiDian-Crispy-Walnut-Biscuit/91907,$1.99,200+ Sold,,HaoChiDian Crispy Walnut Biscuit,(9),Mainland China,
Richy Dorati Biscuit Stick Cheese Flavor 1.4 oz,https://www.sayweee.com/en/product/Richy-Dorati-Biscuit-Stick-Cheese-Flavor/86310,$0.99,200+ Sold,$0.70/oz,Richy Dorati Biscuit Stick Cheese Flavor,,Vietnam,
HaoChiDian Crispy Cashew Biscuit 108 g,https://www.sayweee.com/en/product/HaoChiDian-Crispy-Cashew-Biscuit/91904,$1.99,200+ Sold,,HaoChiDian Crispy Cashew Biscuit,(20),Mainland China,
Richy Dorati Biscuit Stick Butter Milk Flavor 1.4 oz,https://www.sayweee.com/en/product/Richy-Dorati-Biscuit-Stick-Butter-Milk-Flavor/86309,$0.99,200+ Sold,$0.70/oz,Richy Dorati Biscuit Stick Butter Milk Flavor,,Vietnam,
HaoChiDian Crispy Almond Biscuits 108 g,https://www.sayweee.com/en/product/HaoChiDian-Crispy-Almond-Biscuits/91906,$1.99,200+ Sold,,HaoChiDian Crispy Almond Biscuits,(18),Mainland China,
Meiji Pucca Chocolate Biscuits 1.51 oz,https://www.sayweee.com/en/product/Meiji-Pucca-Chocolate-Biscuits/24616,$2.79,100+ Sold,$1.84/oz,Meiji Pucca Chocolate Biscuits,(6),Japan,MEIJI
Winter Melty Pocky Chocolate cream covered biscuit sticks 6P 4.62 oz,https://www.sayweee.com/en/product/Winter-Melty-Pocky-Chocolate-cream-covered-biscuit-sticks-6P/80496,$4.69,100+ Sold,$1.01/oz,Winter Melty Pocky Chocolate cream covered biscuit sticks 6P,(2),Japan,Glico
"Kit Kat Mini, Whole Wheat Biscuits 4.4 oz",https://www.sayweee.com/en/product/Kit-Kat-Mini--Whole-Wheat-Biscuits/38221,$8.99,100+ Sold,$2.04/oz,"Kit Kat Mini, Whole Wheat Biscuits",(13),Japan,KIT KAT
Ginbis Butter Biscuits 63 g,https://www.sayweee.com/en/product/Ginbis-Butter-Biscuits/83882,$1.89,100+ Sold,$0.03/g,Ginbis Butter Biscuits,(2),Japan,Ginbis
Lotte Pepero Choco Filled Biscuits 50 g,https://www.sayweee.com/en/product/Lotte-Pepero-Choco-Filled-Biscuits/83456,$1.49,100+ Sold,,Lotte Pepero Choco Filled Biscuits,(2),South Korea,Lotte
Glico Pizza Flavor Biscuit 80 g,https://www.sayweee.com/en/product/Glico-Pizza-Flavor-Biscuit/24652,$2.99,100+ Sold,$0.03/g,Glico Pizza Flavor Biscuit,(4),Mainland China,Glico
Haitai Baked Potato Biscuit Sticks 6pk 162 g,https://www.sayweee.com/en/product/Haitai-Baked-Potato-Biscuit-Sticks-6pk/74824,$5.99,50+ Sold,$0.03/g,Haitai Baked Potato Biscuit Sticks 6pk,(9),South Korea,HAITAI
[Orion] Kosomi Sesame Biscuits 9.86oz 1 each,https://www.sayweee.com/en/product/-Orion--Kosomi-Sesame-Biscuits-9-86oz/98614,$4.99,50+ Sold,$4.99/each,[Orion] Kosomi Sesame Biscuits 9.86oz,(9),South Korea,
"Aji Jumping Sugar Macaron Biscuits, Strawberry Flavor 133 g",https://www.sayweee.com/en/product/Aji-Jumping-Sugar-Macaron-Biscuits--Strawberry-Flavor/83893,$3.39,50+ Sold,,"Aji Jumping Sugar Macaron Biscuits, Strawberry Flavor",(3),Mainland China,AJI
Milky Biscuits  240 g,https://www.sayweee.com/en/product/Milky-Biscuits-/19320,$6.79,50+ Sold,,Milky Biscuits,(27),Mainland China,
Weilong Baked Coco Biscuits  105 g,https://www.sayweee.com/en/product/Weilong-Baked-Coco-Biscuits-/33960,$2.99,50+ Sold,,Weilong Baked Coco Biscuits,(85),Mainland China,Weilong
Lotte Kancho Choco Biscuit  42 g,https://www.sayweee.com/en/product/Lotte-Kancho-Choco-Biscuit-/44896,$1.49,50+ Sold,$0.03/g,Lotte Kancho Choco Biscuit,(6),South Korea,Lotte
"Haitai Home Run Ball Chocolate Biscuits, 1 bag 146 g",https://www.sayweee.com/en/product/Haitai-Home-Run-Ball-Chocolate-Biscuits--1-bag/1648,$3.99,50+ Sold,,"Haitai Home Run Ball Chocolate Biscuits, 1 bag",(10),South Korea,HAITAI
Lotte Koala's March Mango Cream Biscuits Family Size 6.89 oz,https://www.sayweee.com/en/product/Lotte-Koala-s-March-Mango-Cream-Biscuits-Family-Size/85204,$5.99,50+ Sold,$0.86/oz,Lotte Koala's March Mango Cream Biscuits Family Size,,Thailand,Lotte
Lotte Kancho Biscuits Filled with Chocolate 168 g,https://www.sayweee.com/en/product/Lotte-Kancho-Biscuits-Filled-with-Chocolate/34846,$4.49,50+ Sold,,Lotte Kancho Biscuits Filled with Chocolate,(6),South Korea,Lotte
Glico Tomato Flavor Biscuit 80 g,https://www.sayweee.com/en/product/Glico-Tomato-Flavor-Biscuit/24097,$2.99,50+ Sold,$0.03/g,Glico Tomato Flavor Biscuit,(3),Mainland China,Glico
Lotte Butter Coconut Sweet Biscuit 300 g,https://www.sayweee.com/en/product/Lotte-Butter-Coconut-Sweet-Biscuit/29485,$5.99,50+ Sold,,Lotte Butter Coconut Sweet Biscuit,(4),South Korea,Lotte
Zhiweiguan Biscuit Osmanthus Flavor 175 g,https://www.sayweee.com/en/product/Zhiweiguan-Biscuit-Osmanthus-Flavor/22731,$7.49,50+ Sold,$0.04/g,Zhiweiguan Biscuit Osmanthus Flavor,(5),Mainland China,ZHI WEI GUAN
"Aji Jumping Sugar Macaron Biscuits, Cream Flavor 133 g",https://www.sayweee.com/en/product/Aji-Jumping-Sugar-Macaron-Biscuits--Cream-Flavor/83894,$3.39,,,"Aji Jumping Sugar Macaron Biscuits, Cream Flavor",(1),Mainland China,AJI
"Mincher Brittle Biscuits, Lemon and Chocolate Flavor 5.08 oz",https://www.sayweee.com/en/product/Mincher-Brittle-Biscuits--Lemon-and-Chocolate-Flavor/39348,$5.89,,$1.15/oz,"Mincher Brittle Biscuits, Lemon and Chocolate Flavor",(1),Taiwan,
"Dragonfly Brand Biscuit Sticks, Spicy  14 oz",https://www.sayweee.com/en/product/Dragonfly-Brand-Biscuit-Sticks--Spicy-/43861,$4.99,,$0.35/oz,"Dragonfly Brand Biscuit Sticks, Spicy",(1),Thailand,Dragonfly
Lotte Pepero Almond Biscuit Stick 8pcs 296 g,https://www.sayweee.com/en/product/Lotte-Pepero-Almond-Biscuit-Stick-8pcs/85321,$11.99,,$0.04/g,Lotte Pepero Almond Biscuit Stick 8pcs,(1),South Korea,Lotte
Glico Salad Shrimp Flavor Biscuit 70 g,https://www.sayweee.com/en/product/Glico-Salad-Shrimp-Flavor-Biscuit/24655,$2.99,,$0.04/g,Glico Salad Shrimp Flavor Biscuit,(2),Mainland China,Glico
Sir Norman Baker Homemade Uraro Biscuit 180 g,https://www.sayweee.com/en/product/Sir-Norman-Baker-Homemade-Uraro-Biscuit/85545,$2.49,,,Sir Norman Baker Homemade Uraro Biscuit,,Philippines,
Marky's Ugoy Ugoy Sugar Coated Biscuit 150 g,https://www.sayweee.com/en/product/Marky-s-Ugoy-Ugoy-Sugar-Coated-Biscuit/16334,$3.49,,,Marky's Ugoy Ugoy Sugar Coated Biscuit,(2),Philippines,
YAKISS Roll Biscuit Cherry Blossom Matcha Flavor 160 g,https://www.sayweee.com/en/product/YAKISS-Roll-Biscuit-Cherry-Blossom-Matcha-Flavor/16107,$6.99,,$0.04/g,YAKISS Roll Biscuit Cherry Blossom Matcha Flavor,(3),Mainland China,
Garden Family Assorted Biscuits 1340 g,https://www.sayweee.com/en/product/Garden-Family-Assorted-Biscuits/83197,$24.99,,,Garden Family Assorted Biscuits,,Mainland China,
LKXZ Milk Sandwich Biscuits 380 g,https://www.sayweee.com/en/product/LKXZ-Milk-Sandwich-Biscuits/84943,$5.59,,,LKXZ Milk Sandwich Biscuits,,Mainland China,
Lotte Pepero Crunchy Chocolate Biscuit Stick(39g*8) 312 g,https://www.sayweee.com/en/product/Lotte-Pepero-Crunchy-Chocolate-Biscuit-Stick-39g-8-/85324,$6.69,,,Lotte Pepero Crunchy Chocolate Biscuit Stick(39g*8),(2),South Korea,Lotte
"Binji Ox Ear-Shaped Biscuits, Original 52 g",https://www.sayweee.com/en/product/Binji-Ox-Ear-Shaped-Biscuits--Original/48301,$2.29,,$0.04/g,"Binji Ox Ear-Shaped Biscuits, Original",,Mainland China,
Marky's Pilipit Twisted Pastry Biscuits 200 g,https://www.sayweee.com/en/product/Marky-s-Pilipit-Twisted-Pastry-Biscuits/16331,$3.89,,,Marky's Pilipit Twisted Pastry Biscuits,(6),Philippines,
"Tang Shop Nougat Biscuit, Salted Egg York Flavor 170 g",https://www.sayweee.com/en/product/Tang-Shop-Nougat-Biscuit--Salted-Egg-York-Flavor/5214,$11.99,,$0.07/g,"Tang Shop Nougat Biscuit, Salted Egg York Flavor",(8),Taiwan,
YAKISS Roll Biscuit Mango Pomelo Sago Flavor 160 g,https://www.sayweee.com/en/product/YAKISS-Roll-Biscuit-Mango-Pomelo-Sago-Flavor/16091,$6.99,,$0.04/g,YAKISS Roll Biscuit Mango Pomelo Sago Flavor,(7),Mainland China,
"Zhiweiguan Biscuit, Green Tea Flavor 175 g",https://www.sayweee.com/en/product/Zhiweiguan-Biscuit--Green-Tea-Flavor/22732,$7.49,,$0.04/g,"Zhiweiguan Biscuit, Green Tea Flavor",,Mainland China,ZHI WEI GUAN
"Tang Shop Nougat Biscuit, Cranberry Flavor 140 g",https://www.sayweee.com/en/product/Tang-Shop-Nougat-Biscuit--Cranberry-Flavor/35141,$10.99,,$0.07/g,"Tang Shop Nougat Biscuit, Cranberry Flavor",(2),Taiwan,
Choripdong Rice Cracker Biscuit De Riz 3pk 240 g,https://www.sayweee.com/en/product/Choripdong-Rice-Cracker-Biscuit-De-Riz-3pk/30565,$5.99,,,Choripdong Rice Cracker Biscuit De Riz 3pk,(2),South Korea,Choripdong
Five Multi-Grain Biscuit Cookies 330 g,https://www.sayweee.com/en/product/Five-Multi-Grain-Biscuit-Cookies/22726,$4.49,,,Five Multi-Grain Biscuit Cookies,(1),South Korea,
Lemon Sandwich Biscuits 380 g,https://www.sayweee.com/en/product/Lemon-Sandwich-Biscuits/84944,$5.59,,,Lemon Sandwich Biscuits,,Mainland China,
"Tang Shop Nougat Biscuit, Scallion Flavor  400 g",https://www.sayweee.com/en/product/Tang-Shop-Nougat-Biscuit--Scallion-Flavor-/35137,$22.49,,$0.05/g,"Tang Shop Nougat Biscuit, Scallion Flavor",(1),Taiwan,
