Title,Title_link,Price,count___1LWwo,unit_info___32SjE,Headline,Field1,Field2,Field3
Aixiangqin Bread with Cheese FIlling 384 g,https://www.sayweee.com/en/product/Aixiangqin-Bread-with-Cheese-FIlling/65724,$4.79,600+ Sold,,Aixiangqin Bread with Cheese FIlling,(27),Mainland China,
Dao Xiang Cun Bread with Red Bean Paste 105 g,https://www.sayweee.com/en/product/Dao-Xiang-Cun-Bread-with-Red-Bean-Paste/11084,$0.99,1K+ Sold,,Dao Xiang Cun Bread with Red Bean Paste,(56),Mainland China,
Pan Pan French Soft Cream Bread 15 pcs 400 g,https://www.sayweee.com/en/product/Pan-Pan-French-Soft-Cream-Bread-15-pcs/3939,$3.89,1K+ Sold,,Pan Pan French Soft Cream Bread 15 pcs,(144),Mainland China,
Panpan Hand Tear Bread 480 g,https://www.sayweee.com/en/product/Panpan-Hand-Tear-Bread/67799,$6.49,1K+ Sold,,Panpan Hand Tear Bread,(283),Mainland China,
Aixiangqin Yogurt Waffle Bread 309 g,https://www.sayweee.com/en/product/Aixiangqin-Yogurt-Waffle-Bread/65730,$4.39,200+ Sold,,Aixiangqin Yogurt Waffle Bread,(12),Mainland China,
DXC Gourmet Bread Rolls 310 g,https://www.sayweee.com/en/product/DXC-Gourmet-Bread-Rolls/96174,$4.99,300+ Sold,,DXC Gourmet Bread Rolls,(20),Mainland China,
Lee's Toasted Baguette Crisps with Butter Cream 4 oz,https://www.sayweee.com/en/product/Lee-s-Toasted-Baguette-Crisps-with-Butter-Cream/95934,$4.79,100+ Sold,$1.19/oz,Lee's Toasted Baguette Crisps with Butter Cream,(106),United States,Lee's
Tokyo Bread Chocolate Pan 70 g,https://www.sayweee.com/en/product/Tokyo-Bread-Chocolate-Pan/35359,$3.19,"50+ Sold,2 Left",$0.04/g,Tokyo Bread Chocolate Pan,(14),Japan,
Daiichi Mini Bread with Chocolate Cream 7pc 6.66 oz,https://www.sayweee.com/en/product/Daiichi-Mini-Bread-with-Chocolate-Cream-7pc/48919,$5.99,100+ Sold,$0.89/oz,Daiichi Mini Bread with Chocolate Cream 7pc,(36),Japan,
Samlip Custard Soboro Bread  4.58 oz,https://www.sayweee.com/en/product/Samlip-Custard-Soboro-Bread-/35061,$1.59,"600+ Sold,20 Left",$0.34/oz,Samlip Custard Soboro Bread,,South Korea,
