Title,Title_link,Price,count___1LWwo,unit_info___32SjE,Headline,Field1,Field2,Field3
"Koriyama's Deliciously Light Cheese Cake, Original Flavor 80g 1 count",https://www.sayweee.com/en/product/Koriyamas-Deliciously-Light-Cheese-Cake-Original-Flavor-80g/94182,$2.39,1K+ Sold,$2.39/count,"Koriyama's Deliciously Light Cheese Cake, Original Flavor 80g",Japan,,(543)
Orange Swiss Roll Milk 6.45 oz,https://www.sayweee.com/en/product/Orange-Swiss-Roll-Milk/22793,$4.99,1K+ Sold,$0.77/oz,Orange Swiss Roll Milk,Japan,,(381)
Orange Brand Matcha Swiss Roll Cake 5.64 oz,https://www.sayweee.com/en/product/Orange-Brand-Matcha-Swiss-Roll-Cake/22800,$4.79,600+ Sold,$0.84/oz,Orange Brand Matcha Swiss Roll Cake,Japan,,(320)
"Orange French Chestnut Cake, Frozen 2.39 oz",https://www.sayweee.com/en/product/Orange-French-Chestnut-Cake-Frozen/98822,$3.29,800+ Sold,$1.37/oz,"Orange French Chestnut Cake, Frozen",United States,Orange,(323)
Orange Patisserie Hokkaido Vanilla Milk Cream Waffle 108 g,https://www.sayweee.com/en/product/Orange-Patisserie-Hokkaido-Vanilla-Milk-Cream-Waffle/37832,$4.49,500+ Sold,$0.04/g,Orange Patisserie Hokkaido Vanilla Milk Cream Waffle,Japan,,(113)
"Happy Clover Swiss Roll Cake, Frozen 4ct 200 g",https://www.sayweee.com/en/product/Happy-Clover-Swiss-Roll-Cake-Frozen-4ct/81445,$4.89,200+ Sold,,"Happy Clover Swiss Roll Cake, Frozen 4ct",United States,,(32)
Lotte Custard Cream Cake 276 g,https://www.sayweee.com/en/product/Lotte-Custard-Cream-Cake/27252,$6.49,800+ Sold,,Lotte Custard Cream Cake,South Korea,Lotte,(67)
Regent Ube Cake 10.07 oz,https://www.sayweee.com/en/product/Regent-Ube-Cake/3517,$3.49,700+ Sold,$0.34/oz,Regent Ube Cake,Philippines,Regent,(24)
Haitai Oh Yes! Premium Chocolate Coated Cake 12pc 336 g,https://www.sayweee.com/en/product/Haitai-Oh-Yes--Premium-Chocolate-Coated-Cake-12pc/36497,$4.99,300+ Sold,,Haitai Oh Yes! Premium Chocolate Coated Cake 12pc,South Korea,HAITAI,(22)
"Orange Vanilla Mille-Crepe Slice, Frozen 92 g",https://www.sayweee.com/en/product/Orange-Vanilla-MilleCrepe-Slice-Frozen/98451,$2.79,700+ Sold,$0.03/g,"Orange Vanilla Mille-Crepe Slice, Frozen",Japan,Orange,(333)
Regent Pandan Cake 10.07 oz,https://www.sayweee.com/en/product/Regent-Pandan-Cake/3516,$3.49,300+ Sold,$0.34/oz,Regent Pandan Cake,Philippines,Regent,(14)
Orange Patisserie Fruits Swiss Roll 6.48 oz,https://www.sayweee.com/en/product/Orange-Patisserie-Fruits-Swiss-Roll/53596,$5.49,300+ Sold,$0.84/oz,Orange Patisserie Fruits Swiss Roll,Japan,Orange,(192)
Brown Sugar Boba Mille Crepe Cake 1 count,https://www.sayweee.com/en/product/-Brown-Sugar-Boba-Mille-Crepe-Cake/41313,$29.99,1K+ Sold,$29.99/count,Brown Sugar Boba Mille Crepe Cake,Taiwan,,(322)
"Touched Mille Crepe Cake, Mango Tango Flavor, Frozen 8in 1 count",https://www.sayweee.com/en/product/Touched-Mille-Crepe-Cake-Mango-Tango-Flavor-Frozen-8in/68653,$29.99,500+ Sold,$29.99/count,"Touched Mille Crepe Cake, Mango Tango Flavor, Frozen 8in",Taiwan,,(476)
"I-Mei Honey Cake, Frozen 400 g",https://www.sayweee.com/en/product/IMei-Honey-Cake-Frozen/94152,$8.49,400+ Sold,,"I-Mei Honey Cake, Frozen",United States,IMEI,(275)
Happy Clover Cocoa Swiss Roll Wheat Cake 200 g,https://www.sayweee.com/en/product/Happy-Clover-Cocoa-Swiss-Roll-Wheat-Cake/65993,$6.29,300+ Sold,$0.03/g,Happy Clover Cocoa Swiss Roll Wheat Cake,Japan,,(32)
Honey Cake 1ct 1 count,https://www.sayweee.com/en/product/Honey-Cake-1ct/97323,$10.99,400+ Sold,$10.99/count,Honey Cake 1ct,Taiwan,,(382)
Happy Clover Shirakiku Strawberry Swiss Roll Wheat Cake 4pc 7.08 oz,https://www.sayweee.com/en/product/Happy-Clover-Shirakiku-Strawberry-Swiss-Roll-Wheat-Cake-4pc/61654,$5.90,50+ Sold,$0.83/oz,Happy Clover Shirakiku Strawberry Swiss Roll Wheat Cake 4pc,Japan,,(54)
Happy Clover Shirakiku Marble Swiss Roll Cake 4pc 7.08 oz,https://www.sayweee.com/en/product/Happy-Clover-Shirakiku-Marble-Swiss-Roll-Cake-4pc/61660,$5.90,300+ Sold,$0.83/oz,Happy Clover Shirakiku Marble Swiss Roll Cake 4pc,Japan,,(51)
"Karaku Nagasaki Honey Cake, Frozen  8.81 oz",https://www.sayweee.com/en/product/Karaku-Nagasaki-Honey-Cake--Frozen-/96576,$5.79,200+ Sold,$0.65/oz,"Karaku Nagasaki Honey Cake, Frozen",Japan,,(99)
Mango Mango Green Tea Crepe Cake Slice 1 count,https://www.sayweee.com/en/product/Mango-Mango-Green-Tea-Crepe-Cake-Slice/36249,$8.49,50+ Sold,$8.49/count,Mango Mango Green Tea Crepe Cake Slice,United States,,(49)
SAKAE Castella Matcha Cake 225 g,https://www.sayweee.com/en/product/SAKAE-Castella-Matcha-Cake/17593,$8.99,50+ Sold,$0.03/g,SAKAE Castella Matcha Cake,Mainland China,,(3)
Love Me Sweet Double Fromage Original Cheesecake 230-240 g,https://www.sayweee.com/en/product/Love-Me-Sweet-Double-Fromage-Original-Cheesecake/48410,$19.99,200+ Sold,$0.08/g,Love Me Sweet Double Fromage Original Cheesecake,Canada,,(128)
Sunlavieen Castella Red Bean Roll Cake with Cream Filling  4.92 oz,https://www.sayweee.com/en/product/Sunlavieen-Castella-Red-Bean-Roll-Cake-with-Cream-Filling-/2439,$4.99,100+ Sold,$1.01/oz,Sunlavieen Castella Red Bean Roll Cake with Cream Filling,Japan,,(100)
"Touched Mille Crepe Cake, Taro Flavor, Frozen 8in  1 count",https://www.sayweee.com/en/product/Touched-Mille-Crepe-Cake-Taro-Flavor-Frozen-8in-/68652,$29.99,300+ Sold,$29.99/count,"Touched Mille Crepe Cake, Taro Flavor, Frozen 8in",Taiwan,,(265)
Mango Mango Hong Kong Style Mango Pancake 2pc 1 count,https://www.sayweee.com/en/product/Mango-Mango-Hong-Kong-Style-Mango-Pancake-2pc/36246,$7.99,50+ Sold,$7.99/count,Mango Mango Hong Kong Style Mango Pancake 2pc,United States,,(46)
Mango Mango Musang King Durian Puffs 2 count,https://www.sayweee.com/en/product/Mango-Mango-Musang-King-Durian-Puffs/33390,$7.99,50+ Sold,$3.99/count,Mango Mango Musang King Durian Puffs,United States,,(97)
