Title,Title_link,Price,count___1LWwo,unit_info___32SjE,label___2DYkt,Reviews,Orgin,Brand
Glico Disney Popcan Soda Lollipop 30pc 1 box,https://www.sayweee.com/en/product/Glico-Disney-Popcan-Soda-Lollipop-30pc/56252,$24.99 ,800+ Sold,$24.99/box,,-20,Japan,Glico
Buke Mylikes Chocolate Beans 30 g,https://www.sayweee.com/en/product/Buke-Mylikes-Chocolate-Beans/81736,$0.49 ,1K+ Sold,,New,-126,Mainland China,Buke
"Kabaya Pureral Gummy Candy, Grape Flavor 58 g",https://www.sayweee.com/en/product/Kabaya-Pureral-Gummy-Candy--Grape-Flavor/34327,$2.99 ,200+ Sold,$0.05/g,,-2,Japan,
ORIHIRO Konjac Jelly White Peach Stand-Up Pouch 130 g,https://www.sayweee.com/en/product/ORIHIRO-Konjac-Jelly-White-Peach-StandUp-Pouch/6135,$2.99 ,200+ Sold,,New,-4,Japan,
"ORIHIRO Konjac Jelly Lemon, Hokkaido Melon, and Grape Flavor 6pcs 240 g",https://www.sayweee.com/en/product/ORIHIRO-Konjac-Jelly-Lemon--Hokkaido-Melon--and-Grape-Flavor-6pcs/32853,$3.49 ,200+ Sold,,New,-2,Japan,ORIHIRO
Black Ball Premium Grass Jelly 3pk  13.8 oz,https://www.sayweee.com/en/product/Black-Ball-Premium-Grass-Jelly-3pk-/39982,$3.59 ,1K+ Sold,$0.26/oz,20% Off,-492,United States,
Black Ball Aiyu Jelly 13.8 oz,https://www.sayweee.com/en/product/Black-Ball-Aiyu-Jelly/51916,$4.49 ,300+ Sold,$0.32/oz,,-144,United States,
FormosaYAY Imperial Matcha Mochi 6pcs 180 g,https://www.sayweee.com/en/product/FormosaYAY-Imperial-Matcha-Mochi-6pcs/84645,$1.89 ,300+ Sold,,,-4,Taiwan,
White Rabbit Creamy Candy 180 g,https://www.sayweee.com/en/product/White-Rabbit-Creamy-Candy/97045,$4.09 ,800+ Sold,,,-164,Mainland China,White Rabbit
POPCAN Fruit Lollipop Disney Edition 1pc 1 count,https://www.sayweee.com/en/product/POPCAN-Fruit-Lollipop-Disney-Edition-1pc/18499,$0.99 ,1K+ Sold,$0.99/count,20% Off,-26,Japan,
Jeagueijih Konjac Jelly Lychee 11 oz,https://www.sayweee.com/en/product/Jeagueijih-Konjac-Jelly-Lychee/3922,$2.79 ,1K+ Sold,$0.25/oz,20% Off,-306,Taiwan,Jeagueijih
Jeagueijih Konjac Jelly Passion Fruit 11 oz,https://www.sayweee.com/en/product/Jeagueijih-Konjac-Jelly-Passion-Fruit/3923,$3.79 ,1K+ Sold,$0.34/oz,,-308,Taiwan,Jeagueijih
Hsufuchi Assorted Crisp Candy 328 g,https://www.sayweee.com/en/product/Hsufuchi-Assorted-Crisp-Candy/73308,$6.59 ,900+ Sold,,,-127,Mainland China,
GYF Sugar Coated Hawthorn 1 pc 75 g,https://www.sayweee.com/en/product/GYF-Sugar-Coated-Hawthorn-1-pc/99747,$2.39 ,900+ Sold,$0.03/g,,-25,Mainland China,
Meiji Meltyblend Chocolate  2.11 oz,https://www.sayweee.com/en/product/Meiji-Meltyblend-Chocolate-/10094,$3.99 ,1K+ Sold,$1.89/oz,,-74,Mainland China,MEIJI
"Want Want Ice Pops, Assorted Flavors 78 ml",https://www.sayweee.com/en/product/Want-Want-Ice-Pops--Assorted-Flavors/65995,$2.49 ,500+ Sold,$0.03/ml,,-29,Mainland China,WANT WANT
KitKat Mini Strawberry 12pcs 5.07 oz,https://www.sayweee.com/en/product/KitKat-Mini-Strawberry-12pcs/441,$7.99 ,400+ Sold,$1.57/oz,,-7,Japan,
Bourbon Fettuccine Grape Gummy 1.76 oz,https://www.sayweee.com/en/product/Bourbon-Fettuccine-Grape-Gummy/23901,$1.49 ,800+ Sold,$0.84/oz,New,-24,Japan,BOURBON
Orihiro Apple & Grape Konjac Jelly 12 pcs 1 each,https://www.sayweee.com/en/product/Orihiro-Apple---Grape-Konjac-Jelly-12-pcs/3165,$4.99 ,1K+ Sold,$4.99/each,,-55,Japan,ORIHIRO
Meiji Gummy Choco Fruits Mix 81 g,https://www.sayweee.com/en/product/Meiji-Gummy-Choco-Fruits-Mix/18979,$3.99 ,700+ Sold,$0.04/g,New,-18,Mainland China,
Kit Kat Mini Milk Tea Flavor 4.4 oz,https://www.sayweee.com/en/product/Kit-Kat-Mini-Milk-Tea-Flavor/85393,$8.99 ,600+ Sold,$2.04/oz,,-2,Japan,
Hi-Chew Plus Fruit Mix Bag 90 g,https://www.sayweee.com/en/product/Hi-Chew-Plus-Fruit-Mix-Bag/19009,$2.29 ,400+ Sold,,,-11,Mainland China,
Marukawa Assorted Gum 1.51 oz,https://www.sayweee.com/en/product/Marukawa-Assorted-Gum/73293,$1.19 ,900+ Sold,$0.78/oz,,-49,Japan,
Bourbon Fettuccine Italian Lemon Gummy Candy 1.93 oz,https://www.sayweee.com/en/product/Bourbon-Fettuccine-Italian-Lemon-Gummy-Candy/23912,$1.49 ,200+ Sold,$0.77/oz,,-12,Japan,BOURBON
"Kabaya Pureral Gummy Candy, Melon Flavor 58 g",https://www.sayweee.com/en/product/Kabaya-Pureral-Gummy-Candy--Melon-Flavor/79394,$2.99 ,200+ Sold,$0.05/g,,-5,Japan,
Meiji Kajyu Gummy Mikan 51 g,https://www.sayweee.com/en/product/Meiji-Kajyu-Gummy-Mikan/20016,$2.79 ,300+ Sold,$0.05/g,,-4,Japan,MEIJI
"Meiji Chocolate Melty Blend, Hazelnut Flavor  2.11 oz",https://www.sayweee.com/en/product/Meiji-Chocolate-Melty-Blend--Hazelnut-Flavor-/35529,$4.79 ,700+ Sold,$2.27/oz,,-14,Mainland China,MEIJI
Meiji Gummy Choco Strawberry 81 g,https://www.sayweee.com/en/product/Meiji-Gummy-Choco-Strawberry/18980,$3.99 ,"300+ Sold,1 Left",$0.04/g,,-14,Mainland China,
Orihiro Muscat and Orange Konjac Jelly 12 pc 1 each,https://www.sayweee.com/en/product/Orihiro-Muscat-and-Orange-Konjac-Jelly-12-pc/3331,$4.99 ,400+ Sold,$4.99/each,,-52,Japan,ORIHIRO
Orihiro Jelly Strawberry 6pcs 120 g,https://www.sayweee.com/en/product/Orihiro-Jelly-Strawberry-6pcs/84254,$3.09 ,"500+ Sold,3 Left",,,-3,Japan,
Meiji Meltyblend Green Tea Chocolate 2.11 oz,https://www.sayweee.com/en/product/Meiji-Meltyblend-Green-Tea-Chocolate/10095,$3.99 ,1K+ Sold,$1.89/oz,,-39,Mainland China,MEIJI
Dr. Liv Konjac Jelly Blueberry Flavor  150 g,https://www.sayweee.com/en/product/Dr--Liv-Konjac-Jelly-Blueberry-Flavor-/67029,$1.99 ,100+ Sold,,,-10,South Korea,
