Title,Title_link,Price,count___1LWwo,unit_info___32SjE,Headline,Reviews,Orgin,Brand
"Hsia Wei Hsien Shrimp Chips, Original Flavor 60 g",https://www.sayweee.com/en/product/Hsia-Wei-Hsien-Shrimp-Chips--Original-Flavor/77432,$1.89 ,300+ Sold,$0.03/g,"Hsia Wei Hsien Shrimp Chips, Original Flavor",-54,Taiwan,
"Lay's Potato Chips, Hokkaido Cheese Flavor  1.51 oz",https://www.sayweee.com/en/product/Lay-s-Potato-Chips--Hokkaido-Cheese-Flavor-/73828,$1.99 ,300+ Sold,$1.31/oz,"Lay's Potato Chips, Hokkaido Cheese Flavor",-5,Taiwan,
"Fry Cut Potato Chips, Tomato Flavor 70 g",https://www.sayweee.com/en/product/Fry-Cut-Potato-Chips--Tomato-Flavor/31628,$3.09 ,400+ Sold,$0.04/g,"Fry Cut Potato Chips, Tomato Flavor",-2,Mainland China,
"Lay's Potato Chips, Numb and Spicy Hot Pot Flavor 70 g",https://www.sayweee.com/en/product/Lay-s-Potato-Chips--Numb-and-Spicy-Hot-Pot-Flavor/52826,$2.49 ,1K+ Sold,$0.03/g,"Lay's Potato Chips, Numb and Spicy Hot Pot Flavor",-159,Mainland China,Lay's
"Lay's Wavy Chips, Roasted Chicken Wing Flavor 70 g",https://www.sayweee.com/en/product/Lay-s-Wavy-Chips--Roasted-Chicken-Wing-Flavor/18206,$2.49 ,1K+ Sold,$0.03/g,"Lay's Wavy Chips, Roasted Chicken Wing Flavor",-249,Mainland China,
Calbee Original Baked Shrimp Chips 8 oz,https://www.sayweee.com/en/product/Calbee-Original-Baked-Shrimp-Chips/13827,$2.99 ,1K+ Sold,$0.37/oz,Calbee Original Baked Shrimp Chips,-340,Thailand,
LAY'S Potato Chips Roasted Cumin Lamb Skewer Flavor  70 g,https://www.sayweee.com/en/product/LAY-S-Potato-Chips-Roasted-Cumin-Lamb-Skewer-Flavor-/14329,$2.49 ,1K+ Sold,$0.03/g,LAY'S Potato Chips Roasted Cumin Lamb Skewer Flavor,-49,Mainland China,Lay's
Baby Star Crispy Ramen Snack Chicken Flavor 75 g,https://www.sayweee.com/en/product/Baby-Star-Crispy-Ramen-Snack-Chicken-Flavor/28505,$1.79 ,1K+ Sold,,Baby Star Crispy Ramen Snack Chicken Flavor,-50,Japan,
"Lay’s Potato Chips, Spicy Crayfish Flavor 70 g",https://www.sayweee.com/en/product/Lay---s-Potato-Chips--Spicy-Crayfish-Flavor/1528,$2.49 ,1K+ Sold,$0.03/g,"Lay’s Potato Chips, Spicy Crayfish Flavor",-161,Mainland China,
"Lay's Potato Chips, Cucumber Flavor 70 g",https://www.sayweee.com/en/product/Lays-Potato-Chips-Cucumber-Flavor/51261,$2.49 ,1K+ Sold,$0.03/g,"Lay's Potato Chips, Cucumber Flavor",-225,Mainland China,Lay's
"Calbee JagaRico Potato Sticks, Hokkaido Butter Flavor 2.05 oz",https://www.sayweee.com/en/product/Calbee-JagaRico-Potato-Sticks-Hokkaido-Butter-Flavor/15218,$1.99 ,1K+ Sold,$0.97/oz,"Calbee JagaRico Potato Sticks, Hokkaido Butter Flavor",-141,United States,
Calbee Veggie Bites 2.82 oz,https://www.sayweee.com/en/product/Calbee-Veggie-Bites/19048,$1.79 ,1K+ Sold,$0.63/oz,Calbee Veggie Bites,-58,Japan,Calbee
"Calbee JagaRico Potato Sticks, Original Flavor 2.12 oz",https://www.sayweee.com/en/product/Calbee-JagaRico-Potato-Sticks-Original-Flavor/13459,$1.99 ,1K+ Sold,$0.93/oz,"Calbee JagaRico Potato Sticks, Original Flavor",-90,Japan,
"Lay's Wave Chips, Grilled Squid Flavor 70 g",https://www.sayweee.com/en/product/Lay-s-Wave-Chips--Grilled-Squid-Flavor/6972,$2.49 ,1K+ Sold,$0.03/g,"Lay's Wave Chips, Grilled Squid Flavor",-240,Mainland China,Lay's
Haitai Honey Butter Chips  60 g,https://www.sayweee.com/en/product/Haitai-Honey-Butter-Chips-/94217,$2.99 ,1K+ Sold,$0.04/g,Haitai Honey Butter Chips,-334,South Korea,HAITAI
Nongshim Korean Shrimp Crackers 2.64 oz,https://www.sayweee.com/en/product/Nongshim-Korean-Shrimp-Crackers/94942,$1.49 ,1K+ Sold,$0.56/oz,Nongshim Korean Shrimp Crackers,-151,South Korea,Nongshim
"Cheetos, Japanese Steak Flavor 50 g",https://www.sayweee.com/en/product/Cheetos--Japanese-Steak-Flavor/32040,$1.69 ,700+ Sold,$0.03/g,"Cheetos, Japanese Steak Flavor",-104,Mainland China,
"Calbee Baked Shrimp Chips, Hot Garlic Flavor 3.3 oz",https://www.sayweee.com/en/product/Calbee-Baked-Shrimp-Chips-Hot-Garlic-Flavor/29991,$1.88 ,500+ Sold,$0.56/oz,"Calbee Baked Shrimp Chips, Hot Garlic Flavor",-89,Thailand,Calbee
Calbee Baked Onion Rings 4.94 oz,https://www.sayweee.com/en/product/Calbee-Baked-Onion-Rings/21831,$4.49 ,700+ Sold,$0.90/oz,Calbee Baked Onion Rings,-100,South Korea,
"Calbee My Pote Potato Chips, Himalayan Pink Salt Flavor  2.12 oz",https://www.sayweee.com/en/product/Calbee-My-Pote-Potato-Chips--Himalayan-Pink-Salt-Flavor-/47016,$1.49 ,700+ Sold,$0.70/oz,"Calbee My Pote Potato Chips, Himalayan Pink Salt Flavor",-51,United States,Calbee
Haitai Honey Butter Chips 120 g,https://www.sayweee.com/en/product/Haitai-Honey-Butter-Chips/32700,$4.49 ,500+ Sold,$0.03/g,Haitai Honey Butter Chips,-34,South Korea,HAITAI
LAY'S Potato Chips Roasted Fish Flavor  70 g,https://www.sayweee.com/en/product/LAY-S-Potato-Chips-Roasted-Fish-Flavor-/14330,$2.49 ,900+ Sold,$0.03/g,LAY'S Potato Chips Roasted Fish Flavor,-19,Mainland China,Lay's
Calbee Melty Cheese Pizza Potato Chips 2.54 oz,https://www.sayweee.com/en/product/Calbee-Melty-Cheese-Pizza-Potato-Chips/45254,$2.09 ,600+ Sold,$0.82/oz,Calbee Melty Cheese Pizza Potato Chips,-88,Hong Kong,Calbee
