Title,Title_link,Price,unit_info___32SjE,count___1LWwo,Headline,Field1,Field2,Field3
Siete Mexican Chocolate Cookie 4.5 oz,https://www.sayweee.com/en/product/Siete-Mexican-Chocolate-Cookie/14861,$4.79,$1.06/oz,,Siete Mexican Chocolate Cookie,(1),United States,SIETE
"Cal-C-Tose Drink Mix, Chocolate 14.1 oz",https://www.sayweee.com/en/product/Cal-C-Tose-Drink-Mix--Chocolate/86923,$4.49,$0.31/oz,,"Cal-C-Tose Drink Mix, Chocolate",,Mexico,
"MACARON Chocolate Cookies, Matcha Mousse And Chocolate Flavor 150 g",https://www.sayweee.com/en/product/MACARON-Chocolate-Cookies--Matcha-Mousse-And-Chocolate-Flavor/34266,$2.49,,11 Left,"MACARON Chocolate Cookies, Matcha Mousse And Chocolate Flavor",(1),Mainland China,
Mini Chocke-Obleas Chocolate Wafers with Chocolate Filling 18 oz,https://www.sayweee.com/en/product/Mini-Chocke-Obleas-Chocolate-Wafers-with-Chocolate-Filling/44702,$18.99,$1.05/oz,,Mini Chocke-Obleas Chocolate Wafers with Chocolate Filling,,Mexico,
Franzzi Cheese Chocolate Cookies 126 g,https://www.sayweee.com/en/product/Franzzi-Cheese-Chocolate-Cookies/77746,$3.59,,,Franzzi Cheese Chocolate Cookies,(3),Mainland China,FRANZZI
Meiji Meltyblend Chocolate  2.11 oz,https://www.sayweee.com/en/product/Meiji-Meltyblend-Chocolate-/10094,$3.99,$1.89/oz,1K+ Sold,Meiji Meltyblend Chocolate,(74),Mainland China,MEIJI
"Meiji Chocolate Melty Blend, Strawberry Flavor 2.11 oz",https://www.sayweee.com/en/product/Meiji-Chocolate-Melty-Blend--Strawberry-Flavor/35530,$4.99,$2.36/oz,700+ Sold,"Meiji Chocolate Melty Blend, Strawberry Flavor",(3),Mainland China,MEIJI
"Meiji Hello Panda Biscuit with Chocolate Filling , Valentines Packaging 10 oz",https://www.sayweee.com/en/product/Meiji-Hello-Panda-Biscuit-with-Chocolate-Filling---Valentines-Packaging/85532,$5.99,$0.59/oz,500+ Sold,"Meiji Hello Panda Biscuit with Chocolate Filling , Valentines Packaging",(1),United States,MEIJI
Jans Chocolate Potato Chips 3.5 oz,https://www.sayweee.com/en/product/Jans-Chocolate-Potato-Chips/40831,$4.99,$1.42/oz,200+ Sold,Jans Chocolate Potato Chips,(6),Indonesia,
Fujjya Chocolate Pencil Candy  0.95 oz,https://www.sayweee.com/en/product/Fujjya-Chocolate-Pencil-Candy-/25240,$2.79,$2.93/oz,300+ Sold,Fujjya Chocolate Pencil Candy,(11),Japan,
"Glico Pocky, Winter Chocolate Flavor 1.97 oz",https://www.sayweee.com/en/product/Glico-Pocky--Winter-Chocolate-Flavor/48426,$2.49,$1.26/oz,500+ Sold,"Glico Pocky, Winter Chocolate Flavor",(6),Japan,Glico
"Meiji Chocolate Melty Blend, Hazelnut Flavor  2.11 oz",https://www.sayweee.com/en/product/Meiji-Chocolate-Melty-Blend--Hazelnut-Flavor-/35529,$4.79,$2.27/oz,700+ Sold,"Meiji Chocolate Melty Blend, Hazelnut Flavor",(14),Mainland China,MEIJI
Meiji Meltyblend Green Tea Chocolate 2.11 oz,https://www.sayweee.com/en/product/Meiji-Meltyblend-Green-Tea-Chocolate/10095,$3.99,$1.89/oz,1K+ Sold,Meiji Meltyblend Green Tea Chocolate,(40),Mainland China,MEIJI
"Hello Kitty Wafer Cookies, Chocolate and Vanilla Flavors 630 g",https://www.sayweee.com/en/product/Hello-Kitty-Wafer-Cookies--Chocolate-and-Vanilla-Flavors/72162,$16.79,,200+ Sold,"Hello Kitty Wafer Cookies, Chocolate and Vanilla Flavors",(18),Taiwan,
"Kangshifu Mini Puff, Chocolate Filling 60 g",https://www.sayweee.com/en/product/Kangshifu-Mini-Puff-Chocolate-Filling/25948,$1.79,,100+ Sold,Weee!,,,
Lotte Koala's March Chocolate Creme-Filled Cookies 41g 1.45 oz,https://www.sayweee.com/en/product/Lotte-Koalas-March-Chocolate-CremeFilled-Cookies-41g/95706,$1.19,$0.82/oz,1K+ Sold,Lotte Koala's March Chocolate Creme-Filled Cookies 41g,(163),Thailand,Lotte
Meiji Yan Yan Biscuit Stick with Chocolate Cream 2 oz,https://www.sayweee.com/en/product/Meiji-Yan-Yan-Biscuit-Stick-with-Chocolate-Cream/22703,$1.19,$0.59/oz,1K+ Sold,Meiji Yan Yan Biscuit Stick with Chocolate Cream,(107),United States,MEIJI
Lotte Pepero Almond and Chocolate Sticks 32g x 4pk 128 g,https://www.sayweee.com/en/product/Lotte-Pepero-Almond-and-Chocolate-Sticks-32g-x-4pk/96335,$5.99,$0.04/g,1K+ Sold,Lotte Pepero Almond and Chocolate Sticks 32g x 4pk,(52),South Korea,
"KC Chocolate Milk 200ml, 6pk　 1200 g",https://www.sayweee.com/en/product/KC-Chocolate-Milk-200ml--6pk---/77825,$6.49,,1K+ Sold,"KC Chocolate Milk 200ml, 6pk",(42),Taiwan,Kuanchun
"Glico Caplico Mini Cones Vanilla, Strawberry, & Chocolate Flavors 10ct 1 count",https://www.sayweee.com/en/product/Glico-Caplico-Mini-Cones-Vanilla--Strawberry----Chocolate-Flavors-10ct/98712,$5.49,$5.49/count,600+ Sold,"Glico Caplico Mini Cones Vanilla, Strawberry, & Chocolate Flavors 10ct",(36),Japan,Glico
ISHIYA Shiroi Koibito White Chocolate Cookies 18 Pieces 1 box,https://www.sayweee.com/en/product/ISHIYA-Shiroi-Koibito-White-Chocolate-Cookies-18-Pieces/5369,$26.99,$26.99/box,500+ Sold,ISHIYA Shiroi Koibito White Chocolate Cookies 18 Pieces,(37),Japan,
Calbee Fruit Granola Chocolate Crunch and Banana 425 g,https://www.sayweee.com/en/product/Calbee-Fruit-Granola-Chocolate-Crunch-and-Banana/34294,$7.99,,400+ Sold,Calbee Fruit Granola Chocolate Crunch and Banana,(50),Japan,Calbee
Lotte Pepero Almond Chocolate Sticks 32 g,https://www.sayweee.com/en/product/Lotte-Pepero-Almond-Chocolate-Sticks/99402,$1.59,$0.04/g,400+ Sold,Lotte Pepero Almond Chocolate Sticks,(57),South Korea,Lotte
Tiger Sugar Chocolate Crispy Rice Ball 200 g,https://www.sayweee.com/en/product/Tiger-Sugar-Chocolate-Crispy-Rice-Ball/48064,$4.29,,400+ Sold,Tiger Sugar Chocolate Crispy Rice Ball,(5),Taiwan,Tiger Sugar
Bourbon Chocolate Elise White 2.01 oz,https://www.sayweee.com/en/product/Bourbon-Chocolate-Elise-White/23905,$2.39,$1.18/oz,400+ Sold,Bourbon Chocolate Elise White,(2),Japan,BOURBON
"KSF Sweet Puff Pastry Cookie, Hazulnut Chocolate Flavor  80 g",https://www.sayweee.com/en/product/KSF-Sweet-Puff-Pastry-Cookie--Hazulnut-Chocolate-Flavor-/4240,$1.79,,400+ Sold,"KSF Sweet Puff Pastry Cookie, Hazulnut Chocolate Flavor",(15),Mainland China,Master Kong
Haitai Oh Yes! Premium Chocolate Coated Cake 12pc 336 g,https://www.sayweee.com/en/product/Haitai-Oh-Yes--Premium-Chocolate-Coated-Cake-12pc/36497,$4.99,,300+ Sold,Haitai Oh Yes! Premium Chocolate Coated Cake 12pc,(22),South Korea,HAITAI
Bourbon Chocolate Ichigo Mousse 1.55 oz,https://www.sayweee.com/en/product/Bourbon-Chocolate-Ichigo-Mousse/23899,$1.89,$1.21/oz,300+ Sold,Bourbon Chocolate Ichigo Mousse,(26),Japan,BOURBON
Nora Chocolate Porridge Champorado 90 g,https://www.sayweee.com/en/product/Nora-Chocolate-Porridge-Champorado/15106,$1.99,,300+ Sold,Nora Chocolate Porridge Champorado,(4),Philippines,NORA
Lotte Binch Chocolate Covered Biscuit 204 g,https://www.sayweee.com/en/product/Lotte-Binch-Chocolate-Covered-Biscuit/29488,$4.99,,300+ Sold,Lotte Binch Chocolate Covered Biscuit,(6),South Korea,Lotte
Bauducco Chocolate Wafers 5.82 oz,https://www.sayweee.com/en/product/Bauducco-Chocolate-Wafers/81573,$1.59,$0.27/oz,200+ Sold,Bauducco Chocolate Wafers,(18),United States,BAUDUCCO
Lotte Pepero Stick Biscuits and Chocolate 47 g,https://www.sayweee.com/en/product/Lotte-Pepero-Stick-Biscuits-and-Chocolate/96497,$1.99,$0.04/g,200+ Sold,Lotte Pepero Stick Biscuits and Chocolate,(27),South Korea,Lotte
