Title,Title_link,Price,unit_info___32SjE,count___1LWwo,Headline,Field1,Field2,Field3
"Kjeldsens Original Danish Butter Cookies, Assorted 908 g",https://www.sayweee.com/en/product/Kjeldsens-Original-Danish-Butter-Cookies--Assorted/73817,$15.49,,200+ Sold,"Kjeldsens Original Danish Butter Cookies, Assorted",(50),Denmark,
Danisa Traditional Assorted Butter Cookies  16 oz,https://www.sayweee.com/en/product/Danisa-Traditional-Assorted-Butter-Cookies-/97639,$9.99,$0.62/oz,200+ Sold,Danisa Traditional Assorted Butter Cookies,(110),Indonesia,
"Aji Jumping Sugar Macaron Biscuits, Matcha Flavor 133 g",https://www.sayweee.com/en/product/Aji-Jumping-Sugar-Macaron-Biscuits--Matcha-Flavor/83891,$3.39,,200+ Sold,"Aji Jumping Sugar Macaron Biscuits, Matcha Flavor",(2),Mainland China,AJI
Hello Kitty Assorted Cookie Tin  326 g,https://www.sayweee.com/en/product/Hello-Kitty-Assorted-Cookie-Tin-/37622,$15.99,$0.04/g,50+ Sold,Hello Kitty Assorted Cookie Tin,(19),Japan,
Meixin Mille-Feuille Gift Set 178 g,https://www.sayweee.com/en/product/Meixin-Mille-Feuille-Gift-Set/12625,$24.99,$0.14/g,100+ Sold,Meixin Mille-Feuille Gift Set,(4),Hong Kong,
"MX Fine Goods ""Jiu Jiu Choy"" Pastries Gift Box 90 g",https://www.sayweee.com/en/product/MX-Fine-Goods--Jiu-Jiu-Choy--Pastries-Gift-Box/51183,$23.99,$0.26/g,,"MX Fine Goods ""Jiu Jiu Choy"" Pastries Gift Box",,Hong Kong,
Brown&Friends Biscuit Gift Box 400 g,https://www.sayweee.com/en/product/Brown-Friends-Biscuit-Gift-Box/83334,$34.99,$0.08/g,,Brown&Friends Biscuit Gift Box,,Taiwan,
DingDongXiong Fresh Milk Cookie  800 g,https://www.sayweee.com/en/product/DingDongXiong-Fresh-Milk-Cookie-/8530,$13.49,,,DingDongXiong Fresh Milk Cookie,(6),Mainland China,
Top Savor Nuts and Biscuits Gift Box 608 g,https://www.sayweee.com/en/product/Top-Savor-Nuts-and-Biscuits-Gift-Box/48260,$29.99,$0.04/g,,Top Savor Nuts and Biscuits Gift Box,,Mainland China,
Top Savor Assorted Cookies Gift Set  738 g,https://www.sayweee.com/en/product/Top-Savor-Assorted-Cookies-Gift-Set-/48261,$29.99,$0.04/g,,Top Savor Assorted Cookies Gift Set,,Mainland China,
Top Savor Japanese Style Nagoya  Biscuits Gift Box 738 g,https://www.sayweee.com/en/product/Top-Savor-Japanese-Style-Nagoya--Biscuits-Gift-Box/48262,$29.99,$0.04/g,,Top Savor Japanese Style Nagoya  Biscuits Gift Box,,Mainland China,
Top Savor Hokkaido Assorted Gift Box 608 g,https://www.sayweee.com/en/product/Top-Savor-Hokkaido-Assorted-Gift-Box/48263,$29.99,$0.04/g,,Top Savor Hokkaido Assorted Gift Box,,Mainland China,
Handmade Pancakes Gift Box 570 g,https://www.sayweee.com/en/product/Handmade-Pancakes-Gift-Box/52390,$14.99,,1 Left,Handmade Pancakes Gift Box,(11),Taiwan,
DXC Beijing-Style Cakes 731 g,https://www.sayweee.com/en/product/DXC-Beijing-Style-Cakes/52949,$24.99,$0.03/g,50+ Sold,DXC Beijing-Style Cakes,(1),Mainland China,
DXC New Year's Pastries Gift Box 600 g,https://www.sayweee.com/en/product/DXC-New-Years-Pastries-Gift-Box/52947,$14.99,,,DXC New Year's Pastries Gift Box,,Mainland China,
"MX Fine Goods ""Fat Choy"" Pastries Gift Box 134 g",https://www.sayweee.com/en/product/MX-Fine-Goods--Fat-Choy--Pastries-Gift-Box/51182,$26.49,$0.19/g,,"MX Fine Goods ""Fat Choy"" Pastries Gift Box",(2),Hong Kong,
MX Crunch Cookies 32pcs 200 g,https://www.sayweee.com/en/product/MX-Crunch-Cookies-32pcs/51184,$27.90,$0.13/g,,MX Crunch Cookies 32pcs,,Hong Kong,
MX Hearty Butter Pastries Gift Set 22pcs 206 g,https://www.sayweee.com/en/product/MX-Hearty-Butter-Pastries-Gift-Set-22pcs/51185,$31.99,$0.15/g,50+ Sold,MX Hearty Butter Pastries Gift Set 22pcs,(3),Hong Kong,
Kee Wah Dreamy Garden Box  132 g,https://www.sayweee.com/en/product/Kee-Wah-Dreamy-Garden-Box-/83029,$11.79,$0.08/g,,Kee Wah Dreamy Garden Box,(3),Mainland China,
DXC Cashew Crisp Cake  600 g,https://www.sayweee.com/en/product/DXC-Cashew-Crisp-Cake-/82349,$18.99,$0.03/g,50+ Sold,DXC Cashew Crisp Cake,,Mainland China,
DXC Nuts Crisp Cake  880 g,https://www.sayweee.com/en/product/DXC-Nuts-Crisp-Cake-/82351,$22.99,,50+ Sold,DXC Nuts Crisp Cake,(2),Mainland China,
Danish Style Cookies 450 g,https://www.sayweee.com/en/product/Danish-Style-Cookies/85561,$20.89,$0.04/g,,Danish Style Cookies,,Taiwan,
Want Want Classic Cookies 509 g,https://www.sayweee.com/en/product/Want-Want-Classic-Cookies/84312,$22.90,$0.04/g,,Want Want Classic Cookies,,Mainland China,WANT WANT
