Title,Title_link,Price,productDate___3-wQt,count___1LWwo,unit_info___32SjE,Headline,Field1,Field2,Field3
"Beitian Energy Rice Rolls, Egg Yolk Flavor  180 g",https://www.sayweee.com/en/product/Beitian-Energy-Rice-Rolls--Egg-Yolk-Flavor-/97217,$2.99,1K+ Sold,"1K+ Sold,22 Left",,"Beitian Energy Rice Rolls, Egg Yolk Flavor",(387),Taiwan,
"Sachima Rice,Classic Egg Flavor  526 g",https://www.sayweee.com/en/product/Sachima-Rice-Classic-Egg-Flavor-/13765,$5.69,1K+ Sold,1K+ Sold,,"Sachima Rice,Classic Egg Flavor",(145),Mainland China,
Daoxiangcun Beijing Ox Tongue-Shaped Wheat Flour Cake 360 g,https://www.sayweee.com/en/product/Daoxiangcun-Beijing-Ox-Tongue-Shaped-Wheat-Flour-Cake/98808,$5.99,1K+ Sold,1K+ Sold,,Daoxiangcun Beijing Ox Tongue-Shaped Wheat Flour Cake,(338),Mainland China,Daoxiangcun
Hsin Tung Yang Brown Sugar Sachima Cookies  12.7 fl.oz,https://www.sayweee.com/en/product/Hsin-Tung-Yang-Brown-Sugar-Sachima-Cookies-/48621,$4.29,400+ Sold,400+ Sold,$0.33/fl.oz,Hsin Tung Yang Brown Sugar Sachima Cookies,(150),Taiwan,HSIN TUNG YANG
Sanniu Evergreen Biscuits Bag 400 g,https://www.sayweee.com/en/product/Sanniu-Evergreen-Biscuits-Bag/80741,$4.49,700+ Sold,700+ Sold,,Sanniu Evergreen Biscuits Bag,(701),Mainland China,Sanniu
Meiji Yan Yan Biscuit Stick with Chocolate Cream 2 oz,https://www.sayweee.com/en/product/Meiji-Yan-Yan-Biscuit-Stick-with-Chocolate-Cream/22703,$1.19,1K+ Sold,1K+ Sold,$0.59/oz,Meiji Yan Yan Biscuit Stick with Chocolate Cream,(106),United States,MEIJI
Lotte Koala's March Chocolate Creme-Filled Cookies 41g 1.45 oz,https://www.sayweee.com/en/product/Lotte-Koalas-March-Chocolate-CremeFilled-Cookies-41g/95706,$1.19,1K+ Sold,1K+ Sold,$0.82/oz,Lotte Koala's March Chocolate Creme-Filled Cookies 41g,(163),Thailand,Lotte
Lotte Pepero Almond and Chocolate Sticks 32g x 4pk 128 g,https://www.sayweee.com/en/product/Lotte-Pepero-Almond-and-Chocolate-Sticks-32g-x-4pk/96335,$5.99,1K+ Sold,1K+ Sold,$0.04/g,Lotte Pepero Almond and Chocolate Sticks 32g x 4pk,(52),South Korea,
"Pea Crackers, Original 57 g",https://www.sayweee.com/en/product/Pea-Crackers-Original/98298,$2.29,1K+ Sold,1K+ Sold,$0.04/g,"Pea Crackers, Original",(152),Taiwan,
Lotte Choco Pie 12pk 11.85 oz,https://www.sayweee.com/en/product/Lotte-Choco-Pie-12pk/86122,$3.99,900+ Sold,900+ Sold,$0.33/oz,Lotte Choco Pie 12pk,(122),South Korea,Lotte
Glico Pocky Strawberry Cream Covered Biscuit Sticks 9pk 3.81 oz,https://www.sayweee.com/en/product/Glico-Pocky-Strawberry-Cream-Covered-Biscuit-Sticks-9pk/95702,$3.49,700+ Sold,700+ Sold,$0.91/oz,Glico Pocky Strawberry Cream Covered Biscuit Sticks 9pk,(326),Thailand,Glico
"Glico Pretz Snack Sticks, Roasted Flavor 6.35 oz",https://www.sayweee.com/en/product/Glico-Pretz-Snack-Sticks-Roasted-Flavor/52892,$3.29,500+ Sold,500+ Sold,$0.51/oz,"Glico Pretz Snack Sticks, Roasted Flavor",(44),Thailand,Glico
Spicy Pea Crackers 57 g,https://www.sayweee.com/en/product/Spicy-Pea-Crackers/98299,$1.59,800+ Sold,800+ Sold,,Spicy Pea Crackers,(110),Taiwan,
HanZhengXuan Original Rice Cake 200 g,https://www.sayweee.com/en/product/HanZhengXuan-Original-Rice-Cake/97799,$3.49,500+ Sold,500+ Sold,,HanZhengXuan Original Rice Cake,(116),Taiwan,
"Pea Crackers, Basil Flavor 57 g",https://www.sayweee.com/en/product/Pea-Crackers--Basil-Flavor/23145,$1.59,1K+ Sold,1K+ Sold,,"Pea Crackers, Basil Flavor",(167),Taiwan,
IMEI Strawberry Puffs 2.3 oz,https://www.sayweee.com/en/product/IMEI-Strawberry-Puffs/98781,$1.79,1K+ Sold,1K+ Sold,$0.77/oz,IMEI Strawberry Puffs,(166),Taiwan,IMEI
Egg Sachima Snack 608 g,https://www.sayweee.com/en/product/Egg-Sachima-Snack/98927,$5.99,700+ Sold,700+ Sold,,Egg Sachima Snack,(103),Mainland China,
Bourbon Tonyu Wafers 8ct 112 g,https://www.sayweee.com/en/product/Bourbon-Tonyu-Wafers-8ct/99125,$3.99,700+ Sold,700+ Sold,$0.03/g,Bourbon Tonyu Wafers 8ct,(390),Japan,BOURBON
Nabisco Butter Coconut Cookies 5.29 oz,https://www.sayweee.com/en/product/Nabisco-Butter-Coconut-Cookies/4854,$1.99,500+ Sold,500+ Sold,$0.37/oz,Nabisco Butter Coconut Cookies,(173),Taiwan,Nabisco
TK Food Salted Egg Yolk Cookies 100 g,https://www.sayweee.com/en/product/TK-Food-Salted-Egg-Yolk-Cookies/3330,$2.99,400+ Sold,400+ Sold,,TK Food Salted Egg Yolk Cookies,(210),Taiwan,TK Food
Umbrella Cookies  160 g,https://www.sayweee.com/en/product/Umbrella-Cookies-/97409,$2.79,800+ Sold,800+ Sold,,Umbrella Cookies,(82),Taiwan,NICE CHOICE
"Lava Bite, Hojicha Flavor 15pcs 150 g",https://www.sayweee.com/en/product/Lava-Bite--Hojicha-Flavor-15pcs/3320,$5.49,,,$0.03/g,"Lava Bite, Hojicha Flavor 15pcs",(6),Malaysia,Lava Bites
Chung Hsiang Sweet Afternoon Original Nougat Sandwich Crackers 145 g,https://www.sayweee.com/en/product/Chung-Hsiang-Sweet-Afternoon-Original-Nougat-Sandwich-Crackers/43928,$6.89,50+ Sold,50+ Sold,$0.04/g,Chung Hsiang Sweet Afternoon Original Nougat Sandwich Crackers,(33),Taiwan,
XuFuJi Sesame Soft Flour Cake 469 g,https://www.sayweee.com/en/product/XuFuJi-Sesame-Soft-Flour-Cake/12542,$5.99,300+ Sold,300+ Sold,,XuFuJi Sesame Soft Flour Cake,(60),Mainland China,
Bin Bin Rice Crackers 3.73 oz,https://www.sayweee.com/en/product/Bin-Bin-Rice-Crackers/42723,$1.29,1K+ Sold,"1K+ Sold,17 Left",$0.34/oz,Bin Bin Rice Crackers,(9),Thailand,
"Ottogi Ppushu Ppushu Noodle Snack, BBQ Flavor  3.17 oz",https://www.sayweee.com/en/product/Ottogi-Ppushu-Ppushu-Noodle-Snack--BBQ-Flavor-/73856,$0.89,1K+ Sold,"1K+ Sold,30 Left",$0.28/oz,"Ottogi Ppushu Ppushu Noodle Snack, BBQ Flavor",(13),South Korea,Ottogi
Lotte Choco Pie Green Tea 12pk 11.85 oz,https://www.sayweee.com/en/product/Lotte-Choco-Pie-Green-Tea-12pk/27249,$4.99,600+ Sold,600+ Sold,$0.42/oz,Lotte Choco Pie Green Tea 12pk,(84),South Korea,Lotte
"Glico Caplico Mini Cones Vanilla, Strawberry, & Chocolate Flavors 10ct 1 count",https://www.sayweee.com/en/product/Glico-Caplico-Mini-Cones-Vanilla--Strawberry----Chocolate-Flavors-10ct/98712,$5.49,600+ Sold,600+ Sold,$5.49/count,"Glico Caplico Mini Cones Vanilla, Strawberry, & Chocolate Flavors 10ct",(36),Japan,Glico
Deka Mini Ube Cream Wafer Bites 200 ml,https://www.sayweee.com/en/product/Deka-Mini-Ube-Cream-Wafer-Bites/63592,$3.29,400+ Sold,400+ Sold,,Deka Mini Ube Cream Wafer Bites,(37),Indonesia,
Lotte Koala's March Matcha Creme Filled Cookies 37 g,https://www.sayweee.com/en/product/Lotte-Koala-s-March-Matcha-Creme-Filled-Cookies/82719,$1.29,400+ Sold,400+ Sold,$0.03/g,Lotte Koala's March Matcha Creme Filled Cookies,(5),Thailand,Lotte
Ottogi Ppushu Ppushu Noodle Snack Grilled Chicken Flavor 90 g,https://www.sayweee.com/en/product/Ottogi-Ppushu-Ppushu-Noodle-Snack-Grilled-Chicken-Flavor/30549,$0.99,100+ Sold,"100+ Sold,9 Left",,Ottogi Ppushu Ppushu Noodle Snack Grilled Chicken Flavor,(1),South Korea,Ottogi
TKFood Salted Egg Yolk Cookies 230 g,https://www.sayweee.com/en/product/TKFood-Salted-Egg-Yolk-Cookies/850,$5.69,300+ Sold,300+ Sold,,TKFood Salted Egg Yolk Cookies,(104),Taiwan,T.K FOOD
Bourbon Butter Cookies 9pc 3.17 oz,https://www.sayweee.com/en/product/Bourbon-Butter-Cookies-9pc/23897,$1.99,200+ Sold,200+ Sold,$0.62/oz,Bourbon Butter Cookies 9pc,(13),Japan,BOURBON
Korean Post Oreo O's Cereal 8.8 oz,https://www.sayweee.com/en/product/Korean-Post-Oreo-O-s-Cereal/1691,$7.99,200+ Sold,200+ Sold,$0.90/oz,Korean Post Oreo O's Cereal,(25),South Korea,Post
"Meiji Hello Panda Biscuit with Chocolate Filling , Valentines Packaging 10 oz",https://www.sayweee.com/en/product/Meiji-Hello-Panda-Biscuit-with-Chocolate-Filling---Valentines-Packaging/85532,$5.99,500+ Sold,500+ Sold,$0.59/oz,"Meiji Hello Panda Biscuit with Chocolate Filling , Valentines Packaging",(1),United States,MEIJI
