Title,Title_link,Price,count___1LWwo,unit_info___32SjE,Headline,Field1,Field2,Field3
DXC Fruit Mochi Coconut Milk Flavor 210 g,https://www.sayweee.com/en/product/DXC-Fruit-Mochi-Coconut-Milk-Flavor/87187,$4.29,300+ Sold,,DXC Fruit Mochi Coconut Milk Flavor,,Mainland China,
"All Purpose Puff Pastry Tart Shells, 16pc  320 g",https://www.sayweee.com/en/product/All-Purpose-Puff-Pastry-Tart-Shells--16pc-/9644,$6.49,1K+ Sold,,"All Purpose Puff Pastry Tart Shells, 16pc",(327),Mainland China,
Youchen Cake Seasoned with Chicken Meat Floss 495 g,https://www.sayweee.com/en/product/Youchen-Cake-Seasoned-with-Chicken-Meat-Floss/26891,$10.99,1K+ Sold,,Youchen Cake Seasoned with Chicken Meat Floss,(432),Mainland China,
Isabelle Taiwan Specialties Pineapple Cakes 10ct 480 g,https://www.sayweee.com/en/product/Isabelle-Taiwan-Specialties-Pineapple-Cakes-10ct/97662,$14.99,700+ Sold,$0.03/g,Isabelle Taiwan Specialties Pineapple Cakes 10ct,(239),Taiwan,
Red Bean Mochi 120 g,https://www.sayweee.com/en/product/Red-Bean-Mochi/16247,$1.89,300+ Sold,,Red Bean Mochi,(19),Taiwan,
"Small Egg Tarts, Frozen 16 count",https://www.sayweee.com/en/product/Small-Egg-Tarts-Frozen/44668,$5.99,700+ Sold,$0.37/count,"Small Egg Tarts, Frozen",(1077),Mainland China,
Aroy-D Sticky Rice with Mango 8.8 oz,https://www.sayweee.com/en/product/Aroy-D-Sticky-Rice-with-Mango/80049,$4.87,1K+ Sold,$0.55/oz,Aroy-D Sticky Rice with Mango,(21),Thailand,AROYD
Hsin Tung Yang Mung Bean Cake  5.3 oz,https://www.sayweee.com/en/product/Hsin-Tung-Yang-Mung-Bean-Cake-/98686,$7.29,300+ Sold,$1.37/oz,Hsin Tung Yang Mung Bean Cake,(106),Taiwan,HSIN TUNG YANG
Chen Yun Pao Chuan Egg Yolk Pastry 3ct 1 each,https://www.sayweee.com/en/product/Chen-Yun-Pao-Chuan-Egg-Yolk-Pastry-3ct/9338,$8.49,400+ Sold,$8.49/each,Chen Yun Pao Chuan Egg Yolk Pastry 3ct,(473),Taiwan,
Baozhisu Mango Sago Cream with Pomelo 200 g,https://www.sayweee.com/en/product/Baozhisu-Mango-Sago-Cream-with-Pomelo/34357,$3.39,300+ Sold,,Baozhisu Mango Sago Cream with Pomelo,(100),Mainland China,
"Daifuku Mochi Red Bean Cakes, Frozen 3.88 oz",https://www.sayweee.com/en/product/Daifuku-Mochi-Red-Bean-Cakes--Frozen/98517,$1.99,700+ Sold,$0.51/oz,"Daifuku Mochi Red Bean Cakes, Frozen",(30),Japan,
DXC Mango Mochi 210 g,https://www.sayweee.com/en/product/DXC-Mango-Mochi/4565,$4.29,1K+ Sold,,DXC Mango Mochi,(146),Mainland China,Daoxiangcun
