Title,Title_link,Price,count___1LWwo,productDate___3-wQt,Headline,Field1,Field2,Field3
Weilong Hot and Spicy Konjac Snack 360 g,https://www.sayweee.com/en/product/Weilong-Hot-and-Spicy-Konjac-Snack/16914,$5.99,1K+ Sold,1K+ Sold,Weilong Hot and Spicy Konjac Snack,(140),Mainland China,WEILONG
Yuxiong Spiced Broad Beans 80 g,https://www.sayweee.com/en/product/Yuxiong-Spiced-Broad-Beans/2014,$1.49,1K+ Sold,1K+ Sold,Yuxiong Spiced Broad Beans,(61),Mainland China,Yuxiong
"Surimi Tofu Snack, Spicy Fish Flavor 660 g",https://www.sayweee.com/en/product/Surimi-Tofu-Snack--Spicy-Fish-Flavor/11906,$10.19,500+ Sold,500+ Sold,"Surimi Tofu Snack, Spicy Fish Flavor",(128),Mainland China,
Weilong Spicy Strips 102 g,https://www.sayweee.com/en/product/Weilong-Spicy-Strips/90427,$1.29,1K+ Sold,1K+ Sold,Weilong Spicy Strips,(39),Mainland China,Weilong
Te Chang Food Tofu Cakes 115 g,https://www.sayweee.com/en/product/Te-Chang-Food-Tofu-Cakes/1572,$1.99,100+ Sold,100+ Sold,Te Chang Food Tofu Cakes,(164),Taiwan,TCF
Weilong Big La Tiao Hot and Spicy Gluten Strips  400 g,https://www.sayweee.com/en/product/Weilong-Big-La-Tiao-Hot-and-Spicy-Gluten-Strips-/28223,$6.59,900+ Sold,900+ Sold,Weilong Big La Tiao Hot and Spicy Gluten Strips,(22),Mainland China,WEILONG
Jinduigu Hand-Made Roasted Tofu Snack 180 g,https://www.sayweee.com/en/product/Jinduigu-HandMade-Roasted-Tofu-Snack/5258,$2.39,600+ Sold,600+ Sold,Jinduigu Hand-Made Roasted Tofu Snack,(54),Mainland China,
"Zhen Xiang Dried Bean Curd Snack, Beef Flavor 80 g",https://www.sayweee.com/en/product/Zhen-Xiang-Dried-Bean-Curd-Snack--Beef-Flavor/34421,$1.19,1K+ Sold,1K+ Sold,"Zhen Xiang Dried Bean Curd Snack, Beef Flavor",(91),Mainland China,Zhen Xiang
Weilong Hot and Sour Konjac Snack 360 g,https://www.sayweee.com/en/product/Weilong-Hot-and-Sour-Konjac-Snack/16916,$5.99,1K+ Sold,1K+ Sold,Weilong Hot and Sour Konjac Snack,(30),Mainland China,WEILONG
"Weilong Mini La Tiao, Spicy Gluten Strips 360 g",https://www.sayweee.com/en/product/Weilong-Mini-La-Tiao--Spicy-Gluten-Strips/28779,$6.59,"900+ Sold,59 Left",900+ Sold,"Weilong Mini La Tiao, Spicy Gluten Strips",(17),Mainland China,WEILONG
