Title,Title_link,Price,count___1LWwo,unit_info___32SjE,Headline,Field1,Field2,Field3
ZhengDa Shredded Dry Fig  8 g,https://www.sayweee.com/en/product/ZhengDa-Shredded-Dry-Fig-/74910,$0.79,1K+ Sold,$0.09/g,ZhengDa Shredded Dry Fig,(89),Mainland China,ZhengDa
Haw Flakes Hawthorn Candy 330 g,https://www.sayweee.com/en/product/Haw-Flakes-Hawthorn-Candy/35836,$3.19,"500+ Sold,20 Left",,Haw Flakes Hawthorn Candy,(91),Mainland China,
Sugar-Coated Hawthorn In Stick 25 g,https://www.sayweee.com/en/product/Sugar-Coated-Hawthorn-In-Stick/18284,$1.69,1K+ Sold,$0.06/g,Sugar-Coated Hawthorn In Stick,(39),Mainland China,
Yida Hawthorn Chips 180 g,https://www.sayweee.com/en/product/Yida-Hawthorn-Chips/97300,$1.99,1K+ Sold,,Yida Hawthorn Chips,(98),Mainland China,
Lyfen Preserved Plum Flakes 90 g,https://www.sayweee.com/en/product/Lyfen-Preserved-Plum-Flakes/27476,$3.79,800+ Sold,$0.04/g,Lyfen Preserved Plum Flakes,(157),Mainland China,LYFEN
Yimeng Healthy Hawthorn Snacks Balls 280 g,https://www.sayweee.com/en/product/Yimeng-Healthy-Hawthorn-Snacks-Balls/32353,$3.99,300+ Sold,,Yimeng Healthy Hawthorn Snacks Balls,(42),Mainland China,YI-MENG RED FARM
Big Green Hawthorn Berry Slices  4.2 oz,https://www.sayweee.com/en/product/Big-Green-Hawthorn-Berry-Slices-/66686,$1.99,600+ Sold,$0.47/oz,Big Green Hawthorn Berry Slices,(300),Mainland China,Big Green
Tonys Yogurt Hawthorn  110 g,https://www.sayweee.com/en/product/Tonys-Yogurt-Hawthorn-/17598,$3.79,1K+ Sold,$0.03/g,Tonys Yogurt Hawthorn,(11),Mainland China,
"LYFEN Hawthorn Cake, Reduced Sugar 80 g",https://www.sayweee.com/en/product/LYFEN-Hawthorn-Cake--Reduced-Sugar/44864,$2.49,700+ Sold,$0.03/g,"LYFEN Hawthorn Cake, Reduced Sugar",(6),Mainland China,LYFEN
LYFEN Fragrant Olives 70 g,https://www.sayweee.com/en/product/LYFEN-Fragrant-Olives/17931,$2.99,1K+ Sold,$0.04/g,LYFEN Fragrant Olives,(39),Mainland China,LYFEN
Yida Hawthorn Candy  150 g,https://www.sayweee.com/en/product/Yida-Hawthorn-Candy-/31295,$1.99,1K+ Sold,,Yida Hawthorn Candy,(195),Mainland China,YIDA
Sihong Ejiao Dates 300 g,https://www.sayweee.com/en/product/Sihong-Ejiao-Dates/12570,$2.39,1K+ Sold,,Sihong Ejiao Dates,(153),Mainland China,
IFACTORY Dried Plum Slice   14 g,https://www.sayweee.com/en/product/IFACTORY-Dried-Plum-Slice--/18481,$2.99,1K+ Sold,$0.21/g,IFACTORY Dried Plum Slice,(64),Mainland China,
7D Dried Mango & Pineapple Mix 80 g,https://www.sayweee.com/en/product/7D-Dried-Mango---Pineapple-Mix/31338,$2.69,300+ Sold,$0.03/g,7D Dried Mango & Pineapple Mix,(9),Philippines,
Ume House Dried Plum 80 g,https://www.sayweee.com/en/product/Ume-House-Dried-Plum/7201,$4.49,400+ Sold,$0.05/g,Ume House Dried Plum,(21),Mainland China,Ume House
Farmers Grange Dried Orange Peel 108 g,https://www.sayweee.com/en/product/Farmers-Grange-Dried-Orange-Peel/4235,$2.99,300+ Sold,,Farmers Grange Dried Orange Peel,(35),Mainland China,Farmers Grange
Big Green Hawthorn Roll 4.2 oz,https://www.sayweee.com/en/product/Big-Green-Hawthorn-Roll/97898,$1.99,900+ Sold,$0.47/oz,Big Green Hawthorn Roll,(79),Mainland China,Big Green
Yifen Crisp Winter Jujube 90 g,https://www.sayweee.com/en/product/Yifen-Crisp-Winter-Jujube/27417,$4.99,1K+ Sold,$0.05/g,Yifen Crisp Winter Jujube,(214),Mainland China,LYFEN
Big Green Hawthorn Berry Chips 3.5 oz,https://www.sayweee.com/en/product/Big-Green-Hawthorn-Berry-Chips/8920,$2.39,700+ Sold,$0.68/oz,Big Green Hawthorn Berry Chips,(88),Mainland China,
TenWow Han Preserved Yangmei 135 g,https://www.sayweee.com/en/product/TenWow-Han-Preserved-Yangmei/99561,$4.99,200+ Sold,$0.03/g,TenWow Han Preserved Yangmei,(18),Mainland China,TenWow
Bestore Assorted Hawthorn Jelly Bag 500 g,https://www.sayweee.com/en/product/Bestore-Assorted-Hawthorn-Jelly-Bag/3865,$6.99,500+ Sold,,Bestore Assorted Hawthorn Jelly Bag,(61),Mainland China,
"Spring Farm Hawthorn Berry, Dried and Pitted  3.5 oz",https://www.sayweee.com/en/product/Spring-Farm-Hawthorn-Berry--Dried-and-Pitted-/5667,$2.99,"400+ Sold,28 Left",$0.85/oz,"Spring Farm Hawthorn Berry, Dried and Pitted",(43),Mainland China,
Farmers Grange Dried Bayberry 108 g,https://www.sayweee.com/en/product/Farmers-Grange-Dried-Bayberry/4234,$3.49,1K+ Sold,$0.03/g,Farmers Grange Dried Bayberry,(46),Mainland China,Farmers Grange
